ACSSF,2012e1,co,000,0058,0000011,328612,88826,54661,33867,29069,4798,20794,34165,22769,19739,3030,11396,174854,89059,64296,61540,2756,24763,85795,48946,45336,3610,36849,4939,1999,1266,1217,49,733,2940,2044,1667,377,896,17824,3855,810,800,10,3045,13969,3471,3308,163,10498,42169,21418,14306,13004,1302,7112,20751,13428,12523,905,7323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000012,553850,157481,97903,62141,54618,7523,35762,59578,40701,36187,4514,18877,290969,149040,107262,102158,5104,41778,141929,83208,77705,5503,58721,8350,3127,1884,1799,85,1243,5223,3707,3079,628,1516,28286,5569,1224,1214,10,4345,22717,5795,5587,208,16922,68764,34686,23706,21794,1912,10980,34078,22342,20703,1639,11736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000013,342537,101839,57463,42415,37087,5328,15048,44376,31555,27263,4292,12821,172663,86394,70754,67531,3223,15640,86269,55266,51824,3442,31003,6676,3295,2464,2419,45,831,3381,2263,2092,171,1118,14738,3647,1211,1082,129,2436,11091,2754,2393,361,8337,46621,20537,16116,14569,1547,4421,26084,17819,15757,2062,8265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000014,462741,137347,73078,54472,45521,8951,18606,64269,48502,43843,4659,15767,230567,116580,94125,89668,4457,22455,113987,70772,66843,3929,43215,12808,6352,5122,4675,447,1230,6456,4771,4248,523,1685,21205,3674,1322,1251,71,2352,17531,3540,3254,286,13991,60814,24743,18997,17091,1906,5746,36071,27124,24956,2168,8947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000015,250346,87567,48017,33317,30394,2923,14700,39550,27301,24128,3173,12249,124394,63824,52461,50177,2284,11363,60570,38980,37239,1741,21590,1948,1021,721,721,0,300,927,809,809,0,118,7919,1675,698,662,36,977,6244,1229,1229,0,5015,28518,10965,8141,7576,565,2824,17553,12270,11637,633,5283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000016,508571,209199,113162,88614,81448,7166,24548,96037,72570,66454,6116,23467,194070,97811,78586,75570,3016,19225,96259,58420,54658,3762,37839,13046,5489,4070,3362,708,1419,7557,5301,4831,470,2256,21939,4559,1173,908,265,3386,17380,4907,4735,172,12473,70317,32120,20982,18095,2887,11138,38197,25983,24439,1544,12214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000017,220452,44450,23488,16580,14698,1882,6908,20962,14233,13258,975,6729,144414,74417,63970,61899,2071,10447,69997,44870,43123,1747,25127,1324,304,231,231,0,73,1020,905,905,0,115,6315,869,111,111,0,758,5446,1905,1640,265,3541,23949,8657,6874,6175,699,1783,15292,11623,10807,816,3669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000018,498511,138324,79889,57949,49090,8859,21940,58435,39803,33614,6189,18632,269095,135647,108932,104345,4587,26715,133448,79500,74180,5320,53948,8599,3338,2483,2439,44,855,5261,4076,3601,475,1185,22247,5444,1757,1600,157,3687,16803,3318,3052,266,13485,60246,24111,16960,15676,1284,7151,36135,25921,23897,2024,10214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000019,441996,118193,68251,51083,44261,6822,17168,49942,36787,33430,3357,13155,236078,120094,91882,87544,4338,28212,115984,78100,74385,3715,37884,5865,1811,1212,1040,172,599,4054,2566,2400,166,1488,21924,4979,1309,1309,0,3670,16945,3772,3560,212,13173,59936,22652,15942,14599,1343,6710,37284,26703,24597,2106,10581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0058,0000020,254128,81835,42524,32234,28751,3483,10290,39311,26975,24086,2889,12336,132943,68274,52754,50361,2393,15520,64669,41420,39507,1913,23249,2359,730,694,326,368,36,1629,1277,1044,233,352,10371,2442,342,307,35,2100,7929,1384,1384,0,6545,26620,11121,8009,7059,950,3112,15499,10264,9116,1148,5235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
