ACSSF,2012m1,co,000,0018,0000017,1027,1374,610,261,366,438,1402,1402,189,1527,1410,1154,476,494,926,926,189,2273,2922,2954,1127,1376,1658,1648,83,2402,2117,1486,727,468,588,562,590,503,298,538,0,2402,2402,,,,1027,2102,1915,818,2273,2341,1703,2402,2117,1486,727,1162,854
ACSSF,2012m1,co,000,0018,0000018,2022,4345,2486,1889,1371,602,4644,4079,1564,4149,3921,3325,861,1495,2240,2346,735,4867,4390,4196,1072,1577,3078,3082,639,4504,3934,3076,1124,1338,1198,788,771,1538,678,1306,0,4504,4504,,,,2022,4813,4424,2888,4867,4723,2078,4504,3934,3076,1124,2156,2232
ACSSF,2012m1,co,000,0018,0000019,2250,2839,1537,1289,553,625,2495,2457,494,2826,1990,1728,1247,593,2639,2604,731,3808,3987,4134,1216,1856,2159,2128,465,3053,2964,1894,566,887,631,814,521,449,558,828,0,3053,3053,,,,2250,3767,4162,1940,3808,4048,2119,3053,2964,1894,566,1452,1040
ACSSF,2012m1,co,000,0018,0000020,726,1731,1164,839,619,583,1556,1341,912,2171,1921,1866,640,453,1325,1323,199,2657,3063,2954,477,796,1805,1753,371,2388,2102,1367,382,571,423,194,274,601,182,644,0,2388,2388,,,,726,2669,2642,1147,2657,2596,941,2388,2102,1367,382,854,897
ACSSF,2012m1,co,000,0018,0000021,1899,1999,978,818,755,189,1627,1641,223,2397,1595,1404,953,189,1818,1818,189,2773,2822,2785,186,476,918,905,183,,,,,,,,,,,,0,1781,1781,,,,1899,2657,2538,1264,2773,2717,562,1781,1408,935,678,411,509
ACSSF,2012m1,co,000,0018,0000022,725,2696,1938,1990,352,289,2127,2094,282,2205,1812,1662,113,408,974,974,189,2471,2328,2294,326,468,1084,1073,67,1253,1038,687,233,266,104,461,154,204,166,364,0,1253,1253,,,,725,2543,2648,580,2471,2446,482,1253,1038,687,233,513,451
ACSSF,2012m1,co,000,0018,0000023,1111,2799,1706,1305,1005,1072,2305,2136,1093,2790,2518,2093,1822,1149,1539,1546,257,2976,3017,2833,587,1271,1535,1342,616,3017,2835,1229,311,573,641,467,365,205,318,358,0,3017,3017,,,,1111,3241,3150,2397,2976,2816,1286,3017,2835,1229,311,1086,527
ACSSF,2012m1,co,000,0018,0000024,1949,703,433,428,74,189,542,518,145,1213,647,527,223,298,1313,1253,416,1769,1885,1814,624,251,1205,1198,104,1383,986,881,118,494,328,530,101,202,248,281,1194,1900,1383,,,,1949,1385,1302,607,1769,1726,734,1383,986,881,118,753,363
ACSSF,2012m1,co,000,0018,0000025,3740,2906,2312,917,2011,740,2268,1993,1627,3605,2657,1577,2217,832,2537,2289,1576,3570,2461,2118,1555,1357,2633,2257,980,4771,4492,3356,1356,1627,1200,1300,1141,828,440,663,95,4769,4771,,,,3740,4074,3445,3376,3570,3051,2114,4771,4492,3356,1356,2922,1114
ACSSF,2012m1,co,000,0018,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1284,706,224,360,343,209,265,191,72,305,31,1499,1495,,,,1578,1623,603,1619,1487,1382,709,1495,1284,706,224,584,377
ACSSF,2012m1,co,000,0018,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,1867,1576,1063,364,451,409,306,244,299,165,332,49,1865,1867,,,,1993,1149,856,800,1821,1973,1107,1867,1576,1063,364,814,432
ACSSF,2012m1,co,000,0018,0000028,3640,3680,1924,1332,1371,455,4100,3656,1564,3059,2168,1605,715,1247,2054,2188,719,3483,3449,3577,882,1471,2125,2069,497,3834,3592,2204,835,872,1043,725,593,501,570,959,59,3829,3834,,,,3640,3400,3799,2751,3483,3601,1847,3834,3592,2204,835,1550,1346
ACSSF,2012m1,co,000,0018,0000029,1783,5006,3208,1540,3211,1144,4213,3505,2198,4436,3090,1753,2030,1835,3323,3060,1451,4178,3804,3166,1983,1828,2457,2464,919,6899,6702,3372,1378,1190,2001,1354,846,893,877,1042,0,6899,6899,,,,1783,4531,4299,4556,4178,3641,2645,6899,6702,3372,1378,2756,1527
ACSSF,2012m1,co,000,0018,0000030,2035,1211,738,660,137,295,898,867,117,1395,1311,1356,458,373,718,702,199,1943,1882,1856,488,483,739,716,119,1649,1497,842,367,313,259,141,136,208,140,470,73,1651,1649,,,,2035,1842,1818,669,1943,1906,650,1649,1497,842,367,457,525
ACSSF,2012m1,co,000,0018,0000031,1973,1784,1214,813,383,914,1571,1576,698,1771,1512,913,1082,586,1123,1104,172,1415,1369,1113,537,826,736,736,189,1912,1695,948,215,466,546,252,169,184,224,268,35,1910,1912,,,,1973,2067,1813,1677,1415,1307,912,1912,1695,948,215,867,344
ACSSF,2012m1,co,000,0018,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,1663,1278,1173,613,299,435,409,503,366,151,369,4745,4628,1663,,,,2647,1130,1135,669,2801,2438,1255,1663,1278,1173,613,715,506
ACSSF,2012m1,co,000,0018,0000033,2301,1638,1076,810,403,602,1407,1360,494,1630,1103,445,1004,87,1216,1193,270,2239,2344,1826,801,1492,855,852,285,2375,2422,1079,295,651,240,243,263,193,400,465,38,2380,2375,,,,2301,1951,1804,1411,2239,1824,1652,2375,2422,1079,295,802,667
ACSSF,2012m1,co,000,0018,0000034,1703,2115,1684,1284,1173,189,1546,1269,824,1596,1432,805,992,669,707,518,479,1638,1416,1221,647,444,1630,1605,445,2791,2342,1369,187,918,509,536,289,213,70,205,45,2798,2791,,,,1703,1793,1800,1493,1638,1787,779,2791,2342,1369,187,1370,291
ACSSF,2012m1,co,000,0018,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1179,1175,,,,1979,2083,1996,778,1799,1762,555,1175,959,661,90,305,589
ACSSF,2012m1,co,000,0018,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1001,998,,,,1327,2188,2281,535,2006,1975,300,998,910,432,228,192,342
ACSSF,2012m1,co,000,0018,0000037,2399,2076,1493,363,1538,189,1336,1269,413,2623,2426,988,1680,1623,1326,995,855,2581,2515,2435,1235,740,1320,1383,327,2632,2343,1583,290,1009,620,691,303,211,116,430,54,2639,2632,,,,2399,2466,1625,2327,2581,2425,1375,2632,2343,1583,290,1495,502
ACSSF,2012m1,co,000,0018,0000038,2015,1492,1140,1043,432,116,1105,935,643,1507,1325,683,1143,189,970,881,243,2128,1939,1838,550,930,1023,984,191,1672,1354,1207,471,491,520,437,240,383,350,599,58,1672,1672,,,,2015,1751,1409,1251,2128,1912,1121,1672,1354,1207,471,756,722
ACSSF,2012m1,co,000,0018,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1284,706,224,360,343,209,265,191,72,305,31,1499,1495,,,,1578,1623,603,1619,1487,1382,709,1495,1284,706,224,584,377
ACSSF,2012m1,co,000,0018,0000040,3640,3680,1924,1332,1371,455,4100,3656,1564,3059,2168,1605,715,1247,2054,2188,719,3483,3449,3577,882,1471,2125,2069,497,3834,3592,2204,835,872,1043,725,593,501,570,959,59,3829,3834,,,,3640,3400,3799,2751,3483,3601,1847,3834,3592,2204,835,1550,1346
ACSSF,2012m1,co,000,0018,0000041,3740,2906,2312,917,2011,740,2268,1993,1627,3605,2657,1577,2217,832,2537,2289,1576,3570,2461,2118,1555,1357,2633,2257,980,4771,4492,3356,1356,1627,1200,1300,1141,828,440,663,95,4769,4771,,,,3740,4074,3445,3376,3570,3051,2114,4771,4492,3356,1356,2922,1114
ACSSF,2012m1,co,000,0018,0000042,1783,5006,3208,1540,3211,1144,4213,3505,2198,4436,3090,1753,2030,1835,3323,3060,1451,4178,3804,3166,1983,1828,2457,2464,919,6899,6702,3372,1378,1190,2001,1354,846,893,877,1042,0,6899,6899,,,,1783,4531,4299,4556,4178,3641,2645,6899,6702,3372,1378,2756,1527
ACSSF,2012m1,co,000,0018,0000043,2035,1211,738,660,137,295,898,867,117,1395,1311,1356,458,373,718,702,199,1943,1882,1856,488,483,739,716,119,1649,1497,842,367,313,259,141,136,208,140,470,73,1651,1649,,,,2035,1842,1818,669,1943,1906,650,1649,1497,842,367,457,525
ACSSF,2012m1,co,000,0018,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1179,1175,,,,1979,2083,1996,778,1799,1762,555,1175,959,661,90,305,589
ACSSF,2012m1,co,000,0018,0000045,1973,1784,1214,813,383,914,1571,1576,698,1771,1512,913,1082,586,1123,1104,172,1415,1369,1113,537,826,736,736,189,1912,1695,948,215,466,546,252,169,184,224,268,35,1910,1912,,,,1973,2067,1813,1677,1415,1307,912,1912,1695,948,215,867,344
ACSSF,2012m1,co,000,0018,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1001,998,,,,1327,2188,2281,535,2006,1975,300,998,910,432,228,192,342
ACSSF,2012m1,co,000,0018,0000047,3029,5015,3319,1936,3265,1163,4231,3418,2368,4809,3530,2457,2107,1807,3363,3139,1451,4589,4231,3693,1985,1927,3035,3044,996,7203,6927,3436,1383,1237,2040,1371,909,909,861,1156,5487,8568,7203,,,,3029,5238,4846,4654,4589,4183,2791,7203,6927,3436,1383,2897,1555
ACSSF,2012m1,co,000,0018,0000048,3900,3138,2237,1401,1291,623,2091,1753,1193,3751,2833,2350,1955,738,2590,2180,1544,4893,5520,5306,1502,1282,2666,2560,861,3628,3050,2498,738,1043,999,1184,458,1000,523,1055,5379,5849,3628,,,,3900,4352,3863,2578,4893,4770,1986,3628,3050,2498,738,1703,1492
ACSSF,2012m1,co,000,0018,0000049,3035,4624,3368,2758,1822,756,3629,3587,692,3866,3451,2970,1995,1257,2534,2531,442,5043,4934,5183,964,1936,2263,2333,434,3638,2922,2508,762,1271,569,878,358,1104,443,634,3579,4947,3638,,,,3035,4929,4218,2522,5043,5311,2366,3638,2922,2508,762,1649,1411
ACSSF,2012m1,co,000,0018,0000050,3756,4649,2604,1936,1890,1135,3640,3209,1640,3770,3351,2903,2164,1343,1864,1858,788,4926,4678,4504,1193,1593,2375,2174,926,4667,3984,2276,571,1163,1102,814,648,490,429,663,5898,7169,4667,,,,3756,5116,4996,3314,4926,4632,2138,4667,3984,2276,571,2130,972
ACSSF,2012m1,co,000,0018,0000051,2393,4744,2649,2061,1376,602,4940,4458,1564,4220,3891,3251,861,1495,2433,2489,735,5345,4944,4750,1072,1574,3195,3196,644,4593,3919,3123,1116,1344,1214,788,779,1538,692,1332,1509,4739,4593,,,,2393,5259,4760,2893,5345,5226,2085,4593,3919,3123,1116,2140,2234
ACSSF,2012m1,co,000,0018,0000052,4385,3475,2846,1039,2507,908,2615,2546,1671,4332,3244,2050,2733,1050,3019,2795,1652,5454,5140,4611,2301,2189,3483,2794,1638,6189,5651,4480,1811,2188,1676,1657,1465,968,557,890,6342,8597,6189,,,,4385,4927,4106,3846,5454,4883,3216,6189,5651,4480,1811,3736,1333
ACSSF,2012m1,co,000,0018,0000053,3842,4790,3042,1670,2339,1152,3674,3200,1795,4697,4219,2565,2977,2007,3502,2993,1882,5880,5316,4939,1899,2837,2708,2554,569,5656,4783,3045,952,1439,1081,1324,571,623,680,1014,5008,7195,5656,,,,3842,5709,5626,4160,5880,5200,3445,5656,4783,3045,952,2285,1444
ACSSF,2012m1,co,000,0018,0000054,1038,1164,877,597,556,189,1001,689,751,1408,1167,1212,427,323,779,800,385,1373,1233,1248,152,207,723,648,395,1346,1296,557,189,260,277,58,281,114,38,302,2101,2420,1346,,,,1038,1512,1342,898,1373,1293,445,1346,1296,557,189,438,320
ACSSF,2012m1,co,000,0018,0000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4506,4338,1390,,,,2867,2225,2166,828,2870,2756,589,1390,1046,884,90,587,691
ACSSF,2012m1,co,000,0018,0000056,2785,1457,769,702,137,295,1233,886,912,1571,1392,1248,599,453,1023,1015,199,2149,2212,2139,488,582,847,828,119,2067,1778,943,376,467,272,141,136,243,140,517,4506,4316,2067,,,,2785,2094,1786,1129,2149,2079,723,2067,1778,943,376,555,592
ACSSF,2012m1,co,000,0018,0000057,1137,1544,1519,613,1371,189,775,775,189,1551,1470,893,1232,559,617,595,131,1787,1634,1335,666,824,885,914,209,1508,1368,1003,63,674,304,333,264,120,220,161,2060,2477,1508,,,,1137,1585,1210,1246,1787,1390,1013,1508,1368,1003,63,958,285
ACSSF,2012m1,co,000,0018,0000058,2600,2368,1485,1114,423,1072,2024,1935,910,2622,2475,1955,1716,1128,1300,1280,248,2832,2535,2275,546,948,1379,1200,600,2681,2373,1101,297,541,581,370,169,191,224,275,4690,4494,2681,,,,2600,2923,2848,2252,2832,2579,1105,2681,2373,1101,297,972,367
ACSSF,2012m1,co,000,0018,0000059,1231,1050,951,189,949,88,938,628,649,1160,1184,685,1091,442,419,304,344,1668,1715,1670,862,1183,1132,1140,141,2330,2253,1710,578,950,568,553,132,1022,101,278,2784,3444,2330,,,,1231,1380,920,1127,1668,1729,1405,2330,2253,1710,578,1162,1097
ACSSF,2012m1,co,000,0018,0000060,2038,1692,1212,1212,189,189,1303,1298,140,1521,1274,885,821,457,707,707,189,1970,1892,1580,189,1298,798,770,224,1157,1150,611,67,231,216,191,89,78,200,285,3145,2996,1157,,,,2038,2157,1924,920,1970,1698,1311,1157,1150,611,67,452,359
ACSSF,2012m1,co,000,0018,0000061,1251,2583,1763,1790,203,289,2118,2087,282,2222,1814,1662,113,408,970,970,189,2388,2269,2235,326,468,1074,1062,67,1191,1009,670,233,262,104,461,154,197,166,313,1963,2275,1191,,,,1251,2476,2557,536,2388,2370,482,1191,1009,670,233,513,407
ACSSF,2012m1,co,000,0018,0000062,1650,1669,1248,1070,676,165,1218,1182,291,1326,1140,1037,404,36,829,776,286,1500,1464,1367,61,331,544,564,66,1284,927,811,66,171,253,625,107,224,196,282,3334,3372,1284,,,,1650,1623,1560,860,1500,1411,332,1284,927,811,66,708,401
ACSSF,2012m1,co,000,0018,0000063,,,,,,,,,,,,,,,,,,,,,,,,,,910,478,800,189,190,307,76,299,272,116,558,4787,4770,910,,,,2508,1561,1563,101,2301,2261,525,910,478,800,189,517,592
ACSSF,2012m1,co,000,0018,0000064,2791,2376,1866,1290,1474,189,1560,1282,824,1866,1854,1177,1150,670,717,530,479,3156,3039,2788,960,872,1767,1715,543,3049,2538,1712,200,910,710,779,348,261,207,372,4808,5376,3049,,,,2791,2387,1893,1830,3156,3071,1250,3049,2538,1712,200,1603,505
ACSSF,2012m1,co,000,0018,0000065,,,,,,,,,,,,,,,,,,,,,,,,,,1539,1338,872,242,486,343,237,297,191,238,313,2871,3316,1539,,,,1658,1551,676,1609,1744,1578,818,1539,1338,872,242,692,452
ACSSF,2012m1,co,000,0018,0000066,2122,1277,502,353,436,189,1112,878,673,1323,1105,684,806,260,676,609,222,2235,2108,2155,1122,599,1181,1004,711,1799,1512,1387,301,597,463,949,334,691,406,305,4338,4563,1799,,,,2122,1410,1146,977,2235,2163,1451,1799,1512,1387,301,1094,835
