ACSSF,2012m1,co,000,0012,0000001,0,2079,370,196,13622,4183,826,460,1007,1448,429,435,599,1848,2587,1408,105,1091,1977,986,1756,1105,3754,618,770,2734,189,575,1569,122,3157,1184,4644,5771,1837,14326,440,8288,2238,7570,2802,18218,570,2771,189,3263,437,1583,17290,775,11377,704,2139,311,157,58,464,2105,6730,658,8276,1768,1277,5345,2725,6043,7318,1062,1258,2034,936,189,6537,80,3508,1470,354,173,2078,239,506,3013,1039,549,371,133,4377,281,6722,2514,1830,2653,4168,2971,522,215,260,52,509,1003,557,2468,662,81,568,189,1836,18545,15184,0,15184,24493,22449,15184,4673,15135,0,13622,4183,3754,3157,4644,5771,14326,8288,7570,2802,18218,2771,3263,17290,11377,2139,6730,8276,1768,5345,6043,7318,2034,6537,6722,2514,2653,4168,2971,19492,15184,0,15184,24493,22449,15184
ACSSF,2012m1,co,000,0012,0000002,13863,2047,370,74,12740,4074,769,460,1002,1384,429,435,614,1848,2562,1390,105,975,1920,951,1495,1102,3542,466,621,2583,189,481,1483,122,2856,1021,3986,5169,1842,12999,440,7953,2186,7331,2849,17471,564,2458,189,3166,416,1551,17002,775,11020,704,2049,251,132,57,273,2096,6288,573,7356,1653,1326,5135,2656,5853,6731,1025,1142,1988,892,189,6522,80,3474,1470,354,173,2078,238,506,3013,1039,549,371,133,4363,198,5805,2363,1793,2579,3674,2898,522,215,260,52,509,966,458,2457,635,81,568,189,1816,19309,15554,13863,20188,23727,21699,15554,4593,15658,13863,12740,4074,3542,2856,3986,5169,12999,7953,7331,2849,17471,2458,3166,17002,11020,2049,6288,7356,1653,5135,5853,6731,1988,6522,5805,2363,2579,3674,2898,20009,15554,13863,20188,23727,21699,15554
ACSSF,2012m1,co,000,0012,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13863,13294,11320,9049,7641,1867,7319,13863,4962,729,990,1272,1759,2550,6304,2390,2686,1026,7359,991,936,5900,3463,444,2491,2826,580,1066,2439,2458,392,285,2391,1116,450,1749,417,9414,7641,13863,13294,11320,9049,7641
ACSSF,2012m1,co,000,0012,0000004,1672,2079,370,196,12871,4140,826,460,996,1318,429,435,587,1848,2587,1396,105,1039,2059,986,1609,1105,3655,617,718,2608,189,585,1516,122,3033,1164,4462,5349,1761,13252,440,8533,2205,7683,2641,18437,570,2791,189,3268,430,1564,16906,773,11354,691,2089,311,157,58,378,2053,6518,623,8288,1603,1277,5227,2606,5873,7221,1053,1196,2020,939,189,6530,80,3508,1470,354,173,2078,209,506,3013,1039,549,371,133,4397,198,6524,2477,1826,2599,3947,2947,522,215,260,52,509,966,557,2468,635,81,568,189,1833,18439,16233,1672,15876,23088,21716,16233,4760,16032,1672,12871,4140,3655,3033,4462,5349,13252,8533,7683,2641,18437,2791,3268,16906,11354,2089,6518,8288,1603,5227,5873,7221,2020,6530,6524,2477,2599,3947,2947,19167,16233,1672,15876,23088,21716,16233
ACSSF,2012m1,co,000,0012,0000005,0,2079,370,196,12340,4034,826,460,996,1304,429,435,587,1634,2587,1391,105,1004,2114,896,1392,1105,3657,617,718,2684,189,536,1518,122,2964,1137,4094,5112,1686,12194,440,8311,2125,7297,2676,18358,557,2738,189,2797,430,1563,16105,773,11173,691,1919,309,132,58,378,2022,6537,609,8068,1579,1251,4988,2438,5453,6701,1062,1183,2033,897,189,6348,80,3366,1470,354,173,2078,201,506,2966,1039,549,371,133,4401,198,6545,2452,1713,2591,3566,2947,522,215,260,52,509,966,557,2468,635,81,568,189,1829,17543,15042,0,15042,22747,21518,15042,4508,14933,0,12340,4034,3657,2964,4094,5112,12194,8311,7297,2676,18358,2738,2797,16105,11173,1919,6537,8068,1579,4988,5453,6701,2033,6348,6545,2452,2591,3566,2947,18196,15042,0,15042,22747,21518,15042
ACSSF,2012m1,co,000,0012,0000006,95,2047,315,189,6639,3143,261,205,120,962,388,403,341,813,2492,958,189,745,1474,692,1031,861,2180,418,541,1635,189,416,784,189,1895,899,2741,3193,1040,7489,385,4693,1164,4765,1639,10583,480,1704,189,1959,341,1442,11104,440,6160,590,1224,164,189,57,174,1554,3484,360,4381,1216,855,3426,1770,4094,4966,673,736,1773,595,189,5850,80,3196,919,354,173,1361,199,506,2317,867,544,371,189,3876,89,4260,1198,1477,1974,2131,2578,513,189,151,189,487,121,325,2415,320,81,463,189,1349,14334,10874,95,10873,16000,15757,10874,2578,10574,95,6639,3143,2180,1895,2741,3193,7489,4693,4765,1639,10583,1704,1959,11104,6160,1224,3484,4381,1216,3426,4094,4966,1773,5850,4260,1198,1974,2131,2578,14619,10874,95,10873,16000,15757,10874
ACSSF,2012m1,co,000,0012,0000007,95,284,206,196,9971,2215,826,408,986,806,176,157,518,1352,864,865,105,647,1562,478,839,746,2894,619,476,2035,189,314,1097,122,2402,618,3249,4319,1244,9427,231,5697,1929,6218,2168,13511,190,2166,189,2015,236,712,9719,608,8486,453,1494,259,132,10,332,1384,5502,399,7016,1137,935,4173,1730,3652,4738,796,852,1010,694,189,3346,189,525,1121,189,189,1385,20,189,1259,579,86,189,133,2666,177,5594,2068,748,1422,2957,1678,86,215,215,52,129,961,418,976,539,189,330,189,1299,16668,12190,95,12199,17568,16632,12190,3639,12142,95,9971,2215,2894,2402,3249,4319,9427,5697,6218,2168,13511,2166,2015,9719,8486,1494,5502,7016,1137,4173,3652,4738,1010,3346,5594,2068,1422,2957,1678,17469,12190,95,12199,17568,16632,12190
ACSSF,2012m1,co,000,0012,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,4737,5595,5024,5227,932,5171,1672,1933,921,685,1042,1207,1499,3260,2103,2240,597,4338,536,1271,4404,2330,642,1406,1229,268,1172,1294,1826,170,851,1313,546,124,1473,189,3845,5227,1672,4737,5595,5024,5227
ACSSF,2012m1,co,000,0012,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5941,5965,5092,3516,2466,618,2444,5941,1155,78,355,397,605,780,1826,1469,966,487,2936,231,745,2632,1414,627,1026,715,170,1021,484,1304,103,766,539,309,51,327,189,3816,2466,5941,5965,5092,3516,2466
ACSSF,2012m1,co,000,0012,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6463,5864,5271,4658,4793,732,4797,6463,1591,917,624,968,954,1356,2743,1601,1814,323,3777,487,1021,3505,1884,96,1001,988,215,543,1217,1292,142,484,1214,508,112,1469,189,4435,4793,6463,5864,5271,4658,4793
