ACSSF,2012e1,co,000,0178,0000014,136340,106270,31630,74640,30070,8810,21260,136340,40440,95900,13158,201,12957,239685,8890,230795,239685,5779,233906,239685,31644,208041,226527,4549,221978,239685,5775,233910,239685,2527,237158,590686,60735,529951,590686,58108,532578,590686,58600,532086,590686,43921,546765,590686,49027,541659,590686,37590,553096,590686,53813,536873,590686,52395,538291,590686,53669,537017
ACSSF,2012e1,co,000,0178,0000015,74639,54425,16673,37752,20214,5925,14289,74639,22598,52041,6363,62,6301,128106,3426,124680,128106,999,127107,128106,14086,114020,121743,1716,120027,128106,2296,125810,128106,1004,127102,303160,36085,267075,303160,35101,268059,303160,35158,268002,303160,26666,276494,303160,28430,274730,303160,24610,278550,303160,32559,270601,303160,33896,269264,303160,33920,269240
ACSSF,2012e1,co,000,0178,0000016,128521,99762,33137,66625,28759,7660,21099,128521,40797,87724,17752,139,17613,288191,10309,277882,288191,9644,278547,288191,48391,239800,270439,4706,265733,288191,5049,283142,288191,2505,285686,627400,53758,573642,627400,51620,575780,627400,50853,576547,627400,36872,590528,627400,41350,586050,627400,29809,597591,627400,44106,583294,627400,46436,580964,627400,46727,580673
ACSSF,2012e1,co,000,0178,0000017,85231,72209,21819,50390,13022,4125,8897,85231,25944,59287,4071,122,3949,109115,2973,106142,109115,1370,107745,109115,5326,103789,105044,898,104146,109115,1405,107710,109115,705,108410,297453,19752,277701,297453,19036,278417,297453,18912,278541,297453,13866,283587,297453,15348,282105,297453,11293,286160,297453,17887,279566,297453,17063,280390,297453,17180,280273
ACSSF,2012e1,co,000,0178,0000018,150429,114914,41078,73836,35515,10500,25015,150429,51578,98851,17964,231,17733,256058,8145,247913,256058,4180,251878,256058,34861,221197,238094,4018,234076,256058,5694,250364,256058,1636,254422,613490,70574,542916,613490,67338,546152,613490,67977,545513,613490,53234,560256,613490,58209,555281,613490,44966,568524,613490,62505,550985,613490,53608,559882,613490,60739,552751
ACSSF,2012e1,co,000,0178,0000019,154543,116126,38639,77487,38417,11299,27118,154543,49938,104605,9393,151,9242,230850,7274,223576,230850,2748,228102,230850,27615,203235,221457,4757,216700,230850,5563,225287,230850,2397,228453,538880,51459,487421,538880,49676,489204,538880,49058,489822,538880,35381,503499,538880,39126,499754,538880,26831,512049,538880,44165,494715,538880,45573,493307,538880,45412,493468
ACSSF,2012e1,co,000,0178,0000020,79039,57197,20080,37117,21842,7008,14834,79039,27088,51951,10673,0,10673,134704,3006,131698,134704,1259,133445,134704,9677,125027,124031,2116,121915,134704,2385,132319,134704,949,133755,308055,38150,269905,308055,37255,270800,308055,36852,271203,308055,29128,278927,308055,30982,277073,308055,24433,283622,308055,34591,273464,308055,34745,273310,308055,34679,273376
ACSSF,2012e1,co,000,0178,0000021,41706,28664,9264,19400,13042,4125,8917,41706,13389,28317,4382,0,4382,63161,2370,60791,63161,756,62405,63161,5437,57724,58779,484,58295,63161,2020,61141,63161,1328,61833,146534,18922,127612,146534,18356,128178,146534,18472,128062,146534,13391,133143,146534,15122,131412,146534,11482,135052,146534,16414,130120,146534,17297,129237,146534,16561,129973
ACSSF,2012e1,co,000,0178,0000022,39865,26308,8772,17536,13557,4285,9272,39865,13057,26808,7203,304,6899,69591,1761,67830,69591,902,68689,69591,12502,57089,62388,1547,60841,69591,987,68604,69591,936,68655,157707,18642,139065,157707,17482,140225,157707,18110,139597,157707,11906,145801,157707,13775,143932,157707,8834,148873,157707,15973,141734,157707,16017,141690,157707,16201,141506
ACSSF,2012e1,co,000,0178,0000023,62725,47582,15883,31699,15143,4868,10275,62725,20751,41974,5078,412,4666,97525,3614,93911,97525,1261,96264,97525,13362,84163,92447,1499,90948,97525,2524,95001,97525,1032,96493,260162,56492,203670,260162,55756,204406,260162,55789,204373,260162,51214,208948,260162,52166,207996,260162,48499,211663,260162,53773,206389,260162,54380,205782,260162,54093,206069
ACSSF,2012e1,co,000,0178,0000024,34178,25052,9153,15899,9126,2852,6274,34178,12005,22173,1661,0,1661,46790,1312,45478,46790,245,46545,46790,3817,42973,45129,1085,44044,46790,1169,45621,46790,341,46449,109010,13624,95386,109010,13114,95896,109010,13106,95904,109010,9801,99209,109010,10729,98281,109010,7318,101692,109010,12088,96922,109010,12152,96858,109010,12464,96546
ACSSF,2012e1,co,000,0178,0000025,69445,55251,15368,39883,14194,3769,10425,69445,19137,50308,8512,187,8325,131839,4702,127137,131839,3606,128233,131839,20382,111457,123327,2216,121111,131839,2777,129062,131839,1446,130393,335791,32509,303282,335791,30581,305210,335791,30917,304874,335791,24538,311253,335791,26116,309675,335791,19608,316183,335791,28243,307548,335791,25855,309936,335791,27547,308244
ACSSF,2012e1,co,000,0178,0000026,19373,13661,3948,9713,5712,1709,4003,19373,5657,13716,1863,62,1801,43245,971,42274,43245,385,42860,43245,5067,38178,41382,307,41075,43245,680,42565,43245,122,43123,101064,10352,90712,101064,10105,90959,101064,9785,91279,101064,7161,93903,101064,7183,93881,101064,6795,94269,101064,9199,91865,101064,9572,91492,101064,9563,91501
ACSSF,2012e1,co,000,0178,0000027,30417,23266,7398,15868,7151,2766,4385,30417,10164,20253,1211,0,1211,38670,1508,37162,38670,260,38410,38670,1561,37109,37459,790,36669,38670,1087,37583,38670,332,38338,103038,10364,92674,103038,10135,92903,103038,10212,92826,103038,7234,95804,103038,8676,94362,103038,6582,96456,103038,9553,93485,103038,9433,93605,103038,9761,93277
ACSSF,2012e1,co,000,0178,0000028,96798,73039,28046,44993,23759,7413,16346,96798,35459,61339,12102,162,11940,180801,5896,174905,180801,3648,177153,180801,29972,150829,168699,2924,165775,180801,4114,176687,180801,1207,179594,419668,48098,371570,419668,45665,374003,419668,46321,373347,419668,35381,384287,419668,39243,380425,419668,29376,390292,419668,42546,377122,419668,37634,382034,419668,41285,378383
ACSSF,2012e1,co,000,0178,0000029,128521,99762,33137,66625,28759,7660,21099,128521,40797,87724,17752,139,17613,288191,10309,277882,288191,9644,278547,288191,48391,239800,270439,4706,265733,288191,5049,283142,288191,2505,285686,627400,53758,573642,627400,51620,575780,627400,50853,576547,627400,36872,590528,627400,41350,586050,627400,29809,597591,627400,44106,583294,627400,46436,580964,627400,46727,580673
ACSSF,2012e1,co,000,0178,0000030,30180,23845,7897,15948,6335,1992,4343,30180,9889,20291,1944,0,1944,60345,1901,58444,60345,600,59745,60345,4934,55411,58401,580,57821,60345,1019,59326,60345,317,60028,146789,18151,128638,146789,17778,129011,146789,17124,129665,146789,14554,132235,146789,14870,131919,146789,12475,134314,146789,16242,130547,146789,16362,130427,146789,16106,130683
ACSSF,2012e1,co,000,0178,0000031,18872,13233,5144,8089,5639,1564,4075,18872,6708,12164,2254,235,2019,35535,1646,33889,35535,832,34703,35535,6659,28876,33281,1049,32232,35535,1211,34324,35535,415,35120,93671,22528,71143,93671,22104,71567,93671,22010,71661,93671,20418,73253,93671,20586,73085,93671,19381,74290,93671,21057,72614,93671,21298,72373,93671,21180,72491
ACSSF,2012e1,co,000,0178,0000032,29216,24949,7446,17503,4267,1011,3256,29216,8457,20759,702,122,580,36652,1462,35190,36652,686,35966,36652,1863,34789,35950,329,35621,36652,795,35857,36652,190,36462,101850,5355,96495,101850,5095,96755,101850,5184,96666,101850,3567,98283,101850,3929,97921,101850,3036,98814,101850,4877,96973,101850,4663,97187,101850,4833,97017
ACSSF,2012e1,co,000,0178,0000033,34425,23799,7895,15904,10626,3274,7352,34425,11169,23256,3002,0,3002,64171,1822,62349,64171,1536,62635,64171,13088,51083,61169,1497,59672,64171,1097,63074,64171,442,63729,142286,12960,129326,142286,12366,129920,142286,12268,130018,142286,8527,133759,142286,9037,133249,142286,5414,136872,142286,10519,131767,142286,11317,130969,142286,11104,131182
ACSSF,2012e1,co,000,0178,0000034,19797,15537,5283,10254,4260,1523,2737,19797,6806,12991,1182,0,1182,35507,968,34539,35507,394,35113,35507,7150,28357,34325,728,33597,35507,683,34824,35507,235,35272,88070,16444,71626,88070,16137,71933,88070,16195,71875,88070,13513,74557,88070,14399,73671,88070,12330,75740,88070,14767,73303,88070,15696,72374,88070,15751,72319
ACSSF,2012e1,co,000,0178,0000035,18886,13810,4945,8865,5076,2046,3030,18886,6991,11895,811,0,811,29528,290,29238,29528,234,29294,29528,2386,27142,28717,982,27735,29528,257,29271,29528,162,29366,69805,9404,60401,69805,9188,60617,69805,9222,60583,69805,7077,62728,69805,7871,61934,69805,6395,63410,69805,8689,61116,69805,8784,61021,69805,8916,60889
ACSSF,2012e1,co,000,0178,0000036,23981,15425,5272,10153,8556,3052,5504,23981,8324,15657,5282,269,5013,47655,1302,46353,47655,798,46857,47655,10068,37587,42373,1500,40873,47655,704,46951,47655,745,46910,104768,13050,91718,104768,12164,92604,104768,12795,91973,104768,8842,95926,104768,9725,95043,104768,6362,98406,104768,11093,93675,104768,11278,93490,104768,11598,93170
ACSSF,2012e1,co,000,0178,0000037,28519,23120,7253,15867,5399,1526,3873,28519,8779,19740,2730,0,2730,44843,1032,43811,44843,85,44758,44843,2678,42165,42113,1052,41061,44843,404,44439,44843,119,44724,123595,9734,113861,123595,9697,113898,123595,9045,114550,123595,7161,116434,123595,7884,115711,123595,5756,117839,123595,8644,114951,123595,8660,114935,123595,8589,115006
ACSSF,2012e1,co,000,0178,0000038,28320,23238,8102,15136,5082,992,4090,28320,9094,19226,2069,0,2069,45050,1456,43594,45050,707,44343,45050,3824,41226,42981,802,42179,45050,945,44105,45050,459,44591,108723,8003,100720,108723,7757,100966,108723,7648,101075,108723,5429,103294,108723,6530,102193,108723,4780,103943,108723,6897,101826,108723,7035,101688,108723,6828,101895
ACSSF,2012e1,co,000,0178,0000039,19373,13661,3948,9713,5712,1709,4003,19373,5657,13716,1863,62,1801,43245,971,42274,43245,385,42860,43245,5067,38178,41382,307,41075,43245,680,42565,43245,122,43123,101064,10352,90712,101064,10105,90959,101064,9785,91279,101064,7161,93903,101064,7183,93881,101064,6795,94269,101064,9199,91865,101064,9572,91492,101064,9563,91501
ACSSF,2012e1,co,000,0178,0000040,96798,73039,28046,44993,23759,7413,16346,96798,35459,61339,12102,162,11940,180801,5896,174905,180801,3648,177153,180801,29972,150829,168699,2924,165775,180801,4114,176687,180801,1207,179594,419668,48098,371570,419668,45665,374003,419668,46321,373347,419668,35381,384287,419668,39243,380425,419668,29376,390292,419668,42546,377122,419668,37634,382034,419668,41285,378383
