ACSSF,2012e1,co,000,0006,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459598,283102,241721,13424,1941,16879,289,495,8353,145,8208,176496,138296,1352,1599,65,117,26591,8476,3003,5473,459598,283102,176496,459598,283102,176496,146890,3792,377,285,3081,995,21076,459598,283102,241721,13424,1941,16879,289,495,8353,145,8208,176496
ACSSF,2012e1,co,000,0006,0000014,595546,484846,110700,81548,4972,1014,488,6155,0,1242,541,89,222,4061,0,3963,386,145,357,632,72,0,1260,0,1111,0,12560,4826,3336,179,4219,595546,484846,374299,59070,2227,31409,1177,1423,15241,640,14601,110700,71160,2711,2462,447,0,21625,12295,9520,2775,595546,484846,110700,595546,484846,110700,81548,4972,1014,488,6155,3963,12560,595546,484846,374299,59070,2227,31409,1177,1423,15241,640,14601,110700
ACSSF,2012e1,co,000,0006,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305318,263957,240847,2749,566,14208,19,248,5320,43,5277,41361,29353,605,608,0,0,9337,1458,391,1067,305318,263957,41361,305318,263957,41361,33068,1042,858,230,983,1103,4077,305318,263957,240847,2749,566,14208,19,248,5320,43,5277,41361
ACSSF,2012e1,co,000,0006,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634265,434399,333741,62460,3354,20201,464,1093,13086,598,12488,199866,146004,2106,2587,1488,0,38668,9013,5473,3540,634265,434399,199866,634265,434399,199866,169674,4962,1144,0,3159,2614,18313,634265,434399,333741,62460,3354,20201,464,1093,13086,598,12488,199866
ACSSF,2012e1,co,000,0006,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298215,274494,252421,3539,808,12212,153,180,5181,376,4805,23721,18925,149,50,0,0,3097,1500,892,608,298215,274494,23721,298215,274494,23721,12362,1241,441,175,2076,3012,4414,298215,274494,252421,3539,808,12212,153,180,5181,376,4805,23721
ACSSF,2012e1,co,000,0006,0000018,644964,544273,100691,66717,7190,2554,420,3688,240,658,324,367,983,1116,0,2626,99,0,183,460,417,0,656,7,804,0,17496,4881,7174,480,4961,644964,544273,458512,38019,2719,16616,1080,1286,26041,236,25805,100691,68941,3232,1261,103,282,20884,5988,2684,3304,644964,544273,100691,644964,544273,100691,66717,7190,2554,420,3688,2626,17496,644964,544273,458512,38019,2719,16616,1080,1286,26041,236,25805,100691
ACSSF,2012e1,co,000,0006,0000019,545358,464079,81279,58840,1799,479,760,3640,23,2386,42,109,133,916,31,1976,87,56,0,517,345,0,688,107,176,0,13785,5041,5424,458,2862,545358,464079,431527,6060,3156,13188,69,308,9771,232,9539,81279,63871,590,2033,408,0,9035,5342,2509,2833,545358,464079,81279,545358,464079,81279,58840,1799,479,760,3640,1976,13785,545358,464079,431527,6060,3156,13188,69,308,9771,232,9539,81279
ACSSF,2012e1,co,000,0006,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310487,276890,259764,2520,881,5803,373,1236,6313,54,6259,33597,21467,443,397,0,0,6670,4620,1986,2634,310487,276890,33597,310487,276890,33597,22097,3043,476,159,1333,955,5534,310487,276890,259764,2520,881,5803,373,1236,6313,54,6259,33597
ACSSF,2012e1,co,000,0006,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147848,127623,121963,804,552,663,112,43,3486,55,3431,20225,14476,116,1046,103,84,3404,996,680,316,147848,127623,20225,147848,127623,20225,13260,389,238,0,491,779,5068,147848,127623,121963,804,552,663,112,43,3486,55,3431,20225
ACSSF,2012e1,co,000,0006,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160852,93274,86078,3013,1238,649,0,0,2296,78,2218,67578,42444,267,1631,95,95,17550,5496,3959,1537,160852,93274,67578,160852,93274,67578,46049,987,358,0,124,50,20010,160852,93274,86078,3013,1238,649,0,0,2296,78,2218,67578
ACSSF,2012e1,co,000,0006,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263691,188723,177242,2408,1619,3817,35,338,3264,40,3224,74968,45407,363,970,80,0,24693,3455,2217,1238,263691,188723,74968,263691,188723,74968,60752,816,773,0,1214,141,11272,263691,188723,177242,2408,1619,3817,35,338,3264,40,3224,74968
ACSSF,2012e1,co,000,0006,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109315,93596,88198,846,763,1907,26,127,1729,0,1729,15719,9915,138,295,0,0,4080,1291,613,678,109315,93596,15719,109315,93596,15719,10088,116,132,0,188,261,4934,109315,93596,88198,846,763,1907,26,127,1729,0,1729,15719
ACSSF,2012e1,co,000,0006,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338835,243919,162482,53493,1257,14716,808,307,10856,124,10732,94916,60640,3324,1986,200,0,19746,9020,6856,2164,338835,243919,94916,338835,243919,94916,72537,3181,335,553,6121,2087,10102,338835,243919,162482,53493,1257,14716,808,307,10856,124,10732,94916
ACSSF,2012e1,co,000,0006,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101812,92889,8923,101812,92889,8923,6083,583,436,171,171,623,856,101812,92889,85298,1204,0,3726,19,159,2483,43,2440,8923
ACSSF,2012e1,co,000,0006,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103735,95842,85279,2463,778,4805,319,687,1511,92,1419,7893,3484,98,39,0,0,2800,1472,923,549,103735,95842,7893,103735,95842,7893,4098,162,149,177,444,1457,1406,103735,95842,85279,2463,778,4805,319,687,1511,92,1419,7893
ACSSF,2012e1,co,000,0006,0000028,431846,357287,74559,52440,3357,1594,81,2166,0,454,66,85,818,743,0,1759,99,0,183,423,44,0,460,0,550,0,13162,3234,5836,429,3663,431846,357287,299727,26422,1406,13449,636,1247,14400,73,14327,74559,48286,2541,766,103,0,17942,4921,2238,2683,431846,357287,74559,431846,357287,74559,52440,3357,1594,81,2166,1759,13162,431846,357287,299727,26422,1406,13449,636,1247,14400,73,14327,74559
ACSSF,2012e1,co,000,0006,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634265,434399,333741,62460,3354,20201,464,1093,13086,598,12488,199866,146004,2106,2587,1488,0,38668,9013,5473,3540,634265,434399,199866,634265,434399,199866,169674,4962,1144,0,3159,2614,18313,634265,434399,333741,62460,3354,20201,464,1093,13086,598,12488,199866
ACSSF,2012e1,co,000,0006,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148634,131815,120093,1767,476,4415,373,573,4118,25,4093,16819,11593,314,275,0,0,2219,2418,1047,1371,148634,131815,16819,148634,131815,16819,10376,2403,317,159,467,353,2744,148634,131815,120093,1767,476,4415,373,573,4118,25,4093,16819
ACSSF,2012e1,co,000,0006,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95365,62990,56841,1958,907,1696,35,286,1267,0,1267,32375,12690,156,625,80,0,16719,2105,1595,510,95365,62990,32375,,,,,,,,,,,95365,62990,56841,1958,907,1696,35,286,1267,0,1267,32375
ACSSF,2012e1,co,000,0006,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101898,94597,7301,101898,94597,7301,3928,245,0,0,113,1185,1830,101898,94597,84607,435,157,7763,0,133,1502,376,1126,7301
ACSSF,2012e1,co,000,0006,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145522,112972,101348,2155,1494,4526,0,40,3409,58,3351,32550,28138,257,842,128,0,2002,1183,709,474,145522,112972,32550,145522,112972,32550,25004,839,226,132,2675,671,3003,145522,112972,101348,2155,1494,4526,0,40,3409,58,3351,32550
ACSSF,2012e1,co,000,0006,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88636,64521,58207,1375,403,3624,0,0,912,0,912,24115,18209,457,61,0,0,4497,891,125,766,88636,64521,24115,,,,,,,,,,,88636,64521,58207,1375,403,3624,0,0,912,0,912,24115
ACSSF,2012e1,co,000,0006,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70214,61351,8863,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0006,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107775,51247,45515,2469,898,335,0,0,2030,0,2030,56528,34418,267,1236,95,0,16188,4324,3137,1187,107775,51247,56528,,,,,,,,,,,107775,51247,45515,2469,898,335,0,0,2030,0,2030,56528
ACSSF,2012e1,co,000,0006,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124131,86484,76083,1158,89,6978,78,122,1976,0,1976,37647,31424,0,543,65,0,4390,1225,426,799,124131,86484,37647,,,,,,,,,,,124131,86484,76083,1158,89,6978,78,122,1976,0,1976,37647
ACSSF,2012e1,co,000,0006,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109181,87429,21752,109181,87429,21752,15982,776,70,0,68,182,4674,109181,87429,76328,1274,223,6700,0,0,2904,87,2817,21752
ACSSF,2012e1,co,000,0006,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101812,92889,8923,101812,92889,8923,6083,583,436,171,171,623,856,101812,92889,85298,1204,0,3726,19,159,2483,43,2440,8923
ACSSF,2012e1,co,000,0006,0000040,431846,357287,74559,52440,3357,1594,81,2166,0,454,66,85,818,743,0,1759,99,0,183,423,44,0,460,0,550,0,13162,3234,5836,429,3663,431846,357287,299727,26422,1406,13449,636,1247,14400,73,14327,74559,48286,2541,766,103,0,17942,4921,2238,2683,431846,357287,74559,431846,357287,74559,52440,3357,1594,81,2166,1759,13162,431846,357287,299727,26422,1406,13449,636,1247,14400,73,14327,74559
ACSSF,2012e1,co,000,0006,0000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338835,243919,162482,53493,1257,14716,808,307,10856,124,10732,94916,60640,3324,1986,200,0,19746,9020,6856,2164,338835,243919,94916,338835,243919,94916,72537,3181,335,553,6121,2087,10102,338835,243919,162482,53493,1257,14716,808,307,10856,124,10732,94916
ACSSF,2012e1,co,000,0006,0000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634265,434399,333741,62460,3354,20201,464,1093,13086,598,12488,199866,146004,2106,2587,1488,0,38668,9013,5473,3540,634265,434399,199866,634265,434399,199866,169674,4962,1144,0,3159,2614,18313,634265,434399,333741,62460,3354,20201,464,1093,13086,598,12488,199866
ACSSF,2012e1,co,000,0006,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148634,131815,120093,1767,476,4415,373,573,4118,25,4093,16819,11593,314,275,0,0,2219,2418,1047,1371,148634,131815,16819,148634,131815,16819,10376,2403,317,159,467,353,2744,148634,131815,120093,1767,476,4415,373,573,4118,25,4093,16819
ACSSF,2012e1,co,000,0006,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70214,61351,8863,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0006,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95365,62990,56841,1958,907,1696,35,286,1267,0,1267,32375,12690,156,625,80,0,16719,2105,1595,510,95365,62990,32375,,,,,,,,,,,95365,62990,56841,1958,907,1696,35,286,1267,0,1267,32375
ACSSF,2012e1,co,000,0006,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107775,51247,45515,2469,898,335,0,0,2030,0,2030,56528,34418,267,1236,95,0,16188,4324,3137,1187,107775,51247,56528,,,,,,,,,,,107775,51247,45515,2469,898,335,0,0,2030,0,2030,56528
ACSSF,2012e1,co,000,0006,0000047,750153,537643,212510,179668,5165,1144,0,3247,372,1410,577,133,286,469,0,3046,170,255,178,1369,133,0,520,0,244,177,20240,4626,8070,1002,6542,750153,537643,428022,65227,3659,23321,464,1272,15678,1022,14656,212510,153879,2389,2838,1528,0,41596,10280,6169,4111,750153,537643,212510,750153,537643,212510,179668,5165,1144,0,3247,3046,20240,750153,537643,428022,65227,3659,23321,464,1272,15678,1022,14656,212510
ACSSF,2012e1,co,000,0006,0000048,743592,670539,73053,48085,5340,1294,958,2302,350,180,626,256,229,630,31,2812,80,95,482,732,293,0,989,29,112,0,12262,3081,4002,0,5179,743592,670539,624782,4874,1399,21660,769,1994,15061,187,14874,73053,47577,591,1015,198,0,16736,6936,3539,3397,743592,670539,73053,743592,670539,73053,48085,5340,1294,958,2302,2812,12262,743592,670539,624782,4874,1399,21660,769,1994,15061,187,14874,73053
ACSSF,2012e1,co,000,0006,0000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720338,544589,513240,6360,9989,4277,595,247,9881,159,9722,175749,117044,1761,5144,198,179,42754,8669,5725,2944,720338,544589,175749,720338,544589,175749,114777,2655,920,90,2837,2317,52153,720338,544589,513240,6360,9989,4277,595,247,9881,159,9722,175749
ACSSF,2012e1,co,000,0006,0000050,738491,577657,160834,124660,2620,1322,266,4669,28,1738,158,945,537,1263,0,2212,97,0,203,229,0,0,902,0,781,0,25085,9115,5059,288,10623,738491,577657,538517,11001,4371,12377,264,662,10465,114,10351,160834,116495,973,1469,80,0,34523,7294,3887,3407,738491,577657,160834,738491,577657,160834,124660,2620,1322,266,4669,2212,25085,738491,577657,538517,11001,4371,12377,264,662,10465,114,10351,160834
ACSSF,2012e1,co,000,0006,0000051,740514,630525,109989,71880,7368,2554,420,4045,273,793,324,367,1070,1218,0,2639,99,0,183,460,417,0,669,7,804,0,21083,5215,7765,493,7610,740514,630525,539263,41506,3450,17370,1103,1286,26547,289,26258,109989,75667,3284,1838,103,282,22309,6506,3126,3380,740514,630525,109989,740514,630525,109989,71880,7368,2554,420,4045,2639,21083,740514,630525,539263,41506,3450,17370,1103,1286,26547,289,26258,109989
ACSSF,2012e1,co,000,0006,0000052,748467,597927,150540,110295,6671,1367,773,7702,0,1791,976,89,222,4624,0,5342,620,145,454,1341,36,0,1159,0,1587,0,18390,6158,4111,295,7826,748467,597927,467488,67441,2299,41237,1319,1503,16640,628,16012,150540,102767,3849,2702,407,0,27585,13230,10034,3196,748467,597927,150540,748467,597927,150540,110295,6671,1367,773,7702,5342,18390,748467,597927,467488,67441,2299,41237,1319,1503,16640,628,16012,150540
