ACSSF,2012e1,co,000,0039,0000011,3305410,3159450,2118615,1040835,145960,168574,6648,5220,8009,13257,17626,24799,27058,19407,9997,9874,5623,2605,10586,7865,124273,5706,4381,5967,9917,13108,18032,21205,12667,7014,7471,4252,1868,6697,5988,21200,446,684,1413,2075,2481,3273,3053,2760,1282,977,233,201,1359,963,3655,227,0,0,592,445,721,210,738,222,90,0,0,343,67,13938,128,145,442,436,1454,1721,1791,2119,789,1145,921,493,1669,685,5508,141,10,187,237,138,1052,799,1123,690,191,217,43,518,162,3305410,228125,226310,250940,427595,319360,478780,399480,299195,126895,123325,82705,43835,171805,127060,168574,6648,5220,8009,13257,17626,24799,27058,19407,9997,36553,124273,5706,4381,5967,9917,13108,18032,21205,12667,7014,26276,21200,446,684,1413,2075,2481,3273,3053,2760,1282,3733,3655,227,0,0,592,445,721,210,738,222,500,19446,269,155,629,673,1592,2773,2590,3242,1479,6044,3305410,228125,226310,250940,427595,319360,478780,399480,299195,126895,548730
ACSSF,2012e1,co,000,0039,0000012,5810555,5551370,3750860,1800510,259185,292924,11376,8751,16309,23356,29647,43440,43771,31794,17424,18762,10412,3939,21186,12757,215655,9173,6494,12142,16700,21908,29883,33897,22835,13863,14021,7773,2998,14152,9816,39731,1183,1625,3018,3956,4380,7304,5576,3869,1409,2053,900,233,2537,1688,8808,464,75,322,1494,929,1575,782,1171,384,304,127,0,980,201,19128,404,211,442,710,1728,2978,2558,2383,1039,1802,999,605,2396,873,9602,152,346,385,496,702,1700,958,1536,729,582,613,103,1121,179,5810555,381535,337555,493325,698495,545825,862635,668085,478905,241635,255350,180710,79345,365640,221515,292924,11376,8751,16309,23356,29647,43440,43771,31794,17424,67056,215655,9173,6494,12142,16700,21908,29883,33897,22835,13863,48760,39731,1183,1625,3018,3956,4380,7304,5576,3869,1409,7411,8808,464,75,322,1494,929,1575,782,1171,384,1612,28730,556,557,827,1206,2430,4678,3516,3919,1768,9273,5810555,381535,337555,493325,698495,545825,862635,668085,478905,241635,1102560
ACSSF,2012e1,co,000,0039,0000013,5998545,5942275,1556570,4385705,56270,209487,13114,9827,13834,25383,21710,31680,21275,16721,7091,10079,4484,2181,18944,13164,171883,11585,8523,11726,20928,17143,25094,17656,14533,6135,7778,3528,1365,15002,10887,24410,961,724,1302,2911,3329,4281,2689,966,453,1650,730,573,2170,1671,7767,490,174,603,904,857,1411,510,375,211,341,94,59,1430,308,2897,20,0,132,37,242,694,280,703,249,210,83,0,133,114,2530,58,406,71,603,139,200,140,144,43,100,49,184,209,184,5998545,416350,271960,412795,787435,661290,1030755,569605,404610,175270,260965,94635,63645,523855,325375,209487,13114,9827,13834,25383,21710,31680,21275,16721,7091,48852,171883,11585,8523,11726,20928,17143,25094,17656,14533,6135,38560,24410,961,724,1302,2911,3329,4281,2689,966,453,6794,7767,490,174,603,904,857,1411,510,375,211,2232,5427,78,406,203,640,381,894,420,847,292,1266,5998545,416350,271960,412795,787435,661290,1030755,569605,404610,175270,1268475
ACSSF,2012e1,co,000,0039,0000014,7579060,7412420,2459760,4952660,166640,281276,10645,9597,15674,26894,28478,44168,33973,28615,15075,17159,9450,3447,20166,17935,230170,8320,7646,12439,21740,22639,36200,29575,24427,14265,14884,6607,2488,14675,14265,25895,1133,1363,1677,2652,3039,3829,2608,2403,558,1001,1110,180,2240,2102,15785,676,551,1393,1905,2179,2766,1073,791,77,488,946,609,1568,763,4695,82,0,81,237,245,277,525,495,67,513,695,65,753,660,4731,434,37,84,360,376,1096,192,499,108,273,92,105,930,145,7579060,340770,284055,387930,857645,863145,1328405,802435,719035,307850,388670,214190,107650,529865,447420,281276,10645,9597,15674,26894,28478,44168,33973,28615,15075,68157,230170,8320,7646,12439,21740,22639,36200,29575,24427,14265,52919,25895,1133,1363,1677,2652,3039,3829,2608,2403,558,6633,15785,676,551,1393,1905,2179,2766,1073,791,77,4374,9426,516,37,165,597,621,1373,717,994,175,4231,7579060,340770,284055,387930,857645,863145,1328405,802435,719035,307850,1687795
ACSSF,2012e1,co,000,0039,0000015,3209390,3031720,1912435,1119290,177665,142964,2748,2245,5267,9651,9702,15536,21461,20968,11401,15546,5567,3469,11040,8363,105187,1884,1662,3928,6771,8114,12343,16101,16322,7343,12092,3664,1716,7919,5328,10767,273,64,418,1407,314,1500,1786,1762,647,801,90,647,522,536,8418,67,290,474,683,886,805,802,943,514,426,425,584,1099,420,8419,279,196,347,93,184,510,1296,809,1230,1144,757,16,401,1157,10173,245,33,100,697,204,378,1476,1132,1667,1083,631,506,1099,922,3209390,100445,87750,129140,311395,258555,367545,423325,435135,193970,324570,92580,81905,268675,134400,142964,2748,2245,5267,9651,9702,15536,21461,20968,11401,43985,105187,1884,1662,3928,6771,8114,12343,16101,16322,7343,30719,10767,273,64,418,1407,314,1500,1786,1762,647,2596,8418,67,290,474,683,886,805,802,943,514,2954,18592,524,229,447,790,388,888,2772,1941,2897,7716,3209390,100445,87750,129140,311395,258555,367545,423325,435135,193970,902130
ACSSF,2012e1,co,000,0039,0000016,7577490,7485090,3843680,3641410,92395,308254,9467,8468,13382,23675,30138,52047,40431,37904,20028,19803,11121,4316,21155,16319,225751,6338,6177,9486,17637,22708,39834,29958,28867,15278,14146,7616,2638,13463,11605,28777,834,1173,1484,2584,2981,4960,3233,2816,1168,2078,1020,718,2571,1157,23622,1228,799,1597,2767,2662,4138,2239,1187,945,925,551,296,2610,1678,16600,256,319,473,349,1075,1705,2924,2859,1526,1486,653,589,1390,996,13504,811,0,342,338,712,1410,2077,2175,1111,1168,1281,75,1121,883,7577490,276065,261280,399800,750050,781770,1359235,862390,846650,413990,391850,255170,83845,518580,376815,308254,9467,8468,13382,23675,30138,52047,40431,37904,20028,72714,225751,6338,6177,9486,17637,22708,39834,29958,28867,15278,49468,28777,834,1173,1484,2584,2981,4960,3233,2816,1168,7544,23622,1228,799,1597,2767,2662,4138,2239,1187,945,6060,30104,1067,319,815,687,1787,3115,5001,5034,2637,9642,7577490,276065,261280,399800,750050,781770,1359235,862390,846650,413990,1626260
ACSSF,2012e1,co,000,0039,0000017,3732345,3595760,884240,2711520,136585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3732345,121365,109995,161490,512250,447305,696760,522680,396750,214655,190515,80575,35720,108000,134285,134724,3112,3418,4701,13404,15861,24335,19381,17196,8930,24386,117647,2819,3155,3938,11574,14527,20372,17549,14860,7505,21348,11172,109,190,294,1194,1021,3160,1139,1477,864,1724,2527,155,0,390,504,225,711,44,218,43,237,3378,29,73,79,132,88,92,649,641,518,1077,3732345,121365,109995,161490,512250,447305,696760,522680,396750,214655,549095
ACSSF,2012e1,co,000,0039,0000018,6202485,6017420,5260190,757230,185065,286150,10619,13701,17937,22573,32467,48864,40935,25099,14062,15066,7954,3752,17454,15667,234085,9453,10571,14892,19002,26894,38100,34498,20765,11829,12108,6449,3097,13920,12507,32307,889,2731,1534,2491,4424,4658,3635,3552,1542,1973,910,497,1506,1965,1619,0,0,0,54,377,189,381,11,0,92,50,0,126,339,14149,48,266,1152,653,404,5539,2050,466,400,574,320,158,1444,675,3990,229,133,359,373,368,378,371,305,291,319,225,0,458,181,6202485,267330,362445,388895,593740,784230,1077375,763310,504320,267990,289175,154570,60790,341575,346745,286150,10619,13701,17937,22573,32467,48864,40935,25099,14062,59893,234085,9453,10571,14892,19002,26894,38100,34498,20765,11829,48081,32307,889,2731,1534,2491,4424,4658,3635,3552,1542,6851,1619,0,0,0,54,377,189,381,11,0,607,18139,277,399,1511,1026,772,5917,2421,771,691,4354,6202485,267330,362445,388895,593740,784230,1077375,763310,504320,267990,1192855
ACSSF,2012e1,co,000,0039,0000019,7001480,6788190,2254815,4533375,213290,262049,8393,8454,11823,25304,30276,43052,30852,30851,14186,18425,8444,3623,15702,12664,218691,6608,7210,9844,21182,26020,34662,26277,27087,12201,15821,6683,2288,12452,10356,25065,816,546,758,2902,2513,4859,3038,2353,1177,1906,945,335,1429,1488,7657,156,485,605,967,1035,1682,555,323,178,200,299,273,643,256,4635,380,94,228,23,320,622,256,454,357,256,370,618,467,190,6001,433,119,388,230,388,1227,726,634,273,242,147,109,711,374,7001480,262595,297090,399910,780605,840595,1288285,742915,777265,297110,388425,193265,79345,356200,297880,262049,8393,8454,11823,25304,30276,43052,30852,30851,14186,58858,218691,6608,7210,9844,21182,26020,34662,26277,27087,12201,47600,25065,816,546,758,2902,2513,4859,3038,2353,1177,6103,7657,156,485,605,967,1035,1682,555,323,178,1671,10636,813,213,616,253,708,1849,982,1088,630,3484,7001480,262595,297090,399910,780605,840595,1288285,742915,777265,297110,1315115
ACSSF,2012e1,co,000,0039,0000020,3306275,3158970,2195475,963495,147305,144837,5472,3432,7247,12013,15243,18509,21284,13607,9882,11722,5165,1388,8302,11571,116302,3929,3028,5869,9775,12712,15942,17349,10748,8097,9275,4296,1060,5476,8746,11615,837,364,898,1321,1557,1412,1552,627,315,692,367,99,683,891,2452,0,0,0,162,63,0,652,35,251,559,0,0,451,279,5148,69,0,40,71,241,352,664,1191,314,534,62,35,1074,501,9320,637,40,440,684,670,803,1067,1006,905,662,440,194,618,1154,3306275,160690,118440,220305,418585,349065,471840,421635,244695,157310,223500,97850,33365,157480,231510,144837,5472,3432,7247,12013,15243,18509,21284,13607,9882,38148,116302,3929,3028,5869,9775,12712,15942,17349,10748,8097,28853,11615,837,364,898,1321,1557,1412,1552,627,315,2732,2452,0,0,0,162,63,0,652,35,251,1289,14468,706,40,480,755,911,1155,1731,2197,1219,5274,3306275,160690,118440,220305,418585,349065,471840,421635,244695,157310,743710
