ACSSF,2012m1,co,000,0058,0000011,1972,4378,3060,2764,2375,998,2237,2321,2190,1946,1060,1329,6547,3815,3699,3694,666,1563,3263,2434,2232,959,2327,988,581,490,482,84,352,791,612,530,243,461,1490,796,304,304,18,716,1114,662,660,203,937,3696,2227,1734,1583,570,1164,2009,1525,1501,428,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000012,1552,6005,3734,3608,3414,1435,3043,3607,2795,2488,1319,2155,8211,4751,5015,4864,1166,2394,4493,3612,3503,1189,2920,1247,754,562,543,102,547,1106,966,863,354,529,2001,1047,479,479,18,895,1533,1006,979,218,1198,4510,2548,2100,1903,746,1552,2747,2079,2044,595,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000013,1287,4360,2824,2731,2658,1244,1894,2702,2404,2459,1040,2048,5143,3017,3139,3028,802,1515,3238,2940,2792,1033,2456,1265,1034,745,770,77,704,838,740,736,164,547,1582,900,543,516,163,711,1258,819,721,348,1183,3388,1898,1790,1597,675,796,2494,2124,2006,807,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000014,1219,4467,2969,3367,3305,1543,1630,2998,3034,2979,1040,1777,5504,3435,3437,3409,973,1592,2857,2809,2903,988,2552,1888,1458,1293,1257,286,756,1230,1046,998,342,747,1764,748,526,497,116,518,1417,752,732,194,1312,3431,1891,1579,1598,618,1126,2441,2374,2296,660,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000015,749,3763,2253,2583,2589,815,1939,2165,2413,2193,919,1533,5173,2738,2713,2699,938,952,3137,2650,2587,515,2050,666,461,376,376,189,220,416,381,381,189,148,976,537,491,489,61,390,829,463,463,189,746,2723,1394,1462,1388,374,743,2064,1829,1830,573,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000016,1226,5252,3312,3372,3192,1208,2438,3173,3032,3036,1339,2734,6789,4031,3591,3661,844,2033,3629,2944,2939,1055,2688,2097,1420,1218,1066,693,704,1571,1265,1250,330,922,2138,967,602,557,242,751,1606,1156,1130,159,1087,4555,3056,2240,2066,958,1902,2762,2537,2584,664,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000017,751,2856,1702,1649,1636,666,1157,1816,1678,1613,489,966,4459,2382,2248,2257,660,1086,2736,2554,2432,639,2261,527,229,208,208,189,105,491,513,513,189,174,1226,390,132,132,189,372,1129,736,627,369,865,2664,1382,1357,1328,436,701,1936,1565,1415,479,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000018,1064,5253,2930,3204,3074,1409,2108,3342,2996,2901,1435,2026,7583,3900,3456,3204,1136,2124,4531,3965,3944,1142,3542,1896,1091,908,900,73,549,1496,1247,1222,345,743,2202,1102,576,532,196,907,1857,1004,986,209,1538,4447,2413,2031,2024,566,1246,2933,2584,2652,652,1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000019,1238,4224,2736,2864,2720,1524,2090,2554,2228,2289,1080,1812,6190,3593,3413,3229,1031,1563,3743,3303,3261,800,2386,1201,629,457,430,174,472,938,762,783,159,543,1573,700,455,455,189,737,1386,946,906,233,1072,3883,2373,2321,2069,671,1140,2529,2256,2185,638,1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2012m1,co,000,0058,0000020,697,3579,2501,2568,2428,1007,1531,1711,2223,2227,766,1589,5526,3189,3201,3200,844,1475,2862,2492,2407,706,1769,663,385,385,220,321,71,584,565,501,207,263,1183,616,282,287,60,603,914,582,582,189,866,2939,1742,1604,1512,631,818,1957,1737,1688,573,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
