ACSSF,2012m1,co,000,0103,0000011,1031,1542,702,952,814,2048,1099,1015,780,747,899,798,2549,986,3988,2688,4194,9065,1145,.,3082,9195,12662,18343,8354,12244,3650,8519,886,761,6884,5344,14127,32007,.,,,,,,,,3982,5115,6074,4725,5893,4068,2562,8216,15435,20143,4418,9817,27349,5362,1587,760,2411,874,1324,1098,929,1622,2447,3214,1496,2283,2377,1641,1278,1131,1490,189,1490,386,893,927,1066,662,372,1427,1214,1433,1252,672,499,211,119,152,871,1213,189,1213,164,677,862,530,271,56,1302,1200,1190,1111,1007,302,254,63,189
ACSSF,2012m1,co,000,0103,0000012,685,671,664,864,635,1967,761,789,662,644,1020,718,1416,688,1485,4910,7929,7687,933,898,676,4954,8627,16634,4715,3828,1080,3143,1743,764,6884,4813,21520,32007,23022,2540,11058,.,.,12481,12481,.,3781,5192,5982,2387,3831,10995,2686,5762,5232,19259,8578,13607,20789,.,1015,2444,2236,790,1443,849,659,1543,2015,2385,4013,1723,1456,1295,881,1343,2195,189,2195,523,1265,1165,1393,1045,543,2343,1779,1934,1724,1083,1017,579,278,458,1317,1620,189,1620,259,844,1174,972,652,430,1955,1736,1727,1537,1162,460,289,63,189
ACSSF,2012m1,co,000,0103,0000013,778,2249,1154,1412,1220,1382,891,730,2106,3409,1440,1520,1687,1040,13807,16021,6584,1519,16341,18083,2075,,,,,,,,3809,12083,4618,11383,2198,4396,15392,3882,11132,.,11132,.,.,.,5227,3534,8073,8544,3294,9227,2800,7637,15152,14596,3133,8638,12064,2957,1126,1816,2183,1227,1117,1568,1198,926,1291,1988,2339,1610,2989,1600,788,548,1776,189,1776,510,1049,1533,1550,1130,676,1879,1277,1831,1410,1097,1171,711,220,98,570,2030,189,2030,392,1054,976,1254,769,262,2277,2191,1796,1729,1090,637,265,157,189
ACSSF,2012m1,co,000,0103,0000014,1560,1341,997,853,806,2119,646,826,1237,2131,1124,878,1831,955,1686,2487,5343,1199,2764,5673,1144,16111,14207,50307,17213,16552,5116,4112,7719,5687,9535,3283,7931,12560,3968,27812,32489,29648,121657,18182,105787,13348,4174,7131,11484,6384,5540,3961,2400,4998,9532,7283,6119,7042,5845,6399,1659,2360,3236,1274,1848,1739,931,2218,1541,3599,1752,1896,4812,2461,566,443,1424,189,1424,133,1206,1060,1131,859,696,1509,921,1326,990,785,822,491,246,175,407,1349,189,1349,380,827,987,1121,586,322,1391,1192,1341,1179,846,502,294,376,85
ACSSF,2012m1,co,000,0103,0000015,914,4344,6279,1329,2855,2882,1104,840,1794,5870,1299,2405,2520,1327,9202,25115,50770,6904,2035,42097,1919,,,,,,,,11151,17621,12405,7518,10605,24702,7788,.,.,.,.,.,.,.,2187,2669,2671,20417,2970,5699,8298,7245,52204,37223,5410,7474,16060,4334,1655,6225,6492,1384,1561,3976,1422,3148,4395,5847,5541,6369,6937,3064,360,311,834,189,834,171,248,881,770,502,656,950,945,1036,767,651,499,411,310,182,198,855,189,855,498,654,462,445,499,423,886,1228,899,712,312,330,180,74,100
ACSSF,2012m1,co,000,0103,0000016,1129,1969,2786,1220,832,1688,658,1416,2689,1070,1508,1705,1920,902,1399,5187,5705,4864,4454,4856,2023,13713,3604,8203,10905,13641,3035,4624,5949,11862,20785,3995,11049,8667,2219,,,,,,,,2091,2283,7717,3513,2597,5099,1375,2275,11613,11024,6887,5929,4741,5940,1204,3039,5003,2305,1757,1370,2335,1017,1613,1815,1985,1814,1964,1288,747,601,2261,189,2261,244,1744,1663,1628,1362,739,2369,1749,2144,1580,1463,1081,566,266,111,664,1745,189,1745,488,1240,1182,1251,809,676,1909,2129,1665,1450,1037,568,610,229,201
ACSSF,2012m1,co,000,0103,0000017,2577,4157,5350,1616,2818,2661,1189,2224,4686,5540,1709,2985,3046,1176,12709,15403,10567,.,21530,26901,42710,,,,,,,,27342,23502,19857,21444,12105,46524,20328,.,.,.,.,.,.,.,20317,17780,45781,11754,21924,41450,16160,10218,13606,14417,37371,17181,36328,10769,1055,5080,4826,1983,2733,3239,1318,7011,8504,12943,8706,8634,5466,4263,220,118,707,189,707,297,366,317,608,454,624,698,453,636,437,376,232,257,189,47,183,771,189,771,192,425,370,509,341,417,801,839,883,724,278,209,125,184,189
ACSSF,2012m1,co,000,0103,0000018,1217,1267,1761,922,1429,1127,930,731,1878,2201,1031,1185,1498,928,2603,3908,9140,8500,2729,3672,2507,12508,16923,8872,3394,25317,13193,5674,3349,22428,11954,2979,4033,24589,1862,4567,11397,23867,.,16489,11937,.,5604,12838,3791,3372,8261,6450,3480,3285,9038,11551,4067,7990,7444,1695,764,1363,1160,964,1214,1706,904,2074,2638,2719,3200,1899,2880,1849,528,358,1571,189,1571,569,1262,1049,1233,758,449,1614,1185,1467,1112,671,717,372,431,389,466,1697,189,1697,508,645,1052,1190,491,602,1733,1510,1468,1120,863,564,405,85,189
ACSSF,2012m1,co,000,0103,0000019,718,1608,3338,752,990,1229,764,1216,2479,3543,900,1564,1572,954,6500,19123,27376,5920,2951,15209,11346,11849,28036,66714,18074,9212,19096,2405,15556,25772,13914,17136,13162,6450,2636,6033,6033,6033,.,.,.,.,7588,15716,14052,7936,13900,3926,6539,5813,10296,10765,2744,8719,13984,5208,1010,1618,917,984,2046,2309,1168,4340,3162,2333,1339,4529,1783,1516,526,351,1253,189,1253,329,555,804,984,672,758,1334,888,1304,836,951,399,571,74,194,453,1366,189,1366,176,700,538,846,724,478,1451,1579,1646,1044,779,750,367,94,164
ACSSF,2012m1,co,000,0103,0000020,1325,1839,2044,815,1244,2069,1238,1248,2588,2542,858,1301,2070,1362,20763,15627,41960,49511,8465,2031,17950,,,,,,,,14472,15118,20352,17375,8854,43535,7115,50756,4502,4502,.,.,.,.,5394,8990,9622,1058,10080,34184,562,5001,26144,35229,4132,3642,2417,4678,1356,2735,3602,882,1415,1863,1372,4559,10201,5231,1718,5405,9532,3443,296,233,1067,189,1067,267,596,517,823,438,506,1095,658,848,707,508,109,112,189,550,197,695,189,695,43,423,350,435,258,189,726,909,1059,749,463,290,241,272,189
