ACSSF,2012e1,co,000,0023,0000011,402470,19309,64270,14461,22586,22719,25723,24961,25374,25544,31511,33448,27790,24218,14389,26167,335166,14901,53875,8697,12889,14909,19578,20275,21876,22972,28025,29909,25753,23188,13712,24607,34591,2300,6379,2251,4266,3479,3851,2878,1951,1250,1827,1737,801,467,267,887,17936,1351,2454,1592,2467,2283,1600,1304,869,478,1266,1080,604,194,69,325,13575,757,1427,1820,2396,2048,683,504,654,826,348,722,592,231,238,329,1202,0,135,101,568,0,11,0,24,18,45,0,40,138,103,19,402470,19309,64270,37047,48442,50335,57055,61238,38607,26167,335166,14901,53875,21586,34487,42151,50997,55662,36900,24607,34591,2300,6379,6517,7330,4829,3077,2538,734,887,17936,1351,2454,4059,3883,2173,1744,1684,263,325,13575,757,1427,4216,2731,1158,1174,1314,469,329,1202,0,135,669,11,24,63,40,241,19
ACSSF,2012e1,co,000,0023,0000012,678063,32643,107656,20865,42014,41467,47376,42966,45823,43206,52468,54084,45550,37680,23569,40696,560976,24806,90642,12762,22200,27408,36663,34309,39370,38386,46599,49065,42295,36278,22412,37781,61069,4293,10282,3456,9930,6771,6162,4955,3705,2191,3188,2101,1448,682,512,1393,29852,1876,3622,2341,5047,3959,2641,2231,1301,1085,1627,1781,954,326,304,757,24196,1649,2882,2205,3939,3329,1859,1471,1270,1485,1009,1137,784,256,238,683,1970,19,228,101,898,0,51,0,177,59,45,0,69,138,103,82,678063,32643,107656,62879,88843,88789,95674,99634,61249,40696,560976,24806,90642,34962,64071,73679,84985,91360,58690,37781,61069,4293,10282,13386,12933,8660,5379,3549,1194,1393,29852,1876,3622,7388,6600,3532,2712,2735,630,757,24196,1649,2882,6144,5188,2741,2494,1921,494,683,1970,19,228,999,51,177,104,69,241,82
ACSSF,2012e1,co,000,0023,0000013,452538,30116,92626,10533,31339,36118,37236,34677,32621,30221,29753,26197,19861,16060,8565,16615,367063,21802,75983,7849,18743,25662,28490,27812,27243,26038,26610,23587,18210,15659,8323,15052,41203,4712,8847,1090,6295,3825,3466,3383,2828,2441,1439,695,947,209,101,925,31832,2385,4969,1001,4260,4796,4366,2556,1716,1581,1268,1715,455,158,100,506,9589,1157,2112,251,1176,1742,752,825,630,161,211,150,249,0,41,132,2851,60,715,342,865,93,162,101,204,0,225,50,0,34,0,0,452538,30116,92626,41872,73354,67298,59974,46058,24625,16615,367063,21802,75983,26592,54152,55055,52648,41797,23982,15052,41203,4712,8847,7385,7291,6211,3880,1642,310,925,31832,2385,4969,5261,9162,4272,2849,2170,258,506,9589,1157,2112,1427,2494,1455,372,399,41,132,2851,60,715,1207,255,305,225,50,34,0
ACSSF,2012e1,co,000,0023,0000014,587919,32515,108434,14401,36088,44500,44453,41389,42947,41523,43244,41033,31501,24118,14466,27307,468874,22209,88524,11432,20730,25848,32167,32402,34859,37148,37568,37171,28984,22122,13078,24632,52490,4914,10065,1672,5995,7324,4817,4047,3923,2444,1976,2026,774,608,731,1174,39619,3780,6123,420,5296,7391,4409,3273,2215,1216,2006,883,695,802,369,741,23386,1487,2949,833,3547,3447,2777,1397,1873,660,1364,762,918,489,123,760,3550,125,773,44,520,490,283,270,77,55,330,191,130,97,165,0,587919,32515,108434,50489,88953,84336,84767,72534,38584,27307,468874,22209,88524,32162,58015,67261,74716,66155,35200,24632,52490,4914,10065,7667,12141,7970,4420,2800,1339,1174,39619,3780,6123,5716,11800,5488,3222,1578,1171,741,23386,1487,2949,4380,6224,3270,2024,1680,612,760,3550,125,773,564,773,347,385,321,262,0
ACSSF,2012e1,co,000,0023,0000015,302247,12853,46401,13927,32709,20717,19243,22299,19437,21096,21531,21305,17087,12519,7065,14058,231727,10181,38921,4483,12265,12043,14062,18244,16548,18995,19130,19578,15673,11942,6262,13400,39063,1610,5453,3079,13127,4943,2109,2851,1456,1239,1069,529,338,526,615,119,14633,650,933,2707,3670,1435,1515,853,856,340,952,431,22,51,51,167,13435,274,770,3227,3381,1431,1218,221,463,359,329,359,967,0,64,372,3389,138,324,431,266,865,339,130,114,163,51,408,87,0,73,0,302247,12853,46401,46636,39960,41736,42627,38392,19584,14058,231727,10181,38921,16748,26105,34792,38125,35251,18204,13400,39063,1610,5453,16206,7052,4307,2308,867,1141,119,14633,650,933,6377,2950,1709,1292,453,102,167,13435,274,770,6608,2649,684,688,1326,64,372,3389,138,324,697,1204,244,214,495,73,0
ACSSF,2012e1,co,000,0023,0000016,624608,37137,91064,14227,44195,70926,64629,46834,48507,37620,36469,34697,31586,21807,14682,30228,480648,28939,77460,8375,22267,38924,47169,35530,42065,31729,29931,29542,27823,19898,13579,27417,64434,4259,6454,1281,9235,14104,8287,5487,2828,2833,2842,2517,1880,975,240,1212,47408,2327,5304,2480,8358,8459,4345,3641,2389,1871,3263,1778,1265,308,762,858,27398,1464,956,2018,4074,8750,3898,1322,924,940,433,754,542,598,57,668,4720,148,890,73,261,689,930,854,301,247,0,106,76,28,44,73,624608,37137,91064,58422,135555,95341,74089,66283,36489,30228,480648,28939,77460,30642,86093,77595,61660,57365,33477,27417,64434,4259,6454,10516,22391,8315,5675,4397,1215,1212,47408,2327,5304,10838,12804,6030,5134,3043,1070,858,27398,1464,956,6092,12648,2246,1373,1296,655,668,4720,148,890,334,1619,1155,247,182,72,73
ACSSF,2012e1,co,000,0023,0000017,294175,15788,67136,6714,11802,13238,19329,24469,26920,25736,23638,18870,15035,9756,7059,8685,252898,13133,59476,5167,8438,8267,15071,20738,23133,23509,21147,17497,13784,9114,6317,8107,16124,887,3805,397,1336,1818,1632,1965,1589,1260,681,230,263,151,71,39,12626,871,1411,555,1325,1858,1380,709,1200,746,883,466,479,157,317,269,11160,864,1986,351,675,1194,1059,888,970,221,851,677,509,291,354,270,1367,33,458,244,28,101,187,169,28,0,76,0,0,43,0,0,294175,15788,67136,18516,32567,51389,49374,33905,16815,8685,252898,13133,59476,13605,23338,43871,44656,31281,15431,8107,16124,887,3805,1733,3450,3554,1941,493,222,39,12626,871,1411,1880,3238,1909,1629,945,474,269,11160,864,1986,1026,2253,1858,1072,1186,645,270,1367,33,458,272,288,197,76,0,43,0
ACSSF,2012e1,co,000,0023,0000018,636198,36377,118309,19600,53046,49766,45164,40433,40978,43836,46741,42385,30506,24229,16876,27952,489892,24364,93039,13283,28641,29836,29758,31596,32836,36517,39843,37965,27794,22495,15789,26136,79734,6995,14881,1600,14131,10501,6104,4763,5085,4772,3843,3059,1284,1135,600,981,14264,736,1952,854,3629,1888,1147,663,508,706,817,228,379,88,426,243,41169,3607,6701,3544,5393,5453,5438,2458,2273,1153,2163,1090,853,451,0,592,11139,675,1736,319,1252,2088,2717,953,276,688,75,43,196,60,61,0,636198,36377,118309,72646,94930,81411,90577,72891,41105,27952,489892,24364,93039,41924,59594,64432,76360,65759,38284,26136,79734,6995,14881,15731,16605,9848,8615,4343,1735,981,14264,736,1952,4483,3035,1171,1523,607,514,243,41169,3607,6701,8937,10891,4731,3316,1943,451,592,11139,675,1736,1571,4805,1229,763,239,121,0
ACSSF,2012e1,co,000,0023,0000019,540963,24389,88085,12673,33476,34631,34079,34821,37212,41270,46325,42846,37062,27244,15599,31251,456799,17524,76947,9956,21005,21850,25536,28225,32618,36826,41868,40498,34963,25742,14933,28308,39141,3272,6164,872,6048,6458,3642,2612,1316,1820,1902,1230,1075,601,249,1880,25821,1821,3061,1327,3271,3625,3010,2652,2106,1400,1387,542,430,622,170,397,16633,1772,1459,458,2953,2369,1491,1284,863,1008,998,532,417,279,157,593,2569,0,454,60,199,329,400,48,309,216,170,44,177,0,90,73,540963,24389,88085,46149,68710,72033,87595,79908,42843,31251,456799,17524,76947,30961,47386,60843,78694,75461,40675,28308,39141,3272,6164,6920,10100,3928,3722,2305,850,1880,25821,1821,3061,4598,6635,4758,2787,972,792,397,16633,1772,1459,3411,3860,2147,2006,949,436,593,2569,0,454,259,729,357,386,221,90,73
ACSSF,2012e1,co,000,0023,0000020,307132,13379,47142,11701,33350,22137,20735,18705,18469,19278,22219,21555,18807,14044,8700,16911,242001,10773,40647,4842,15083,13483,15768,14441,16329,16751,19690,18851,17661,13134,8526,16022,37806,1625,4648,1410,12637,4387,3015,3050,1306,1615,1250,1491,556,383,69,364,11588,398,804,3854,3393,1019,442,290,216,192,127,218,235,201,0,199,13780,455,988,1396,1446,2924,1251,834,545,682,1152,995,355,326,105,326,1957,128,55,199,791,324,259,90,73,38,0,0,0,0,0,0,307132,13379,47142,45051,42872,37174,41497,40362,22744,16911,242001,10773,40647,19925,29251,30770,36441,36512,21660,16022,37806,1625,4648,14047,7402,4356,2865,2047,452,364,11588,398,804,7247,1461,506,319,453,201,199,13780,455,988,2842,4175,1379,1834,1350,431,326,1957,128,55,990,583,163,38,0,0,0
