ACSSF,2012e1,co,000,0012,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406742,345740,225289,120451,61002,6482,54520,406742,26666,596,1900,2859,3287,6990,45243,5908,10503,2122,92393,1454,858,48185,17410,896,7351,7010,703,2700,6521,10368,236,365,9908,1534,365,4017,231,138225,61002,406742,345740,225289,120451,61002
ACSSF,2012e1,co,000,0012,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685824,579125,368125,211000,106699,9643,97056,685824,37964,1305,3129,5256,6503,12184,77896,10829,19922,3314,156880,2268,2857,86135,28799,1537,13053,11710,1139,5138,11486,18725,384,1727,14902,2925,526,8406,231,228763,106699,685824,579125,368125,211000,106699
ACSSF,2012e1,co,000,0012,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459598,420262,299241,121021,39336,3784,35552,459598,44171,1574,1651,2225,2075,6355,30087,6935,9334,1280,69723,1072,662,41541,21248,274,8918,6478,560,2742,3775,7291,492,3352,6953,1380,868,3656,553,238856,39336,459598,420262,299241,121021,39336
ACSSF,2012e1,co,000,0012,0000014,595546,1474,199,0,31866,4258,137,209,0,504,367,342,373,313,2034,737,0,447,1386,47,994,394,3515,34,138,2030,0,155,738,0,3474,680,3654,9184,1559,53547,224,12280,1567,14265,1951,107797,68,3230,0,1798,37,495,70619,221,27347,301,1058,24,46,0,0,1467,12851,271,14702,1278,499,10886,1800,6019,10714,343,624,822,179,0,15769,0,4944,1120,242,0,2621,0,0,1208,422,51,263,0,5206,113,12055,2234,450,1845,4874,523,50,0,0,0,48,0,227,149,0,0,49,0,621,229364,62876,595546,532670,349040,183630,62876,6024,56852,595546,31866,4258,3515,3474,3654,9184,53547,12280,14265,1951,107797,3230,1798,70619,27347,1058,12851,14702,1278,10886,6019,10714,822,15769,12055,2234,1845,4874,523,248007,62876,595546,532670,349040,183630,62876
ACSSF,2012e1,co,000,0012,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305318,272160,160534,111626,33158,2911,30247,305318,21743,754,3983,3397,3763,5990,38277,9282,10894,2384,65036,1629,1886,37448,17815,789,7811,11298,448,5964,4062,8188,748,1506,8806,1915,800,3265,826,96672,33158,305318,272160,160534,111626,33158
ACSSF,2012e1,co,000,0012,0000016,634265,0,0,0,21275,1705,227,35,60,422,76,0,450,199,354,193,0,574,1467,429,709,496,4193,197,432,2109,0,322,696,0,3833,607,3846,8921,2166,48244,0,12112,1340,16473,3498,95034,152,3042,0,1590,220,1515,62924,245,26188,396,1746,173,0,0,0,1202,11871,173,16459,936,448,8502,1702,5977,17439,513,531,1079,254,0,13749,0,3125,297,0,0,249,119,0,1207,190,115,0,0,8523,38,13281,3006,1477,2185,4007,1571,31,0,130,0,0,0,156,908,205,0,141,0,700,307766,54856,634265,579409,396239,183170,54856,6922,47934,634265,21275,1705,4193,3833,3846,8921,48244,12112,16473,3498,95034,3042,1590,62924,26188,1746,11871,16459,936,8502,5977,17439,1079,13749,13281,3006,2185,4007,1571,326522,54856,634265,579409,396239,183170,54856
ACSSF,2012e1,co,000,0012,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298215,268748,142644,126104,29467,5278,24189,298215,16199,2150,2985,2082,4401,7002,45816,6376,9501,1889,81697,1579,1456,49634,18107,723,10494,10980,960,2936,3514,8206,547,388,12535,1638,870,3517,168,81331,29467,298215,268748,142644,126104,29467
ACSSF,2012e1,co,000,0012,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644964,562957,324545,238412,82007,9606,72401,644964,36202,3929,3393,2780,5811,14284,65694,17034,20153,2558,144467,2002,3426,88789,35436,1314,14008,17419,2311,6397,8721,19983,1591,2008,11508,2973,1730,6405,4124,231309,82007,644964,562957,324545,238412,82007
ACSSF,2012e1,co,000,0012,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545358,474932,271753,203179,70426,6941,63485,545358,24376,1706,4464,4522,5172,9405,64723,12376,20026,3787,134390,1786,2852,77763,38338,641,13788,18250,1472,6755,7222,16112,666,1255,18830,2749,1355,4342,132,165015,70426,545358,474932,271753,203179,70426
ACSSF,2012e1,co,000,0012,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310487,271434,139580,131854,39053,3113,35940,310487,15109,1130,2854,4229,4353,8834,38892,13643,12176,1644,92461,1353,1056,45925,16737,681,10529,10716,825,3896,5448,9016,399,1250,9662,1490,590,4002,525,76921,39053,310487,271434,139580,131854,39053
