ACSSF,2012e1,co,000,0018,0000016,132332,37498,14426,2913,9756,1757,23072,17251,5821,32785,16632,4083,8484,4065,16153,12672,3481,62049,47741,34882,6654,6205,14308,11956,2352,97763,65250,32513,4551,5960,6309,4672,2597,2170,2733,3521,634265,536502,97763,,,,132332,70283,36919,33364,62049,46838,15211,97763,65250,32513,4551,19538,8424
ACSSF,2012e1,co,000,0018,0000017,84589,3600,932,254,268,410,2668,2668,0,6656,4870,3704,502,664,1786,1786,0,74333,65887,59079,3043,3765,8446,8399,47,20353,9472,10881,1775,1421,1672,1780,1107,923,451,1752,298215,277862,20353,,,,84589,10256,8412,1844,74333,67478,6855,20353,9472,10881,1775,5980,3126
ACSSF,2012e1,co,000,0018,0000018,155642,25832,8450,5154,2582,714,17382,14932,2450,31663,20563,17114,1647,1802,11100,10192,908,98147,78891,69073,2911,6907,19256,18180,1076,52160,25795,26365,2562,4613,3821,2209,2156,2076,2032,6896,644964,592804,52160,,,,155642,57495,47392,10103,98147,87253,10894,52160,25795,26365,2562,12799,11004
ACSSF,2012e1,co,000,0018,0000019,109800,13501,3993,2837,570,586,9508,9100,408,17302,8522,5648,2144,730,8780,7515,1265,78997,63831,56461,2554,4816,15166,14252,914,34606,17654,16952,1447,3647,2226,1766,1584,1249,1202,3831,545358,510752,34606,,,,109800,30803,25100,5703,78997,70713,8284,34606,17654,16952,1447,9223,6282
ACSSF,2012e1,co,000,0018,0000020,62172,7569,2711,1627,471,613,4858,4212,646,11334,7176,5666,910,600,4158,3995,163,43269,37471,34853,797,1821,5798,5432,366,14410,8160,6250,774,1245,699,332,290,902,266,1742,310487,296077,14410,,,,62172,18903,15500,3403,43269,40285,2984,14410,8160,6250,774,2566,2910
ACSSF,2012e1,co,000,0018,0000021,31910,6520,1679,1175,504,0,4841,4690,151,9114,4664,2883,1781,0,4450,4450,0,16276,14242,13430,103,709,2034,1923,111,,,,,,,,,,,,147848,141494,6354,,,,31910,15634,13198,2436,16276,15353,923,6354,4094,2260,583,873,804
ACSSF,2012e1,co,000,0018,0000022,36717,11084,4112,3614,320,178,6972,6802,170,9225,6561,6068,64,429,2664,2664,0,16408,12746,11864,289,593,3662,3611,51,5327,3000,2327,269,346,98,363,191,194,138,728,160852,155525,5327,,,,36717,20309,19148,1161,16408,15475,933,5327,3000,2327,269,998,1060
ACSSF,2012e1,co,000,0018,0000023,68586,13059,4766,2268,1322,1176,8293,6754,1539,18461,14334,8141,4128,2065,4127,3845,282,37066,32017,27061,1146,3810,5049,4567,482,22903,15742,7161,565,1811,1595,980,515,324,689,682,263691,240788,22903,,,,68586,31520,21008,10512,37066,31628,5438,22903,15742,7161,565,4901,1695
ACSSF,2012e1,co,000,0018,0000024,22641,1550,544,501,43,0,1006,920,86,3801,1657,1141,173,343,2144,1894,250,17290,13578,12620,744,214,3712,3624,88,5469,2478,2991,124,777,551,460,90,184,210,595,109315,103846,5469,,,,22641,5351,4456,895,17290,16244,1046,5469,2478,2991,124,1878,989
ACSSF,2012e1,co,000,0018,0000025,85451,19058,8595,1779,5868,948,10463,5832,4631,25291,12541,4608,6838,1095,12750,8659,4091,41102,29012,18673,5787,4552,12090,10451,1639,69031,43172,25859,4274,6273,4356,4293,2889,1506,695,1573,338835,269804,69031,,,,85451,44349,20878,23471,41102,29124,11978,69031,43172,25859,4274,17811,3774
