ACSSF,2012e1,co,000,0065,0000011,281844,2792,0,0,43,456,1312,617,538,2723,1343,3501,4703,4249,5392,4135,63557,14460,20113,49359,21379,53559,20578,4010,3025,81172,1778,8742,2490,3528,6688,5245,500,5280,14420,13030,3535,5107,3182,2167,5480,81172,38491,8174,3526,219,1947,477,2005,19441,9066,908,4098,1460,3909,10876,4951,293,2361,1360,1911,42681,10914,3617,866,1897,1664,2870,23198,5848,2417,3870,4502,6561,8569,1963,577,247,3567,2215,86345,1909,8934,2842,3998,7653,5245,639,5524,15046,13614,3952,5280,3459,2303,5947,281844,2792,2428,3261,4844,4703,4249,5392,4135,63557,14460,20113,49359,21379,53559,20578,4010,3025,81172,28971,5280,14420,13030,19471,78488,27757,5092,14155,12760,18724,,,,,,,,,,,,,800,312,52,191,102,143,,,,,,,,,,,,,,,,,,,74740,26587,5043,13455,11813,17842,4386,1323,61,716,1057,1229
ACSSF,2012e1,co,000,0065,0000012,474885,4764,0,0,141,785,2388,924,1421,5487,2098,5051,6750,6870,8366,6479,102635,24859,31651,82545,38065,93553,36654,7880,5519,143606,3743,14750,5589,5620,11676,8927,1082,10500,25553,22181,7888,7956,5697,3971,8473,143606,71512,17298,7549,554,4461,771,3963,35636,16236,1984,7272,2940,7204,18578,8896,913,3447,2098,3224,72094,19224,7020,1721,3237,2505,4741,39382,8823,4369,6565,8437,11188,13488,2863,959,571,5430,3665,153318,4073,15167,6240,6996,12886,9141,1221,11023,26942,23084,8410,8567,6062,4346,9160,474885,4764,4238,6908,7149,6750,6870,8366,6479,102635,24859,31651,82545,38065,93553,36654,7880,5519,143606,51387,10500,25553,22181,33985,138220,48647,10120,25089,21893,32471,,,,,,,,,,,,,1015,438,52,191,102,232,,,,,,,,,,,,,,,,,,,132085,46315,9863,23828,20922,31157,7414,2721,342,1277,1092,1982
ACSSF,2012e1,co,000,0065,0000013,287924,5657,0,116,444,566,1911,734,1118,8718,2023,4613,6273,5865,8255,7134,67203,16550,19551,48129,23621,41004,15368,1628,1443,59443,3774,4556,1682,3156,3636,4555,886,4671,12891,7504,2421,2198,1032,2448,4033,59443,28635,10187,4989,746,2175,228,2049,15398,7157,387,4438,1229,2187,3050,1360,83,820,320,467,30808,13883,4330,1197,2699,1829,3828,14029,4198,1849,2250,2756,2976,2896,211,409,509,1142,625,64883,4216,4741,1948,3525,4351,4775,927,5326,13614,7796,2932,2290,1371,2575,4496,287924,5657,3771,9836,6636,6273,5865,8255,7134,67203,16550,19551,48129,23621,41004,15368,1628,1443,59443,22245,4671,12891,7504,12132,52548,19464,3831,11149,7017,11087,,,,,,,,,,,,,2822,1490,261,479,170,422,,,,,,,1095,141,512,131,141,170,1787,835,22,532,98,300,48488,17978,3609,9867,6589,10445,5688,1897,734,1521,640,896
ACSSF,2012e1,co,000,0065,0000014,396481,3195,0,118,309,201,351,296,1146,3171,1067,4242,4798,3372,5000,5832,66168,12785,24431,68351,35893,100154,40267,10751,4583,155755,8191,8753,5967,7649,12793,12290,1505,12015,36414,15794,6578,7744,6693,6575,6794,155755,77097,21869,10262,728,5171,497,5211,40758,18269,2279,11758,1618,6834,14470,6016,652,4572,1684,1546,78658,25734,9307,1975,5385,2054,7013,41917,11622,5124,8699,6299,10173,11007,1672,1257,829,3642,3607,168040,8788,9014,6617,8499,14426,12789,1757,13079,37582,17112,7585,8117,7599,7340,7736,396481,3195,1275,4317,5309,4798,3372,5000,5832,66168,12785,24431,68351,35893,100154,40267,10751,4583,155755,57148,12015,36414,15794,34384,126666,43802,9985,30874,13704,28301,11204,3337,1136,2957,1070,2704,,,,,,,10490,6393,269,1567,383,1878,,,,,,,3286,1442,466,546,241,591,3292,1890,129,470,288,515,120916,41290,9391,29294,13476,27465,9087,3973,777,2118,464,1755
ACSSF,2012e1,co,000,0065,0000015,196357,1801,0,0,0,0,329,456,427,1801,246,976,1888,738,853,1254,22201,3674,8011,27126,10919,60880,34005,7567,11205,113657,7360,8157,8476,6439,9943,14391,1508,7695,14379,8846,5354,6566,5992,5433,3118,113657,57758,17167,10907,618,2200,164,3278,31471,18591,1617,4813,1089,5361,9120,4739,615,1551,455,1760,55899,19092,8731,1336,2135,1046,5844,29678,11527,2768,3460,4188,7735,7129,1779,741,220,1904,2485,124297,8361,8518,8787,7187,11256,14846,1607,8738,14959,9871,6468,7285,6730,6247,3437,196357,1801,785,2228,1222,1888,738,853,1254,22201,3674,8011,27126,10919,60880,34005,7567,11205,113657,56274,7695,14379,8846,26463,104564,51250,6657,13533,8307,24817,,,,,,,,,,,,,6670,3903,1038,620,152,957,,,,,,,,,,,,,,,,,,,100678,49352,6405,12854,7871,24196,4834,2167,252,863,738,814
ACSSF,2012e1,co,000,0065,0000016,437985,5801,0,42,297,1152,1744,812,2185,11766,1504,4726,9501,5808,11388,4657,62665,15609,18498,61329,22925,121410,48628,17735,7803,195576,6650,13407,5400,12477,20176,13415,1865,14506,38962,11953,9513,11567,11063,15423,9199,195576,95935,46109,20312,1893,11576,564,11764,37989,17044,1999,7745,730,10471,11837,5169,584,2756,844,2484,99641,49926,17840,4568,9671,2283,15564,37532,10470,3653,6531,4424,12454,12183,2555,1809,683,3108,4028,216939,7580,14368,6783,13508,23333,13718,2255,16124,40928,13150,12092,12419,12815,16748,11118,437985,5801,4047,13951,6230,9501,5808,11388,4657,62665,15609,18498,61329,22925,121410,48628,17735,7803,195576,73390,14506,38962,11953,56765,171599,63726,13152,34014,10645,50062,8864,2278,526,2426,821,2813,,,,,,,7391,4333,405,1602,52,999,,,,,,,2023,740,268,261,147,607,4929,1977,155,621,230,1946,162669,60884,12540,31902,9975,47368,11731,3977,757,2411,949,3637
ACSSF,2012e1,co,000,0065,0000017,192735,134,0,0,40,24,156,53,51,208,389,542,443,300,930,1268,23650,3005,9519,30038,15803,69910,27831,5696,2745,106182,6489,5108,3064,5026,6992,9940,609,10652,29867,7339,2675,4048,3559,4769,6045,106182,53997,14742,6431,360,4570,159,3222,33263,13501,2341,11216,924,5281,5992,3149,261,1391,195,996,52185,17907,5490,2312,3667,1349,5089,30361,7865,4692,8493,3784,5527,3917,792,686,530,928,981,114549,7080,5408,3616,5621,7905,10039,656,11293,31071,8450,3074,4376,3819,5558,6583,192735,134,273,259,931,443,300,930,1268,23650,3005,9519,30038,15803,69910,27831,5696,2745,106182,37228,10652,29867,7339,21096,97142,33082,9717,27337,6994,20012,,,,,,,,,,,,,5428,2481,783,1341,187,636,,,,,,,,,,,,,,,,,,,94060,31498,9333,26979,6916,19334,3917,1773,447,838,78,781
ACSSF,2012e1,co,000,0065,0000018,408866,2132,48,0,0,0,378,70,578,1744,438,2397,2422,2886,4789,4777,73536,16397,29957,78467,45102,90154,42099,6653,3842,142748,9017,8627,4555,8021,10702,13317,521,11611,29249,14895,6070,8147,4624,5941,7451,142748,73236,18748,8804,1294,3335,694,4621,41087,19208,2013,9991,1801,8074,13401,5984,876,2985,1705,1851,69512,22854,7264,2330,4265,2018,6977,37103,11364,3602,7928,5623,8586,9555,2136,1496,745,3054,2124,155419,9615,8912,5237,9407,12185,13733,647,12696,30428,15658,7085,9417,5511,6596,8292,408866,2132,496,2322,2835,2422,2886,4789,4777,73536,16397,29957,78467,45102,90154,42099,6653,3842,142748,54760,11611,29249,14895,32233,127230,48341,10302,25365,13721,29501,5064,1271,109,1962,417,1305,,,,,,,4441,2498,477,882,47,537,,,,,,,,,,,,,3886,1806,426,555,523,576,120881,46579,9709,23287,13074,28232,7986,2767,719,2228,748,1524
ACSSF,2012e1,co,000,0065,0000019,382340,1813,37,0,58,87,466,145,39,1504,439,2073,2171,4495,5443,5421,67693,13131,23528,63409,31953,101950,42264,9117,5104,158435,7766,10619,8198,7747,13005,15505,1165,12770,33982,16696,5322,5864,5465,6021,8310,158435,79839,20115,9765,715,5118,573,3944,43982,21238,2200,11930,2377,6237,15742,8549,529,3602,1212,1850,78596,24644,9363,2249,4470,2486,6076,42532,12763,5288,8054,5944,10483,11420,2327,1789,808,4104,2392,173666,8814,11577,9345,9045,14294,15968,1463,14139,35703,17621,6580,7048,6175,6336,9558,382340,1813,793,1543,2512,2171,4495,5443,5421,67693,13131,23528,63409,31953,101950,42264,9117,5104,158435,64005,12770,33982,16696,30982,149238,59274,12400,31813,16011,29740,,,,,,,,,,,,,4488,2509,151,791,470,567,,,,,,,,,,,,,2489,1343,90,543,43,470,141986,57262,11723,29704,15073,28224,8802,2584,774,2716,1089,1639
ACSSF,2012e1,co,000,0065,0000020,201560,764,0,0,33,127,81,0,0,270,746,1401,1164,1740,1862,2240,30702,5702,9813,36921,17868,55953,24444,4217,5512,90126,3310,10074,3509,3842,5017,9677,681,7892,13110,9364,4036,4326,4829,3249,7210,90126,44784,15849,7891,700,2946,339,3973,21272,9976,1116,3865,1226,5089,7663,4044,277,1149,883,1310,45342,16701,7304,1796,1510,1209,4882,22279,6146,3035,3412,3428,6258,6362,749,968,228,2279,2138,97562,3898,10968,3942,4210,5825,9808,738,9004,13744,9959,4673,4471,5109,3330,7883,201560,764,241,270,2147,1164,1740,1862,2240,30702,5702,9813,36921,17868,55953,24444,4217,5512,90126,36110,7892,13110,9364,23650,84224,33873,6960,11609,9173,22609,,,,,,,,,,,,,2068,1261,66,311,58,372,,,,,,,,,,,,,1989,456,299,895,94,245,81355,32687,6751,11146,9007,21764,4473,1482,745,771,205,1270
