ACSSF,2012m1,co,000,0055,0000029,2772,4205,3162,2663,2355,1576,938,994,3926,4386,2273,1295,516,189,81,189,,,,2772,4205,3162,2663,2355,2071,3926,4386,2273,1295,516,81
ACSSF,2012m1,co,000,0055,0000030,2239,1574,1530,1100,1002,968,330,240,2011,1694,1182,723,649,189,189,189,,,,2239,1574,1530,1100,1002,1002,2011,1694,1182,723,649,189
ACSSF,2012m1,co,000,0055,0000031,1370,1187,1355,895,963,702,381,397,1394,1164,578,253,260,137,189,189,,,,1370,1187,1355,895,963,818,1394,1164,578,253,260,137
ACSSF,2012m1,co,000,0055,0000032,1594,1440,1071,1168,1101,628,469,229,1358,1193,677,70,189,189,189,189,,,,1594,1440,1071,1168,1101,849,1358,1193,677,70,189,189
ACSSF,2012m1,co,000,0055,0000033,2150,1406,2085,1257,941,724,623,293,1927,1870,944,412,338,295,189,189,,,,2150,1406,2085,1257,941,875,1927,1870,944,412,338,295
ACSSF,2012m1,co,000,0055,0000034,1617,1236,1208,902,963,871,512,563,1653,1443,876,210,189,189,189,189,,,,1617,1236,1208,902,963,914,1653,1443,876,210,189,189
ACSSF,2012m1,co,000,0055,0000035,1491,1058,1393,1087,1150,596,146,256,1552,1388,623,456,189,189,189,189,,,,1491,1058,1393,1087,1150,611,1552,1388,623,456,189,189
ACSSF,2012m1,co,000,0055,0000036,1535,1319,1199,1162,848,631,506,264,1510,1328,657,303,189,174,189,189,,,,1535,1319,1199,1162,848,801,1510,1328,657,303,189,174
ACSSF,2012m1,co,000,0055,0000037,1739,1414,1559,1186,1480,808,632,385,1548,1487,784,137,232,189,189,189,,,,1739,1414,1559,1186,1480,987,1548,1487,784,137,232,189
ACSSF,2012m1,co,000,0055,0000038,1396,1060,1540,1181,1032,708,561,85,1686,1659,747,347,189,189,189,189,,,,1396,1060,1540,1181,1032,868,1686,1659,747,347,189,189
ACSSF,2012m1,co,000,0055,0000039,1535,1397,1297,909,759,521,399,189,1665,1786,1092,842,532,326,189,55,,,,1535,1397,1297,909,759,677,1665,1786,1092,842,532,319
ACSSF,2012m1,co,000,0055,0000040,2869,2858,3042,2159,2107,1513,845,774,3273,3064,1382,664,452,195,189,189,,,,2869,2858,3042,2159,2107,1777,3273,3064,1382,664,452,195
ACSSF,2012m1,co,000,0055,0000041,2518,2634,2457,2093,1603,1194,842,803,2810,2628,1027,450,179,189,189,189,,,,2518,2634,2457,2093,1603,1378,2810,2628,1027,450,179,189
ACSSF,2012m1,co,000,0055,0000042,2772,4205,3162,2663,2355,1576,938,994,3926,4386,2273,1295,516,189,81,189,,,,2772,4205,3162,2663,2355,2071,3926,4386,2273,1295,516,81
ACSSF,2012m1,co,000,0055,0000043,2239,1574,1530,1100,1002,968,330,240,2011,1694,1182,723,649,189,189,189,,,,2239,1574,1530,1100,1002,1002,2011,1694,1182,723,649,189
ACSSF,2012m1,co,000,0055,0000044,1491,1058,1393,1087,1150,596,146,256,1552,1388,623,456,189,189,189,189,,,,1491,1058,1393,1087,1150,611,1552,1388,623,456,189,189
ACSSF,2012m1,co,000,0055,0000045,1370,1187,1355,895,963,702,381,397,1394,1164,578,253,260,137,189,189,,,,1370,1187,1355,895,963,818,1394,1164,578,253,260,137
ACSSF,2012m1,co,000,0055,0000046,1535,1319,1199,1162,848,631,506,264,1510,1328,657,303,189,174,189,189,,,,1535,1319,1199,1162,848,801,1510,1328,657,303,189,174
ACSSF,2012m1,co,000,0055,0000047,3471,4511,3437,2805,2459,1691,1160,1060,4214,4669,2421,1331,620,189,81,189,,,,3471,4511,3437,2805,2459,2241,4214,4669,2421,1331,620,81
ACSSF,2012m1,co,000,0055,0000048,3953,4195,3635,3211,2517,1798,815,555,4727,4381,2255,1264,839,326,115,55,,,,3953,4195,3635,3211,2517,2027,4727,4381,2255,1264,839,345
ACSSF,2012m1,co,000,0055,0000049,3941,3707,2894,3058,2561,1937,1330,871,3722,3440,1831,713,312,322,121,189,,,,3941,3707,2894,3058,2561,2158,3722,3440,1831,713,312,337
ACSSF,2012m1,co,000,0055,0000050,3324,4288,2997,2605,2885,1704,1258,971,3629,3307,1613,755,260,170,127,189,,,,3324,4288,2997,2605,2885,2050,3629,3307,1613,755,260,224
ACSSF,2012m1,co,000,0055,0000051,3530,4040,4074,2614,2627,2267,1261,1088,4067,3931,1595,684,658,195,189,189,,,,3530,4040,4074,2614,2627,2518,4067,3931,1595,684,658,195
ACSSF,2012m1,co,000,0055,0000052,2864,4173,3162,2863,2563,1846,1107,798,3816,3299,1634,713,295,189,189,189,,,,2864,4173,3162,2863,2563,2240,3816,3299,1634,713,295,189
ACSSF,2012m1,co,000,0055,0000053,3542,3445,3871,3055,2694,2030,1503,839,3537,3567,2008,732,429,501,189,189,,,,3542,3445,3871,3055,2694,2664,3537,3567,2008,732,429,501
ACSSF,2012m1,co,000,0055,0000054,1452,1503,991,888,777,591,317,392,1317,1316,343,126,189,87,189,189,,,,1452,1503,991,888,777,649,1317,1316,343,126,189,87
