ACSSF,2012e1,co,000,0079,0000011,103274,17260,8909,4971,552,2149,2270,3938,8351,2254,1815,522,202,1091,439,6097,4259,940,1386,1933,1838,4739,3263,1675,184,854,637,1588,1476,495,207,0,28,179,288,981,653,128,206,319,328,6440,4485,2563,424,880,1259,1922,1955,861,724,110,61,553,137,1094,667,162,0,505,427,74835,65332,21968,4053,3168,14747,43364,9503,3771,1883,536,37,1310,1888,5732,3238,323,166,2749,2494,103274,12183,5859,2773,887,1860,339,6324,1857,446,930,468,13,4467,1245,2051,1076,95,91091,76130,50148,20859,4747,376,14961,5524,2904,2179,441,0,9437,4971,4160,306,0,391408,66983,46827,24177,22650,6752,15898,20156,324425,269870,223081,46789,16103,30686,54555,103274,17260,8909,8351,2254,6097,4739,3263,1476,495,981,6440,4485,1955,861,1094,74835,65332,9503,3771,5732,103274,12183,5859,2773,3086,6324,1857,446,1411,4467,1245,3222,91091,76130,50148,25982,14961,5524,2904,2620,9437,4971,4466
ACSSF,2012e1,co,000,0079,0000012,171195,26838,14105,8513,1074,3562,3877,5592,12733,3394,2370,776,202,1392,1024,9339,7171,1496,1656,4019,2168,6382,4551,2372,411,1207,754,2179,1831,538,250,0,71,179,288,1293,927,128,378,421,366,10065,7379,3864,785,1242,1837,3515,2686,960,783,141,79,563,177,1726,1244,318,64,862,482,127910,109988,36674,7464,5404,23806,73314,17922,6762,3182,680,180,2322,3580,11160,6150,871,166,5113,5010,171195,18274,8991,3953,2009,2663,366,9283,2522,703,1180,607,32,6761,1431,3601,1543,186,152921,127032,83884,34864,7833,451,25889,9132,5206,3412,514,0,16757,8460,7414,883,0,654975,101733,70169,36758,33411,9348,24063,31564,553242,456460,373800,82660,28511,54149,96782,171195,26838,14105,12733,3394,9339,6382,4551,1831,538,1293,10065,7379,2686,960,1726,127910,109988,17922,6762,11160,171195,18274,8991,3953,5038,9283,2522,703,1819,6761,1431,5330,152921,127032,83884,43148,25889,9132,5206,3926,16757,8460,8297
ACSSF,2012e1,co,000,0079,0000013,107425,17100,7510,6380,473,2994,2913,1130,9590,2154,1819,578,566,675,335,7436,6692,840,1484,4368,744,5013,2832,1782,0,411,1371,1050,2181,1121,772,220,0,552,349,1060,918,83,98,737,142,7162,4213,2517,339,1136,1042,1696,2949,578,297,263,0,34,281,2371,1758,318,250,1190,613,78150,61144,28420,5680,6797,15943,32724,17006,7220,4470,1520,122,2828,2750,9786,4836,803,772,3261,4950,107425,12021,4805,727,1985,1909,184,7216,1769,405,978,362,24,5447,788,3122,1277,260,95404,70894,38106,24839,7544,405,24510,9304,5120,4144,40,0,15206,8159,5820,1179,48,453179,67417,55132,24888,30244,9151,21093,12285,385762,337915,247121,90794,32624,58170,47847,107425,17100,7510,9590,2154,7436,5013,2832,2181,1121,1060,7162,4213,2949,578,2371,78150,61144,17006,7220,9786,107425,12021,4805,727,4078,7216,1769,405,1364,5447,788,4659,95404,70894,38106,32788,24510,9304,5120,4184,15206,8159,7047
ACSSF,2012e1,co,000,0079,0000014,147813,18680,8540,7049,1439,2262,3348,1491,10140,1944,1568,310,224,1034,376,8196,6354,1574,1294,3486,1842,4119,2012,1272,343,327,602,740,2107,705,585,126,0,459,120,1402,1260,0,406,854,142,7136,3526,2040,283,637,1120,1486,3610,860,712,302,158,252,148,2750,2396,445,561,1390,354,117878,93088,40517,7816,7819,24882,52571,24790,8065,3764,678,174,2912,4301,16725,10048,897,609,8542,6677,147813,12913,5233,870,2363,1856,144,7680,1449,499,721,174,55,6231,1547,3457,1054,173,134900,101933,57385,36230,7815,503,32967,10125,5638,4106,359,22,22842,8997,11884,1834,127,589986,70792,52968,23885,29083,6486,22597,17824,519194,438763,332433,106330,32321,74009,80431,147813,18680,8540,10140,1944,8196,4119,2012,2107,705,1402,7136,3526,3610,860,2750,117878,93088,24790,8065,16725,147813,12913,5233,870,4363,7680,1449,499,950,6231,1547,4684,134900,101933,57385,44548,32967,10125,5638,4487,22842,8997,13845
ACSSF,2012e1,co,000,0079,0000015,72790,6596,3183,2291,833,740,718,892,3413,324,153,27,0,126,171,3089,2701,472,685,1544,388,1220,618,437,245,72,120,181,602,303,207,0,0,207,96,299,195,0,0,195,104,2886,2030,1206,305,165,736,824,856,363,274,84,43,147,89,493,335,0,37,298,158,62088,53062,22197,5768,3444,12985,30865,9026,3168,2200,264,256,1680,968,5858,3418,279,613,2526,2440,72790,4320,2032,640,485,907,0,2288,256,103,107,46,0,2032,296,1154,481,101,68470,56861,32758,19370,4528,205,11609,3902,1362,2540,0,0,7707,3498,3918,110,181,295728,42978,16490,8820,7670,887,6783,26488,252750,204569,168943,35626,11014,24612,48181,72790,6596,3183,3413,324,3089,1220,618,602,303,299,2886,2030,856,363,493,62088,53062,9026,3168,5858,72790,4320,2032,640,1392,2288,256,103,153,2032,296,1736,68470,56861,32758,24103,11609,3902,1362,2540,7707,3498,4209
ACSSF,2012e1,co,000,0079,0000016,129337,26174,9867,7080,976,3439,2665,2787,16307,3555,3005,944,490,1571,550,12752,10795,1784,3300,5711,1957,4971,2621,1959,457,654,848,662,2350,364,158,0,113,45,206,1986,1546,244,538,764,440,7061,3811,2560,1130,811,619,1251,3250,630,291,248,0,43,339,2620,1825,335,408,1082,795,91131,70496,28562,9185,4921,14456,41934,20635,7355,3344,789,128,2427,4011,13280,7118,1432,676,5010,6162,129337,18826,6305,1222,2651,1800,632,12521,2680,735,1526,419,0,9841,2262,5061,2298,220,110511,80490,46962,28036,5319,173,30021,9224,5162,3883,179,0,20797,10059,9114,1586,38,622622,119662,79544,31623,47921,11111,36810,40118,502960,350677,249134,101543,28976,72567,152283,129337,26174,9867,16307,3555,12752,4971,2621,2350,364,1986,7061,3811,3250,630,2620,91131,70496,20635,7355,13280,129337,18826,6305,1222,5083,12521,2680,735,1945,9841,2262,7579,110511,80490,46962,33528,30021,9224,5162,4062,20797,10059,10738
ACSSF,2012e1,co,000,0079,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296854,13900,9882,3738,6144,2639,3505,4018,282954,256731,225604,31127,8116,23011,26223,81139,4187,1665,2522,1029,1493,546,426,120,0,120,2250,1650,600,73,527,74156,65560,8596,2488,6108,81139,3174,1168,685,483,2006,950,709,241,1056,38,1018,77965,68133,32189,35944,9832,2640,757,1883,7192,2483,4709
ACSSF,2012e1,co,000,0079,0000018,161927,20283,8641,5712,1172,1971,2569,2929,11642,1619,1482,298,265,919,137,10023,8617,1144,2086,5387,1406,4161,2794,2095,311,712,1072,699,1367,220,191,73,36,82,29,1147,702,181,146,375,445,10474,7197,4348,1211,1264,1873,2849,3277,621,512,98,214,200,109,2656,1820,342,347,1131,836,127009,105637,46208,9082,8185,28941,59429,21372,7577,4616,1920,262,2434,2961,13795,8339,1171,1326,5842,5456,161927,15029,6185,2332,2025,1657,171,8844,1350,344,780,98,128,7494,1244,4395,1396,459,146898,118084,66338,41295,9770,681,28814,8687,4075,4349,263,0,20127,8963,9241,1612,311,626467,81030,60555,25986,34569,6404,28165,20475,545437,470230,378596,91634,26030,65604,75207,161927,20283,8641,11642,1619,10023,4161,2794,1367,220,1147,10474,7197,3277,621,2656,127009,105637,21372,7577,13795,161927,15029,6185,2332,3853,8844,1350,344,1006,7494,1244,6250,146898,118084,66338,51746,28814,8687,4075,4612,20127,8963,11164
ACSSF,2012e1,co,000,0079,0000019,144132,12490,4112,2202,637,739,826,1910,8378,1679,880,85,191,604,799,6699,5790,641,2061,3088,909,2162,1688,1136,272,456,408,552,474,106,68,0,0,68,38,368,368,0,108,260,0,6450,3470,2131,467,587,1077,1339,2980,952,857,244,131,482,95,2028,1764,349,41,1374,264,123030,102423,36644,7001,7188,22455,65779,20607,6489,3333,323,303,2707,3156,14118,7895,1107,815,5973,6223,144132,8285,2710,902,1352,297,159,5575,590,230,272,88,0,4985,1049,2727,864,345,135847,108983,70346,31803,6493,341,26864,8636,4374,4085,177,0,18228,8044,8889,1295,0,534953,49104,31435,10309,21126,3053,18073,17669,485849,403180,324009,79171,25380,53791,82669,144132,12490,4112,8378,1679,6699,2162,1688,474,106,368,6450,3470,2980,952,2028,123030,102423,20607,6489,14118,144132,8285,2710,902,1808,5575,590,230,360,4985,1049,3936,135847,108983,70346,38637,26864,8636,4374,4262,18228,8044,10184
ACSSF,2012e1,co,000,0079,0000020,78059,7578,3216,2167,938,239,990,1049,4362,764,670,185,188,297,94,3598,2893,536,706,1651,705,1845,1340,852,252,411,189,488,505,505,203,174,0,29,302,0,0,0,0,0,0,3542,1792,982,421,154,407,810,1750,548,184,134,0,50,364,1202,1022,178,47,797,180,65094,56068,21864,4843,3778,13243,34204,9026,3073,1859,389,94,1376,1214,5953,2700,237,156,2307,3253,78059,5502,2165,674,1071,391,29,3337,534,94,440,0,0,2803,526,1597,680,0,72557,60251,37264,18117,4555,315,12306,4356,1959,2338,59,0,7950,4007,3614,329,0,302392,42316,20767,9053,11714,2077,9637,21549,260076,213997,179697,34300,10755,23545,46079,78059,7578,3216,4362,764,3598,1845,1340,505,505,0,3542,1792,1750,548,1202,65094,56068,9026,3073,5953,78059,5502,2165,674,1491,3337,534,94,440,2803,526,2277,72557,60251,37264,22987,12306,4356,1959,2397,7950,4007,3943
