ACSSF,2012m1,co,000,0006,0000001,0,0,0,11388,5572,2712,1082,4252,633,2894,1235,1011,1046,3017,65,3194,748,377,579,1586,614,189,1617,192,1928,283,8291,5069,4365,1640,6211,0,0,2504,4746,2513,4177,1150,2300,6568,1097,6399,0,16686,2834,3108,1249,625,13044,6665,4389,4194,0,0,0,0,0,0,11388,5572,2712,1082,4252,3194,8291,0,0,2504,4746,2513,4177,1150,2300,6568,1097,6399,0
ACSSF,2012m1,co,000,0006,0000002,13863,12378,6423,12436,5463,2529,1070,3996,610,2729,1196,986,1046,2929,65,3128,757,377,582,1575,614,189,1521,192,1926,283,8436,4975,4241,1634,6193,13863,12378,11442,4729,2508,4206,1115,2327,6415,1093,6197,6423,17110,2834,2985,1249,625,12090,6555,4246,4112,13863,12378,6423,13863,12378,6423,12436,5463,2529,1070,3996,3128,8436,13863,12378,11442,4729,2508,4206,1115,2327,6415,1093,6197,6423
ACSSF,2012m1,co,000,0006,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13863,12376,11610,1455,1428,1127,535,447,2084,82,2070,6423,5315,150,753,189,189,3240,1078,893,501,13863,12376,6423,13863,12376,6423,5558,1349,732,91,1489,539,3164,13863,12376,11610,1455,1428,1127,535,447,2084,82,2070,6423
ACSSF,2012m1,co,000,0006,0000004,1672,1830,1502,11480,5572,2695,1076,4056,633,2759,1190,981,1046,3002,52,3237,765,377,579,1508,614,189,1612,192,1928,283,8307,4872,4305,1329,6534,1672,1830,3231,4471,2288,3955,1114,2304,6510,1089,6318,1502,16192,2673,2931,1249,625,12569,6478,4239,4093,1672,1830,1502,1672,1830,1502,11480,5572,2695,1076,4056,3237,8307,1672,1830,3231,4471,2288,3955,1114,2304,6510,1089,6318,1502
ACSSF,2012m1,co,000,0006,0000005,0,0,0,11446,5422,2695,1081,3595,610,2709,1148,812,1011,2740,52,3053,728,377,579,1443,614,189,1422,192,1928,283,8104,4692,3801,1310,6428,0,0,2051,4254,2129,3915,858,2122,6537,1090,6342,0,15274,2670,2764,1249,625,11895,6440,4371,3994,0,0,0,0,0,0,11446,5422,2695,1081,3595,3053,8104,0,0,2051,4254,2129,3915,858,2122,6537,1090,6342,0
ACSSF,2012m1,co,000,0006,0000006,95,8229,8212,11064,3890,2006,644,2335,456,1300,1090,231,595,1836,189,1913,441,361,393,1051,362,189,957,52,778,283,7284,2922,3376,1138,5460,95,8229,9369,5349,1320,4047,995,1915,4614,571,4539,8212,11853,2575,2017,1092,151,10607,4727,3804,2246,95,8229,8212,95,8229,8212,11064,3890,2006,644,2335,1913,7284,95,8229,9369,5349,1320,4047,995,1915,4614,571,4539,8212
ACSSF,2012m1,co,000,0006,0000007,95,8229,8212,9687,3669,1734,996,2941,399,2326,746,762,811,1825,52,2198,585,134,435,982,520,189,1044,180,1759,189,5642,3691,3013,678,4014,95,8229,9185,4448,1910,3419,586,1054,4629,920,4508,8212,10632,1244,1812,569,579,7945,4170,2611,2829,95,8229,8212,95,8229,8212,9687,3669,1734,996,2941,2198,5642,95,8229,9185,4448,1910,3419,586,1054,4629,920,4508,8212
ACSSF,2012m1,co,000,0006,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,1832,2404,1411,842,388,704,526,904,40,905,1504,2965,147,757,189,189,2515,1198,1083,543,1672,1832,1504,1672,1832,1504,3585,1366,189,153,1437,851,2966,1672,1832,2404,1411,842,388,704,526,904,40,905,1504
ACSSF,2012m1,co,000,0006,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5941,4431,3538,5941,4431,3538,3614,1081,189,153,960,149,1040,5941,4431,4253,1068,698,249,518,189,504,189,504,3538
ACSSF,2012m1,co,000,0006,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6463,5017,4920,1042,679,357,517,526,781,40,782,3449,4213,147,724,189,189,2367,1042,918,322,6463,5017,3449,6463,5017,3449,3224,674,189,189,1102,847,2680,6463,5017,4920,1042,679,357,517,526,781,40,782,3449
