ACSSF,2012m1,co,000,0107,0000011,3914,1862,931,1762,3787,2053,3585,3914,1862,1135,911,934,472,831,89,1501,579,582,170,577,1329,3787,2587,2383,1203,880,879,236,3535,2219,995,578,799,3126,3914,1862,1687,1148,3787,1519,3789,3533,1594,3335,391,163,367,533,210,550,,,,,,,1154,878,861,582,336,418,3131,1371,2907,1464,1148,1645,3520,1294,1073,466,667,645,641,99,497,482,123,1202,520,205,368,156,189,1037,523,703,441,217,3334,3320,1076,1660,2284,2315,707,1148,1143,220,1590,1004,374,868,547,71,1222,412,837,588,287,1992,2121,1822,3914,1862,1516,1226,3787,2171,4064,3914,1862,3787,3914,1862,1135,1501,3787,2587,3535,3520,1294,1073,466,667,847,1202,520,205,368,156,1037,523,703,471,3334,3320,1076,1660,2640,1590,1004,374,868,534,1222,412,837,645
ACSSF,2012m1,co,000,0107,0000012,5056,2800,1133,2584,4590,2175,4225,5056,2800,1723,1181,1243,545,1130,89,1953,675,675,219,663,1776,4590,2982,2958,1516,1092,1107,464,4047,2815,1599,979,1066,3956,5056,2800,2126,1807,4590,2184,4514,4617,2419,4364,562,290,481,781,303,804,,,,,,,1596,886,1323,827,495,650,4235,1998,4042,1839,1509,1933,4913,2030,1418,545,942,711,707,187,637,604,185,1466,590,200,457,199,189,1280,522,1002,743,246,4504,4171,1411,2170,3419,3460,965,1404,1366,239,2288,1497,409,1063,961,353,1590,533,1126,928,563,1325,1897,1190,5056,2800,2030,1889,4590,2477,4926,5056,2800,4590,5056,2800,1723,1953,4590,2982,4047,4913,2030,1418,545,942,983,1466,590,200,457,199,1280,522,1002,753,4504,4171,1411,2170,3538,2288,1497,409,1063,1018,1590,533,1126,1077
ACSSF,2012m1,co,000,0107,0000013,2043,1752,842,1762,2248,1519,2555,2043,1752,1488,1147,1150,708,928,313,1105,531,539,274,472,784,2248,2663,2411,1889,1220,1362,303,2498,2129,1409,935,1041,2566,2043,1752,1463,1517,2248,1468,2491,2326,1741,2235,727,587,635,425,200,398,610,304,710,,,,1291,631,1087,895,441,810,2137,1323,2017,1910,1227,1979,3193,1591,1257,288,802,676,581,353,592,561,181,1280,827,136,769,358,213,1035,624,815,293,349,3008,2988,977,1945,2284,2216,610,1452,1403,475,2006,1394,366,1040,925,638,1568,621,1049,1144,683,1601,3657,1592,2043,1752,1527,1440,2248,2060,2961,2043,1752,2248,2043,1752,1488,1105,2248,2663,2498,3193,1591,1257,288,802,916,1280,827,136,769,373,1035,624,815,480,3008,2988,977,1945,2546,2006,1394,366,1040,1218,1568,621,1049,1304
ACSSF,2012m1,co,000,0107,0000014,1919,2243,830,1990,2437,1757,2565,1919,2243,1702,1104,1369,637,1208,281,1109,373,585,238,570,869,2437,3104,2673,2014,1120,1689,296,3007,2397,1567,1073,1354,2891,1919,2243,1696,1513,2437,1695,2490,2466,1645,2226,1332,1166,1455,487,161,473,845,274,855,,,,1382,484,1390,1095,584,1078,2136,1390,2087,1557,1279,1615,3536,1863,1112,308,670,725,617,420,399,399,189,1488,719,102,707,178,134,1342,426,1145,730,93,3601,2749,993,1900,2835,2608,882,1581,1491,428,2363,1548,474,1113,998,441,2008,535,1465,1121,596,1291,3367,1897,1919,2243,1438,1665,2437,2202,3085,1919,2243,2437,1919,2243,1702,1109,2437,3104,3007,3536,1863,1112,308,670,822,1488,719,102,707,221,1342,426,1145,730,3601,2749,993,1900,2796,2363,1548,474,1113,1082,2008,535,1465,1285
ACSSF,2012m1,co,000,0107,0000015,1566,1185,491,1144,2086,1218,2429,1566,1185,990,603,833,384,703,189,805,248,329,189,329,727,2086,2036,1804,1303,957,1054,416,2342,2202,1005,521,812,2547,1566,1185,973,906,2086,1528,2026,2024,1136,2255,,,,,,,848,240,847,,,,854,290,816,627,149,607,1692,986,1813,1111,723,1003,2710,1024,630,198,552,245,204,89,188,188,189,852,384,189,226,322,189,697,346,574,180,180,2919,2742,696,1703,2522,2403,419,1179,1114,503,1675,1073,147,712,830,74,1338,348,909,599,267,3583,8080,3266,1566,1185,782,952,2086,1568,2407,1566,1185,2086,1566,1185,990,805,2086,2036,2342,2710,1024,630,198,552,285,852,384,189,226,322,697,346,574,255,2919,2742,696,1703,2600,1675,1073,147,712,838,1338,348,909,638
ACSSF,2012m1,co,000,0107,0000016,2772,2516,1180,2355,3651,2111,3914,2772,2516,2255,1229,1939,744,1803,71,2001,444,586,180,584,1816,3651,3062,2506,1972,1184,1747,214,4076,2851,1964,1229,1282,3949,2772,2516,2148,1679,3651,2760,3591,3395,1880,3479,1624,1407,1602,545,390,486,1119,579,1168,,,,1673,1149,1462,1239,411,1164,2918,1485,3087,2421,1863,2591,4205,2175,1303,452,989,704,725,229,497,467,257,1978,774,400,566,276,185,1841,659,1427,593,555,4093,3608,1033,2209,2931,2768,901,1251,1130,484,2781,1648,231,1198,1000,497,2128,616,1614,1164,772,1534,2367,1917,2772,2516,1335,2352,3651,2544,3604,2772,2516,3651,2772,2516,2255,2001,3651,3062,4076,4205,2175,1303,452,989,829,1978,774,400,566,290,1841,659,1427,793,4093,3608,1033,2209,2934,2781,1648,231,1198,1110,2128,616,1614,1494
ACSSF,2012m1,co,000,0107,0000017,1285,1136,329,1095,1643,1123,1858,1285,1136,956,390,814,444,620,127,517,67,91,189,91,520,1643,1988,1811,1130,564,1092,351,2232,1927,944,908,615,2077,1285,1136,630,876,1643,1282,1885,1553,1015,1670,370,410,559,,,,605,101,672,,,,,,,341,80,342,1521,982,1523,814,153,821,1917,956,408,50,155,324,295,90,145,145,189,810,444,189,419,189,124,626,103,538,89,273,2109,2434,786,1594,2443,2328,712,1185,1143,498,1201,956,281,919,296,81,1224,140,1039,750,217,3642,16488,3536,1285,1136,761,687,1643,2040,2619,1285,1136,1643,1285,1136,956,517,1643,1988,2232,1917,956,408,50,155,365,810,444,189,419,124,626,103,538,276,2109,2434,786,1594,2442,1201,956,281,919,310,1224,140,1039,789
ACSSF,2012m1,co,000,0107,0000018,2514,2185,871,1859,3246,2224,3461,2514,2185,1731,931,1564,438,1506,217,1340,544,782,263,716,1048,3246,3024,2745,1952,1282,1771,441,3899,3326,1382,789,1173,3643,2514,2185,1669,1594,3246,2207,3500,3162,1958,3268,1460,855,1437,590,188,540,764,471,755,,,,1376,709,1275,1205,503,1007,2898,1628,3202,1702,1188,2016,3550,1815,1016,335,604,604,554,278,669,595,293,1663,471,219,279,287,129,1662,947,1031,766,189,3583,3830,1533,2603,2788,2756,806,1626,1545,284,2196,1470,160,1268,892,497,1894,603,1784,1173,267,1863,4272,2538,2514,2185,1823,1673,3246,2825,3884,2514,2185,3246,2514,2185,1731,1340,3246,3024,3899,3550,1815,1016,335,604,876,1663,471,219,279,319,1662,947,1031,766,3583,3830,1533,2603,2933,2196,1470,160,1268,1024,1894,603,1784,1211
ACSSF,2012m1,co,000,0107,0000019,2040,2062,803,1822,2557,1861,3099,2040,2062,1573,612,1382,555,1285,433,1436,451,644,447,481,1243,2557,2657,2336,1898,998,1574,412,3300,2646,1460,1018,942,3126,2040,2062,1219,1698,2557,1747,2911,2693,1969,2983,445,292,571,622,302,583,649,235,648,,,,998,361,974,905,331,840,2557,1479,2709,1541,1134,1536,2846,1691,718,305,510,315,293,135,238,214,100,1509,685,261,546,200,189,1338,686,839,540,318,2873,3293,1188,2096,3050,3077,583,1717,1653,488,2125,1371,390,918,925,487,1706,525,1343,889,575,2105,3049,1614,2040,2062,1274,1665,2557,2191,3352,2040,2062,2557,2040,2062,1573,1436,2557,2657,3300,2846,1691,718,305,510,397,1509,685,261,546,200,1338,686,839,634,2873,3293,1188,2096,3143,2125,1371,390,918,1113,1706,525,1343,1031
ACSSF,2012m1,co,000,0107,0000020,1979,1505,595,1406,2283,1581,2483,1979,1505,1103,682,922,459,769,189,1065,373,49,39,30,957,2283,1996,2006,1433,884,1079,376,2510,1930,1397,774,1063,2523,1979,1505,1100,984,2283,1578,2458,2163,1377,2367,368,267,323,,,,412,212,386,,,,775,488,633,739,220,761,2106,1189,2293,1245,675,1172,2635,1141,759,87,557,467,406,229,306,292,126,919,458,189,458,189,189,771,382,561,446,54,2792,3010,903,1713,2670,2627,601,1135,1143,252,2017,1102,270,789,736,157,1533,442,1185,833,371,1640,1991,2716,1979,1505,862,1203,2283,2008,2617,1979,1505,2283,1979,1505,1103,1065,2283,1996,2510,2635,1141,759,87,557,577,919,458,189,458,189,771,382,561,449,2792,3010,903,1713,2619,2017,1102,270,789,752,1533,442,1185,977
