ACSSF,2012e1,co,000,0170,0000011,306970,123617,75676,71261,4046,67215,4415,3527,888,47941,45975,2903,43072,1966,1667,299,88307,41461,35482,4237,31245,5979,5771,208,46846,41695,6531,35164,5151,4823,328,95046,38734,18980,7804,11176,19754,19592,162,56312,30695,10661,20034,25617,25231,386,390783,83013,61293,25008,48450,21720,106215,77597,52240,39811,28618,80097,66635,55503,21065,13462,52821,47906,42632,10908,4915,68637,61130,55505,11755,7507,306970,123617,117236,6949,110287,6381,5194,1187,88307,77177,10768,66409,11130,10594,536,95046,49675,18465,31210,45371,44823,548
ACSSF,2012e1,co,000,0170,0000012,513301,213641,128567,121980,5174,116806,6587,5573,1014,85074,82322,4615,77707,2752,2219,533,149218,71418,61930,7214,54716,9488,9161,327,77800,70040,10339,59701,7760,7265,495,150442,60611,28863,12088,16775,31748,31107,641,89831,48862,15054,33808,40969,40231,738,654698,127326,94215,41606,71310,33111,172746,130777,87890,66275,41969,136042,113446,97100,32511,22596,90463,81509,73362,17560,8954,128121,115471,108036,18378,12650,513301,213641,204302,9789,194513,9339,7792,1547,149218,131970,17553,114417,17248,16426,822,150442,77725,27142,50583,72717,71338,1379
ACSSF,2012e1,co,000,0170,0000013,326039,156486,91691,88949,4115,84834,2742,2067,675,64795,63174,2848,60326,1621,993,628,83781,39685,37999,5011,32988,1686,1392,294,44096,41584,5729,35855,2512,2292,220,85772,30443,17360,5869,11491,13083,12818,265,55329,36850,12056,24794,18479,17469,1010,455171,65339,43353,12542,35125,21986,107081,75174,41093,44470,31907,108610,84081,68897,21890,24529,77562,67248,57912,13669,10314,96579,86712,80710,11394,9867,326039,156486,152123,6963,145160,4363,3060,1303,83781,79583,10740,68843,4198,3684,514,85772,54210,17925,36285,31562,30287,1275
ACSSF,2012e1,co,000,0170,0000014,442771,214226,120725,115447,6110,109337,5278,4268,1010,93501,90895,3929,86966,2606,2063,543,114687,52516,47767,5748,42019,4749,4447,302,62171,57476,6753,50723,4695,4563,132,113858,41339,23202,7853,15349,18137,17704,433,72519,44098,11748,32350,28421,27867,554,589861,78708,55739,19679,43287,22969,119077,87062,56559,41364,32015,119408,98025,85185,25470,21383,78983,71516,66868,13198,7467,193685,183300,172145,25360,10385,442771,214226,206342,10039,196303,7884,6331,1553,114687,105243,12501,92742,9444,9010,434,113858,67300,19601,47699,46558,45571,987
ACSSF,2012e1,co,000,0170,0000015,240868,102968,61936,59560,1713,57847,2376,2019,357,41032,39547,862,38685,1485,1322,163,83465,38850,36576,1915,34661,2274,2242,32,44615,41903,2472,39431,2712,2712,0,54435,19672,9564,2050,7514,10108,9892,216,34763,21256,4155,17101,13507,12987,520,295478,46222,37008,26620,14068,9214,50046,42512,30088,19124,7534,44978,39272,35403,8820,5706,33706,32278,30204,5216,1428,120526,115430,111962,9974,5096,240868,102968,99107,2575,96532,3861,3341,520,83465,78479,4387,74092,4986,4954,32,54435,30820,6205,24615,23615,22879,736
ACSSF,2012e1,co,000,0170,0000016,489820,236156,132040,127630,6178,121452,4410,3402,1008,104116,101980,5378,96602,2136,1384,752,129453,62471,58996,8366,50630,3475,3364,111,66982,61728,11199,50529,5254,4952,302,124211,49284,29773,15598,14175,19511,19125,386,74927,44825,15596,29229,30102,29581,521,618269,129606,99390,35437,75177,30216,143548,109243,66404,55401,34305,109313,89777,71904,27006,19536,78002,70170,62841,12211,7832,157800,146316,139311,15681,11484,489820,236156,229610,11556,218054,6546,4786,1760,129453,120724,19565,101159,8729,8316,413,124211,74598,31194,43404,49613,48706,907
ACSSF,2012e1,co,000,0170,0000017,210489,109720,67156,65201,1772,63429,1955,1624,331,42564,41732,453,41279,832,792,40,53501,21031,18701,1061,17640,2330,2197,133,32470,30614,1317,29297,1856,1721,135,47268,14351,6679,995,5684,7672,7591,81,32917,22236,2558,19678,10681,10499,182,297306,15337,12087,8047,6892,3250,29823,26968,23431,8458,2855,39785,34771,30714,9383,5014,46541,43212,41016,5789,3329,165820,161035,157217,10802,4785,210489,109720,106933,2225,104708,2787,2416,371,53501,49315,2378,46937,4186,3918,268,47268,28915,3553,25362,18353,18090,263
ACSSF,2012e1,co,000,0170,0000018,450202,193835,109855,106206,8201,98005,3649,3242,407,83980,82296,4627,77669,1684,970,714,123293,53521,48193,7491,40702,5328,5195,133,69772,64648,10339,54309,5124,4851,273,133074,49378,28131,11448,16683,21247,21162,85,83696,52789,12847,39942,30907,30581,326,609721,95601,72725,36279,49891,22876,125148,99104,72200,41882,26044,120704,102854,90352,26233,17850,95009,87819,80553,16864,7190,173259,162553,154640,25568,10706,450202,193835,188502,12828,175674,5333,4212,1121,123293,112841,17830,95011,10452,10046,406,133074,80920,24295,56625,52154,51743,411
ACSSF,2012e1,co,000,0170,0000019,422494,203522,115125,111594,2072,109522,3531,2434,1097,88397,84430,2033,82397,3967,3013,954,108152,47135,41446,3151,38295,5689,5572,117,61017,55480,4431,51049,5537,5307,230,110820,44260,21317,6770,14547,22943,22192,751,66560,36123,8640,27483,30437,29625,812,536614,65634,49699,22451,35772,15935,94390,75670,56981,33054,18720,90315,80048,70272,21289,10267,83941,77698,71163,14074,6243,202334,193925,186869,17940,8409,422494,203522,196024,4105,191919,7498,5447,2051,108152,96926,7582,89344,11226,10879,347,110820,57440,15410,42030,53380,51817,1563
ACSSF,2012e1,co,000,0170,0000020,244252,97654,58209,56413,2942,53471,1796,1431,365,39445,38078,1439,36639,1367,1037,330,84398,38540,35843,3585,32258,2697,2697,0,45858,42546,4766,37780,3312,3312,0,62200,23076,10542,3711,6831,12534,12402,132,39124,22097,4590,17507,17027,16771,256,301362,51255,40830,24719,22236,10425,61130,48907,39295,19637,12223,55249,48741,43104,12765,6508,50029,45581,41126,11401,4448,83699,80630,77914,8195,3069,244252,97654,94491,4381,90110,3163,2468,695,84398,78389,8351,70038,6009,6009,0,62200,32639,8301,24338,29561,29173,388
