ACSSF,2012m1,co,000,0121,0000011,1514,1627,3285,5421,3715,5994,23256,9732,20566,2457,3523,8532,1865,3011,4402,11103,8287,1200,2158,11045,4204,8357,2068,3346,1276,1683,4195,1984,2985,6038,4069,6125,2654,4284,3382,10665,1514,817,2304,3536,3148,6700,14117,14197,9310,14839,4737,10690,16815,11255,8502,19328,13863,7557,1855,19358,13147,2528,8027,3308,2143,8406,3439,4216,2781,2356,8043,4447,6125,2586,4223,4763,12918,1528,1503,3596,6115,4812,5915,42711,19389,19433,2264,3228,24719,2885,3910,7609,9197,7377,1891,1953,8538,16694,11101,2653,3446,1846,2463,3144,2447,9071,4694,79994,.,9926,9928,12239,18976,3130,2485,1988,1566,1541,2066,1388,1883,1744,1488,1923,314,645,2152,1485,727,995,779,1151,851,1338,605,1459,976,327,218
ACSSF,2012m1,co,000,0121,0000012,663,765,2236,3654,2642,6307,5011,19865,8533,1838,4846,6977,2341,4096,5354,1558,5099,1612,2902,3802,2655,4783,2473,3168,5135,1421,2424,2012,1301,5251,3982,5208,1146,3554,1136,3892,663,1925,2351,1427,1578,6854,8077,10233,12712,9656,5286,6190,23338,4255,4992,8002,21731,9784,1879,28319,5167,2089,6048,2706,2621,5291,2705,3279,4449,1296,6523,3750,5209,1644,2918,4432,5026,997,1524,5080,5681,4165,14958,14354,15799,21690,1812,7076,23064,3724,6690,6839,7350,8278,1881,2864,6553,8283,6865,1848,3292,1308,1875,2692,2151,8325,4393,59706,16509,4998,6194,12355,6150,3876,3054,2904,2185,2152,2877,1752,2698,2786,2011,2721,446,734,2581,1656,1189,1156,1380,1772,1230,1614,1076,1692,1223,529,708
ACSSF,2012m1,co,000,0121,0000013,703,2803,5309,6646,3049,3658,4341,6280,22312,4377,6635,14220,3335,7306,3156,6733,12240,1179,5328,11724,5521,12751,1922,3101,6170,1129,4608,1286,2800,1570,4641,4808,1723,2771,7055,5007,703,1336,5172,4659,4379,12278,3760,11108,9489,34286,3418,6337,31111,20113,20849,24580,46733,27930,1709,18172,24496,4868,12627,6667,6371,1293,6059,6349,4961,2993,7844,4466,5253,1714,1804,6064,10158,1644,3020,2515,7605,3039,4900,5199,16805,32624,7900,14604,14116,3042,9813,3677,6151,12967,1772,5005,25904,14228,36437,1002,2040,6166,1761,3349,1542,31264,16314,28368,25294,6790,3965,11570,7021,3195,1832,1824,1539,1745,1825,1669,2543,2094,1670,2081,471,772,2590,1717,1540,1584,1661,2055,1906,1956,1200,1730,1586,455,958
ACSSF,2012m1,co,000,0121,0000014,712,1803,4601,4365,2624,2496,3575,9072,15382,1829,3775,11656,2318,5198,3719,4740,6723,1838,3935,10656,7316,15111,1554,3952,2476,938,2189,1801,3815,35253,3894,4443,2522,2097,5889,7579,712,1026,3908,6360,8126,5590,5878,6236,8093,26427,6089,8175,50493,9824,13506,23457,23251,8404,1082,1981,12662,5134,12201,3721,3713,5672,3418,4463,3846,4071,32868,3228,4282,2675,6362,9237,17303,1785,2157,2897,6395,4108,6345,9913,5866,9886,2042,3518,9775,4481,9258,4082,4369,7234,1775,4658,12856,21245,58490,1697,1858,2890,1350,4394,1880,25886,5302,23737,28816,4100,6576,5222,3977,3655,2163,2420,1371,1849,1651,1573,2485,2601,1853,2153,440,807,2001,1158,1042,1688,1010,1367,1084,1483,1195,1361,1236,433,558
ACSSF,2012m1,co,000,0121,0000015,1509,3860,8023,8188,6589,5454,10068,4733,34820,3581,5452,69731,4630,4259,9963,12568,10286,2441,4389,46050,39498,26137,1304,4978,3132,3407,3897,3456,2200,2357,4103,10285,5663,8268,5882,1176,1509,4259,5092,9672,17537,16859,6182,11185,5930,44947,6410,20669,54700,11507,12139,57965,54700,13595,3078,8125,35785,25665,26592,3517,6703,5684,6547,14586,10835,2448,2175,4800,9381,8426,8494,12445,1443,2513,2911,7949,13783,13105,15563,20884,29189,17259,2848,9322,2149,3802,6029,8027,11135,16192,1929,2702,42393,.,.,1940,6082,2063,2403,8547,3402,32239,.,12308,61261,7725,10197,6777,15127,2789,1830,2249,1443,1912,1295,1139,1886,1847,1421,1454,456,599,1465,883,984,841,778,935,775,1158,630,1003,570,202,566
ACSSF,2012m1,co,000,0121,0000016,1239,2809,3577,2802,4432,3073,5380,7467,16108,2494,5490,13548,4694,6199,5635,3050,9955,1128,4928,8504,8873,18935,1246,1530,4274,1078,5617,975,3399,18982,3329,3568,2654,2952,3089,5375,1239,2426,1744,4617,6537,7627,4280,5577,7269,15192,6466,5603,46185,10228,9290,37663,29502,19325,2015,8810,8182,5774,17511,2983,1753,8230,5591,9238,4013,3366,6622,2999,3406,3000,3385,3120,6997,1301,2567,4648,7361,2775,8619,14205,7193,9975,3170,8109,11442,6957,9338,4384,5529,9254,1311,8002,49812,22446,45851,1567,3399,1859,1173,4406,1106,35403,2958,19594,28249,4928,5422,7363,12358,3537,2374,2902,1894,2136,1651,1404,2615,3146,1530,2325,504,720,2933,2121,1422,1888,1442,1745,1801,1978,1263,1850,1707,388,938
ACSSF,2012m1,co,000,0121,0000017,881,2167,4332,5473,6478,4718,6264,10549,23129,4946,7590,18079,5829,12665,6189,7584,11346,3109,6389,12471,34968,10455,1915,6362,3287,1272,2251,2413,10534,25062,5344,3300,7770,7880,24299,16466,881,5544,4788,7666,3991,12586,2802,4520,8774,58216,8613,15328,101116,21743,8280,97325,149691,30282,7939,65872,9937,26514,10635,3156,5186,27005,11453,16573,4286,10673,.,7068,3228,6248,5055,24645,9625,2927,3800,7071,9459,5340,12012,7539,18866,14424,8032,11252,47215,8703,34185,5508,8537,24298,2489,6516,87174,32409,.,11164,6523,4322,2420,9213,3175,39923,20128,.,25261,7930,7193,25123,.,3078,1540,2209,1426,1886,1384,1001,2498,2017,1356,1923,304,665,946,610,755,684,467,239,457,776,650,405,692,189,364
ACSSF,2012m1,co,000,0121,0000018,663,1262,3579,7243,5845,4957,5938,9464,32826,3799,4236,13428,3357,6176,5105,9402,3378,1132,2638,5599,12063,12012,2240,4547,3315,990,2276,2040,3899,31092,4896,5820,1814,2603,5048,7550,663,1818,4264,4117,5957,6578,3579,5805,6399,67982,6544,11730,144400,11898,13790,20520,28916,3792,2959,18519,9384,9708,10248,4999,1639,4595,3931,7328,6019,3423,10080,4910,5487,2423,2503,7325,7978,1104,1517,5884,7676,6331,12944,17518,34559,18467,1702,3769,18842,3441,7017,6409,6413,4381,2472,2353,13335,21830,28021,2650,2258,2409,1213,2791,1632,2665,5058,.,29033,7555,8822,8704,17838,4295,2810,2589,2154,2318,2227,1686,2895,2797,2196,2879,538,908,2093,1490,769,1170,979,1364,998,1632,1150,1064,1411,189,422
ACSSF,2012m1,co,000,0121,0000019,596,1119,5393,6460,4366,6239,3330,9166,7918,1945,5224,32661,4542,5461,6922,2620,7534,2039,2637,17007,29087,11061,3155,4330,4181,2316,2616,1108,1402,32743,4759,4568,2361,3232,6415,5872,596,3093,4778,5368,2923,6624,2195,8200,7409,13088,9690,5988,13433,7352,17034,13155,43584,10912,3820,21333,13226,42454,12094,3957,11825,16126,3349,4935,5685,1436,36606,4344,5314,4116,2200,9515,7857,1619,1588,3802,9416,4864,6275,12524,9909,10108,3072,3952,11244,5477,11964,9411,4747,9489,1811,1928,16536,8076,20169,3167,2260,3928,1413,6232,1137,19393,.,38320,13355,6640,14081,5243,13348,3677,2353,2923,1575,1852,1767,2084,2687,2663,1927,2153,366,935,2021,1163,1125,916,943,883,873,1433,1036,1160,1169,143,461
ACSSF,2012m1,co,000,0121,0000020,1201,2183,2830,9560,5249,6728,4634,15311,11372,6148,9202,15074,7575,12974,9666,5831,7822,1593,3301,19134,13690,16407,1388,7282,2233,2383,3474,3497,3953,5515,6079,9408,4433,7434,6302,9317,1201,3615,6022,10621,11325,10545,5906,9356,17482,21385,14581,17634,26025,15815,16136,64163,28022,17982,3280,554,16001,20412,16676,1788,8236,6205,8176,4452,6844,3615,22239,6164,8986,5780,11993,10691,14588,1562,2996,3163,9846,3314,14020,19181,49919,11617,5380,10829,16148,6338,14002,4424,9436,5970,1855,3276,23078,22858,24428,3095,3459,2835,3084,3952,5747,25032,5257,92923,25824,9143,7066,5149,8355,3048,2190,2330,1639,1576,1603,1585,2290,1884,1602,1894,274,752,1116,900,608,657,522,867,809,867,626,713,670,363,307
