ACSSF,2012e1,co,000,0028,0000001,,,,,,,,,,,,402470,335166,66102,18202,10034,8168,5436,2373,3063,42464,1202,,,,,,,,,5123944,4131357,956981,328607,322162,6445,628374,170475,457899,252839,205060,22259,43554,66251,72996,35606,1144,387,34075,,,,,,,,,,,,,,,,,,402470,335166,66102,18202,10034,8168,5436,42464,1202,5123944,4131357,956981,328607,628374,170475,457899,252839,205060,35606,1144,34462,,,,,,,,,
ACSSF,2012e1,co,000,0028,0000002,,,,,,,,,,,,179588,141480,37540,9485,5059,4426,2759,1534,1225,25296,568,,,,,,,,,4423628,3526007,865753,319891,313446,6445,545862,136945,408917,228881,180036,19717,38284,57836,64199,31868,1144,387,30337,,,,,,,,,,,,,,,,,,179588,141480,37540,9485,5059,4426,2759,25296,568,4423628,3526007,865753,319891,545862,136945,408917,228881,180036,31868,1144,30724,,,,,,,,,
ACSSF,2012e1,co,000,0028,0000003,,,,,,,,,,,,222882,193686,28562,8717,4975,3742,2677,839,1838,17168,634,,,,,,,,,700316,605350,91228,8716,8716,0,82512,33530,48982,23958,25024,2542,5270,8415,8797,3738,0,0,3738,,,,,,,,,,,,,,,,,,222882,193686,28562,8717,4975,3742,2677,17168,634,700316,605350,91228,8716,82512,33530,48982,23958,25024,3738,0,3738,,,,,,,,,
ACSSF,2012e1,co,000,0028,0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4721474,3796191,890879,310001,303556,6445,580878,154490,426388,234903,191485,21378,41186,62097,66824,34404,1144,387,32873,,,,,,,,,,,,,,,,,,,,,,,,,,,4721474,3796191,890879,310001,580878,154490,426388,234903,191485,34404,1144,33260,,,,,,,,,
ACSSF,2012e1,co,000,0028,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4445881,3570381,841864,298044,291599,6445,543820,139969,403851,222987,180864,19279,38106,59295,64184,33636,1144,387,32105,,,,,,,,,,,,,,,,,,,,,,,,,,,4445881,3570381,841864,298044,543820,139969,403851,222987,180864,33636,1144,32492,,,,,,,,,
ACSSF,2012e1,co,000,0028,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019243,1533273,467256,228777,224347,4430,238479,32003,206476,111159,95317,10787,22021,30137,32372,18714,668,337,17709,,,,,,,,,,,,,,,,,,,,,,,,,,,2019243,1533273,467256,228777,238479,32003,206476,111159,95317,18714,668,18046,,,,,,,,,
ACSSF,2012e1,co,000,0028,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426638,2037108,374608,69267,67252,2015,305341,107966,197375,111828,85547,8492,16085,29158,31812,14922,476,50,14396,,,,,,,,,,,,,,,,,,,,,,,,,,,2426638,2037108,374608,69267,305341,107966,197375,111828,85547,14922,476,14446,,,,,,,,,
ACSSF,2012e1,co,000,0028,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275593,225810,49015,11957,11957,0,37058,14521,22537,11916,10621,2099,3080,2802,2640,768,0,0,768,,,,,,,,,,,,,,,,,,,,,,,,,,,275593,225810,49015,11957,37058,14521,22537,11916,10621,768,0,768,,,,,,,,,
ACSSF,2012e1,co,000,0028,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90800,71523,19266,9841,9841,0,9425,2737,6688,4153,2535,0,771,821,943,11,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,90800,71523,19266,9841,9425,2737,6688,4153,2535,11,0,11,,,,,,,,,
ACSSF,2012e1,co,000,0028,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184793,154287,29749,2116,2116,0,27633,11784,15849,7763,8086,2099,2309,1981,1697,757,0,0,757,,,,,,,,,,,,,,,,,,,,,,,,,,,184793,154287,29749,2116,27633,11784,15849,7763,8086,757,0,757,,,,,,,,,
ACSSF,2012e1,co,000,0028,0000011,,,,,,,,,,,,402470,335166,66102,18202,10034,8168,5436,2373,3063,42464,1202,,,,,,,,,402470,335166,66102,18606,18606,0,47496,15985,31511,17936,13575,881,2368,4154,6172,1202,0,0,1202,,,,,,,,,,,,,,,,,,402470,335166,66102,18202,10034,8168,5436,42464,1202,402470,335166,66102,18606,47496,15985,31511,17936,13575,1202,0,1202,,,,,,,,,
