ACSSF,2012e1,co,000,0176,0000001,2520151,188058,2332093,2520151,2351937,343337,2008600,168214,2520151,2351937,257265,2094672,168214,2495177,25756,2469421
ACSSF,2012e1,co,000,0176,0000002,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000003,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000004,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000005,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000006,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000007,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000008,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000009,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000010,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000011,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000012,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000013,171062,10653,160409,171062,162171,24865,137306,8891,171062,162171,18374,143797,8891,170741,909,169832
ACSSF,2012e1,co,000,0176,0000014,280970,14106,266864,280970,266335,30354,235981,14635,280970,266335,20243,246092,14635,280382,2720,277662
ACSSF,2012e1,co,000,0176,0000015,186669,15980,170689,186669,168814,23455,145359,17855,186669,168814,18464,150350,17855,184779,2068,182711
ACSSF,2012e1,co,000,0176,0000016,473676,29020,444656,473676,452963,66565,386398,20713,473676,452963,51770,401193,20713,471234,4552,466682
ACSSF,2012e1,co,000,0176,0000017,108800,3917,104883,108800,93894,10646,83248,14906,108800,93894,6985,86909,14906,108744,745,107999
ACSSF,2012e1,co,000,0176,0000018,301174,20747,280427,301174,284673,36154,248519,16501,301174,284673,25927,258746,16501,289898,2184,287714
ACSSF,2012e1,co,000,0176,0000019,229543,14557,214986,229543,210109,31532,178577,19434,229543,210109,22129,187980,19434,228848,3110,225738
ACSSF,2012e1,co,000,0176,0000020,154176,14538,139638,154176,141730,22645,119085,12446,154176,141730,17126,124604,12446,152174,1861,150313
ACSSF,2012e1,co,000,0176,0000021,65400,6107,59293,65400,62230,9402,52828,3170,65400,62230,8131,54099,3170,64116,388,63728
ACSSF,2012e1,co,000,0176,0000022,62070,3986,58084,62070,60044,8274,51770,2026,62070,60044,5419,54625,2026,61581,887,60694
ACSSF,2012e1,co,000,0176,0000023,103734,20341,83393,103734,96222,25133,71089,7512,103734,96222,22098,74124,7512,102174,736,101438
ACSSF,2012e1,co,000,0176,0000024,30505,2108,28397,30505,26325,4806,21519,4180,30505,26325,3212,23113,4180,30337,406,29931
ACSSF,2012e1,co,000,0176,0000025,125996,6245,119751,125996,121469,13085,108384,4527,125996,121469,9512,111957,4527,125470,1010,124460
ACSSF,2012e1,co,000,0176,0000026,99825,6665,93160,99825,93010,12048,80962,6815,99825,93010,8927,84083,6815,98143,727,97416
ACSSF,2012e1,co,000,0176,0000027,53644,2642,51002,53644,49263,5827,43436,4381,53644,49263,3637,45626,4381,53533,750,52783
ACSSF,2012e1,co,000,0176,0000028,219240,16204,203036,219240,207866,28328,179538,11374,219240,207866,20057,187809,11374,218207,1550,216657
ACSSF,2012e1,co,000,0176,0000029,473676,29020,444656,473676,452963,66565,386398,20713,473676,452963,51770,401193,20713,471234,4552,466682
ACSSF,2012e1,co,000,0176,0000030,91098,9053,82045,91098,85779,13256,72523,5319,91098,85779,10346,75433,5319,90170,972,89198
ACSSF,2012e1,co,000,0176,0000031,46066,10023,36043,46066,44208,12293,31915,1858,46066,44208,10672,33536,1858,44594,176,44418
ACSSF,2012e1,co,000,0176,0000032,26549,1337,25212,26549,21702,2841,18861,4847,26549,21702,2097,19605,4847,26549,168,26381
ACSSF,2012e1,co,000,0176,0000033,76058,3997,72061,76058,72840,9421,63419,3218,76058,72840,6698,66142,3218,75781,360,75421
ACSSF,2012e1,co,000,0176,0000034,38223,3680,34543,38223,34809,4799,30010,3414,38223,34809,3808,31001,3414,38101,646,37455
ACSSF,2012e1,co,000,0176,0000035,36327,2662,33665,36327,33551,5701,27850,2776,36327,33551,3555,29996,2776,35860,279,35581
ACSSF,2012e1,co,000,0176,0000036,47117,2578,44539,47117,46058,5854,40204,1059,47117,46058,3448,42610,1059,46704,809,45895
ACSSF,2012e1,co,000,0176,0000037,26292,2403,23889,26292,23890,3520,20370,2402,26292,23890,2752,21138,2402,26292,103,26189
ACSSF,2012e1,co,000,0176,0000038,39307,2296,37011,39307,36098,5554,30544,3209,39307,36098,3235,32863,3209,39305,275,39030
ACSSF,2012e1,co,000,0176,0000039,99825,6665,93160,99825,93010,12048,80962,6815,99825,93010,8927,84083,6815,98143,727,97416
ACSSF,2012e1,co,000,0176,0000040,219240,16204,203036,219240,207866,28328,179538,11374,219240,207866,20057,187809,11374,218207,1550,216657
ACSSF,2012e1,co,000,0176,0000041,125996,6245,119751,125996,121469,13085,108384,4527,125996,121469,9512,111957,4527,125470,1010,124460
ACSSF,2012e1,co,000,0176,0000042,473676,29020,444656,473676,452963,66565,386398,20713,473676,452963,51770,401193,20713,471234,4552,466682
ACSSF,2012e1,co,000,0176,0000043,91098,9053,82045,91098,85779,13256,72523,5319,91098,85779,10346,75433,5319,90170,972,89198
ACSSF,2012e1,co,000,0176,0000044,36327,2662,33665,36327,33551,5701,27850,2776,36327,33551,3555,29996,2776,35860,279,35581
ACSSF,2012e1,co,000,0176,0000045,46066,10023,36043,46066,44208,12293,31915,1858,46066,44208,10672,33536,1858,44594,176,44418
ACSSF,2012e1,co,000,0176,0000046,47117,2578,44539,47117,46058,5854,40204,1059,47117,46058,3448,42610,1059,46704,809,45895
ACSSF,2012e1,co,000,0176,0000047,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000048,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000049,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000050,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000051,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000052,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000053,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000054,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000055,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000056,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000057,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000058,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000059,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000060,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000061,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000062,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000063,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000064,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000065,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000066,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000067,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000068,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000069,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000070,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000071,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000072,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000073,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000074,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000075,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000076,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000077,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000078,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000079,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000080,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000081,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000082,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000083,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000084,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000085,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000086,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000087,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000088,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000089,,,,,,,,,,,,,,,,
ACSSF,2012e1,co,000,0176,0000090,,,,,,,,,,,,,,,,
