ACSSF,2012m1,co,000,0129,0000013,4102,1774,2568,2663,1358,2541,2023,1050,1755,2831,3018,2703,2170,1636,3376,1549,774,1014,381,933,537,795,955,1667,2204,842,860,814,3292,553,189,188,87,748,240,126,506,1686,1606,2141,1152,714,3624,629,325,945,1063,2387,929,734,1440,1152,1235,928,449,1049,2812,431,2383,546,243,695,369,435,362,399,392,456,946,527,2806,117,659,2024,899,728,1607,175,82,1123,429,637,868,248
ACSSF,2012m1,co,000,0129,0000014,4785,873,2281,1985,1328,3142,1872,1595,2171,3486,2802,3174,1983,1759,4177,710,915,1138,668,831,820,1120,1451,2385,2378,1577,1015,1216,3710,245,126,226,140,514,474,189,611,1186,1978,2379,1092,1035,4202,187,572,919,1021,2373,903,907,1466,1763,1199,1065,637,745,2458,198,1826,325,269,813,507,445,531,307,223,185,847,240,2617,178,399,1144,501,1032,1273,45,333,873,490,535,621,238
ACSSF,2012m1,co,000,0129,0000015,3396,756,1518,1999,903,1985,874,1450,1467,2352,2580,2256,1608,1006,3119,260,724,1485,390,873,274,1015,921,2205,2332,1110,832,851,2594,84,189,49,189,232,113,142,169,624,1323,1739,1153,294,2651,60,239,757,668,1483,270,571,1080,1105,783,740,360,344,1728,657,1194,457,190,236,168,252,298,196,168,380,542,132,1657,357,212,1234,564,669,795,503,189,398,186,355,434,122
ACSSF,2012m1,co,000,0129,0000016,4970,1061,2354,2390,1389,3070,1767,1754,2781,4085,4218,3830,2365,2214,5956,653,1159,1404,662,1230,708,1338,2227,3059,3489,1527,1369,1597,4237,189,323,464,212,487,364,93,404,2042,1801,3640,1090,784,4307,587,400,882,932,2369,1256,1126,1951,1406,1377,1007,567,942,2282,483,2088,321,248,352,473,257,310,411,313,437,744,100,2894,218,881,1535,860,1127,1300,204,560,614,229,664,1015,75
ACSSF,2012m1,co,000,0129,0000017,3287,571,1814,1793,1117,1956,1124,1308,1966,2412,2553,1824,1564,1212,3381,438,943,1394,585,823,349,1113,1611,1916,2505,903,751,751,2221,189,189,189,189,524,194,132,107,533,1027,1169,514,966,2781,224,529,799,864,1633,590,702,1417,1004,921,627,829,433,1327,133,1307,238,85,326,276,239,163,579,189,84,415,189,1451,202,277,876,189,699,791,130,271,126,104,439,255,189
ACSSF,2012m1,co,000,0129,0000018,5470,1212,2384,2366,1195,3130,1737,1312,2146,3004,3578,2866,2284,2650,4021,371,1058,1378,321,960,880,694,1296,2093,3193,1169,1383,1737,3747,324,253,72,159,776,168,180,320,1604,1610,2591,1058,1222,4675,538,693,683,818,2699,836,1004,1658,1507,1177,1077,786,929,2732,728,1988,538,526,479,477,558,162,430,308,211,698,869,2397,419,588,1438,602,972,1247,162,339,536,529,488,693,306
ACSSF,2012m1,co,000,0129,0000019,4682,980,2157,2032,1310,2303,1746,1233,1881,2774,3225,3216,2084,1612,4616,858,1234,1582,722,928,675,670,1400,2322,2900,1497,679,1243,2996,312,49,279,280,428,302,197,150,947,1404,2147,1215,938,3127,183,597,813,1013,2118,846,732,1472,1338,1166,1335,605,767,2030,397,1522,558,204,798,553,771,286,340,333,179,638,117,2653,189,282,1410,426,856,1010,91,286,752,541,733,715,292
ACSSF,2012m1,co,000,0129,0000020,3001,1257,1616,2244,983,2576,1243,964,1440,2131,3100,2219,1352,1308,2963,513,915,1534,590,732,625,849,842,1431,2307,672,619,1069,2323,273,165,181,189,381,72,189,216,896,1445,1804,749,499,2859,160,409,876,462,2085,705,408,1140,997,1011,594,402,385,2058,1049,1238,483,135,443,388,104,265,304,185,284,847,137,2017,439,68,1365,432,799,796,438,113,545,575,742,371,225
ACSSF,2012m1,co,000,0129,0000021,2651,1207,1502,1239,907,1439,1526,446,1183,1290,1893,1310,1227,780,2112,886,430,188,131,222,712,390,636,592,1434,377,449,388,1863,139,189,189,189,330,219,189,189,886,1229,954,703,548,2223,312,442,345,479,1317,949,225,720,583,709,657,391,402,1579,518,1073,359,189,265,251,189,588,395,73,189,714,302,2274,690,163,1041,736,783,919,189,55,613,385,286,369,153
ACSSF,2012m1,co,000,0129,0000022,2601,283,1069,993,580,1339,684,360,744,1043,1828,1078,794,1022,1864,101,462,319,71,581,333,162,443,537,1257,382,253,452,1685,160,189,118,189,531,230,132,236,311,919,994,442,609,1923,189,165,282,576,1155,249,252,515,818,966,361,266,471,1193,206,803,268,47,280,202,120,142,85,328,189,599,386,1262,189,160,743,139,540,560,189,68,335,308,425,133,153
