ACSSF,2012e1,co,000,0062,0000012,137191,46819,3606,2538,3361,2198,2593,3040,2554,2321,3310,2576,2186,1580,2168,3209,8581,998,90372,592424,138992,19437,56751,29710,33094,453432,11599,2355,152,529,537,1137,9244,13289,5645,456,2199,737,2253,7644,3784,786,6,267,394,119,2998,,,,,,,,27949,8843,913,3471,2031,2428,19106,11045,4444,841,1593,935,1075,6601,492059,105082,14777,40203,23554,26548,386977,137191,46819,6144,21953,9143,9579,90372
ACSSF,2012e1,co,000,0062,0000013,165660,59969,3518,2354,4334,5153,4173,3624,4049,3740,2977,3875,2498,3713,3874,2687,8940,460,105691,362865,99449,11200,45624,20537,22088,263416,14046,5635,1154,2126,779,1576,8411,3375,615,0,206,357,52,2760,16348,5081,540,1751,1032,1758,11267,,,,,,,,25525,8495,1056,5113,1345,981,17030,15361,6687,1046,2455,1532,1654,8674,232808,53152,7346,20729,10011,15066,179656,165660,59969,5872,31925,12772,9400,105691
ACSSF,2012e1,co,000,0062,0000014,104048,38358,2945,2595,2888,2761,2835,1762,1770,2296,2457,2489,1750,1989,1691,2784,4590,756,65690,430795,111322,14191,45125,23654,28352,319473,58618,19825,1008,9293,3811,5713,38793,4456,1111,58,618,264,171,3345,30102,9422,1144,3542,2005,2731,20680,,,,,,,,21736,7143,644,3238,1898,1363,14593,25199,12498,1825,5360,2819,2494,12701,363692,87345,10281,33276,18661,25127,276347,104048,38358,5540,19258,8214,5346,65690
ACSSF,2012e1,co,000,0062,0000015,38699,16036,1055,1815,899,648,630,1388,971,597,630,529,951,969,286,862,3069,737,22663,262969,83659,7429,24352,11526,40352,179310,3098,1707,0,435,22,1250,1391,,,,,,,,13849,5256,725,2091,254,2186,8593,,,,,,,,9156,3378,727,1357,980,314,5778,6399,3598,129,1399,439,1631,2801,235606,72560,5324,20298,9505,37433,163046,38699,16036,2870,6292,3068,3806,22663
ACSSF,2012e1,co,000,0062,0000016,187380,63941,4622,4295,4687,3915,3664,3613,2956,3631,3410,4746,3013,3835,2711,4396,9445,1002,123439,458798,107555,14508,38007,16367,38673,351243,61564,18369,2268,6873,3824,5404,43195,5853,1953,96,969,262,626,3900,20600,4791,169,1906,545,2171,15809,,,,,,,,37119,11530,1233,6539,2025,1733,25589,20612,9385,2053,3587,1224,2521,11227,322045,61528,8298,16575,5518,31137,260517,187380,63941,8917,30622,13955,10447,123439
ACSSF,2012e1,co,000,0062,0000017,22387,8962,744,992,468,357,281,827,0,686,409,451,831,639,282,314,1020,661,13425,260403,81475,10379,36877,18816,15403,178928,3688,1381,91,736,151,403,2307,,,,,,,,11752,4051,472,1540,773,1266,7701,,,,,,,,,,,,,,,5882,3343,382,2033,744,184,2539,242624,73852,8819,34009,16863,14161,168772,22387,8962,1736,3479,2066,1681,13425
ACSSF,2012e1,co,000,0062,0000018,94714,36168,2429,2289,1712,2193,2797,2572,2647,1506,1721,2027,1432,1700,1171,2239,6779,954,58546,508657,148093,17903,55808,26585,47797,360564,38936,14221,1501,5562,2925,4233,24715,,,,,,,,16275,4371,244,1699,681,1747,11904,,,,,,,,21108,6129,361,2495,1636,1637,14979,29224,15302,1615,6929,3098,3660,13922,443343,122338,14231,43623,22252,42232,321005,94714,36168,4718,17175,6542,7733,58546
ACSSF,2012e1,co,000,0062,0000019,77186,25370,1321,1262,2297,1702,1281,1505,1416,1244,1121,2081,1611,1159,675,2317,4021,357,51816,481060,116893,13317,45910,25282,32384,364167,6391,2758,249,1081,625,803,3633,4841,1742,13,1122,429,178,3099,13332,3454,381,1048,560,1465,9878,,,,,,,,9190,2549,173,1710,295,371,6641,13879,6183,1069,2523,1243,1348,7696,420437,96995,11456,36245,20277,29017,323442,77186,25370,2583,12647,5762,4378,51816
ACSSF,2012e1,co,000,0062,0000020,31938,12827,893,463,591,763,728,768,554,504,1101,511,425,614,646,788,2997,481,19111,272994,81457,8045,24027,12278,37107,191537,2938,1365,229,592,184,360,1573,,,,,,,,5608,2704,94,608,59,1943,2904,,,,,,,,7609,2096,174,1128,544,250,5513,9980,5106,313,1940,889,1964,4874,252760,73139,6965,20494,10915,34765,179621,31938,12827,1356,5520,2473,3478,19111
ACSSF,2012e1,co,000,0062,0000021,19472,6806,494,328,366,501,545,407,323,425,591,244,69,472,484,317,1203,37,12666,132237,30346,2374,13848,6822,7302,101891,920,541,0,278,165,98,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,1471,305,490,417,259,2889,118142,24911,1963,11001,5696,6251,93231,19472,6806,822,3402,1342,1240,12666
