ACSSF,2012e1,co,000,0055,0000028,168699,107563,45873,26254,21528,8348,3304,2256,61136,51068,8112,1164,596,196,0,0,,,,168699,107563,45873,26254,21528,13908,61136,51068,8112,1164,596,196
ACSSF,2012e1,co,000,0055,0000029,270439,129337,57067,31078,22034,10307,4482,4369,141102,107837,27760,4502,955,0,48,0,,,,270439,129337,57067,31078,22034,19158,141102,107837,27760,4502,955,48
ACSSF,2012e1,co,000,0055,0000030,58401,32542,14307,7033,6567,3704,617,314,25859,14911,6975,2890,1083,0,0,0,,,,58401,32542,14307,7033,6567,4635,25859,14911,6975,2890,1083,0
ACSSF,2012e1,co,000,0055,0000031,33281,23161,9787,4624,4846,2523,718,663,10120,7343,1898,343,399,137,0,0,,,,33281,23161,9787,4624,4846,3904,10120,7343,1898,343,399,137
ACSSF,2012e1,co,000,0055,0000032,35950,27498,10190,6748,6438,2812,964,346,8452,6943,1468,41,0,0,0,0,,,,35950,27498,10190,6748,6438,4122,8452,6943,1468,41,0,0
ACSSF,2012e1,co,000,0055,0000033,61169,36244,19141,7686,5179,2709,1153,376,24925,19274,4618,503,348,182,0,0,,,,61169,36244,19141,7686,5179,4238,24925,19274,4618,503,348,182
ACSSF,2012e1,co,000,0055,0000034,34325,22099,9448,4136,4053,2692,1017,753,12226,9422,2532,272,0,0,0,0,,,,34325,22099,9448,4136,4053,4462,12226,9422,2532,272,0,0
ACSSF,2012e1,co,000,0055,0000035,28717,19158,9180,3326,4629,1591,141,291,9559,7557,1483,519,0,0,0,0,,,,28717,19158,9180,3326,4629,2023,9559,7557,1483,519,0,0
ACSSF,2012e1,co,000,0055,0000036,42373,25234,10891,6599,4322,1778,1135,509,17139,15107,1676,249,0,107,0,0,,,,42373,25234,10891,6599,4322,3422,17139,15107,1676,249,0,107
ACSSF,2012e1,co,000,0055,0000037,42113,29405,9725,5871,8336,2936,1708,829,12708,10126,2184,155,243,0,0,0,,,,42113,29405,9725,5871,8336,5473,12708,10126,2184,155,243,0
ACSSF,2012e1,co,000,0055,0000038,42981,27865,11920,7091,5489,2046,1244,75,15116,11758,2972,386,0,0,0,0,,,,42981,27865,11920,7091,5489,3365,15116,11758,2972,386,0,0
ACSSF,2012e1,co,000,0055,0000039,41382,17993,8946,4219,3093,1202,533,0,23389,13476,5635,2665,1040,540,0,33,,,,41382,17993,8946,4219,3093,1735,23389,13476,5635,2665,1040,573
ACSSF,2012e1,co,000,0055,0000040,168699,107563,45873,26254,21528,8348,3304,2256,61136,51068,8112,1164,596,196,0,0,,,,168699,107563,45873,26254,21528,13908,61136,51068,8112,1164,596,196
ACSSF,2012e1,co,000,0055,0000041,123327,81005,31067,20953,14449,7496,3436,3604,42322,35585,5732,826,179,0,0,0,,,,123327,81005,31067,20953,14449,14536,42322,35585,5732,826,179,0
ACSSF,2012e1,co,000,0055,0000042,270439,129337,57067,31078,22034,10307,4482,4369,141102,107837,27760,4502,955,0,48,0,,,,270439,129337,57067,31078,22034,19158,141102,107837,27760,4502,955,48
ACSSF,2012e1,co,000,0055,0000043,58401,32542,14307,7033,6567,3704,617,314,25859,14911,6975,2890,1083,0,0,0,,,,58401,32542,14307,7033,6567,4635,25859,14911,6975,2890,1083,0
ACSSF,2012e1,co,000,0055,0000044,28717,19158,9180,3326,4629,1591,141,291,9559,7557,1483,519,0,0,0,0,,,,28717,19158,9180,3326,4629,2023,9559,7557,1483,519,0,0
ACSSF,2012e1,co,000,0055,0000045,33281,23161,9787,4624,4846,2523,718,663,10120,7343,1898,343,399,137,0,0,,,,33281,23161,9787,4624,4846,3904,10120,7343,1898,343,399,137
ACSSF,2012e1,co,000,0055,0000046,42373,25234,10891,6599,4322,1778,1135,509,17139,15107,1676,249,0,107,0,0,,,,42373,25234,10891,6599,4322,3422,17139,15107,1676,249,0,107
ACSSF,2012e1,co,000,0055,0000047,318312,158688,70676,37871,27905,11934,5335,4967,159624,123134,30441,4792,1209,0,48,0,,,,318312,158688,70676,37871,27905,22236,159624,123134,30441,4792,1209,48
ACSSF,2012e1,co,000,0055,0000048,297209,187795,91197,39899,37638,13896,3588,1577,109414,74190,24583,7667,2330,540,71,33,,,,297209,187795,91197,39899,37638,19061,109414,74190,24583,7667,2330,644
ACSSF,2012e1,co,000,0055,0000049,285443,184121,91721,38576,30559,14450,6033,2782,101322,82555,15806,2068,470,333,90,0,,,,285443,184121,91721,38576,30559,23265,101322,82555,15806,2068,470,423
ACSSF,2012e1,co,000,0055,0000050,265749,191532,84639,35982,40427,18636,7440,4408,74217,59547,12086,1842,459,211,72,0,,,,265749,191532,84639,35982,40427,30484,74217,59547,12086,1842,459,283
ACSSF,2012e1,co,000,0055,0000051,275383,186165,83222,41944,34743,15999,6540,3717,89218,75307,11434,1239,1042,196,0,0,,,,275383,186165,83222,41944,34743,26256,89218,75307,11434,1239,1042,196
ACSSF,2012e1,co,000,0055,0000052,272236,187103,74044,43998,39011,18372,6538,5140,85133,71741,11358,1624,410,0,0,0,,,,272236,187103,74044,43998,39011,30050,85133,71741,11358,1624,410,0
ACSSF,2012e1,co,000,0055,0000053,281756,182860,80374,38427,36157,16482,7365,4055,98896,76136,18790,2265,1095,610,0,0,,,,281756,182860,80374,38427,36157,27902,98896,76136,18790,2265,1095,610
ACSSF,2012e1,co,000,0055,0000054,39336,26325,13726,5094,3889,1944,793,879,13011,11916,906,143,0,46,0,0,,,,39336,26325,13726,5094,3889,3616,13011,11916,906,143,0,46
ACSSF,2012e1,co,000,0055,0000055,48974,33862,16919,6531,6741,2876,468,327,15112,11821,2772,519,0,0,0,0,,,,48974,33862,16919,6531,6741,3671,15112,11821,2772,519,0,0
ACSSF,2012e1,co,000,0055,0000056,75057,44197,20582,8823,8755,4350,891,796,30860,18582,8150,3045,1083,0,0,0,,,,75057,44197,20582,8823,8755,6037,30860,18582,8150,3045,1083,0
ACSSF,2012e1,co,000,0055,0000057,38426,25475,11753,4859,5221,2727,632,283,12951,10602,1951,181,217,0,0,0,,,,38426,25475,11753,4859,5221,3642,12951,10602,1951,181,217,0
ACSSF,2012e1,co,000,0055,0000058,63860,46107,19035,7935,10255,5383,2151,1348,17753,13463,3073,642,438,137,0,0,,,,63860,46107,19035,7935,10255,8882,17753,13463,3073,642,438,137
ACSSF,2012e1,co,000,0055,0000059,43000,25354,12062,5956,5337,1557,435,7,17646,11569,4909,967,130,0,71,0,,,,43000,25354,12062,5956,5337,1999,17646,11569,4909,967,130,71
ACSSF,2012e1,co,000,0055,0000060,39894,26115,15785,4744,2978,1441,861,306,13779,11755,1638,9,377,0,0,0,,,,39894,26115,15785,4744,2978,2608,13779,11755,1638,9,377,0
ACSSF,2012e1,co,000,0055,0000061,59329,37168,16925,8755,6335,2886,1612,655,22161,19407,2398,249,0,107,0,0,,,,59329,37168,16925,8755,6335,5153,22161,19407,2398,249,0,107
ACSSF,2012e1,co,000,0055,0000062,39544,25228,13350,5080,3294,1999,943,562,14316,12529,1676,49,0,62,0,0,,,,39544,25228,13350,5080,3294,3504,14316,12529,1676,49,0,62
ACSSF,2012e1,co,000,0055,0000063,44936,31295,16517,6515,6108,1398,628,129,13641,11187,2134,263,57,0,0,0,,,,44936,31295,16517,6515,6108,2155,13641,11187,2134,263,57,0
ACSSF,2012e1,co,000,0055,0000064,59561,41838,17799,7721,9086,4712,1338,1182,17723,13434,3984,305,0,0,0,0,,,,59561,41838,17799,7721,9086,7232,17723,13434,3984,305,0,0
