ACSSF,2011e1,co,000,0128,0000011,182834,17931,12056,5875,17756,7067,3457,19646,8937,5304,3633,2815,12240,6740,5500,13578,7404,40,6134,37202,15830,21372,19709,6199,13510,10511,11985,60650,6169,5404,765,3496,1930,488,2106,1343,429,914,990,4612,2795,1817,6344,5553,13,778,22035,11415,10620,5080,2804,2276,1980,4077,34464,647,623,24,233,119,18,945,121,92,29,35,429,10,419,3356,355,0,3001,9572,2230,7342,10236,2028,8208,3629,5124,42117,1153,699,454,741,912,2132,13900,2036,1627,409,1026,6343,3902,2441,2071,1135,27,909,4044,1362,2682,3254,1044,2210,2137,2368,29413,7818,4746,3072,12361,829,181,1063,2084,800,1284,741,827,33,794,420,50,0,370,564,179,385,404,264,140,1888,233,16190,2144,584,1560,925,3277,638,1632,3353,2356,997,23,29,0,29,1387,311,0,1076,987,644,343,735,59,676,877,183
ACSSF,2011e1,co,000,0128,0000012,315595,25126,17918,7208,31565,14841,5530,33011,13097,7971,5126,5218,20292,9632,10660,25957,12780,232,12945,59989,26174,33815,43907,10522,33385,16726,20336,104923,8396,7355,1041,6180,3449,694,3823,1949,766,1183,2194,8605,3894,4711,11652,9876,144,1632,37506,20160,17346,9865,4305,5560,3618,6992,67531,1394,1308,86,645,190,18,1582,232,118,114,257,592,10,582,7151,394,0,6757,14398,2930,11468,25434,4037,21397,6298,9340,67525,1430,794,636,1303,1720,3447,22802,2863,2183,680,1773,10123,5695,4428,4008,2055,88,1865,5905,1829,4076,6171,1447,4724,2654,3326,46242,10906,7360,3546,22011,1222,265,1544,2691,834,1857,971,827,33,794,690,50,0,640,817,359,458,941,562,379,2988,369,29374,3000,1101,1899,1426,8260,1106,3260,5362,4070,1292,23,145,0,145,2456,405,0,2051,1363,896,467,1496,171,1325,1168,309
ACSSF,2011e1,co,000,0128,0000013,210698,2653,911,1742,20281,17598,6913,29917,18104,16092,2012,5701,11635,8140,3495,22918,11107,453,11358,35332,12605,22727,19987,3855,16132,10214,9445,56863,1052,377,675,2861,4446,577,3496,2197,1475,722,2097,4042,3202,840,9957,8196,297,1464,17458,8524,8934,2874,812,2062,1824,3982,39218,91,91,0,44,508,0,1140,279,239,40,203,260,178,82,5940,42,0,5898,11563,2083,9480,12583,1842,10741,4064,2543,57148,260,0,260,1466,1923,3969,19029,5388,5210,178,1896,6740,4760,1980,4992,2433,156,2403,4941,1008,3933,2907,1042,1865,1034,2603,26784,732,443,289,14855,1015,882,2827,1150,923,227,909,135,0,135,527,117,0,410,756,407,349,295,159,136,2490,211,30685,518,0,518,1055,9706,1485,3425,9090,8245,845,596,458,0,458,1502,319,0,1183,614,583,31,1328,0,1328,802,106
ACSSF,2011e1,co,000,0128,0000014,295550,1742,385,1357,17770,16753,9100,38420,14448,12354,2094,12772,28994,18792,10202,41928,26524,184,15220,55821,20321,35500,27390,4490,22900,16349,14063,119452,770,78,692,3193,7425,1428,3484,2461,1355,1106,6576,16776,11716,5060,23543,20116,184,3243,37099,15734,21365,4373,1908,2465,4578,7746,45644,0,0,0,349,215,150,2172,725,725,0,47,665,163,502,5599,208,0,5391,10498,2019,8479,18124,1586,16538,4880,2220,79553,291,99,192,1128,3157,6041,26602,3671,3418,253,4285,10550,6875,3675,8072,4309,0,3763,6832,1790,5042,3317,707,2610,1978,3629,25421,344,71,273,12269,716,61,2283,1138,936,202,1664,384,38,346,2688,1479,0,1209,516,298,218,217,217,0,2852,289,25480,337,137,200,831,5240,1420,3879,6453,5920,533,200,619,0,619,2026,412,0,1614,876,480,396,1359,72,1287,2061,179
ACSSF,2011e1,co,000,0128,0000015,158988,3328,1854,1474,7231,15286,2354,14573,4140,2600,1540,5304,7574,4509,3065,34888,26768,77,8043,36691,19771,16920,14035,3998,10037,8958,4626,82781,836,659,177,1492,9031,484,1296,1548,315,1233,3473,3722,2426,1296,24835,21945,77,2813,26557,15993,10564,4037,2327,1710,2483,2987,24178,546,546,0,192,201,35,589,42,42,0,132,205,75,130,3709,590,0,3119,5992,2006,3986,8038,1260,6778,3856,641,33909,90,90,0,296,2221,1586,11284,877,773,104,1546,3242,2008,1234,5482,3988,0,1494,3485,1218,2267,1522,297,1225,1422,856,8499,1306,559,747,5125,343,109,172,186,123,63,153,187,0,187,133,47,0,86,177,133,44,0,0,0,511,97,9621,550,0,550,126,3490,140,1232,1487,1347,140,0,218,0,218,729,198,0,531,480,421,59,438,114,324,686,45
ACSSF,2011e1,co,000,0128,0000016,319442,3091,421,2670,21289,16514,10445,29422,14677,13227,1450,10127,24660,15814,8846,55337,34996,587,19754,65832,28287,37545,38039,8791,29248,15956,14053,139829,1833,67,1766,4206,5559,2008,4229,1904,1194,710,6303,12818,9486,3332,34625,29893,587,4145,47099,22833,24266,8011,4006,4005,4546,6688,57400,0,0,0,35,213,0,1548,390,390,0,0,1533,184,1349,9288,142,0,9146,9913,2317,7596,24504,3523,20981,5465,4511,71052,412,136,276,942,2582,4829,19682,4506,4232,274,2584,9568,6144,3424,9184,4651,0,4533,6770,2081,4689,4588,1141,3447,2800,2605,23058,637,218,419,15180,461,255,1069,966,706,260,969,93,0,93,961,38,0,923,585,516,69,53,0,53,1671,158,28103,209,0,209,926,7699,3353,2894,6911,6705,206,271,648,0,648,1279,272,0,1007,1465,540,925,883,121,762,1474,91
ACSSF,2011e1,co,000,0128,0000017,154442,1788,309,1479,8108,11165,3712,16342,5489,3563,1926,8918,20310,15720,4590,24187,18812,237,5138,24473,10198,14275,15504,3960,11544,6887,7559,81998,1052,22,1030,4686,7693,535,2726,1476,919,557,5957,12884,10811,2073,16480,14576,68,1836,18640,8514,10126,3969,1245,2724,2178,3722,18049,83,83,0,49,0,0,551,31,31,0,118,163,0,163,1937,117,124,1696,2442,302,2140,8742,1769,6973,2001,1932,40516,112,0,112,326,1641,2447,11404,1760,923,837,2047,7263,4909,2354,5032,3518,45,1469,3015,1094,1921,2079,669,1410,1980,1410,5852,501,204,297,2832,45,226,319,294,0,294,276,0,0,0,192,192,0,0,89,61,28,223,223,0,595,260,8027,40,0,40,215,1786,504,1342,1928,1690,238,520,0,0,0,546,409,0,137,287,227,60,491,54,437,133,235
ACSSF,2011e1,co,000,0128,0000018,277275,2556,2195,361,16352,17711,6844,30960,10701,8098,2603,8706,18033,12223,5810,33588,22286,93,11209,63620,26910,36710,27721,5693,22028,18086,22397,113611,1391,1153,238,3879,8256,812,4534,2021,1181,840,4738,7762,6373,1389,20220,17623,54,2543,39977,20861,19116,5311,2055,3256,4468,10242,53244,89,89,0,120,92,70,1846,219,219,0,254,611,187,424,3959,272,0,3687,14519,2686,11833,18302,2787,15515,6517,6646,65857,362,362,0,1538,2390,3893,19944,2893,2186,707,2327,8316,5539,2777,7405,3584,39,3782,7602,2490,5112,2667,598,2069,3126,3394,22014,635,545,90,9832,1218,333,1554,1018,319,699,1268,1079,40,1039,790,554,0,236,373,221,152,301,149,152,2410,1203,22549,79,46,33,983,5755,1736,3082,4550,4193,357,119,265,84,181,1214,253,0,961,1149,652,497,1140,104,1036,1565,912
ACSSF,2011e1,co,000,0128,0000019,280739,4162,748,3414,18672,20392,9580,31795,15564,11908,3656,7349,21450,15594,5856,39945,29754,133,10058,54003,23289,30714,24296,6685,17611,15943,17588,120219,2135,240,1895,4509,8907,2323,3574,3333,1452,1881,3925,10108,8263,1845,25145,22915,50,2180,37725,17992,19733,4424,2198,2226,3545,10566,40072,51,51,0,118,70,0,1501,125,125,0,73,701,66,635,4524,553,44,3927,8366,1783,6583,15096,3143,11953,5901,3546,71946,418,0,418,1382,3241,4654,22413,5353,4478,875,2302,9400,7168,2232,8073,5441,39,2593,5819,2240,3579,3476,1166,2310,2490,2925,25142,1312,368,944,11724,1550,784,1419,1442,855,587,520,711,53,658,1100,402,0,698,1272,730,542,232,134,98,2722,354,23360,246,89,157,939,6624,1819,2888,5311,4998,313,529,530,44,486,1103,443,0,660,821,544,277,1068,44,1024,1285,197
ACSSF,2011e1,co,000,0128,0000020,155732,3862,2474,1388,12329,15535,3562,17965,4427,3495,932,3410,6799,3793,3006,20625,13636,41,6948,39182,19755,19427,15130,3757,11373,7360,5546,68444,1945,1412,533,2662,8102,455,2625,1001,621,380,2048,2936,1722,1214,12181,11272,41,868,26019,15090,10929,3491,1517,1974,1977,3002,24658,181,181,0,50,0,0,545,64,64,0,0,533,0,533,3551,0,0,3551,7350,1693,5657,8284,1603,6681,2713,1387,36144,413,347,66,1321,2129,2637,12526,981,852,129,870,3031,2071,960,3869,2080,0,1789,4466,2112,2354,2097,347,1750,800,1004,13582,1133,534,599,7836,987,116,594,293,172,121,425,149,0,149,238,50,0,188,317,317,0,156,58,98,1326,12,12904,190,0,190,460,4317,354,1675,2088,1786,302,67,150,0,150,786,234,0,552,1030,543,487,1102,232,870,544,141
