ACSSF,2011e1,co,000,0018,0000017,85448,4656,1055,883,6,166,3601,2721,880,6002,4496,2960,252,1284,1506,1506,0,74790,65066,57128,3259,4679,9724,9664,60,19350,10164,9186,2624,565,1414,1317,1158,1220,888,292167,272817,19350,85448,10658,8070,2588,74790,66792,7998,19350,10164,9186,3189,3889,2108
ACSSF,2011e1,co,000,0018,0000018,157277,28022,8961,4590,3375,996,19061,18324,737,33926,21732,16755,3150,1827,12194,11368,826,95329,79183,68183,4844,6156,16146,15186,960,44590,20101,24489,6149,4230,3270,831,1739,1969,6301,636963,592373,44590,157277,61948,51037,10911,95329,83369,11960,44590,20101,24489,10379,5840,8270
ACSSF,2011e1,co,000,0018,0000019,113646,13663,3946,2480,1069,397,9717,9233,484,17232,8169,6842,1018,309,9063,8718,345,82751,66577,58162,2852,5563,16174,15299,875,31224,16428,14796,2693,2769,1855,1510,1341,1158,3470,539884,508660,31224,113646,30895,27273,3622,82751,73461,9290,31224,16428,14796,5462,4706,4628
ACSSF,2011e1,co,000,0018,0000020,62253,8214,3025,2417,608,0,5189,4439,750,12692,8934,6801,1570,563,3758,3596,162,41347,34802,31713,1067,2022,6545,6068,477,17374,10236,7138,2188,652,504,312,1662,230,1590,305525,288151,17374,62253,20906,17253,3653,41347,37781,3566,17374,10236,7138,2840,2478,1820
ACSSF,2011e1,co,000,0018,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,5935,2805,3130,1128,261,271,131,400,67,872,147083,141148,5935,33006,12379,11416,963,20627,19150,1477,5935,2805,3130,1389,802,939
ACSSF,2011e1,co,000,0018,0000022,35745,9475,2389,2109,108,172,7086,6848,238,9802,5764,5311,305,148,4038,4038,0,16468,12866,11937,493,436,3602,3449,153,5708,3166,2542,487,282,374,271,309,250,569,160545,154837,5708,35745,19277,18306,971,16468,15386,1082,5708,3166,2542,769,954,819
ACSSF,2011e1,co,000,0018,0000023,67349,12659,5340,1815,1870,1655,7319,6635,684,20355,15439,11161,2688,1590,4916,4473,443,34335,28588,25392,2307,889,5747,5596,151,17988,12251,5737,2058,397,1287,589,538,297,571,258638,240650,17988,67349,33014,24084,8930,34335,30988,3347,17988,12251,5737,2455,2414,868
ACSSF,2011e1,co,000,0018,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107326,103318,4008,22777,7508,7076,432,15269,13964,1305,4008,1838,2170,798,400,972
ACSSF,2011e1,co,000,0018,0000025,86954,19607,8652,3194,4826,632,10955,5519,5436,27676,16860,7192,7087,2581,10816,7375,3441,39671,29284,18915,5816,4553,10387,9292,1095,68467,48955,19512,7421,3053,2968,1377,1165,1451,2077,332551,264084,68467,86954,47283,23280,24003,39671,28207,11464,68467,48955,19512,10474,5510,3528
ACSSF,2011e1,co,000,0018,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,9072,5502,3570,558,413,567,492,128,245,1167,98903,89831,9072,12773,3327,1812,1515,9446,7839,1607,9072,5502,3570,971,1187,1412
ACSSF,2011e1,co,000,0018,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,8935,4122,4813,1596,633,878,478,552,197,479,102621,93686,8935,23346,4303,3377,926,19043,16217,2826,8935,4122,4813,2229,1908,676
ACSSF,2011e1,co,000,0018,0000028,102105,21904,7764,3939,3275,550,14140,13669,471,21953,14333,10328,3104,901,7620,7043,577,58248,48292,41544,3292,3456,9956,9425,531,33595,16115,17480,4819,3255,2443,659,1023,1097,4184,426406,392811,33595,102105,43857,34979,8878,58248,50969,7279,33595,16115,17480,8074,4125,5281
ACSSF,2011e1,co,000,0018,0000029,129285,32374,11002,2519,6303,2180,21372,14574,6798,34777,22921,4770,16012,2139,11856,7431,4425,62134,48933,37058,6837,5038,13201,11742,1459,101085,68676,32409,8940,7828,5283,2235,3153,1210,3760,619968,518883,101085,129285,67151,29294,37857,62134,48800,13334,101085,68676,32409,16768,10671,4970
ACSSF,2011e1,co,000,0018,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,8585,4849,3736,1706,452,147,212,578,134,507,146777,138192,8585,27978,8206,7659,547,19772,18165,1607,8585,4849,3736,2158,937,641
ACSSF,2011e1,co,000,0018,0000031,21647,7299,3119,933,1643,543,4180,3496,684,5801,3112,1494,1218,400,2689,2411,278,8547,6989,5170,1520,299,1558,1407,151,,,,,,,,,,,94966,84703,10263,21647,13100,8334,4766,8547,6577,1970,10263,7448,2815,1209,1312,294
ACSSF,2011e1,co,000,0018,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,7257,3788,3469,786,67,990,759,266,285,316,109365,102108,7257,36476,3463,3211,252,33013,29499,3514,7257,3788,3469,853,2015,601
ACSSF,2011e1,co,000,0018,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,10095,6072,4023,665,621,501,594,297,350,995,144414,134319,10095,26585,9905,8128,1777,16680,15176,1504,10095,6072,4023,1286,1392,1345
ACSSF,2011e1,co,000,0018,0000034,20408,3228,1418,0,1381,37,1810,1192,618,4163,2264,583,715,966,1899,1153,746,13017,10415,7465,1942,1008,2602,2602,0,15541,11972,3569,1635,550,1003,92,0,0,289,87695,72154,15541,20408,7391,2928,4463,13017,10067,2950,15541,11972,3569,2185,1095,289
ACSSF,2011e1,co,000,0018,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68203,63916,4287,16081,7548,5962,1586,8533,7988,545,4287,2545,1742,168,1000,574
