ACSSF,2011e1,co,000,0175,0000012,684757,1326,683431,684757,11280,673477,684757,13834,670923,684757,8182,676575,684757,629844,15577,614267,54913,2236,52677,61545,6632,2081,4551,54913,10042,44871,,,,,,,,12857,2328,10529,684757,39114,645643,677943,24957,652986,677943,128052,12254,4887,7367,115798,549891,309163,19380,289783,309163,24436,6294,18142,284727,309163,257126,19140,237986,52037,309163,287601,35779,251822,21562,309163,287601,28038,259563,21562,305618,2318,303300
ACSSF,2011e1,co,000,0175,0000013,451443,303,451140,451443,5835,445608,451443,9526,441917,451443,9553,441890,451443,385576,12660,372916,65867,1415,64452,70548,4681,1105,3576,65867,4634,61233,,,,,,,,19158,3217,15941,451443,25842,425601,444243,18376,425867,444243,77172,7444,1145,6299,69728,367071,206819,13753,193066,206819,23050,5629,17421,183769,206819,187247,15204,172043,19572,206819,199407,30967,168440,7412,206819,199407,24181,175226,7412,206537,1983,204554
ACSSF,2011e1,co,000,0175,0000014,584948,924,584024,584948,5185,579763,584948,7077,577871,584948,10150,574798,584948,495379,12895,482484,89569,3206,86363,97336,7767,652,7115,89569,4574,84995,,,,,,,,31317,3757,27560,584948,31731,553217,576270,24749,551521,576270,116367,10624,957,9667,105743,459903,291370,16399,274971,291370,22079,4196,17883,269291,291370,254541,16174,238367,36829,291370,276756,29017,247739,14614,291370,276756,21127,255629,14614,291172,3496,287676
ACSSF,2011e1,co,000,0175,0000015,299378,161,299217,299378,2304,297074,299378,4330,295048,299378,3428,295950,299378,266525,3956,262569,32853,688,32165,37421,4568,747,3821,32853,879,31974,,,,,,,,11681,869,10812,299378,16436,282942,295886,7533,288353,295886,71259,4968,504,4464,66291,224627,155193,7096,148097,155193,8411,1674,6737,146782,155193,112595,6282,106313,42598,155193,137635,13746,123889,17558,155193,137635,11562,126073,17558,153471,852,152619
ACSSF,2011e1,co,000,0175,0000016,619968,765,619203,619968,6208,613760,619968,11696,608272,619968,9541,610427,619968,518883,9982,508901,101085,2609,98476,108743,7658,798,6860,101085,8529,92556,,,,,,,,32409,5135,27274,619968,32901,587067,610005,18267,591738,610005,147563,10982,2468,8514,136581,462442,315036,14160,300876,315036,21005,5228,15777,294031,315036,251126,13953,237173,63910,315036,297253,36153,261100,17783,315036,297253,29330,267923,17783,311400,3002,308398
ACSSF,2011e1,co,000,0175,0000017,292167,378,291789,292167,1519,290648,292167,6076,286091,292167,4227,287940,292167,272817,5283,267534,19350,333,19017,23433,4083,1429,2654,19350,405,18945,,,,,,,,9186,309,8877,292167,16701,275466,287504,9049,278455,287504,47019,3267,277,2990,43752,240485,151010,5034,145976,151010,7768,1556,6212,143242,151010,133156,6637,126519,17854,151010,138454,12083,126371,12556,151010,138454,8513,129941,12556,150900,1217,149683
ACSSF,2011e1,co,000,0175,0000018,636963,1155,635808,636963,14500,622463,636963,15557,621406,636963,14543,622420,636963,592373,16580,575793,44590,3061,41529,65394,20804,1710,19094,44590,4425,40165,,,,,,,,24489,3849,20640,636963,40553,596410,629004,27492,601512,629004,147926,12208,1341,10867,135718,481078,298032,17436,280596,298032,23393,4538,18855,274639,298032,261079,17855,243224,36953,298032,280944,34099,246845,17088,298032,280944,27187,253757,17088,285976,2590,283386
ACSSF,2011e1,co,000,0175,0000019,539884,421,539463,539884,4926,534958,539884,7477,532407,539884,7863,532021,539884,508660,9655,499005,31224,1210,30014,36690,5466,728,4738,31224,1384,29840,,,,,,,,14796,1360,13436,539884,30973,508911,533248,19222,514026,533248,82402,11131,2112,9019,71271,450846,277542,14083,263459,277542,20522,4076,16446,257020,277542,238559,14213,224346,38983,277542,258463,32378,226085,19079,277542,258463,21740,236723,19079,276520,3491,273029
ACSSF,2011e1,co,000,0175,0000020,305525,571,304954,305525,3260,302265,305525,4604,300921,305525,3658,301867,305525,288151,19845,268306,17374,1920,15454,20137,2763,458,2305,17374,2091,15283,,,,,,,,7138,910,6228,305525,30987,274538,302429,26270,276159,302429,61287,7993,285,7708,53294,241142,153506,15432,138074,153506,17740,2875,14865,135766,153506,128712,14250,114462,24794,153506,142736,21949,120787,10770,153506,142736,19622,123114,10770,151062,1931,149131
ACSSF,2011e1,co,000,0175,0000021,147083,35,147048,147083,2739,144344,147083,2148,144935,147083,1567,145516,147083,141148,3581,137567,5935,58,5877,7274,1339,253,1086,5935,642,5293,,,,,,,,3130,1010,2120,147083,8944,138139,144564,6734,137830,144564,28079,2986,393,2593,25093,116485,66886,6772,60114,66886,7758,1064,6694,59128,66886,61314,6737,54577,5572,66886,64102,11918,52184,2784,66886,64102,8760,55342,2784,65818,1513,64305
