ACSSF,2011e1,co,000,0109,0000011,301484,156761,11488,4771,0,4771,3473,1298,6717,10785,9406,0,9406,7518,1888,1379,76968,65619,53,65566,60799,4767,11349,29252,19034,0,19034,17679,1355,10218,9851,3559,3089,470,6292,18417,2550,2307,243,15867,144723,8508,3798,0,3798,2780,1018,4710,8422,6922,0,6922,5256,1666,1500,69208,53432,61,53371,49207,4164,15776,27247,16749,0,16749,15729,1020,10498,9526,3227,3163,64,6299,21812,1926,1679,247,19886,326245,170893,12556,5092,0,5092,3592,1500,7464,12095,10335,5,10330,7941,2389,1760,54677,44207,53,44154,40237,3917,10470,30395,25553,0,25553,24083,1470,4842,31554,19694,0,19694,18333,1361,11860,18581,5235,4592,643,13346,11035,1164,980,184,9871,155352,9962,4165,0,4165,3009,1156,5797,9283,7480,0,7480,5714,1766,1803,45564,35011,61,34950,31648,3302,10553,29091,22402,0,22402,21080,1322,6689,28821,17624,0,17624,16506,1118,11197,17519,4778,4655,123,12741,15112,652,464,188,14460
ACSSF,2011e1,co,000,0109,0000012,500296,261664,16612,6260,0,6260,4443,1817,10352,19065,16699,0,16699,13553,3146,2366,134663,115064,291,114773,107400,7373,19599,46814,31207,0,31207,28815,2392,15607,16055,5783,5029,754,10272,28455,3873,3477,396,24582,238632,14193,6332,7,6325,4775,1550,7861,15154,11848,0,11848,9346,2502,3306,115952,89409,61,89348,82353,6995,26543,44721,27589,0,27589,25750,1839,17132,15392,5173,5067,106,10219,33220,2361,2114,247,30859,551655,291963,19436,6951,0,6951,4871,2080,12485,23474,20465,5,20460,16813,3647,3009,99966,80181,291,79890,73863,6027,19785,51890,43277,0,43277,40600,2677,8613,50536,32327,0,32327,29921,2406,18209,29311,8781,7771,1010,20530,17350,1507,1253,254,15843,259692,16422,7152,7,7145,5424,1721,9270,16474,12769,0,12769,10135,2634,3705,80996,62358,61,62297,56586,5711,18638,47959,35984,0,35984,33950,2034,11975,47034,28954,0,28954,26950,2004,18080,27612,6906,6741,165,20706,23195,905,717,188,22290
ACSSF,2011e1,co,000,0109,0000013,277189,138696,9358,4387,0,4387,2942,1445,4971,12509,10857,14,10843,8963,1880,1652,84052,76572,42,76530,69280,7250,7480,18381,13755,0,13755,13160,595,4626,4107,1416,936,480,2691,10289,1513,1227,286,8776,138493,7749,3604,0,3604,2166,1438,4145,12121,10541,12,10529,8842,1687,1580,79478,61405,41,61364,54604,6760,18073,19381,12958,0,12958,12108,850,6423,6789,1939,1884,55,4850,12975,636,582,54,12339,334729,167683,11589,5116,0,5116,3269,1847,6473,15436,13415,76,13339,11112,2227,2021,72580,65205,83,65122,59323,5799,7375,29423,26405,42,26363,23017,3346,3018,21757,16323,0,16323,15391,932,5434,10198,3166,2093,1073,7032,6700,444,406,38,6256,167046,10867,5389,0,5389,3071,2318,5478,15606,13590,12,13578,11015,2563,2016,67826,51771,41,51730,46003,5727,16055,28427,21453,0,21453,18851,2602,6974,22789,15573,0,15573,14646,927,7216,11789,2434,2270,164,9355,9742,231,231,0,9511
ACSSF,2011e1,co,000,0109,0000014,351515,171539,10783,4857,0,4857,2307,2550,5926,13427,11185,265,10920,9095,1825,2242,95725,90647,921,89726,84087,5639,5078,28787,22545,0,22545,21421,1124,6242,7664,4062,3763,299,3602,15153,2636,2382,254,12517,179976,9675,4663,37,4626,3133,1493,5012,12725,11003,0,11003,10159,844,1722,96098,76286,208,76078,70427,5651,19812,31433,21817,0,21817,20886,931,9616,9782,3234,3066,168,6548,20263,1796,1529,267,18467,451961,218617,14707,6671,0,6671,3555,3116,8036,18797,15068,265,14803,11933,2870,3729,84207,78949,1243,77706,72341,5365,5258,41234,38606,122,38484,35942,2542,2628,33638,26073,0,26073,24678,1395,7565,15760,6159,5650,509,9601,10274,1192,1148,44,9082,233344,12913,5425,37,5388,3652,1736,7488,19149,16230,152,16078,14272,1806,2919,86138,68499,102,68397,62409,5988,17639,43466,33829,106,33723,31252,2471,9637,37068,25136,0,25136,23570,1566,11932,18559,5002,4477,525,13557,16051,700,671,29,15351
ACSSF,2011e1,co,000,0109,0000015,220946,110344,8629,3203,0,3203,2664,539,5426,15640,9486,0,9486,8582,904,6154,55384,51752,257,51495,48222,3273,3632,17282,13918,0,13918,12966,952,3364,4767,2177,2003,174,2590,8642,1031,923,108,7611,110602,8705,3664,0,3664,2886,778,5041,13331,10225,0,10225,9812,413,3106,54197,44530,0,44530,41833,2697,9667,17813,11793,0,11793,10771,1022,6020,5136,2015,1739,276,3121,11420,594,594,0,10826,244939,122398,10400,4266,0,4266,3060,1206,6134,16663,10244,0,10244,9340,904,6419,41524,39314,257,39057,36157,2900,2210,21569,19478,0,19478,18798,680,2091,18449,14697,0,14697,13624,1073,3752,8481,3147,2865,282,5334,5312,224,224,0,5088,122541,9823,4127,0,4127,3170,957,5696,15656,12214,0,12214,11641,573,3442,38493,31255,0,31255,30057,1198,7238,22097,17846,0,17846,16170,1676,4251,18857,12476,0,12476,11430,1046,6381,9667,2680,2404,276,6987,7948,48,48,0,7900
ACSSF,2011e1,co,000,0109,0000016,370120,185887,7609,2699,0,2699,2184,515,4910,16733,12504,0,12504,11513,991,4229,116015,105848,110,105738,96732,9006,10167,25076,17752,0,17752,16679,1073,7324,7040,2932,2416,516,4108,13414,2705,2705,0,10709,184233,7114,3450,0,3450,2998,452,3664,16514,13281,57,13224,12112,1112,3233,106888,87570,59,87511,82694,4817,19318,25032,16663,0,16663,15596,1067,8369,8361,2929,2749,180,5432,20324,2193,2028,165,18131,497690,248929,13927,4683,0,4683,2964,1719,9244,22875,17768,0,17768,15110,2658,5107,115764,106259,42,106217,96252,9965,9505,38025,31255,68,31187,27719,3468,6770,31192,22063,0,22063,20335,1728,9129,15614,5311,4726,585,10303,11532,1514,1514,0,10018,248761,12720,5931,0,5931,5071,860,6789,23130,17588,57,17531,15921,1610,5542,107471,87217,0,87217,81393,5824,20254,35070,26177,59,26118,23465,2653,8893,33341,21757,0,21757,19720,2037,11584,18332,4895,4553,342,13437,18697,780,699,81,17917
ACSSF,2011e1,co,000,0109,0000017,197021,96651,7008,3453,0,3453,2696,757,3555,4499,4044,0,4044,3524,520,455,59727,58092,153,57939,55332,2607,1635,15073,12785,233,12552,11713,839,2288,4159,1662,1555,107,2497,6185,1054,920,134,5131,100370,6551,3493,0,3493,2697,796,3058,4884,4649,0,4649,4260,389,235,61766,50262,0,50262,47244,3018,11504,15536,11276,0,11276,11018,258,4260,4410,1227,1227,0,3183,7223,954,954,0,6269,213746,104125,7448,3763,0,3763,2883,880,3685,4812,4217,0,4217,3587,630,595,41421,40392,153,40239,39129,1110,1029,23951,22958,0,22958,21461,1497,993,15949,13472,233,13239,12400,839,2477,6948,2214,2037,177,4734,3596,502,438,64,3094,109621,7220,3664,0,3664,2868,796,3556,5647,5104,0,5104,4604,500,543,43448,34370,0,34370,32417,1953,9078,23949,19338,0,19338,18199,1139,4611,17051,12572,0,12572,12129,443,4479,7779,1982,1982,0,5797,4527,308,308,0,4219
ACSSF,2011e1,co,000,0109,0000018,411773,204889,16367,6475,2570,3905,2543,1362,9892,22209,18037,6629,11408,9742,1666,4172,109944,101700,8614,93086,85397,7689,8244,30728,23749,31,23718,20881,2837,6979,9178,4136,3624,512,5042,16463,2207,1991,216,14256,206884,11884,5813,217,5596,3797,1799,6071,18845,14445,1342,13103,11029,2074,4400,110233,80747,1373,79374,72183,7191,29486,33293,19915,0,19915,18757,1158,13378,10957,3437,3156,281,7520,21672,1236,1159,77,20436,490466,244511,21154,8818,3162,5656,3776,1880,12336,27885,22764,7804,14960,12205,2755,5121,88277,81888,10738,71150,64381,6769,6389,44433,40890,206,40684,37358,3326,3543,34844,26147,31,26116,23201,2915,8697,17054,5814,5152,662,11240,10864,813,747,66,10051,245955,15576,6846,258,6588,4126,2462,8730,23364,17934,1788,16146,13180,2966,5430,86715,63683,1791,61892,56017,5875,23032,46485,34633,69,34564,31296,3268,11852,37169,22278,0,22278,20903,1375,14891,20182,4823,4302,521,15359,16464,631,631,0,15833
ACSSF,2011e1,co,000,0109,0000019,405513,198970,13295,5566,0,5566,4102,1464,7729,15258,12877,35,12842,11195,1647,2381,104890,95931,130,95801,89116,6685,8959,35881,28031,0,28031,25940,2091,7850,10158,4192,3927,265,5966,19488,2711,2542,169,16777,206543,12392,5990,0,5990,4752,1238,6402,13527,11338,0,11338,10037,1301,2189,104630,86905,0,86905,81586,5319,17725,37733,24301,0,24301,22458,1843,13432,11780,3402,3165,237,8378,26481,2717,2628,89,23764,437380,215466,14617,5879,0,5879,4324,1555,8738,17592,14419,35,14384,12599,1785,3173,70533,62938,135,62803,58152,4651,7595,43408,40110,42,40068,37392,2676,3298,38204,30026,0,30026,27841,2185,8178,19190,6116,5769,347,13074,11922,1156,1069,87,10766,221914,13585,6545,0,6545,5260,1285,7040,15021,12430,0,12430,11129,1301,2591,68195,55305,0,55305,51255,4050,12890,45428,38813,0,38813,36768,2045,6615,39875,25255,0,25255,23268,1987,14620,21399,5329,5068,261,16070,18411,934,845,89,17477
ACSSF,2011e1,co,000,0109,0000020,229167,112427,8739,3815,0,3815,2834,981,4924,14646,10265,25,10240,8276,1964,4381,54791,51286,66,51220,48088,3132,3505,18150,13583,0,13583,12265,1318,4567,4736,2617,2324,293,2119,11365,1587,1587,0,9778,116740,9554,4981,0,4981,3947,1034,4573,13609,9831,0,9831,8708,1123,3778,54238,43132,55,43077,39591,3486,11106,19226,12577,0,12577,12052,525,6649,6332,2379,2168,211,3953,13781,1149,1149,0,12632,250153,122807,10284,4418,0,4418,3017,1401,5866,16342,11751,64,11687,9360,2327,4591,40603,37975,66,37909,35779,2130,2628,20108,18361,0,18361,16886,1475,1747,18863,14237,0,14237,12802,1435,4626,9841,3609,3316,293,6232,6766,595,595,0,6171,127346,11069,5859,0,5859,4445,1414,5210,15091,10780,41,10739,9616,1123,4311,38810,31040,55,30985,28517,2468,7770,21421,16261,0,16261,14958,1303,5160,20517,13649,0,13649,13124,525,6868,10894,3223,3012,211,7671,9544,305,305,0,9239
