ACSSF,2011e1,co,000,0106,0000011,35573,1383,454,0,3313,648,14612,389,0,4019,287,2126,4202,3961,169,10,282235,35494,2383,10608,14157,8346,246741,30582,68167,79337,68655,23543,30825,31290,26123,22562,30305,18996,253263,82006,1379,1276,1152,124,103,80627,60639,50341,10298,19988,110882,7160,5898,5476,422,1262,103722,83896,78383,5513,19826,60375,10927,5731,5175,556,5196,49448,31587,29664,1923,17861,300639,74157,1316,121,85,36,1195,104,1091,72841,16876,393,16483,55965,3202,52763,106647,6574,540,262,278,6034,1333,4701,100073,10894,3204,7690,89179,8695,80484,59728,10659,1480,424,1056,9179,2496,6683,49069,5071,1642,3429,43998,6447,37551,60107,15616,935,355,580,14681,6051,8630,44491,5154,2488,2666,39337,13099,26238,35573,30391,5182,493,1915,678,589,1140,367,253263,19466,12905,11803,1102,6561,233797,176122,158388,17734,57675,300639,240532,18549,2141,771,1370,16408,3933,12475,221983,32841,5239,27602,189142,18344,170798,60107,15616,935,355,580,14681,6051,8630,44491,5154,2488,2666,39337,13099,26238,35573,30391,5182
ACSSF,2011e1,co,000,0106,0000012,56156,2397,1020,0,5364,988,22262,711,159,5910,287,3235,7178,6256,379,10,475497,56036,3894,15861,22173,14108,419461,53536,111257,130083,124585,24757,31479,32280,25149,23771,30022,19779,436710,148445,2459,1789,1665,124,670,145986,110896,95281,15615,35090,190695,12517,10197,9531,666,2320,178178,141904,132888,9016,36274,97570,15982,8282,7636,646,7700,81588,52999,49235,3764,28589,504308,133803,2282,432,85,347,1850,104,1746,131521,29319,1092,28227,102202,5058,97144,180498,11365,935,371,564,10430,1414,9016,169133,18479,5006,13473,150654,12461,138193,95999,15415,1855,613,1242,13560,3574,9986,80584,8129,2170,5959,72455,10174,62281,94008,24411,1014,380,634,23397,8643,14754,69597,6921,3370,3551,62676,19557,43119,56156,47861,8295,751,2720,1169,1345,1690,620,436710,30958,20268,18832,1436,10690,405752,305799,277404,28395,99953,504308,410300,29062,3222,1069,2153,25840,5092,20748,381238,55927,8268,47659,325311,27693,297618,94008,24411,1014,380,634,23397,8643,14754,69597,6921,3370,3551,62676,19557,43119,56156,47861,8295
ACSSF,2011e1,co,000,0106,0000013,29950,1994,866,90,4377,508,9641,324,85,1791,115,2028,5207,2889,35,0,281065,29887,2477,9264,11733,6413,251178,46668,76738,76523,51249,27810,34954,35020,33494,26999,32135,23510,284330,115569,2174,2100,1852,248,74,113395,93516,79789,13727,19879,124215,9295,8641,7313,1328,654,114920,94233,84485,9748,20687,44546,8582,6292,5951,341,2290,35964,25604,24086,1518,10360,319370,114314,2174,287,0,287,1887,170,1717,112140,21229,2350,18879,90911,4547,86364,123272,9269,754,169,585,8515,1020,7495,114003,14115,2499,11616,99888,7874,92014,43749,8468,311,195,116,8157,1958,6199,35281,3582,786,2796,31699,4822,26877,38035,9535,535,120,415,9000,3912,5088,28500,2527,1684,843,25973,9791,16182,29950,24813,5137,484,1535,870,531,1334,383,284330,20051,17033,15116,1917,3018,264279,213353,188360,24993,50926,319370,281335,19911,1352,364,988,18559,3148,15411,261424,38926,5635,33291,222498,17243,205255,38035,9535,535,120,415,9000,3912,5088,28500,2527,1684,843,25973,9791,16182,29950,24813,5137
ACSSF,2011e1,co,000,0106,0000014,45185,4072,3186,0,5966,1165,15770,840,42,2700,192,1933,5459,3638,129,93,384822,44510,2308,7889,18003,16310,340312,31741,74329,103035,131207,31541,41255,41312,40903,30560,35620,26005,374156,135553,5219,4784,4228,556,435,130334,108032,94491,13541,22302,167897,12815,11855,10995,860,960,155082,133166,123729,9437,21916,70706,11482,7221,6834,387,4261,59224,43988,41414,2574,15236,432196,135066,5182,283,0,283,4899,71,4828,129884,20525,2141,18384,109359,4706,104653,167679,12808,1197,101,1096,11611,1349,10262,154871,15422,3235,12187,139449,8686,130763,70658,11482,364,236,128,11118,1499,9619,59176,3256,1052,2204,55920,6879,49041,58793,15288,634,340,294,14654,5191,9463,43505,3664,1610,2054,39841,11371,28470,45185,37711,7474,324,2188,1906,1006,1342,708,374156,29516,23860,22057,1803,5656,344640,285186,259634,25552,59454,432196,373403,29472,1844,337,1507,27628,2919,24709,343931,39203,6428,32775,304728,20271,284457,58793,15288,634,340,294,14654,5191,9463,43505,3664,1610,2054,39841,11371,28470,45185,37711,7474
ACSSF,2011e1,co,000,0106,0000015,16314,1399,416,0,1890,429,5892,33,0,1520,52,1013,1626,1858,186,0,192140,16148,169,2097,5198,8684,175992,11928,22007,37119,104938,30208,41952,39716,88007,28978,39411,24088,205884,84149,1149,1101,805,296,48,83000,62369,57593,4776,20631,84429,3804,3534,2907,627,270,80625,69041,65388,3653,11584,37306,4481,3201,2886,315,1280,32825,23972,22168,1804,8853,228989,77354,1101,424,0,424,677,77,600,76253,22716,931,21785,53537,1379,52158,84160,3804,183,0,183,3621,946,2675,80356,6277,1300,4977,74079,3939,70140,37265,4443,324,197,127,4119,831,3288,32822,1535,618,917,31287,4021,27266,30210,6574,346,34,312,6228,1614,4614,23636,1168,531,637,22468,5496,16972,16314,14920,1394,44,618,186,313,198,35,205884,9434,7836,6598,1238,1598,196450,155382,145149,10233,41068,228989,198779,9348,931,197,734,8417,1854,6563,189431,30528,2849,27679,158903,9339,149564,30210,6574,346,34,312,6228,1614,4614,23636,1168,531,637,22468,5496,16972,16314,14920,1394
ACSSF,2011e1,co,000,0106,0000016,34239,3153,902,0,4403,94,10602,423,34,2488,102,3156,4810,3687,346,39,424869,33676,2096,7016,11622,12942,391193,57973,71734,91826,169660,29362,35651,35777,31981,28771,31439,25756,421212,190714,3341,2989,2940,49,352,187373,152785,138419,14366,34588,165965,9392,8493,7475,1018,899,156573,129927,117585,12342,26646,64533,7639,5011,4833,178,2628,56894,38809,35222,3587,18085,474503,184078,3341,562,108,454,2779,41,2738,180737,38596,3193,35403,142141,4639,137502,164077,9389,855,332,523,8534,965,7569,154688,21857,6466,15391,132831,7817,125014,63973,7535,609,99,510,6926,1296,5630,56438,7849,2560,5289,48589,7727,40862,62375,13719,1120,584,536,12599,4359,8240,48656,6460,3601,2859,42196,14875,27321,34239,29916,4323,342,1442,1233,531,600,175,421212,20372,16493,15248,1245,3879,400840,321521,291226,30295,79319,474503,412128,20265,2026,539,1487,18239,2302,15937,391863,68302,12219,56083,323561,20183,303378,62375,13719,1120,584,536,12599,4359,8240,48656,6460,3601,2859,42196,14875,27321,34239,29916,4323
ACSSF,2011e1,co,000,0106,0000017,18375,1040,1116,285,2688,162,5924,107,0,1642,0,283,3099,1969,0,60,188233,18282,317,2959,5814,9192,169951,4896,25010,48975,91070,46800,55982,58571,36909,45724,65092,31605,181959,49678,952,815,774,41,137,48726,42554,38803,3751,6172,99514,6450,6076,5213,863,374,93064,81458,78183,3275,11606,32767,4808,3943,3569,374,865,27959,21868,20960,908,6091,204271,49497,952,93,0,93,859,0,859,48545,4669,402,4267,43876,698,43178,99454,6450,607,403,204,5843,290,5553,93004,2188,251,1937,90816,3420,87396,32617,4808,39,0,39,4769,677,4092,27809,531,55,476,27278,2272,25006,22703,6072,83,0,83,5989,1686,4303,16631,761,176,585,15870,3165,12705,18375,16055,2320,69,1102,122,505,522,0,181959,12210,10834,9556,1278,1376,169749,145880,137946,7934,23869,204271,181568,12210,739,403,336,11471,967,10504,169358,7388,708,6680,161970,6390,155580,22703,6072,83,0,83,5989,1686,4303,16631,761,176,585,15870,3165,12705,18375,16055,2320
ACSSF,2011e1,co,000,0106,0000018,84856,10413,11540,404,13529,4922,20420,2522,589,2427,184,2317,12588,2959,42,0,389652,82614,2617,14740,33493,31764,307038,21744,73424,104855,107015,28812,46768,50325,35624,24228,31496,20903,382767,140970,11683,9567,8101,1466,2116,129287,96025,81261,14764,33262,169815,32141,29276,27411,1865,2865,137674,112967,103845,9122,24707,71982,20259,13902,12415,1487,6357,51723,34492,31689,2803,17231,442026,137645,11682,747,104,643,10935,1673,9262,125963,25585,3583,22002,100378,5819,94559,169359,32069,1547,711,836,30522,2648,27874,137290,13004,3075,9929,124286,10312,113974,71877,20251,1337,610,727,18914,3163,15751,51626,4280,1033,3247,47346,7407,39939,63145,20285,767,406,361,19518,7728,11790,42860,4191,1930,2261,38669,12476,26193,84856,59507,25349,1158,8112,6007,3379,5326,1367,382767,64083,52745,47927,4818,11338,318684,243484,216795,26689,75200,442026,378881,64002,3631,1425,2206,60371,7484,52887,314879,42869,7691,35178,272010,23538,248472,63145,20285,767,406,361,19518,7728,11790,42860,4191,1930,2261,38669,12476,26193,84856,59507,25349
ACSSF,2011e1,co,000,0106,0000019,43817,2759,758,142,5434,537,14034,114,71,3960,157,3327,7212,4922,390,0,376388,43715,967,10213,15115,17420,332673,24440,73010,103760,131463,34992,45028,45425,36285,33123,41896,27119,350913,112063,2752,2322,2224,98,430,109311,88187,79662,8525,21124,160771,11861,10805,10342,463,1056,148910,129995,121078,8917,18915,78079,10853,8184,7393,791,2669,67226,47097,43716,3381,20129,414655,108825,2752,343,0,343,2409,57,2352,106073,13315,691,12624,92758,3813,88945,159223,11609,373,212,161,11236,624,10612,147614,9880,2177,7703,137734,8210,129524,77862,10853,556,179,377,10297,1478,8819,67009,4202,1295,2907,62807,6411,56396,68745,17957,324,130,194,17633,5805,11828,50788,3539,990,2549,47249,14478,32771,43817,38705,5112,420,1757,1255,459,948,273,350913,25466,21311,19959,1352,4155,325447,265279,244456,20823,60168,414655,345910,25214,1272,391,881,23942,2159,21783,320696,27397,4163,23234,293299,18434,274865,68745,17957,324,130,194,17633,5805,11828,50788,3539,990,2549,47249,14478,32771,43817,38705,5112
ACSSF,2011e1,co,000,0106,0000020,22628,1519,582,0,1707,306,7067,337,0,2605,64,2138,3484,2741,78,0,197246,22351,709,5314,8076,8252,174895,10207,31159,57359,76170,26811,38331,41072,22421,25387,33989,20359,204692,85990,1889,1496,1094,402,393,84101,65258,57696,7562,18843,79322,4960,4525,4357,168,435,74362,62652,57780,4872,11710,39380,5095,3644,3212,432,1451,34285,24242,22714,1528,10043,235015,80741,1837,334,0,334,1503,0,1503,78904,21622,372,21250,57282,2473,54809,78987,4960,292,83,209,4668,421,4247,74027,6816,1995,4821,67211,4331,62880,39325,5042,322,140,182,4720,339,4381,34283,2570,686,1884,31713,2282,29431,35962,10527,431,258,173,10096,3235,6861,25435,1400,634,766,24035,6623,17412,22628,19022,3606,446,1180,413,638,459,470,204692,11944,9665,8663,1002,2279,192748,152152,138190,13962,40596,235015,199053,11839,948,223,725,10891,760,10131,187214,31008,3053,27955,156206,9086,147120,35962,10527,431,258,173,10096,3235,6861,25435,1400,634,766,24035,6623,17412,22628,19022,3606
