ACSSF,2011e1,co,000,0178,0000001,1271804,954994,321370,633624,316810,87731,229079,1271804,409101,862703,249273,3166,246107,2224661,87804,2136857,2224661,45656,2179005,2224661,284488,1940173,1975388,47465,1927923,2224661,64472,2160189,2224661,31787,2192874,5024885,471584,4553301,5024885,453407,4571478,5024885,445009,4579876,5024885,334746,4690139,5024885,365736,4659149,5024885,279608,4745277,5024885,399773,4625112,5024885,400722,4624163,5024885,406137,4618748
ACSSF,2011e1,co,000,0178,0000002,929302,696661,235320,461341,232641,66036,166605,929302,301356,627946,126896,1499,125397,1668940,52462,1616478,1668940,38634,1630306,1668940,226009,1442931,1542044,37467,1504577,1668940,31961,1636979,1668940,16120,1652820,3885955,367223,3518732,3885955,352295,3533660,3885955,346198,3539757,3885955,258323,3627632,3885955,284684,3601271,3885955,216026,3669929,3885955,307374,3578581,3885955,311280,3574675,3885955,317310,3568645
ACSSF,2011e1,co,000,0178,0000003,342502,258333,86050,172283,84169,21695,62474,342502,107745,234757,122377,1667,120710,555721,35342,520379,555721,7022,548699,555721,58479,497242,433344,9998,423346,555721,32511,523210,555721,15667,540054,1138930,104361,1034569,1138930,101112,1037818,1138930,98811,1040119,1138930,76423,1062507,1138930,81052,1057878,1138930,63582,1075348,1138930,92399,1046531,1138930,89442,1049488,1138930,88827,1050103
ACSSF,2011e1,co,000,0178,0000004,1161131,889015,297753,591262,272116,75786,196330,1161131,373539,787592,177710,2250,175460,1991783,64509,1927274,1991783,42492,1949291,1991783,241646,1750137,1814073,43405,1770668,1991783,41983,1949800,1991783,20578,1971205,4630213,436652,4193561,4630213,419661,4210552,4630213,412385,4217828,4630213,310753,4319460,4630213,341005,4289208,4630213,262246,4367967,4630213,370921,4259292,4630213,369791,4260422,4630213,376865,4253348
ACSSF,2011e1,co,000,0178,0000005,1091084,842973,280093,562880,248111,69280,178831,1091084,349373,741711,135527,1916,133611,1842677,59932,1782745,1842677,38962,1803715,1842677,219990,1622687,1707150,40805,1666345,1842677,37726,1804951,1842677,18515,1824162,4366297,409667,3956630,4366297,393834,3972463,4366297,386546,3979751,4366297,290053,4076244,4366297,319791,4046506,4366297,245669,4120628,4366297,347750,4018547,4366297,346392,4019905,4366297,353492,4012805
ACSSF,2011e1,co,000,0178,0000006,437955,334280,111007,223273,103675,29738,73937,437955,140745,297210,59825,887,58938,863518,29108,834410,863518,27478,836040,863518,128463,735055,803693,19745,783948,863518,15710,847808,863518,7067,856451,1978766,195675,1783091,1978766,186388,1792378,1978766,184810,1793956,1978766,139205,1839561,1978766,151306,1827460,1978766,117727,1861039,1978766,165074,1813692,1978766,161251,1817515,1978766,168287,1810479
ACSSF,2011e1,co,000,0178,0000007,653129,508693,169086,339607,144436,39542,104894,653129,208628,444501,75702,1029,74673,979159,30824,948335,979159,11484,967675,979159,91527,887632,903457,21060,882397,979159,22016,957143,979159,11448,967711,2387531,213992,2173539,2387531,207446,2180085,2387531,201736,2185795,2387531,150848,2236683,2387531,168485,2219046,2387531,127942,2259589,2387531,182676,2204855,2387531,185141,2202390,2387531,185205,2202326
ACSSF,2011e1,co,000,0178,0000008,70047,46042,17660,28382,24005,6506,17499,70047,24166,45881,42183,334,41849,149106,4577,144529,149106,3530,145576,149106,21656,127450,106923,2600,104323,149106,4257,144849,149106,2063,147043,263916,26985,236931,263916,25827,238089,263916,25839,238077,263916,20700,243216,263916,21214,242702,263916,16577,247339,263916,23171,240745,263916,23399,240517,263916,23373,240543
ACSSF,2011e1,co,000,0178,0000009,21648,13835,6214,7621,7813,2206,5607,21648,8420,13228,6189,247,5942,42904,1499,41405,42904,1143,41761,42904,8649,34255,36715,1299,35416,42904,1466,41438,42904,734,42170,89536,7681,81855,89536,7479,82057,89536,7503,82033,89536,5987,83549,89536,6076,83460,89536,4795,84741,89536,6524,83012,89536,6987,82549,89536,6925,82611
ACSSF,2011e1,co,000,0178,0000010,48399,32207,11446,20761,16192,4300,11892,48399,15746,32653,35994,87,35907,106202,3078,103124,106202,2387,103815,106202,13007,93195,70208,1301,68907,106202,2791,103411,106202,1329,104873,174380,19304,155076,174380,18348,156032,174380,18336,156044,174380,14713,159667,174380,15138,159242,174380,11782,162598,174380,16647,157733,174380,16412,157968,174380,16448,157932
ACSSF,2011e1,co,000,0178,0000011,110673,65979,23617,42362,44694,11945,32749,110673,35562,75111,71563,916,70647,232878,23295,209583,232878,3164,229714,232878,42842,190036,161315,4060,157255,232878,22489,210389,232878,11209,221669,394672,34932,359740,394672,33746,360926,394672,32624,362048,394672,23993,370679,394672,24731,369941,394672,17362,377310,394672,28852,365820,394672,30931,363741,394672,29272,365400
ACSSF,2011e1,co,000,0178,0000012,180720,112021,41277,70744,68699,18451,50248,180720,59728,120992,113746,1250,112496,381984,27872,354112,381984,6694,375290,381984,64498,317486,268238,6660,261578,381984,26746,355238,381984,13272,368712,658588,61917,596671,658588,59573,599015,658588,58463,600125,658588,44693,613895,658588,45945,612643,658588,33939,624649,658588,52023,606565,658588,54330,604258,658588,52645,605943
ACSSF,2011e1,co,000,0178,0000013,99038,78420,25251,53169,20618,5192,15426,99038,30443,68595,11458,449,11009,163431,4401,159030,163431,2681,160750,163431,22977,140454,151973,4529,147444,163431,3305,160126,163431,2211,161220,447727,34644,413083,447727,33043,414684,447727,32395,415332,447727,25819,421908,447727,27774,419953,447727,22695,425032,447727,27989,419738,447727,29955,417772,447727,29026,418701
ACSSF,2011e1,co,000,0178,0000014,140035,111718,34324,77394,28317,6990,21327,140035,41314,98721,15688,0,15688,239770,8176,231594,239770,6443,233327,239770,30764,209006,224082,4751,219331,239770,3704,236066,239770,1946,237824,579745,51156,528589,579745,48995,530750,579745,48699,531046,579745,36167,543578,579745,39757,539988,579745,31739,548006,579745,43631,536114,579745,43993,535752,579745,44854,534891
