ACSSF,2011m1,co,000,0062,0000013,1185,2289,814,1125,1079,1078,1235,1143,1124,1077,1056,902,938,813,852,647,1698,252,2317,6206,4507,1788,2248,1725,2822,5174,1045,1649,359,716,519,1470,1403,1312,724,218,407,143,260,957,1703,1231,726,760,258,743,1145,,,,,,,,5710,2620,428,1594,842,588,3778,2823,1591,540,1107,685,377,1857,1107,2797,1287,1078,1069,2440,2797,1185,2289,1392,1283,927,1687,2317
ACSSF,2011m1,co,000,0062,0000014,986,2150,1325,738,858,656,776,917,806,773,440,776,823,742,635,663,1536,341,2046,5101,4532,1937,2379,1584,3175,5110,1847,2202,642,1224,526,1589,1702,1373,536,64,401,254,220,1045,1792,1132,502,785,763,615,1280,,,,,,,,4474,2142,443,1118,959,782,3010,3652,2404,928,1575,723,780,2016,1056,3799,1378,1791,1105,2980,3801,986,2150,1447,1280,882,1607,2046
ACSSF,2011m1,co,000,0062,0000015,588,989,498,592,481,519,601,434,519,581,201,387,413,484,482,516,856,287,958,2600,2978,1179,1178,1248,2654,2980,,,,,,,,,,,,,,,1192,1010,413,414,280,604,704,,,,,,,,2400,1085,397,603,324,136,1793,1273,1391,781,751,604,633,1002,610,2776,924,855,940,2659,2652,588,989,815,687,548,896,958
ACSSF,2011m1,co,000,0062,0000016,1151,2956,1074,1130,1102,830,876,1231,912,1110,1013,1020,1007,839,851,987,2027,563,2617,7655,4699,1831,3090,1648,3357,6479,2074,2799,1029,1195,621,2123,2241,2078,1678,289,818,581,644,928,830,821,577,329,504,692,1027,,,,,,,,7691,3569,1094,1992,1193,1224,4948,4097,2552,741,1516,658,912,2299,1174,2818,1425,1390,956,2816,3042,1151,2956,1534,1793,1118,2008,2617
ACSSF,2011m1,co,000,0062,0000017,421,1019,489,404,238,381,316,400,437,182,334,494,452,473,330,383,627,326,940,2235,2531,1916,1584,1240,1745,2749,719,717,344,391,201,291,584,,,,,,,,1343,1156,430,766,312,691,808,,,,,,,,,,,,,,,1688,1254,289,880,471,348,832,1500,2278,1890,1449,1174,1719,2325,421,1019,752,476,448,622,940
ACSSF,2011m1,co,000,0062,0000018,1123,1988,886,964,886,1194,1046,1197,701,750,656,725,767,852,620,837,1745,622,2005,5182,4628,1918,2802,2071,3342,4202,2539,2215,393,1242,730,1205,1546,1223,403,155,278,287,116,998,1587,1114,521,736,391,505,870,,,,,,,,4417,2217,699,1353,959,604,2704,3695,2615,1055,1673,999,988,1843,1335,3586,1794,1580,1463,2985,3126,1123,1988,1258,1357,1055,1821,2005
ACSSF,2011m1,co,000,0062,0000019,721,1750,789,681,720,584,619,530,668,654,576,490,677,484,425,510,1229,179,1502,2845,3560,1758,2407,1450,2485,3743,1059,720,65,637,198,322,698,,,,,,,,1449,1298,114,559,607,1032,1030,,,,,,,,1775,771,186,459,343,300,1283,2355,1611,454,1009,582,579,1495,1197,2765,1404,1981,1347,2175,2920,721,1750,1070,1054,849,1238,1502
ACSSF,2011m1,co,000,0062,0000020,677,997,508,346,507,435,407,319,419,823,282,244,322,455,414,247,837,196,1093,2950,2900,1160,1378,1358,3166,3292,,,,,,,,,,,,,,,748,539,233,316,509,454,528,,,,,,,,2775,1170,305,625,317,583,2010,1875,1070,368,533,490,665,1379,1009,2836,1019,906,1276,3092,2854,677,997,578,784,387,935,1093
ACSSF,2011m1,co,000,0062,0000021,426,807,476,106,242,303,278,408,676,335,340,314,293,266,150,547,703,152,815,2707,2204,806,1466,939,1338,2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327,1158,93,748,506,446,2031,1327,1202,405,750,499,366,581,820,1723,899,1016,891,1249,1535,426,807,516,708,606,649,815
ACSSF,2011m1,co,000,0062,0000022,609,1224,526,606,503,407,462,556,697,764,575,294,525,459,364,707,924,291,1187,3828,2464,898,1330,866,1319,2555,,,,,,,,1995,1374,529,654,228,369,1016,284,263,201,104,74,179,85,,,,,,,,3249,1705,211,1003,818,430,2023,1528,1046,283,802,303,368,971,478,1346,620,739,512,1237,1280,609,1224,819,586,600,983,1187
ACSSF,2011m1,co,000,0062,0000023,845,1966,652,832,963,748,967,660,1121,629,820,759,786,688,1031,666,1809,78,1885,3195,3745,1663,3163,1742,2772,3475,,,,,,,,,,,,,,,571,249,113,145,104,197,569,,,,,,,,2628,1226,220,900,410,539,1755,1110,682,150,535,264,159,793,676,2869,1207,2550,1534,2284,2808,845,1966,1171,1183,726,1811,1885
ACSSF,2011m1,co,000,0062,0000024,3008,1786,426,495,240,111,479,385,281,327,279,171,435,72,178,330,687,103,1923,2163,2279,945,1599,1052,1370,2706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931,421,201,330,122,94,622,626,517,250,357,96,191,301,3282,1983,731,1457,754,1203,2943,3008,1786,842,1162,643,695,1923
ACSSF,2011m1,co,000,0062,0000025,4199,2784,595,718,915,599,856,879,726,866,482,631,633,678,683,680,1311,375,3335,6283,4286,1067,2539,1773,2150,5384,4358,2684,514,1374,878,1675,2970,1319,494,64,367,254,108,945,2670,1219,576,816,465,672,2003,,,,,,,,4286,2047,421,1025,953,392,2794,3114,2079,686,1218,632,673,1785,4576,2954,825,1667,1289,1664,4332,4199,2784,893,1921,989,1395,3335
ACSSF,2011m1,co,000,0062,0000026,,,,,,,,,,,,,,,,,,,,1946,2690,822,762,838,2452,2499,,,,,,,,,,,,,,,918,597,69,264,201,546,663,,,,,,,,,,,,,,,824,627,165,201,201,591,595,2055,2726,820,758,786,2471,2640,1528,940,299,542,363,707,1035
ACSSF,2011m1,co,000,0062,0000027,,,,,,,,,,,,,,,,,,,,2702,2427,879,1469,1148,1304,2979,,,,,,,,,,,,,,,1681,796,166,534,403,288,1000,,,,,,,,,,,,,,,1389,857,534,527,247,133,666,3030,2243,748,1340,1035,1263,3090,2210,1277,695,644,579,448,1251
ACSSF,2011m1,co,000,0062,0000028,4067,2412,713,960,810,1161,946,1211,373,699,478,460,669,475,341,800,1149,573,3064,5842,4553,1540,3328,1589,2429,5106,3422,2179,390,1298,637,1017,2410,,,,,,,,1787,1063,208,826,378,338,1107,,,,,,,,4423,2197,699,1347,959,604,2698,2234,1728,908,996,625,877,1193,4902,4102,1430,2582,1452,2309,4412,4067,2412,1151,1802,1222,1289,3064
ACSSF,2011m1,co,000,0062,0000029,1151,2956,1074,1130,1102,830,876,1231,912,1110,1013,1020,1007,839,851,987,2027,563,2617,7655,4699,1831,3090,1648,3357,6479,2074,2799,1029,1195,621,2123,2241,2078,1678,289,818,581,644,928,830,821,577,329,504,692,1027,,,,,,,,7691,3569,1094,1992,1193,1224,4948,4097,2552,741,1516,658,912,2299,1174,2818,1425,1390,956,2816,3042,1151,2956,1534,1793,1118,2008,2617
ACSSF,2011m1,co,000,0062,0000030,2807,1479,386,231,239,379,118,201,429,346,273,110,322,245,357,225,912,207,1878,2626,3555,803,1782,1387,3201,3592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333,899,348,347,238,671,909,3214,3429,757,1666,1386,3097,3763,2807,1479,452,792,466,994,1878
ACSSF,2011m1,co,000,0062,0000031,3696,2634,522,516,262,606,670,287,931,385,273,727,489,290,457,607,1417,78,2657,2573,3369,1195,1828,1268,2183,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,835,220,301,367,538,1315,805,623,201,525,211,144,515,3987,2964,842,1449,905,1827,3093,3696,2634,879,1713,935,1419,2657
ACSSF,2011m1,co,000,0062,0000032,,,,,,,,,,,,,,,,,,,,5018,3286,1346,2306,1206,1043,3534,,,,,,,,,,,,,,,1749,1008,350,490,291,485,1018,,,,,,,,,,,,,,,1742,1269,288,858,419,210,626,4737,3038,1348,2194,1174,998,3555,1987,1124,238,782,501,498,1229
ACSSF,2011m1,co,000,0062,0000033,3573,1883,382,481,270,408,462,312,467,537,376,354,484,435,298,406,549,91,2304,2093,2633,851,1557,1205,1258,2931,,,,,,,,,,,,,,,1172,675,201,220,200,590,948,,,,,,,,,,,,,,,1376,942,201,672,264,538,990,3689,1971,542,1058,912,1236,3851,3573,1883,604,1080,799,556,2304
ACSSF,2011m1,co,000,0062,0000034,2556,1613,401,482,395,228,541,397,450,459,120,365,352,488,382,454,556,201,1635,2805,2273,954,1428,1159,1059,2547,,,,,,,,,,,,,,,1339,803,378,352,297,280,671,,,,,,,,,,,,,,,,,,,,,,2653,1732,610,1052,803,837,2547,2556,1613,755,996,664,556,1635
