ACSSF,2011e1,co,000,0121,0000011,30430,41361,49140,50138,45456,52071,43115,59082,51953,32030,32060,41565,31306,32500,52191,59717,24269,17162,17861,36169,27188,37876,14292,15808,11659,24597,27383,23562,35652,22061,36797,39643,25624,22356,29487,27531,30430,36585,51966,52133,51936,54032,59199,36369,59679,67037,43180,38204,127028,42536,43118,128656,185125,35054,21511,22115,37116,33447,40225,13032,14482,20075,31712,35757,23640,36321,25078,37040,39813,31579,26162,36241,36288,23307,33990,39753,39418,40102,36313,43488,25929,35297,28126,27491,30263,28703,27131,40346,53511,23855,15338,17629,26188,25265,29875,15294,18757,11144,22824,21204,23555,9583,9571,4611,15822,11795,12543,11910,4855,146940,80166,26550,11308,12058,20933,9317,66774,26475,13805,22909,704,2881,31527,17683,2228,3450,2290,6903,2812,13844,4316,4804,3616,392,716
ACSSF,2011e1,co,000,0121,0000012,30484,42015,47104,47115,47040,61442,62000,61748,59789,31932,31255,52177,31277,31729,51693,59179,24708,17924,21137,40327,29120,42445,15782,14854,12405,25191,26328,24413,35249,25026,35253,38985,30461,29711,30368,35023,30484,36087,51374,51060,50730,52849,62070,62294,61392,62207,38146,32451,125307,38968,32353,91336,116842,35602,22097,12269,42042,35722,43266,15873,14601,20495,30432,31955,27110,35542,25646,35375,39404,34268,31839,35563,40454,24106,35808,40757,40382,41453,43452,44666,76279,36342,29091,29930,30936,28161,26633,42367,54895,24354,16200,21379,29219,23239,39552,15745,15345,11882,23499,21744,24072,13750,15226,9205,16349,16827,16308,18160,11764,249639,137219,46503,21926,19873,32287,16630,112420,46310,25288,35772,1112,3938,56626,32993,3671,7926,3979,11390,6027,23633,5722,9732,5940,546,1693
ACSSF,2011e1,co,000,0121,0000013,32436,50674,52173,55049,50793,64763,68561,60997,61552,36900,40773,47442,32103,40611,55676,59621,35963,19985,24141,45248,39189,51410,13225,18175,15183,30866,30006,31222,34540,17703,30583,47335,32104,33676,36320,18281,32436,37355,55798,62161,65592,54993,66539,70693,62159,86469,41563,47763,49708,34812,43072,50578,51641,41429,22078,30545,50705,50303,56797,15384,21250,21266,35691,41934,30190,35354,18788,30685,47158,35368,36825,40251,17792,29290,45353,46582,45609,46748,52028,53615,46451,42263,32494,31212,47098,30976,28294,56336,60367,35505,16509,23934,25212,23463,42775,11392,14341,13308,30243,25060,31285,19482,11579,11742,52870,24714,21749,30605,22401,124483,65401,20638,8424,12811,11165,12363,59082,20506,11625,23930,557,2464,69524,40752,4661,7366,5261,13420,10044,28772,5600,8790,10604,660,3118
ACSSF,2011e1,co,000,0121,0000014,35519,55300,61532,71218,52411,74186,75961,70413,56811,36256,32670,76648,34215,28459,50550,58617,41365,18453,22818,42734,33780,65193,17061,17149,14082,31072,30489,31440,30877,28977,27109,34754,26382,33470,30111,18081,35519,40641,73378,75052,80127,66622,82966,81548,88110,130278,41819,26451,153438,41589,41391,72719,73325,68917,22265,26261,40815,31031,67068,17409,30511,15600,36335,36512,36106,31168,41397,27657,34594,29023,34724,30763,16366,30535,47019,51341,57292,46750,60395,71944,51920,36542,32272,40248,42761,30649,25732,48160,56134,36214,17283,22105,46896,34278,51579,16595,15326,12572,27185,19676,30011,22793,27898,14034,36250,23489,25996,22200,22727,200262,104107,45754,8607,23421,14315,12010,96155,47614,13986,31680,462,2413,48039,27110,5291,6257,3793,7918,3851,20929,4239,7469,7197,407,1617
ACSSF,2011e1,co,000,0121,0000015,36186,58832,72666,77404,52197,77319,88895,81851,58396,33035,40078,84871,30045,24907,55783,60643,46166,11020,17902,31716,27406,60123,9354,17025,7092,25147,27442,22926,28048,21108,25304,41888,30002,29403,39717,9800,36186,45516,76732,92022,99107,83533,82273,93990,81817,63529,43968,47946,84127,38991,55913,80089,89990,52130,15909,23955,51438,27031,60123,13978,15799,17328,31220,35464,22417,28371,21146,25541,41782,26250,26466,41414,10366,27206,45316,50470,57355,46576,63835,79637,82155,48899,27374,29196,102400,27496,12400,50793,54808,37309,8711,17655,30588,30588,.,6842,17751,6038,22242,21311,23042,21371,21063,.,55338,39167,112807,38664,2499,128916,68344,38469,8192,11336,5718,4629,60572,33994,8198,17096,191,1093,18536,9732,2721,2376,1081,1866,1688,8804,1558,2972,2872,60,1342
ACSSF,2011e1,co,000,0121,0000016,35676,53825,59064,61385,55951,66915,71650,65383,52177,41623,38721,65620,41311,36905,60758,62470,41071,18135,24906,35479,29885,42258,16053,17799,15256,30813,35459,28878,32000,7935,30780,40679,23801,24504,29136,20394,35676,39725,61611,65420,70183,60818,67076,71218,65809,58297,47546,35697,81533,47005,38772,62426,71813,45141,20235,21367,40038,28730,50852,15621,19960,21570,40200,45903,27076,31822,7129,30780,40974,24859,26081,30865,19520,32221,48851,51387,52043,51012,66658,72411,62233,44776,40415,39574,53446,38700,32349,57435,61260,40701,16748,25029,31062,31146,30863,16292,15484,12127,28128,23272,29960,36356,.,26250,37182,20190,20514,18565,30063,200614,103830,55505,11608,20944,7497,8276,96784,55900,12092,25809,395,2588,77854,43290,5622,10878,4744,13099,8947,34564,7433,12987,10276,0,3868
ACSSF,2011e1,co,000,0121,0000017,51490,71099,76647,85800,64966,82272,82194,85335,90338,40694,53750,45038,35179,33990,51920,56571,32421,19967,23499,61227,50814,73160,12860,22027,20000,34649,41903,30101,31796,61250,26312,40556,41734,42454,48076,35431,51490,68698,87020,92758,93500,81397,84916,83438,95868,59824,60928,48228,41722,60180,71750,100837,102246,60158,25033,.,69635,53620,73695,18077,32127,9737,61446,74723,39682,34243,33978,26267,41225,42727,60984,48487,37417,35636,56719,64420,74664,57713,80388,81177,65389,91402,26913,66046,48456,22451,13853,45912,46880,32337,16145,23743,18887,17541,.,11510,14617,20036,25752,18718,28365,30892,.,30054,.,40533,41604,36136,5578,134185,71202,38963,5726,15824,4694,5995,62983,33532,7542,19524,683,1702,11108,5683,2326,1751,1029,416,161,5425,1162,2376,1749,0,138
ACSSF,2011e1,co,000,0121,0000018,32526,51443,57697,60954,50674,76451,77148,83035,51444,32087,32369,41147,31352,32495,53687,61037,38365,17857,22771,53782,26538,64770,12450,17522,15164,26526,22510,28551,35612,16000,35465,36738,27627,28801,35575,17325,32526,40972,66273,65626,67141,61023,76858,74915,85932,60256,47821,39829,110811,48780,36793,100846,102260,33231,20664,18274,54272,29911,66000,13735,21277,18543,31745,31474,32403,36228,25351,35504,37257,29928,32512,36940,16773,25987,41019,47229,48367,42218,74686,84773,41909,47394,27459,30320,26603,27396,25052,50382,52434,39267,16132,24020,48385,18401,61827,11327,15209,14531,23862,15957,27272,16317,15595,19521,15798,23050,22425,29642,20045,210140,112149,50190,14959,18855,15343,12802,97991,43665,21749,28996,829,2752,36054,19638,4411,4927,3700,3702,2898,16416,3885,6256,5032,0,1243
ACSSF,2011e1,co,000,0121,0000019,40575,60765,64856,66722,60254,78794,79795,84155,66099,42212,36613,76650,40517,42762,54259,61733,40726,17553,27096,51898,35492,71643,13037,20976,15018,32237,31366,32852,39455,17124,37004,44517,32747,34889,38178,25146,40575,48777,75822,75599,77280,71133,83272,83577,84896,81042,56087,35957,140884,55018,51321,77791,114571,37054,22493,34385,65246,40337,75264,12999,23144,15446,37102,40847,32286,40037,19821,37784,45311,36478,42104,38245,26384,34018,47320,51637,51315,52541,66425,61195,82609,58970,36898,36869,51759,34011,32025,51459,56679,40879,15576,23750,40635,35360,62982,13061,16675,14770,30817,23200,33016,22545,16806,7140,41075,21607,20189,29348,11106,231992,121580,52001,12182,24402,17890,15105,110412,52046,17724,36036,1351,3255,34917,18816,5056,3704,2638,4711,2707,16101,6031,3992,5123,0,955
ACSSF,2011e1,co,000,0121,0000020,31843,50075,51753,52000,50810,70619,75834,76213,32101,34363,40025,52403,34817,23263,51429,56636,39949,12308,17133,57976,17136,61426,9772,9723,13119,22485,21410,23718,38160,7051,36054,41730,26175,31878,25560,16239,31843,40865,59914,58240,58096,58376,72491,75357,82186,29543,41264,41470,119492,35862,16346,80110,101629,51640,12196,9306,60426,6994,62264,9105,10889,20937,30220,31385,24959,39690,11525,36372,41866,27056,38739,25859,15485,23537,41991,45768,46648,45395,58253,76211,71108,40879,30571,33407,28073,31778,23783,48339,51791,26138,12345,18040,36621,50125,35940,10178,8659,12462,18436,13801,23240,2499,2499,2499,12361,25086,25441,23032,25162,133379,70153,34035,7146,10876,10343,7753,63226,29256,11034,20226,421,2289,15204,8557,1377,2483,1283,2246,1168,6647,1421,2830,1729,43,624
