ACSSF,2011m1,co,000,0125,0000011,698,6514,3404,8006,4082,7309,6115,2677,2555,7607,20479,18069,4798,11345,11930,8225,7094,206615,7643,2497,4881,2608,2644,6259,2659,5565,3018,1304,6916,1896,4310,3785,7042,14682,9173,11599,4200,12030,9489,14519,32408,17511,11633,13596,.,13321,4875,5308,23115,4606,5366,2625,6813,4013,1420,5736,1994,20246,10068,16641,16324,4163,10160,8651,8809,18893,11580,11666,20679,8364,12083,.,10081,1942,4600,2663,5004,16350,5210,1754,2510,4955,3013,1716,1505,987,1909,1080,655,1436,1035,751,812,559,1465,1134,914,1265,825,23,1060,1432,964,1070,1771,1049,1486,1092,1221,3216,648,571,305,488,479,567,1854,520,429,307,467,1312,1151,733,1133,876,45,620,2484,1438,1948,1627,955,1230,1134,992
ACSSF,2011m1,co,000,0125,0000012,659,4839,2437,7526,1891,4290,8717,1892,2216,7412,7800,8405,4878,5967,9122,5226,11257,1929,4629,2482,2407,2473,2032,3858,2174,2978,2739,1080,5765,2385,5921,1635,5533,5442,5949,3041,4857,13089,13256,14927,15869,16249,8471,31965,630,6927,3989,5919,7085,3946,5079,2227,4475,5629,1358,8397,11465,30029,12641,14993,10088,2012,9947,12144,4608,17172,10392,9042,13231,4181,7641,47375,4679,2237,6098,2206,2250,10768,2939,4588,3216,6087,4340,2256,1954,1041,2760,1619,1131,2042,1262,879,976,926,1934,1291,1344,2552,1500,234,1876,1941,1291,1440,3045,1453,2635,1616,1795,4092,960,875,284,800,853,580,2371,664,534,345,734,2211,1327,1802,1803,1304,95,1238,3219,2029,2551,2507,1134,2147,1400,1337
ACSSF,2011m1,co,000,0125,0000013,1077,27507,6671,25125,2245,1982,3668,3387,5622,6663,29362,14997,3303,5368,11577,4636,8241,29931,3233,3032,5263,3452,2064,10239,1926,2705,8433,3946,26640,3353,39888,2359,5181,2817,5479,5350,8333,29120,12589,12475,29584,20531,4282,7233,44446,4132,8202,11890,5387,3804,18671,3350,6038,12706,2492,38193,75177,22164,8216,9989,6648,4491,10371,5978,41181,14242,3297,5054,11723,4573,9710,96665,8109,4028,7323,5613,3465,7895,3465,5271,8608,4628,3192,790,422,714,2289,2052,1135,2102,1653,1573,527,1011,1394,1304,595,1992,1202,174,1449,1955,1471,1378,1931,884,1782,1209,1078,2939,286,260,109,850,1302,583,2299,1594,1439,665,995,1331,1054,864,1813,1110,273,1263,2863,1480,2488,1982,709,1954,1158,1318
ACSSF,2011m1,co,000,0125,0000014,1127,17621,19446,49870,2716,6340,10140,1959,5510,2246,15079,8062,4822,8564,6400,2563,7305,29505,2417,3461,5521,3705,1563,6572,2107,3729,4503,1224,57042,25544,69378,3449,7107,12984,3670,5907,3907,9046,14167,13303,5406,16598,5145,8723,.,6018,8414,10201,10871,2546,6850,3255,6316,4225,1298,7362,36565,23855,4321,7220,21519,3144,6639,5905,45000,3413,2803,6126,3399,4473,7187,29505,3013,2062,6967,3573,2451,1705,2674,3488,4941,5522,3295,495,257,433,2509,1919,1316,2752,1676,1550,512,1476,1861,1206,1425,2825,2091,201,1569,2212,1435,1875,1878,926,1943,2164,1472,3703,251,145,204,774,1557,709,2332,1020,1013,482,1523,1953,1821,1050,1852,1434,195,1342,2863,1838,2425,2656,806,2554,1690,1746
ACSSF,2011m1,co,000,0125,0000015,3000,15749,24870,70208,4332,14025,22179,4765,8970,9175,796,15863,9755,10712,17622,6660,8706,.,4506,3632,3634,6131,2726,5934,3963,3730,8149,4969,9635,16170,68753,4772,15022,20237,6149,16696,22030,8358,19040,12335,32379,9207,8817,5324,.,8639,3473,8095,16142,5819,10938,4100,16386,32380,1832,207256,13797,.,13004,30625,21464,5012,8145,9197,2401,17074,10453,17351,7288,14040,10416,.,3948,3111,6155,3189,2656,5297,3025,6924,18223,3713,2607,1130,921,670,1251,1643,532,1645,905,592,786,798,955,723,585,2211,1705,129,1533,1709,1555,998,1259,539,1149,999,838,2725,860,426,755,273,1052,583,1338,674,436,540,1019,1084,788,674,2051,1818,201,948,2159,1640,1437,1291,765,1237,1340,693
ACSSF,2011m1,co,000,0125,0000016,1132,26812,26993,52863,4418,5178,3807,2300,7624,8945,19145,5443,7085,6548,7182,2454,4500,185534,2909,3190,3761,4733,2015,6829,1567,2583,5320,3408,56434,115105,73845,2712,8112,8467,4797,6644,10881,20448,7845,8576,10354,21992,8706,6167,380944,2501,3471,6280,9294,3222,9542,4063,9083,9291,1475,8739,31825,34790,8629,5324,5315,4928,11186,14492,53681,8583,2680,5151,7230,5456,6696,.,7746,2864,5073,4099,1258,2599,1490,5204,9025,4741,3028,793,222,771,2432,1703,1539,2035,1945,1864,624,1246,2142,1793,1323,2977,2296,456,2119,2636,2004,1705,2688,1181,2522,1389,1563,3379,466,245,394,579,1423,1107,2208,1235,1234,190,1155,1509,1485,967,2734,2189,119,1550,3119,2112,2697,2103,904,1997,1576,1422
ACSSF,2011m1,co,000,0125,0000017,1672,27606,94689,44402,9449,12559,55566,6528,15579,15152,29934,8708,6601,9144,30570,10486,10471,103100,15546,5753,8296,7860,4984,3792,1523,6342,5810,3038,92897,155968,102198,8344,12188,41730,6151,9571,12605,41822,13670,10250,9159,33089,13912,13550,.,20738,23565,15156,12384,4399,36043,3389,15548,7869,3346,42727,112641,41089,38694,38079,11264,8162,19264,23136,101753,29921,10079,8845,31779,14265,11703,103100,18729,6471,12662,7359,3033,3540,9599,7738,12944,3700,2065,492,173,467,1421,1510,878,1711,959,757,731,1685,2021,1755,962,2069,1761,201,1138,1508,862,1183,1400,827,1295,858,1219,2870,508,183,472,396,1226,656,1967,1025,531,908,651,1822,1503,1150,1863,1736,252,702,2044,1525,1942,1707,866,1460,1366,1153
ACSSF,2011m1,co,000,0125,0000018,1244,2103,1123,109925,3359,8910,9866,2479,6726,8426,15294,24153,3959,7672,7067,4435,5898,14391,2933,1592,3594,1832,1834,6616,1991,1815,8728,1373,6563,919,90605,2907,9379,11651,5500,3952,13031,21686,16528,9962,21174,7932,5780,10663,.,4707,6307,6214,13513,3645,16496,3422,7272,5386,1247,6858,7845,.,12583,7040,44225,2533,13945,16471,22094,25831,3202,7330,7159,4895,5433,14391,10932,2705,4483,2438,2932,11354,3070,2791,4083,5696,4123,1433,1502,247,2062,1526,1357,2142,1383,1295,665,1354,1389,948,891,2229,1948,201,1431,1980,1327,1544,2038,846,1965,1741,2122,3910,400,391,82,812,935,702,2307,739,687,389,1177,1902,1806,885,1499,1145,111,1020,3380,2070,2972,1850,874,1711,1822,1370
ACSSF,2011m1,co,000,0125,0000019,616,16980,28550,16831,1364,8223,7487,2782,5379,4590,25329,7662,4205,4872,10237,2859,4921,83324,7316,1576,3740,2110,2015,9089,2366,2327,3941,2737,24440,8563,25269,1554,8423,8576,3164,7070,4782,21540,21735,6038,8385,19513,5631,7300,120985,7128,3535,4024,16427,5105,19431,5003,8877,6183,2243,35279,113458,34822,25762,11437,3844,4021,3166,8322,7022,10007,1274,2220,12906,4127,3913,.,9738,2461,4342,2955,2230,6050,2275,3097,2964,4458,2808,860,196,824,2023,1608,1212,2137,1582,1496,634,979,1510,1097,1067,2488,2023,111,1209,1763,1374,1110,1798,816,1667,1281,1325,3454,530,290,441,722,1114,947,2076,1138,855,646,825,1442,1429,708,1550,1314,64,963,2870,1880,2125,1562,843,1319,1522,1364
ACSSF,2011m1,co,000,0125,0000020,1485,19596,6904,23292,3533,9237,9145,5376,8673,3681,58569,29070,4661,5795,13066,8297,4039,.,5961,4891,6323,9304,2147,8403,1979,3655,9328,1496,66115,26031,22748,6197,14601,4621,5287,18662,4342,52015,49977,12852,24610,28620,12237,11446,.,2585,7466,9398,13259,2644,13915,2440,12896,7072,2112,6841,9695,.,37396,8333,20492,1841,10692,8531,.,22464,5443,11082,12513,7596,10201,.,4671,4440,6475,5869,2827,2109,2464,3525,4539,3464,2755,1202,889,757,2249,1866,1025,1708,910,737,472,764,968,584,739,1865,1367,201,1046,2142,1649,1192,1686,739,1589,1018,848,2683,409,391,110,1006,1195,416,1937,529,501,144,731,929,748,506,1591,1308,69,1170,2705,1886,2062,1199,599,1148,991,760
