ACSSF,2011e1,co,000,0173,0000011,270622,210515,18814,8590,5296,3442,10224,54324,37397,29949,9267,16927,76119,62826,54244,12037,13293,61258,53974,52346,2986,7284,60107,9243,9090,3372,9072,153,19522,19514,11370,18938,8,15996,15996,10380,15746,0,15346,15346,10126,14996,0,394672,371619,312061,236174,118179,59558,23053,6266,5664,4706,1359,602,16787,7079,5347,2134,9708,394672,318427,251710,250375,214834,176918,64893,35541,1335,680,196,580,655,66717,23409,19700,15307,7999,8169,4393,3709,2947,1036,1998,762,43308,40181,29813,15779,16792,10368,3127,1208,759,594,1919,76245,57489,49726,40938,27460,24207,8788,7763,5709,4889,1489,2054,18756,13368,11191,2950,5388,390264,90853,27020,17204,9816,51891,16496,35395,11942,11443,499,50407,13681,6125,7556,26542,5080,21462,10184,10118,66,128224,30929,3937,26992,77963,7682,70281,19332,19078,254,120780,17995,716,17279,84136,4344,79792,18649,18113,536
ACSSF,2011e1,co,000,0173,0000012,451252,357244,34881,15692,11074,5138,19189,86868,60423,49324,13447,26445,124072,98532,86399,17139,25540,111423,97054,94024,5281,14369,94008,13080,12927,5597,12909,153,29840,29811,17748,29111,29,24919,24919,16550,24585,0,26169,26169,17170,25338,0,658588,606841,505640,390770,182541,101201,51747,12418,10394,8658,2504,2024,39329,15420,13015,3430,23909,658588,528322,423670,419615,352363,293845,102753,67252,4055,2720,933,2103,1335,104652,35460,30449,22849,12510,11470,7600,5011,3653,1528,2212,1358,69192,65158,48096,26103,26361,17062,4034,1909,1425,720,2125,130266,95624,79791,64378,45948,34690,15413,15833,10663,9286,2834,5170,34642,24823,20865,5332,9819,651556,150169,46730,28984,17746,87358,23947,63411,16081,15480,601,86829,23084,8403,14681,47967,7322,40645,15778,15530,248,206082,46983,7160,39823,129809,10884,118925,29290,29002,288,208476,30451,1344,29107,145166,6275,138891,32859,31931,928
ACSSF,2011e1,co,000,0173,0000013,278163,240128,38628,19116,10534,9015,19512,71235,51120,43097,10704,20115,78986,64489,57241,9623,14497,51279,46539,45249,2530,4740,38035,9190,8391,3886,8267,799,13824,13824,9680,13149,0,8647,8647,6524,8463,0,6374,6344,3893,6245,30,447727,382593,323341,246149,108270,59252,65134,19096,14821,11525,5253,4275,46038,16457,9471,7801,29581,447727,388270,270755,269184,223715,178311,63897,45469,1571,653,473,180,918,117515,35159,30851,19354,12907,8313,11497,4308,2105,1419,686,2203,82356,75702,59025,33210,30652,16677,6654,2509,2168,406,4145,59457,45787,38006,32483,26254,14048,5523,7781,6306,5100,1422,1475,13670,8469,7303,1720,5201,447123,108864,41451,27869,13582,60177,18041,42136,7236,6852,384,56637,19193,10578,8615,32770,7129,25641,4674,4428,246,143153,42138,8256,33882,86490,7743,78747,14525,14259,266,138469,24971,1170,23801,101898,4414,97484,11600,10585,1015
ACSSF,2011e1,co,000,0173,0000014,382394,323601,27980,13700,9133,5314,14280,65224,45256,39161,7666,19968,103972,86545,79362,13253,17427,126425,117334,113674,6279,9091,58793,5657,5360,2909,5141,297,16302,16122,10092,15525,180,16352,15999,11260,15310,353,20482,20432,14980,19276,50,579745,490706,431465,363031,118988,59241,89039,30819,25641,21723,6739,5178,58220,27103,21183,7015,31117,579745,487008,353452,350448,304185,267287,70735,46263,3004,2028,1171,1318,976,133556,41582,37719,24839,20215,6610,12880,3863,2241,1526,715,1622,91974,85593,69597,46724,28322,15996,6381,4902,3399,1802,1479,92737,76845,66045,57434,49056,19669,8611,10800,7988,7256,1096,2812,15892,10995,9303,2475,4897,578788,114062,39881,24108,15773,65331,17415,47916,8850,7902,948,57208,19142,7044,12098,32689,5595,27094,5377,5285,92,169850,44019,6129,37890,107204,7979,99225,18627,17890,737,237668,43550,1974,41576,168179,6639,161540,25939,24175,1764
ACSSF,2011e1,co,000,0173,0000015,190313,160103,9624,3528,2024,1574,6096,17103,11610,10066,2084,5493,33504,28597,26797,2749,4907,99872,91538,90189,2714,8334,30210,1994,1969,1117,1806,25,6541,6541,4453,6532,0,8118,8049,5493,7898,69,13557,13557,10485,12744,0,297202,264431,241323,215844,48814,23108,32771,11599,9308,8366,2139,2291,21172,11874,10888,1303,9298,297202,219818,177153,174511,158511,147811,27693,16000,2642,2074,1370,853,568,42665,13918,12372,9418,7044,2590,2954,1546,1112,811,301,434,28747,26621,22278,15565,7736,4343,2126,888,745,143,1238,77384,46622,31995,28384,23909,10325,3611,14627,12185,11256,1127,2442,30762,27655,26587,1488,3107,290469,55651,10713,7089,3624,42083,4945,37138,2855,2797,58,26902,6722,1574,5148,17450,910,16540,2730,2661,69,62663,14788,2343,12445,38730,2647,36083,9145,8831,314,145253,29257,720,28537,100516,2809,97707,15480,14691,789
ACSSF,2011e1,co,000,0173,0000016,419156,356781,43790,21516,10861,11113,22274,62139,40341,27418,15056,21798,88744,69683,56175,17077,19061,162108,148558,142367,8425,13550,62375,14125,13784,4188,13540,341,14716,14653,8637,14041,63,13376,13376,8215,12910,0,20158,19975,14389,18973,183,613504,512956,446981,339854,149408,65975,100548,32295,26675,18370,12376,5620,68253,34405,17888,17396,33848,613504,419121,295976,293978,251575,194736,82486,42403,1998,1101,702,518,897,123145,29036,26162,19330,11826,8733,6832,2874,1617,1234,467,1257,94109,89040,70853,31159,43498,18187,5069,3059,1995,1064,2010,194383,140793,108748,92436,73476,33176,16312,32045,25734,23320,3707,6311,53590,42356,37664,5531,11234,607436,165548,47979,36265,11714,104019,37684,66335,13550,13018,532,75676,22251,12661,9590,44784,7950,36834,8641,8267,374,158533,29473,7359,22114,111792,11175,100617,17268,16818,450,207679,33230,1436,31794,151533,4112,147421,22916,21361,1555
ACSSF,2011e1,co,000,0173,0000017,187816,165113,4400,2603,2301,312,1797,22632,18807,17838,1578,3825,48141,42583,41800,1847,5558,89940,86520,85999,1422,3420,22703,759,759,424,759,0,5208,5208,3338,4999,0,6498,6369,4174,6174,129,10238,10238,6794,9976,0,291243,271893,253738,239187,31783,18155,19350,9186,7919,7361,1446,1267,10164,7104,6612,492,3060,291243,254541,216768,215534,207290,198133,21790,8244,1234,898,898,0,336,37773,8972,7678,6508,6200,367,1170,1294,754,754,0,540,28801,26010,21787,17880,5146,4223,2791,1789,1487,408,1002,36702,26705,19464,17825,16252,4661,1639,7241,5173,5102,439,2068,9997,6737,6454,910,3260,290963,22333,7833,2621,5212,11858,1249,10609,2642,2507,135,12257,4037,601,3436,7004,315,6689,1216,1216,0,68807,21610,1482,20128,39524,1709,37815,7673,7552,121,187566,53212,1804,51408,123182,2032,121150,11172,10633,539
ACSSF,2011e1,co,000,0173,0000018,387273,324128,17813,7930,4872,3774,9883,69396,49745,40969,12173,19651,117011,96929,84732,20433,20082,119908,111183,107284,9973,8725,63145,5639,5639,3244,5574,0,18002,17851,12831,17420,151,20829,20781,15607,20185,48,18675,18634,15094,17840,41,608361,565588,493966,409826,149584,71622,42773,22914,21639,18586,7860,1275,19859,9284,7565,2567,10575,608361,510515,392055,388527,353829,310834,90003,34698,3528,2224,915,1309,1304,118460,32710,27373,20907,15441,7242,6466,5337,3042,1370,1672,2295,85750,80298,65638,42684,28331,14660,5452,3422,3068,640,2030,97846,73643,60073,49454,39149,25117,10619,13570,9190,8079,1815,4380,24203,17183,14437,3882,7020,602808,115999,40384,24347,16037,66601,20264,46337,9014,8640,374,70359,23037,9896,13141,40614,7956,32658,6708,6708,0,187185,53907,7372,46535,113429,12527,100902,19849,19548,301,229265,43454,2686,40768,158237,11778,146459,27574,26123,1451
ACSSF,2011e1,co,000,0173,0000019,371550,302805,18036,8941,6129,3457,9095,61291,48251,44714,5935,13040,98242,80656,73742,9695,17586,125236,117727,115662,4754,7509,68745,6256,6256,4142,5922,0,20631,20631,14480,20158,0,18813,18813,12872,18116,0,23045,23045,17440,22062,0,533781,503017,447993,392230,112432,55024,30764,14779,13161,11072,4435,1618,15985,7792,6990,1086,8193,533781,434754,330154,329143,302557,277477,61710,26586,1011,617,349,268,394,104600,35416,30538,24256,19351,6633,6282,4878,3727,2959,818,1151,69184,64936,53580,37561,20773,11356,4248,2209,2008,294,2039,99027,76123,60678,51961,43345,22821,8717,15445,12820,12047,1675,2625,22904,17219,15195,2961,5685,530334,72143,21895,14478,7417,43130,11690,31440,7118,6892,226,41731,9983,4132,5851,24274,3823,20451,7474,7332,142,158807,37534,3769,33765,98264,6546,91718,23009,22628,381,257653,46267,1719,44548,180242,5035,175207,31144,29406,1738
ACSSF,2011e1,co,000,0173,0000020,195407,159445,7666,4387,2522,2119,3279,27006,20365,16799,4594,6641,54366,43259,38091,6325,11107,70407,65306,64458,2247,5101,35962,2452,2430,1434,2389,22,8928,8851,6342,8753,77,10601,10601,7462,10095,0,13981,13981,10067,13448,0,303263,286009,255160,216243,67222,30849,17254,7018,5616,4942,1669,1402,10236,5241,4338,1473,4995,303263,230817,189779,188431,170672,148777,42734,17759,1348,814,642,172,534,41038,13092,11347,9255,6700,2921,2092,1745,1644,1416,228,101,27946,26647,22156,13349,10042,4491,1299,852,586,266,447,72446,44924,31213,26614,22079,11356,4599,13711,10769,10404,669,2942,27522,23241,21570,1976,4281,298157,63813,13369,10434,2935,46767,10685,36082,3677,3578,99,30114,8155,2713,5442,17977,2840,15137,3982,3982,0,86202,20386,2980,17406,52941,3216,49725,12875,12461,414,118028,21232,510,20722,81368,2217,79151,15428,14664,764
