ACSSF,2011m1,co,000,0042,0000017,3983,1345,1365,1199,2054,2107,2879,2369,2035,1779,1512,1049,1764,1478,1584,3983,723,2046,2396,2311,2510,1995,2320,1029,1581,2494,1390,1705,3983,1345,1365,1199,2054,2107,2879,2369,2035,1779,3274,3983,2294,2396,2311,2510,1995,2320,1793,2494,2178
ACSSF,2011m1,co,000,0042,0000018,5678,1839,2220,1923,2712,2571,4438,3628,2744,1981,2015,1400,1174,2285,2203,5678,1829,3178,3865,4041,4043,2911,3804,1378,1043,2144,1581,1100,5678,1839,2220,1923,2712,2571,4438,3628,2744,1981,3934,5678,3710,3865,4041,4043,2911,3804,1639,2144,1902
ACSSF,2011m1,co,000,0042,0000019,4720,1437,1550,1429,2756,2830,2566,2653,2558,1881,1677,1292,781,2538,2019,4720,1689,2008,2718,3545,2940,1821,2827,1253,1729,2552,1506,916,4720,1437,1550,1429,2756,2830,2566,2653,2558,1881,3221,4720,2603,2718,3545,2940,1821,2827,2078,2552,1788
ACSSF,2011m1,co,000,0042,0000020,3706,1333,1166,1780,1438,2501,2347,2726,1652,1794,1855,1480,667,1962,1784,3706,1707,2377,2728,3024,2670,1300,1850,790,802,1270,1146,1417,3706,1333,1166,1780,1438,2501,2347,2726,1652,1794,3251,3706,2581,2728,3024,2670,1300,1850,1170,1270,1801
ACSSF,2011m1,co,000,0042,0000021,2496,943,639,897,1170,1673,1762,1464,1457,1303,1019,879,485,892,1120,2496,959,1731,1737,1772,1542,1283,922,858,586,766,1089,1060,2496,943,639,897,1170,1673,1762,1464,1457,1303,2110,2496,1902,1737,1772,1542,1283,922,979,766,1509
ACSSF,2011m1,co,000,0042,0000022,2979,1249,762,964,1105,1037,1357,1491,1016,994,1019,570,520,1412,1131,2979,693,1488,1801,1857,1094,876,1033,649,798,818,601,398,2979,1249,762,964,1105,1037,1357,1491,1016,994,1803,2979,1523,1801,1857,1094,876,1033,961,818,762
ACSSF,2011m1,co,000,0042,0000023,4419,1719,1829,1892,1769,2744,2288,2025,1821,1760,1191,1704,504,1606,2099,4419,1213,2888,2469,2911,2189,2221,2274,960,1085,1860,2441,1476,4419,1719,1829,1892,1769,2744,2288,2025,1821,1760,3273,4419,2857,2469,2911,2189,2221,2274,1394,1860,2811
ACSSF,2011m1,co,000,0042,0000024,2476,705,490,652,1270,1088,1195,1199,1156,865,772,605,200,1167,934,2476,739,723,983,1382,1793,779,1451,539,762,1111,729,295,2476,705,490,652,1270,1088,1195,1199,1156,865,1665,2476,1036,983,1382,1793,779,1451,990,1111,812
ACSSF,2011m1,co,000,0042,0000025,5254,1751,1506,1962,1818,2425,2854,1926,2168,1780,1561,1889,1244,1970,2775,5254,883,2344,1699,2854,2409,2121,3228,1314,2878,1991,2039,1201,5254,1751,1506,1962,1818,2425,2854,1926,2168,1780,3794,5254,2418,1699,2854,2409,2121,3228,2908,1991,2391
ACSSF,2011m1,co,000,0042,0000026,2802,256,202,423,474,883,869,1059,1419,1222,1317,795,411,800,1396,2802,752,1958,1721,1548,1148,444,826,513,342,719,695,428,2802,256,202,423,474,883,869,1059,1419,1222,2042,2802,1919,1721,1548,1148,444,826,695,719,856
