ACSSF,2011e1,co,000,0129,0000012,315595,25126,31565,14841,5530,33011,13097,5218,20292,25957,59989,43907,16726,20336,104923,8396,6180,3449,694,3823,1949,2194,8605,11652,37506,9865,3618,6992,67531,1394,645,190,18,1582,232,257,592,7151,14398,25434,6298,9340,67525,1430,1303,1720,3447,22802,2863,1773,10123,4008,5905,6171,2654,3326,46242,10906,22011,1222,265,1544,2691,971,827,690,817,941,2988,369,29374,3000,1426,8260,1106,3260,5362,23,145,2456,1363,1496,1168,309
ACSSF,2011e1,co,000,0129,0000013,210698,2653,20281,17598,6913,29917,18104,5701,11635,22918,35332,19987,10214,9445,56863,1052,2861,4446,577,3496,2197,2097,4042,9957,17458,2874,1824,3982,39218,91,44,508,0,1140,279,203,260,5940,11563,12583,4064,2543,57148,260,1466,1923,3969,19029,5388,1896,6740,4992,4941,2907,1034,2603,26784,732,14855,1015,882,2827,1150,909,135,527,756,295,2490,211,30685,518,1055,9706,1485,3425,9090,596,458,1502,614,1328,802,106
ACSSF,2011e1,co,000,0129,0000014,295550,1742,17770,16753,9100,38420,14448,12772,28994,41928,55821,27390,16349,14063,119452,770,3193,7425,1428,3484,2461,6576,16776,23543,37099,4373,4578,7746,45644,0,349,215,150,2172,725,47,665,5599,10498,18124,4880,2220,79553,291,1128,3157,6041,26602,3671,4285,10550,8072,6832,3317,1978,3629,25421,344,12269,716,61,2283,1138,1664,384,2688,516,217,2852,289,25480,337,831,5240,1420,3879,6453,200,619,2026,876,1359,2061,179
ACSSF,2011e1,co,000,0129,0000015,158988,3328,7231,15286,2354,14573,4140,5304,7574,34888,36691,14035,8958,4626,82781,836,1492,9031,484,1296,1548,3473,3722,24835,26557,4037,2483,2987,24178,546,192,201,35,589,42,132,205,3709,5992,8038,3856,641,33909,90,296,2221,1586,11284,877,1546,3242,5482,3485,1522,1422,856,8499,1306,5125,343,109,172,186,153,187,133,177,0,511,97,9621,550,126,3490,140,1232,1487,0,218,729,480,438,686,45
ACSSF,2011e1,co,000,0129,0000016,319442,3091,21289,16514,10445,29422,14677,10127,24660,55337,65832,38039,15956,14053,139829,1833,4206,5559,2008,4229,1904,6303,12818,34625,47099,8011,4546,6688,57400,0,35,213,0,1548,390,0,1533,9288,9913,24504,5465,4511,71052,412,942,2582,4829,19682,4506,2584,9568,9184,6770,4588,2800,2605,23058,637,15180,461,255,1069,966,969,93,961,585,53,1671,158,28103,209,926,7699,3353,2894,6911,271,648,1279,1465,883,1474,91
ACSSF,2011e1,co,000,0129,0000017,154442,1788,8108,11165,3712,16342,5489,8918,20310,24187,24473,15504,6887,7559,81998,1052,4686,7693,535,2726,1476,5957,12884,16480,18640,3969,2178,3722,18049,83,49,0,0,551,31,118,163,1937,2442,8742,2001,1932,40516,112,326,1641,2447,11404,1760,2047,7263,5032,3015,2079,1980,1410,5852,501,2832,45,226,319,294,276,0,192,89,223,595,260,8027,40,215,1786,504,1342,1928,520,0,546,287,491,133,235
ACSSF,2011e1,co,000,0129,0000018,277275,2556,16352,17711,6844,30960,10701,8706,18033,33588,63620,27721,18086,22397,113611,1391,3879,8256,812,4534,2021,4738,7762,20220,39977,5311,4468,10242,53244,89,120,92,70,1846,219,254,611,3959,14519,18302,6517,6646,65857,362,1538,2390,3893,19944,2893,2327,8316,7405,7602,2667,3126,3394,22014,635,9832,1218,333,1554,1018,1268,1079,790,373,301,2410,1203,22549,79,983,5755,1736,3082,4550,119,265,1214,1149,1140,1565,912
ACSSF,2011e1,co,000,0129,0000019,280739,4162,18672,20392,9580,31795,15564,7349,21450,39945,54003,24296,15943,17588,120219,2135,4509,8907,2323,3574,3333,3925,10108,25145,37725,4424,3545,10566,40072,51,118,70,0,1501,125,73,701,4524,8366,15096,5901,3546,71946,418,1382,3241,4654,22413,5353,2302,9400,8073,5819,3476,2490,2925,25142,1312,11724,1550,784,1419,1442,520,711,1100,1272,232,2722,354,23360,246,939,6624,1819,2888,5311,529,530,1103,821,1068,1285,197
ACSSF,2011e1,co,000,0129,0000020,155732,3862,12329,15535,3562,17965,4427,3410,6799,20625,39182,15130,7360,5546,68444,1945,2662,8102,455,2625,1001,2048,2936,12181,26019,3491,1977,3002,24658,181,50,0,0,545,64,0,533,3551,7350,8284,2713,1387,36144,413,1321,2129,2637,12526,981,870,3031,3869,4466,2097,800,1004,13582,1133,7836,987,116,594,293,425,149,238,317,156,1326,12,12904,190,460,4317,354,1675,2088,67,150,786,1030,1102,544,141
ACSSF,2011e1,co,000,0129,0000021,68024,4250,4936,2912,1357,9476,4275,1455,4285,6327,14810,7832,2966,3143,22733,1174,1267,576,247,1431,928,569,1476,3389,9043,804,615,1214,11422,68,19,73,0,99,51,149,414,729,3549,4292,904,1075,17022,408,161,703,819,6557,811,162,1804,916,2201,1801,182,497,9741,2178,3434,200,183,89,727,190,252,727,17,468,919,357,7106,422,55,1360,108,1300,1758,385,339,566,0,467,346,0
