ACSSF,2011e1,co,000,0103,0000011,25530,31737,44196,11409,20395,32220,9507,26354,32203,45379,11726,20862,32473,9307,,,,,,,,11526,17940,31679,4585,9571,26625,8572,22060,37155,85844,35737,16903,21463,16334,14513,14047,31944,.,50882,50882,.,16945,18059,25677,3830,16715,24436,12768,17831,14025,38864,7647,18087,22416,16716,28442,35322,48375,12175,21486,34367,9821,18807,20476,34715,6496,16674,29309,7833,63060,34150,11733,0,11733,474,1888,2525,4142,1730,974,22417,12050,10367,6039,2354,838,821,89,226,28910,7815,0,7815,422,1902,1680,3368,360,83,21095,12021,9074,5214,2079,1022,615,121,23
ACSSF,2011e1,co,000,0103,0000012,26449,31601,42939,11296,21262,33139,9659,27404,32419,45245,11628,21961,33842,9750,,,,,,,,14410,16223,30389,7851,13962,29766,9397,29130,37293,62875,36582,16738,31022,10378,41091,31250,60926,.,41523,41523,.,17262,18844,21480,4329,13552,23186,9557,16901,17237,32550,9128,16275,26545,5123,30027,35825,47209,12314,22695,35588,10179,19320,20932,31196,7499,16801,27342,8553,103266,57205,22150,0,22150,1220,3543,5543,7475,3018,1351,35055,16981,18074,10396,3927,1908,1266,124,453,46061,13524,0,13524,1297,2806,3251,4932,1044,194,32537,18193,14344,8231,3575,1631,752,132,23
ACSSF,2011e1,co,000,0103,0000013,30824,34315,46768,12776,26483,37437,11312,31702,36497,48913,13579,26675,38570,11156,28248,26275,52684,15417,29764,36494,27994,35369,40740,42047,16739,25833,36787,10000,26159,22585,38113,7455,28572,36450,16166,.,.,.,.,.,.,.,21953,25157,34228,11378,18045,32855,9080,24240,24865,34070,10850,23668,32027,7978,35880,42326,51481,12649,30553,43297,11837,24558,27222,35182,13420,20632,31176,9541,113535,58198,28482,0,28482,973,3632,5570,9118,6902,2287,29716,12780,16936,5808,5056,3350,2142,371,209,55337,17043,0,17043,391,2907,4329,7071,1954,391,38294,22739,15555,8077,4487,1690,1187,67,47
ACSSF,2011e1,co,000,0103,0000014,32049,36388,51424,11928,27175,41809,11687,34244,40051,52421,12031,28685,45328,11994,26827,29859,36577,9871,24301,36140,11295,20813,17165,75490,7600,20879,21374,4220,35680,40388,51315,22303,31518,40590,15315,,,,,,,,21289,24527,33973,13946,15110,24461,9012,33734,35781,51845,10339,28926,39366,6494,36945,42143,56094,11868,30995,46313,12305,22984,26905,36473,12274,20835,26153,8580,71339,35605,17080,0,17080,166,1750,3086,6506,3791,1781,18525,5882,12643,4655,5135,1434,1273,101,45,35734,12337,0,12337,434,2054,4257,3619,1219,754,23397,11488,11909,6655,2297,1581,860,490,26
ACSSF,2011e1,co,000,0103,0000015,30006,39404,62432,10297,23884,46973,10279,30816,40460,64330,9888,24837,47556,10571,,,,,,,,,,,,,,,27560,39278,60938,19382,23697,52022,4747,.,.,.,.,.,.,.,23856,28039,36347,11485,20935,19020,28410,11479,11364,74252,9002,17582,29578,2695,32064,41324,70199,9911,26140,49748,10276,21717,27963,39490,10022,17973,22123,13907,27930,14080,7697,0,7697,265,1107,1553,1538,1761,1473,6383,3646,2737,1367,802,343,225,0,0,13850,3265,0,3265,277,863,986,574,508,57,10585,4053,6532,2409,2012,947,317,0,847
ACSSF,2011e1,co,000,0103,0000016,31789,34308,48283,12361,29903,42055,11074,35500,38156,51924,12515,32149,44804,11516,23592,24195,41974,10525,23296,38788,7460,27249,32071,35192,13957,25035,31923,11394,28555,30521,50740,10866,26064,31279,18702,,,,,,,,20241,24696,31370,16632,14858,26272,9196,20392,17474,31802,7457,20761,40625,12031,40940,45681,58718,15277,36926,48056,12470,21697,23820,31895,11651,18040,29296,8569,135669,69673,28961,0,28961,1517,3605,6715,11754,3710,1660,40712,19047,21665,9417,6324,3433,2004,342,145,65996,20754,0,20754,961,4321,5516,6943,1947,1066,45242,26229,19013,11065,4980,1234,1275,269,190
ACSSF,2011e1,co,000,0103,0000017,47449,63664,76608,17720,31996,55151,11314,46179,62199,76451,16975,31475,53641,11392,92754,93368,93740,.,60879,60879,.,40255,64920,64920,.,34103,61611,33352,66289,84090,83481,90378,37157,51888,6276,.,.,.,.,.,.,.,40719,41120,42465,.,36975,61766,6490,,,,,,,,47859,65192,77240,17257,32294,54989,11478,31087,39869,46105,16821,21859,40532,10619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0103,0000018,30030,35993,47302,11502,22354,35694,9307,30804,38207,49322,12102,22362,36479,9299,28309,29680,38893,10542,22225,39132,7512,12485,10767,12449,3074,17148,20114,17129,31512,45083,50559,18344,24673,31578,10066,21695,21311,21302,.,25443,26743,10763,16531,16660,28016,7983,16383,25893,6975,25956,29203,48179,3357,23642,28674,10485,31344,40027,50339,12052,22322,37459,9514,24531,27629,33508,9944,21010,30539,6999,64834,32542,15752,0,15752,566,1600,3910,4754,2671,2251,16790,7061,9729,4874,2317,958,1030,343,207,32292,10489,0,10489,11,2441,2527,3839,1007,664,21803,13602,8201,4575,2042,914,626,44,0
ACSSF,2011e1,co,000,0103,0000019,36699,42915,56001,11234,30491,43070,11092,37217,44127,56947,11524,30836,43680,11125,,,,,,,,19652,18505,45066,3419,26400,30705,6441,35114,35815,74095,6972,34336,40960,12013,,,,,,,,31152,35115,36710,8470,26605,32181,18213,25815,36837,53984,2499,21573,36894,6969,39973,47055,60394,11679,32190,46296,11250,27247,31400,37651,10353,22450,32145,9807,54622,26819,13968,0,13968,66,1087,2899,5041,2942,1933,12851,5371,7480,3614,1539,853,1070,272,132,27803,10832,0,10832,692,957,2933,4351,1031,868,16971,9233,7738,3915,2395,830,364,151,83
ACSSF,2011e1,co,000,0103,0000020,26477,35130,51300,9668,20736,40728,9447,28361,36936,52455,10020,21521,41077,9066,11193,8247,28143,3297,11687,.,11687,11829,12184,175244,10027,11598,9985,12057,35074,41333,51695,25290,26217,51082,10155,2499,.,.,.,2499,.,2499,19619,22017,24554,7239,15578,15886,15527,15305,16166,21522,7014,12308,41431,4593,29720,37761,55110,10116,21869,41776,9525,19576,21202,27686,8044,16506,22284,6259,22461,11133,6405,0,6405,45,1445,1781,1660,989,485,4728,1430,3298,1983,828,206,150,40,91,11328,3849,0,3849,148,1328,1007,785,295,286,7479,3853,3626,2183,857,213,286,54,33
