ACSSF,2011e1,co,000,0084,0000011,390264,25661,3278,0,0,0,3278,3127,177,177,103,2950,3488,0,0,0,3488,3363,283,283,0,3080,12405,0,0,0,12405,63964,4785,334,24,184,145,50,0,4451,5920,712,99,104,514,25,97,5208,8502,804,0,361,411,85,65,7698,8238,178,0,27,151,0,0,8060,36519,1437,474,258,945,128,205,35082,300639,18105,2968,1058,521,1004,1670,699,860,15137,22966,5885,1769,1061,2322,3788,1082,2174,17081,28654,7855,2544,1394,2537,5207,1447,2905,20799,30834,5956,2296,1129,1919,3845,1366,1911,24878,200080,27616,12641,4873,6955,12703,4338,7527,172464,394672,91539,4148,3272,1681,1731,876,87391,76772,50739,27506,10619,243026,28333,22450,12421,13077,5883,214693,162364,146138,20606,52329,60107,21993,21953,11430,21656,40,38114,37993,23818,37096,121,25642,17554,22333,14264,26311,32358,20865,390264,26168,3302,22866,32013,6774,25239,40644,8659,31985,42435,6417,36018,249004,29053,219951
ACSSF,2011e1,co,000,0084,0000012,651556,40902,5267,0,0,0,5267,5047,177,177,103,4870,5982,0,0,0,5982,5440,283,283,0,5157,19166,48,0,48,19118,106346,9237,447,46,184,236,50,0,8790,10985,1460,109,514,861,25,97,9525,15321,1091,0,361,698,85,174,14230,12535,359,0,27,254,78,78,12176,58268,1959,571,325,1356,363,414,56309,504308,28135,5267,1325,1085,1642,2930,1177,1872,22868,38949,7820,2006,1420,3497,4503,1585,2846,31129,47058,11276,3627,2090,3969,7353,2289,3933,35782,53042,9046,3418,1663,2632,5561,1842,2830,43996,337124,40663,17828,7396,10303,18512,6602,11560,296461,658588,150127,6047,5171,2657,2957,876,144080,124156,81892,45021,19924,414453,42274,32528,17903,18860,9746,372179,275773,252926,29694,96406,94008,31950,31910,17698,31524,40,62058,61916,39367,60419,142,26620,14747,20038,13163,27261,32436,21906,651556,42639,5714,36925,54981,9457,45524,68361,12367,55994,71017,9688,61329,414558,42670,371888
ACSSF,2011e1,co,000,0084,0000013,447123,37609,2996,0,0,0,2996,7298,0,0,0,7298,5107,196,196,43,4911,3722,33,33,33,3689,18486,169,169,169,18317,90144,7113,853,346,157,804,108,195,6260,13194,1092,299,183,760,293,208,12102,10802,661,60,216,472,113,135,10141,10412,886,335,335,375,70,70,9526,48623,1957,420,514,1350,79,322,46666,319370,17697,3154,467,284,1566,1062,305,888,14543,25643,4649,1193,1564,1920,2273,754,1923,20994,30986,6089,1604,1144,2328,2718,1006,2648,24897,30531,4997,1566,794,1927,2872,740,1669,25534,214513,23008,6694,3605,7624,13619,3387,7822,191505,447727,128357,5847,5385,2725,3368,462,122510,105764,64261,44505,16746,281335,26390,20620,11958,11622,5770,254945,185644,164218,25705,69301,38035,15507,15482,9721,15088,25,22528,21724,14262,21036,804,30904,24470,25083,24252,31154,35231,26576,447123,27806,4007,23799,46135,5741,40394,46895,6946,39949,44665,5916,38749,281622,25134,256488
ACSSF,2011e1,co,000,0084,0000014,578788,40204,4094,33,33,0,4061,4447,0,0,0,4447,5648,0,0,0,5648,4627,0,0,0,4627,21388,40,32,8,21348,106388,6461,309,0,186,276,153,153,6152,9828,667,0,309,567,0,0,9161,12369,784,203,284,282,127,0,11585,11549,105,0,0,44,0,0,11444,66181,2297,226,39,1664,290,480,63884,432196,19130,2565,664,335,1205,1274,651,1047,16565,26215,6150,1523,905,3081,2495,638,2578,20065,35092,6219,1559,1479,2440,2929,1164,2717,28873,31810,4521,1450,715,1636,2331,1328,1370,27289,319949,29012,10597,4614,9528,12889,4429,10795,290937,579745,147549,4349,3818,2559,1806,531,143200,124648,91537,38056,18552,373403,29955,24649,16923,12414,5306,343448,273181,255677,25214,70267,58793,18512,18314,12554,17985,198,40281,39599,26687,37267,682,31999,23907,32951,18401,32496,36493,28478,578788,29685,2907,26778,40490,6817,33673,53109,7003,46106,47986,4626,43360,407518,31349,376169
ACSSF,2011e1,co,000,0084,0000015,290469,16285,704,0,0,0,704,1369,0,0,0,1369,1220,0,0,0,1220,1043,0,0,0,1043,11949,46,46,46,11903,45195,1984,0,0,0,0,0,0,1984,3895,295,0,220,110,36,0,3600,3506,106,38,38,106,38,38,3400,3714,22,0,0,22,0,0,3692,32096,396,31,75,365,75,106,31700,228989,15233,1056,145,122,548,493,193,300,14177,17740,2555,292,159,1266,1225,812,1164,15185,17363,2203,366,289,944,1133,614,969,15160,14782,2027,759,266,757,971,327,599,12755,163871,14073,5348,3340,5256,5966,2590,4423,149798,297202,61791,939,876,326,550,63,60852,56012,45852,11294,4840,205201,15244,12775,9242,4340,2469,189957,162726,158130,7092,27231,30210,7675,7675,5593,7410,0,22535,22441,15955,21570,94,30007,26271,29540,22804,30184,40097,23953,290469,17921,1056,16865,23004,2850,20154,22089,2309,19780,19539,2049,17490,207916,14515,193401
ACSSF,2011e1,co,000,0084,0000016,607436,44846,5358,0,0,0,5358,7205,0,0,0,7205,3826,0,0,0,3826,6921,0,0,0,6921,21536,116,116,0,21420,88087,8714,528,160,243,194,369,160,8186,12794,543,183,40,102,218,52,12251,13597,981,158,184,729,298,366,12616,11815,626,32,223,211,160,160,11189,41167,1221,140,46,686,417,293,39946,474503,32682,6060,602,1633,2890,2604,883,1661,26622,45226,10883,1559,1763,5599,6689,2926,4848,34343,47637,8748,2014,1692,2930,4820,1375,2561,38889,45449,6379,1602,2118,1750,2866,1564,2209,39070,303509,26592,7752,6158,9665,13552,4694,9030,276917,613504,134258,4059,3304,733,2731,755,130199,117934,66215,55972,12265,416871,35302,28837,12209,19627,6465,381569,296198,261526,41386,85371,62375,23419,23051,11906,22908,368,38956,38737,23523,36556,219,31860,17708,20731,15240,32465,35771,30649,607436,46754,6588,40166,65225,11426,53799,65060,9729,55331,64185,7005,57180,366212,27929,338283
ACSSF,2011e1,co,000,0084,0000017,290963,21205,396,0,0,0,396,547,111,111,0,436,967,0,0,0,967,778,0,0,0,778,18517,0,0,0,18517,65487,1570,70,0,0,70,0,0,1500,3121,214,0,0,214,0,0,2907,2646,30,0,0,0,0,30,2616,1845,0,0,0,0,0,0,1845,56305,2314,259,616,1458,354,732,53991,204271,3261,609,130,61,505,65,65,425,2652,5710,678,22,0,0,646,0,10,5032,7360,1086,381,382,164,469,152,290,6274,6389,1261,697,59,291,529,0,59,5128,181551,9861,2724,1229,2607,4380,1645,2873,171690,291243,86972,2739,2587,2158,502,152,84233,80740,76098,6006,3493,181568,8468,7363,6489,1789,1105,173100,155497,153685,3516,17603,22703,5027,4962,3184,4881,65,17676,17612,11546,17027,64,47363,20370,32808,11645,48791,65584,32864,290963,5227,679,4548,9378,1003,8375,10973,1116,9857,9012,1261,7751,256373,12175,244198
ACSSF,2011e1,co,000,0084,0000018,602808,43997,5108,0,0,0,5108,4968,105,105,0,4863,5653,0,0,0,5653,6280,0,0,0,6280,21988,39,39,0,21949,116785,11263,590,73,0,517,0,0,10673,7797,1243,353,0,1243,62,79,6554,10609,866,158,277,533,50,50,9743,11743,1070,235,387,632,0,302,10673,75373,3786,477,351,2563,819,1186,71587,442026,25335,4773,501,589,2938,1774,858,2147,20562,26123,6679,1400,1830,2946,3250,594,2333,19444,32857,5651,1972,892,1390,2906,538,1695,27206,38622,6152,1827,881,2804,2423,627,1661,32470,319089,39423,15256,5745,13535,19004,6069,13138,279666,608361,163580,8381,8062,5419,4055,319,155199,144921,108486,42412,10278,381636,40295,33706,22094,17871,6589,341341,275295,253202,34654,66046,63145,22540,22391,16501,22322,149,40605,40514,30275,38697,91,29962,18083,19845,17329,30755,38216,22851,602808,41706,5363,36343,38888,8027,30861,49119,6517,42602,56645,7222,49423,416450,43248,373202
ACSSF,2011e1,co,000,0084,0000019,530334,28621,1243,0,0,0,1243,2405,0,0,0,2405,1891,33,0,33,1858,2163,0,0,0,2163,20919,210,210,0,20709,87058,5010,779,0,0,779,0,43,4231,5597,231,0,0,176,0,0,5366,7542,177,33,77,177,77,109,7365,6027,403,169,0,234,0,78,5624,62882,1861,132,349,1385,219,265,61021,414655,14738,2466,758,622,1239,1204,471,1144,12272,17794,3208,843,674,1639,1793,997,1516,14586,23864,4259,1529,1157,1805,2647,1475,2277,19605,25600,4835,1903,885,1712,2421,1280,2177,20765,332659,31782,14528,4697,7631,15476,4603,10119,300877,533781,117536,3694,3486,2668,1567,208,113842,104664,84420,23034,9178,347500,25147,20552,14405,8674,4595,322353,271499,259865,18420,50854,68745,21403,21403,14316,21087,0,47342,47342,34618,45171,0,36898,30564,31460,27052,37216,45097,30648,530334,20991,3245,17746,25796,3439,22357,33297,4469,28828,33790,5238,28552,416460,33853,382607
ACSSF,2011e1,co,000,0084,0000020,298157,17320,1610,0,0,0,1610,1211,0,0,0,1211,1998,0,0,0,1998,2840,0,0,0,2840,9661,0,0,0,9661,45822,3499,300,0,0,300,0,0,3199,2350,148,0,0,148,0,0,2202,3432,133,0,35,133,0,35,3299,4584,147,0,0,147,71,0,4437,31957,609,209,95,230,75,0,31348,235015,19833,2007,417,482,1028,932,111,693,17826,13954,2161,354,489,1451,626,147,610,11793,19952,3178,697,582,1225,1705,284,908,16774,18664,4096,1409,1191,1293,1526,720,993,14568,162612,12430,4728,1768,4360,5149,1975,3622,150182,303263,63553,1470,1470,752,777,0,62083,58093,43354,15896,3990,203748,13122,10459,5691,5467,2663,190626,160132,150421,13539,30494,35962,10750,10750,7697,10725,0,25212,25113,17608,23960,99,26522,12260,20325,9891,27423,36369,21233,298157,24942,2307,22635,17515,2309,15206,25382,3311,22071,26088,4243,21845,204230,13039,191191
