ACSSF,2011m1,co,000,0018,0000017,1001,2098,817,773,12,275,1747,1454,939,2325,2427,2177,426,1774,987,987,201,3397,4138,4436,1257,1859,2608,2618,110,2627,2111,2182,1479,435,696,740,653,704,451,0,2627,2627,1001,3146,2826,1704,3397,3944,2110,2627,2111,2182,1587,1416,792
ACSSF,2011m1,co,000,0018,0000018,2393,4543,3518,2032,2541,970,2998,3062,485,4441,3936,3479,1602,1394,3120,3058,719,5092,4643,4646,1492,2542,2764,2863,769,4159,2752,3101,1499,1470,1103,415,678,577,1537,0,4159,4159,2393,5148,4795,3132,5092,5389,2979,4159,2752,3101,2281,1203,1649
ACSSF,2011m1,co,000,0018,0000019,1242,3267,1964,1624,749,415,2509,2364,607,3417,2364,2296,677,263,2113,2103,334,4113,4382,4322,1009,1473,2642,2628,502,3418,2880,1665,755,929,686,563,460,637,753,0,3418,3418,1242,3883,3709,1270,4113,4154,1884,3418,2880,1665,1190,1075,1012
ACSSF,2011m1,co,000,0018,0000020,766,2671,1372,1116,743,201,2311,2208,870,2773,2645,2427,1112,471,1385,1384,180,2988,3265,3264,1040,1222,1523,1368,554,2371,2117,1350,807,415,376,269,815,207,659,0,2371,2371,766,2953,2991,1526,2988,3075,1490,2371,2117,1350,1019,869,682
ACSSF,2011m1,co,000,0018,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,1481,1111,1012,821,208,229,154,359,108,406,0,1481,1481,716,2291,2299,911,2311,2425,929,1481,1111,1012,852,426,442
ACSSF,2011m1,co,000,0018,0000022,1160,1740,1237,1221,132,244,1645,1656,219,2202,1869,1823,366,163,1567,1567,201,2264,2135,2013,433,413,1163,1168,154,1195,1040,729,323,193,360,203,282,251,269,0,1195,1195,1160,2237,2240,513,2264,2170,558,1195,1040,729,356,517,376
ACSSF,2011m1,co,000,0018,0000023,1534,2963,2609,1208,1838,1754,2604,2705,707,5481,5316,5355,1321,1080,2025,1985,521,4729,4782,4538,1398,720,1731,1704,164,3280,3034,1798,984,379,699,412,396,308,337,0,3280,3280,1534,4993,5717,2972,4729,4450,1583,3280,3034,1798,1064,909,470
ACSSF,2011m1,co,000,0018,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046,1554,1229,1956,2023,2040,338,2020,2063,615,1229,868,815,456,241,522
ACSSF,2011m1,co,000,0018,0000025,3397,2973,2360,1635,1556,609,3022,2429,1718,3501,3266,3099,2223,1526,2450,2100,1490,3634,3336,3115,2083,1945,2988,3086,506,4855,4687,2748,1740,1172,1172,907,558,774,653,533,4959,4855,3397,3968,3797,3486,3634,3281,2688,4855,4687,2748,2225,1492,1079
ACSSF,2011m1,co,000,0018,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,1613,1498,836,371,258,379,347,154,241,491,56,1616,1613,1683,1181,817,921,1480,1490,593,1613,1498,836,473,516,579
ACSSF,2011m1,co,000,0018,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,2018,1687,1050,738,372,563,377,391,226,245,69,2024,2018,2098,1668,1551,688,2180,1971,1553,2018,1687,1050,824,778,335
ACSSF,2011m1,co,000,0018,0000028,3350,4239,3278,1935,2528,832,2960,3000,375,3722,2764,2587,1589,1154,2585,2536,639,4506,3978,3748,1465,2124,2332,2260,353,4035,2699,2897,1218,1534,1008,384,499,415,1328,75,4030,4035,3350,4584,4651,2987,4506,4534,2510,4035,2699,2897,2134,1057,1394
ACSSF,2011m1,co,000,0018,0000029,1615,4114,2414,1631,1847,1034,3978,3227,2325,4527,4200,1640,4121,1559,2362,1748,1750,4323,4089,3495,2030,1411,2407,2026,1105,6504,5569,3345,1668,2268,1344,713,1093,522,1148,0,6504,6504,1615,4292,4160,4901,4323,3802,2691,6504,5569,3345,2781,2126,1211
