ACSSF,2011m1,co,000,0173,0000011,3664,3619,1834,1251,1075,690,1545,3401,2589,2089,1314,2310,3629,3505,3482,1630,1484,3798,3687,3615,681,1384,1670,1034,1023,693,1020,127,1656,1656,1109,1711,15,1445,1445,1238,1433,201,1647,1647,1275,1625,201,4964,5147,6198,6976,4411,4541,2525,1354,1337,1287,488,359,2361,1546,1346,742,1997,4964,6892,8974,8911,8431,8265,4420,4379,603,392,189,380,456,6460,4855,4126,3567,2574,2154,1190,1323,1223,721,884,355,4480,4323,3316,2642,2218,2835,835,499,382,405,685,4308,3027,2771,2459,2137,1864,1334,1645,1404,1276,563,737,3100,2576,2594,888,1363,5118,6480,2990,2355,2136,3937,1903,3386,1395,1232,656,5351,2703,1805,2199,2919,1261,2848,1376,1373,71,7802,3449,978,3318,4777,1246,4783,1962,1923,224,7046,2521,384,2539,5095,1109,5352,1768,1709,312
ACSSF,2011m1,co,000,0173,0000012,3721,3970,2804,2069,1837,1044,2580,3958,3396,2893,1729,2647,4780,4463,4184,1995,2482,4678,4521,4438,1057,2674,1549,1365,1366,965,1364,127,2140,2140,1624,2119,37,1860,1860,1602,1841,201,2203,2203,1724,2120,201,4419,5575,7979,8541,5702,6150,4474,2202,1982,1772,737,866,4122,3173,3030,1004,4309,4419,8759,11092,10876,10533,10250,5447,6609,1697,1551,701,1387,620,8340,5911,5178,4292,2969,2630,1738,1489,1328,826,916,479,6408,6308,5270,3786,3946,3704,1004,738,649,487,714,6613,4730,4258,3869,3355,2530,1972,2591,1847,1727,809,1384,4268,3561,3373,1535,2312,5062,9374,4318,3371,3370,6408,2229,5978,1578,1463,652,6945,3397,2044,2957,4206,1594,4090,1793,1781,277,9836,4534,1755,4098,6088,1571,5872,2211,2163,228,9085,3355,514,3326,7198,1390,7329,2294,2255,425
ACSSF,2011m1,co,000,0173,0000013,1583,1702,3233,2555,1891,1659,2716,4602,4219,3515,2621,2873,4360,4192,4072,1672,1988,3827,3411,3399,790,1332,619,1221,1244,1067,1247,584,1347,1347,1469,1346,201,1141,1141,1124,1131,201,1139,1137,741,1138,51,1545,6077,8418,8174,8098,6399,5881,3261,2487,2174,1413,1407,4679,3396,2375,2339,4170,1545,4844,12259,12103,12373,10469,7747,6360,727,447,417,167,514,11714,7691,6703,4286,3483,2873,4014,1490,941,840,502,1023,9894,8878,7615,5113,5840,3229,1994,1010,923,410,1631,5204,3521,3300,2853,2801,1476,1492,1393,1239,1105,704,541,2894,2164,1842,938,1485,1728,11247,5749,4874,3690,6106,3884,4866,1358,1394,390,8364,4412,2937,3004,4778,1897,3883,1222,1035,304,9884,4696,2507,4699,6234,1731,6026,1751,1752,176,8856,3910,636,3821,5604,1284,5599,1628,1524,633
ACSSF,2011m1,co,000,0173,0000014,1488,1418,3000,2348,1903,1342,2116,4775,3941,3665,1329,3132,4416,3940,4127,2380,2421,5503,5080,5219,1443,2023,550,1201,1143,801,1122,408,1570,1542,1197,1537,177,1504,1441,1458,1329,353,1590,1590,1542,1598,80,1437,5089,7015,7369,6656,6049,5064,2967,2704,2772,1289,1719,4983,3761,3421,1834,3723,1437,5646,11956,11798,10752,10213,6558,6361,1410,1333,677,1047,469,11812,6597,6011,4517,4324,1665,3881,1376,964,902,382,791,10402,9742,8508,6816,4199,3028,1782,1637,1256,1057,609,5620,4122,3783,3228,3080,1672,1995,1657,1470,1340,580,762,2587,2068,1648,1103,1363,1576,8524,4225,3915,3729,5274,2689,4645,1428,1306,606,7206,3155,2367,2441,4545,1272,4186,929,901,106,9427,3725,1853,3626,6285,1765,5938,1799,1758,478,9811,4331,1338,4139,6641,1919,6244,1747,1956,637
ACSSF,2011m1,co,000,0173,0000015,1120,1209,1647,1069,784,904,1433,2213,1830,1651,657,1440,3125,2697,2674,953,1124,3690,3919,3894,836,1717,666,647,646,556,605,42,1008,1008,834,1013,201,1064,1060,755,1084,111,1391,1391,1473,1401,201,1003,3239,4184,4818,3365,3205,3134,1699,1644,1578,625,919,2929,2129,2128,631,2382,1003,4453,5942,5802,6116,6218,2452,3490,1694,1471,885,1109,482,4755,3779,3347,2718,2143,1494,1944,781,603,527,291,464,4377,4134,3716,3241,2328,1473,756,464,451,149,580,4469,2301,2510,2354,2110,1392,1020,1757,1641,1570,580,967,2985,2801,2844,768,939,1298,5174,2274,2163,1201,3699,1523,3669,671,679,117,4470,1933,732,1827,2761,444,2785,819,821,111,5814,2664,890,2510,3670,983,3501,1323,1321,306,7445,2825,536,2774,5340,1001,5154,1478,1536,372
ACSSF,2011m1,co,000,0173,0000016,1281,1268,3386,3163,2447,2128,2636,4284,3395,2688,2175,3084,4594,3756,3346,2316,2288,4886,4960,4708,1993,2205,547,2029,2043,933,2013,273,1887,1875,1658,1852,103,1445,1445,1245,1403,201,1828,1804,1483,1733,177,1234,6643,6893,7451,6827,5937,6428,3319,3065,2998,2360,1311,5499,4000,2442,3335,4843,1234,6902,12338,12221,11510,9424,7698,5538,788,555,436,384,660,10005,4860,4393,3397,2700,2211,2103,973,736,672,334,678,9719,9226,7684,4203,6661,3468,1345,1102,978,486,746,7027,3964,3868,3727,3477,2205,2038,2444,2162,2202,956,1544,5012,4112,3818,1432,2440,1925,10687,4837,4501,3041,6847,4006,5807,1781,1778,456,9083,4310,3721,2185,5231,2323,4841,1418,1417,379,9669,3958,2354,3418,6712,2884,6537,2065,2052,284,8026,3000,1128,2903,5910,1436,5920,2009,2060,623
ACSSF,2011m1,co,000,0173,0000017,1062,1305,1526,1131,1057,337,841,2717,2381,2400,696,1455,4448,3978,4006,688,2147,4706,4613,4669,833,1625,754,420,420,302,420,201,989,989,853,964,201,1040,1000,1075,994,217,1062,1062,1120,1046,201,760,2772,4738,5520,2637,3652,2627,2182,2062,2016,660,875,2111,1760,1784,455,1322,760,4231,6966,6995,7298,7553,2622,2538,882,731,731,201,380,6717,3372,2789,2543,2480,341,1069,904,706,706,201,555,5323,4748,4051,3656,1517,1861,1266,849,763,359,698,4348,2480,2055,1893,1912,1014,810,1665,1420,1421,313,1147,2541,2019,2032,580,1399,873,4935,2955,1053,2551,2614,580,2559,1055,1035,218,3224,1729,683,1613,1904,273,1847,633,633,201,7749,3855,1065,3603,4395,844,4067,1526,1529,148,7945,4187,1160,4050,4883,884,4927,1604,1567,364
ACSSF,2011m1,co,000,0173,0000018,2127,2068,2604,1705,1296,1082,2035,4982,3982,4024,2001,3244,5130,4659,4774,2250,2551,4739,4564,4576,1615,1687,458,1133,1133,920,1149,201,1563,1564,1710,1521,171,1437,1432,1425,1427,80,1755,1763,1684,1766,68,2274,4973,6606,8755,7652,7030,4086,2973,2941,2719,1895,596,2764,1677,1566,868,2453,2274,6529,10276,10275,9907,10480,5847,4543,1187,1151,581,969,625,9559,8085,5585,4728,4057,2418,2675,4140,2020,940,1800,2354,8003,7451,6728,5514,4743,3463,1368,1164,1059,486,983,6429,3863,3420,2987,2963,1959,1730,2271,1697,1615,612,1580,3588,2937,2971,1126,1396,2997,8799,4697,4583,3387,5199,2897,4487,1383,1405,312,8064,4040,2507,2889,4410,2105,3828,1403,1403,201,12669,5725,2047,5284,7604,2418,7073,2257,2230,234,10869,4408,1216,4449,6730,1945,6643,2405,2340,765
ACSSF,2011m1,co,000,0173,0000019,1627,1583,2116,1616,1225,1105,1645,4610,4434,4278,1179,2261,5255,4827,4486,1888,2612,4879,4971,4819,1209,1333,624,1058,1058,996,984,201,1381,1381,1532,1336,201,1459,1459,1492,1516,201,1757,1757,1715,1770,201,1674,3718,6486,8117,5315,5673,3421,1659,1417,1430,701,775,2884,1699,1607,730,2210,1674,5114,9313,9264,9145,9374,4525,4325,491,335,208,333,332,8853,6439,5528,4408,3917,2151,2429,1906,1456,1293,675,692,5798,5455,4795,4259,3723,2290,1295,752,721,279,958,4989,2946,2929,2829,2707,1751,1825,1823,1776,1736,641,779,2928,2316,2327,974,1197,2021,7303,3939,2857,2504,4085,2272,3239,1106,1116,204,4933,2147,1467,1738,2948,1109,2694,1341,1289,244,8951,4041,1287,3779,5579,1392,5366,1894,1849,321,8375,3413,556,3399,5910,1012,5699,1977,1793,612
ACSSF,2011m1,co,000,0173,0000020,1251,1342,1537,1143,894,904,1096,3082,2568,2278,1351,1682,3889,3094,3001,1346,2046,4157,4207,4221,866,1269,604,635,632,532,643,40,1499,1509,1287,1513,131,1415,1415,1282,1482,201,1607,1607,1471,1642,201,1259,2711,4444,6088,4484,3521,2380,1353,1398,1252,666,818,2117,1855,1670,940,1658,1259,4796,7644,7564,7979,7988,3992,3676,902,900,814,182,568,6132,3176,2973,2732,1853,1755,985,567,575,528,149,130,5531,5232,4861,3523,3243,1455,706,516,485,204,360,4663,2708,3065,2621,2644,1507,1257,2079,1792,1760,333,1164,3366,3564,3408,847,1104,1770,6711,3021,2681,1034,4082,2174,3267,914,917,137,5342,2632,1148,2304,3202,1038,3002,1116,1116,201,7265,2856,1325,2642,5043,1132,4590,1841,1815,606,7180,3182,385,3137,4580,924,4509,2041,1996,504
