ACSSF,2011e1,co,000,0008,0000001,5116796,220,614,414,31316,3078,0,69,0,1452,0,35,311,917,294,664,65,431,7812,464,2099,726,7594,753,749,3645,0,454,1854,0,16442,2217,17430,41613,1843,198928,71,16611,3762,75279,9915,340770,344,5487,0,7262,431,1235,269857,0,69180,508,5194,332,34,343,348,954,36805,402,48335,4736,1388,20932,5378,20352,51359,1020,1000,2244,1690,0,6181,20,568,140,165,0,284,0,0,0,176,0,35,0,4520,273,46426,9264,319,4339,24262,1640,0,130,0,0,0,87,263,199,208,0,753,0,2374,296641,3380367,5116796,31316,3078,7594,16442,17430,41613,198928,16611,75279,9915,340770,5487,7262,269857,69180,5194,36805,48335,4736,20932,20352,51359,2244,6181,46426,9264,4339,24262,1640,343598,3380367
ACSSF,2011e1,co,000,0008,0000002,3957683,220,84,0,24936,2292,0,23,0,1273,0,0,298,404,294,479,65,379,5973,283,1721,726,5923,619,749,2758,0,454,1685,0,12654,2050,14147,30295,1567,148975,71,11930,3232,58440,7348,251414,43,4454,0,4794,378,1235,202933,0,49837,494,3855,222,34,343,74,862,31081,237,37069,3732,970,16625,3793,16183,38990,715,769,1873,1412,0,4907,20,568,140,165,0,284,0,0,0,176,0,35,0,3386,133,32970,6376,319,3794,17996,1100,0,130,0,0,0,31,263,199,0,0,477,0,1881,234755,2639109,3957683,24936,2292,5923,12654,14147,30295,148975,11930,58440,7348,251414,4454,4794,202933,49837,3855,31081,37069,3732,16625,16183,38990,1873,4907,32970,6376,3794,17996,1100,271651,2639109
ACSSF,2011e1,co,000,0008,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159113,6380,786,1671,3788,3283,11318,49953,4681,16839,2567,89356,1033,2468,66924,19343,1339,5724,11266,1004,4307,4169,12369,371,1274,13456,2888,545,6266,540,71947,741258
ACSSF,2011e1,co,000,0008,0000004,4709563,220,614,414,29714,3078,0,69,0,1452,0,35,311,917,294,664,65,324,7151,283,2082,726,6892,732,749,3472,0,454,1650,0,15178,2185,16605,38492,1819,181982,71,15700,3564,68122,9266,318492,344,5198,0,7023,431,1235,247930,0,62879,494,5139,332,34,343,74,954,34366,402,46277,4626,1057,19653,4777,19135,47533,1020,979,2217,1524,0,5894,20,568,140,165,0,284,0,0,0,135,0,35,0,4274,273,42099,8313,319,4000,22647,1364,0,130,0,0,0,87,263,199,208,0,477,0,2180,271744,3104267,4709563,29714,3078,6892,15178,16605,38492,181982,15700,68122,9266,318492,5198,7023,247930,62879,5139,34366,46277,4626,19653,19135,47533,2217,5894,42099,8313,4000,22647,1364,315482,3104267
ACSSF,2011e1,co,000,0008,0000005,4432039,220,614,414,28438,3043,0,69,0,1452,0,0,311,917,294,664,65,324,6489,283,1696,726,6767,732,510,3472,0,454,1650,0,14790,2153,15822,36499,1788,170020,71,14666,3255,64342,9041,299312,344,4895,0,6932,431,1235,232727,0,60557,494,4815,332,34,343,74,954,32543,352,42286,4587,1057,18900,4602,17544,44758,1020,900,1870,1480,0,5834,20,568,140,165,0,284,0,0,0,135,0,35,0,4214,273,39792,7972,249,3900,21261,1364,0,130,0,0,0,87,263,199,208,0,477,0,2106,259517,2915658,4432039,28438,3043,6767,14790,15822,36499,170020,14666,64342,9041,299312,4895,6932,232727,60557,4815,32543,42286,4587,18900,17544,44758,1870,5834,39792,7972,3900,21261,1364,301104,2915658
ACSSF,2011e1,co,000,0008,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011423,13694,938,2655,4757,6020,15069,64926,6693,28587,3004,123028,2618,3242,89633,28729,3105,12765,16938,2244,9454,7654,19110,785,4096,14882,3103,1969,10422,838,139335,1371130
ACSSF,2011e1,co,000,0008,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420616,14744,2105,4112,10033,9802,21430,105094,7973,35755,6037,176284,2277,3690,143094,31828,1710,19778,25348,2343,9446,9890,25648,1085,1738,24910,4869,1931,10839,526,161769,1544528
ACSSF,2011e1,co,000,0008,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277524,1276,35,125,388,783,1993,11962,1034,3780,225,19180,303,91,15203,2322,324,1823,3991,39,753,1591,2775,347,60,2307,341,100,1386,0,14378,188609
ACSSF,2011e1,co,000,0008,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0008,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185465,645,0,28,190,573,1569,7880,761,1858,225,11404,303,40,9450,1640,324,1152,1200,39,634,655,2203,347,0,1662,269,100,967,0,10438,128909
