ACSSF,2011m1,co,000,0079,0000011,4054,2020,1269,940,388,602,749,865,1438,763,597,370,285,435,363,988,933,440,507,708,277,823,681,527,133,149,483,392,407,265,265,265,201,201,201,263,250,110,201,220,63,1204,1155,743,288,377,548,803,560,334,197,88,188,67,275,413,298,155,126,213,257,3915,3718,2285,954,749,1716,2463,1893,1187,1050,769,278,600,402,1279,828,185,80,791,873,4054,1473,1058,649,705,297,206,1034,585,168,495,48,270,778,345,632,309,66,3773,3688,2409,2096,1109,184,2193,1310,555,1062,234,201,1518,973,1109,316,201,5100,5230,5027,4081,3277,2115,2614,2237,6188,7076,8712,5822,4036,3961,3605,4054,2020,1269,1438,763,988,823,681,407,265,263,1204,1155,560,334,413,3915,3718,1893,1187,1279,4054,1473,1058,649,757,1034,585,168,532,778,345,659,3773,3688,2409,2469,2193,1310,555,1126,1518,973,1139
ACSSF,2011m1,co,000,0079,0000012,5332,2326,1744,1364,499,687,1130,1041,1514,1053,724,392,345,551,670,1134,1116,536,1039,800,404,1123,951,620,175,404,552,741,590,303,283,283,201,201,108,468,447,110,128,406,63,2002,1871,1479,932,407,835,1005,890,471,340,219,256,120,295,726,582,186,126,528,420,4979,4723,3161,1504,1088,2425,3644,2226,1393,1228,895,278,776,515,1624,1084,202,153,1055,1165,5332,1940,1532,836,1090,457,197,1298,738,298,586,206,270,1133,432,759,888,330,5060,4704,3544,3124,1516,327,2953,1754,948,1296,240,201,2057,1338,1577,366,201,5064,7922,7266,6111,4753,2405,4290,3295,8137,9417,11185,8238,4938,5996,5370,5332,2326,1744,1514,1053,1134,1123,951,590,303,468,2002,1871,890,471,726,4979,4723,2226,1393,1624,5332,1940,1532,836,1185,1298,738,298,653,1133,432,1082,5060,4704,3544,3348,2953,1754,948,1365,2057,1338,1628
ACSSF,2011m1,co,000,0079,0000013,3401,2218,1524,1435,496,910,1023,478,1587,791,770,239,548,494,405,1226,1167,708,755,695,576,1039,954,828,76,611,440,549,454,276,262,201,249,79,99,347,325,100,58,303,126,1191,937,906,192,584,575,736,741,370,364,143,117,266,56,597,541,311,274,334,254,3666,3600,3067,1517,1221,2428,2341,2555,1494,1311,854,553,888,776,2007,1400,629,228,1252,1459,3401,1736,1206,528,828,638,431,1384,625,458,378,230,201,1165,557,855,735,201,3529,3821,2232,2584,1535,430,2628,1721,940,1266,557,201,2091,1544,1358,125,204,1727,8885,8541,7304,6011,3003,5532,2516,8344,9334,13548,10325,6518,8166,4050,3401,2218,1524,1587,791,1226,1039,954,454,276,347,1191,937,741,370,597,3666,3600,2555,1494,2007,3401,1736,1206,528,1082,1384,625,458,447,1165,557,1037,3529,3821,2232,3191,2628,1721,940,1366,2091,1544,1351
ACSSF,2011m1,co,000,0079,0000014,4110,2429,1423,1206,763,1050,628,821,1969,928,827,499,224,638,362,1736,1529,724,775,944,1020,1117,820,678,98,444,535,426,635,306,284,84,201,269,121,552,450,108,179,395,293,1544,1160,1176,230,634,952,357,930,617,616,348,87,468,100,700,639,505,104,413,373,3684,3680,2645,1746,1337,2147,3164,2717,1676,1390,656,343,1094,892,2312,1924,994,534,1743,1485,4110,1970,1242,686,1012,489,305,1653,567,243,500,217,53,1526,1042,1029,546,454,3929,3878,3268,3114,1649,592,3108,1940,1134,1633,240,201,2642,1869,1989,267,201,967,7505,7182,5705,5546,2115,5049,2247,7348,8192,11311,9913,5878,8801,5154,4110,2429,1423,1969,928,1736,1117,820,635,306,552,1544,1160,930,617,700,3684,3680,2717,1676,2312,4110,1970,1242,686,1160,1653,567,243,545,1526,1042,1099,3929,3878,3268,2948,3108,1940,1134,1638,2642,1869,2024
ACSSF,2011m1,co,000,0079,0000015,2461,1283,812,634,209,376,484,428,1097,800,743,201,527,512,302,687,666,211,427,533,185,719,418,405,201,270,233,84,541,310,310,139,201,295,201,458,424,321,201,277,152,788,623,618,174,234,543,73,512,201,201,201,201,201,201,512,319,65,201,311,388,2500,2410,1683,1093,689,1752,2050,1321,1022,760,256,129,707,664,1147,964,449,147,980,521,2461,1111,633,337,268,426,201,1029,795,454,648,161,201,636,159,568,290,318,2386,2357,2016,1670,840,333,1469,949,692,677,201,201,1355,768,1011,324,201,1270,4352,3855,2735,3502,2654,2467,2719,4226,5276,6087,4087,2360,3774,3692,2461,1283,812,1097,800,687,719,418,541,310,458,788,623,512,201,512,2500,2410,1321,1022,1147,2461,1111,633,337,553,1029,795,454,668,636,159,614,2386,2357,2016,1639,1469,949,692,677,1355,768,1006
ACSSF,2011m1,co,000,0079,0000016,3681,2537,1646,1266,510,1140,933,938,2046,819,559,210,240,559,562,1858,1700,836,807,1152,627,1084,776,610,118,344,514,469,956,434,347,105,187,278,255,796,762,77,131,756,346,1726,1421,1129,387,1034,510,862,1023,459,404,271,50,286,255,951,803,346,455,588,417,3499,3158,2335,1265,1030,2212,2469,2251,1306,1023,852,381,602,913,1711,1202,730,512,907,1268,3681,2159,1199,741,791,590,393,1819,681,436,431,95,201,1659,857,1090,853,192,3711,3357,2727,2336,1478,319,2493,1475,1063,1057,186,201,2097,1600,1601,572,201,1926,9737,7935,5403,6474,1855,6304,4720,9911,10160,11998,8138,4523,7736,6690,3681,2537,1646,2046,819,1858,1084,776,956,434,796,1726,1421,1023,459,951,3499,3158,2251,1306,1711,3681,2159,1199,741,844,1819,681,436,448,1659,857,1415,3711,3357,2727,2499,2493,1475,1063,1063,2097,1600,1605
ACSSF,2011m1,co,000,0079,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,4012,3650,1649,3072,1542,2561,1544,4096,5657,7324,5740,2914,4625,3427,2578,1267,633,1078,425,945,658,596,396,90,385,695,602,366,353,89,2668,2698,1800,969,1403,2578,969,481,348,316,838,425,197,368,656,134,639,2686,2654,1804,2475,1846,1075,538,931,1437,1117,1204
ACSSF,2011m1,co,000,0079,0000018,3826,2556,1464,1219,317,869,924,854,1965,600,523,388,341,199,335,1832,1745,939,1200,1126,696,1210,862,825,360,609,470,412,837,283,242,201,201,242,139,688,676,201,379,572,183,1698,1295,967,770,444,597,801,1214,849,844,807,201,217,164,822,801,65,429,633,205,4400,3971,3190,1414,1788,2469,3193,2219,1580,1302,430,584,1150,950,1636,1340,539,375,1075,870,3826,2206,1416,860,981,514,672,1640,579,329,504,201,201,1526,644,1293,742,331,4208,3977,3116,3337,1627,544,2551,1609,1217,1130,835,201,2058,1084,1666,578,201,2419,7996,8122,5994,5471,2349,5212,2746,7988,9790,11375,8892,6583,6682,4835,3826,2556,1464,1965,600,1832,1210,862,837,283,688,1698,1295,1214,849,822,4400,3971,2219,1580,1636,3826,2206,1416,860,1358,1640,579,329,504,1526,644,1454,4208,3977,3116,3540,2551,1609,1217,1317,2058,1084,1709
ACSSF,2011m1,co,000,0079,0000019,3503,1941,1030,890,147,691,544,467,1555,793,774,244,164,682,250,1201,1088,421,369,996,410,854,397,298,75,201,286,268,747,504,388,269,201,279,333,564,468,129,358,275,325,1084,748,606,192,349,428,367,698,281,251,201,201,251,129,622,458,83,201,447,466,3230,2960,2551,1078,1212,2216,2804,2321,1673,1269,674,219,1105,1173,1605,1274,555,503,1125,1318,3503,1592,953,443,581,475,201,1230,634,115,501,317,201,1074,475,862,347,201,3534,3259,2864,2375,1208,269,2618,1788,1308,1335,203,201,1779,1352,1509,606,201,2042,6624,6069,4442,4424,2262,3546,2131,6465,8264,9779,7740,5599,5456,4123,3503,1941,1030,1555,793,1201,854,397,747,504,564,1084,748,698,281,622,3230,2960,2321,1673,1605,3503,1592,953,443,796,1230,634,115,638,1074,475,914,3534,3259,2864,2583,2618,1788,1308,1324,1779,1352,1506
ACSSF,2011m1,co,000,0079,0000020,2866,1734,1190,966,422,540,506,615,1292,662,661,165,193,598,228,1202,1060,676,473,676,466,851,581,390,348,93,98,456,573,52,36,201,36,201,36,574,320,150,251,134,461,1127,972,827,421,649,234,576,433,287,145,84,201,121,205,328,251,201,130,213,207,2946,2730,2121,1110,1284,1665,2098,1493,835,683,488,76,659,451,1184,921,346,308,783,701,2866,1418,780,394,544,328,127,1172,607,202,597,110,201,992,577,750,278,201,2969,2952,2168,2350,1377,219,1635,829,489,682,69,201,1467,999,1170,235,201,1783,5461,5144,2987,3926,2038,3411,2551,6021,6698,7840,4535,2132,4251,4238,2866,1734,1190,1292,662,1202,851,581,573,52,574,1127,972,433,287,328,2946,2730,1493,835,1184,2866,1418,780,394,661,1172,607,202,622,992,577,814,2969,2952,2168,2460,1635,829,489,689,1467,999,1173
