ACSSF,2011m1,co,000,0028,0000001,,,,,,,,,,,,4380,6812,5942,2899,2118,2010,2155,1290,1782,5163,918,,,,,,,,,4037,22888,22175,17753,17890,2171,20871,12105,17982,12732,11431,3005,5111,7136,7457,5809,556,79,5839,,,,,,,,,,,,,,,,,,4380,6812,5942,2899,2118,2010,2155,5163,918,4037,22888,22175,17753,20871,12105,17982,12732,11431,5809,556,5823,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000002,,,,,,,,,,,,6391,6165,5000,2458,1861,1388,1706,1206,1210,4225,190,,,,,,,,,20949,28556,20520,13196,13268,2121,17768,9316,15051,11197,9320,2524,3945,5098,6562,5461,556,18,5472,,,,,,,,,,,,,,,,,,6391,6165,5000,2458,1861,1388,1706,4225,190,20949,28556,20520,13196,17768,9316,15051,11197,9320,5461,556,5474,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000003,,,,,,,,,,,,6561,6375,4041,1733,1029,1428,1326,609,1159,3286,886,,,,,,,,,20394,21377,14006,10987,10981,329,11280,6464,9923,6781,7034,1900,3839,4621,3044,1341,201,77,1360,,,,,,,,,,,,,,,,,,6561,6375,4041,1733,1029,1428,1326,3286,886,20394,21377,14006,10987,11280,6464,9923,6781,7034,1341,201,1341,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5721,22462,21369,17517,17614,2171,20330,11939,17760,12987,11013,2977,4874,7032,6839,5588,556,79,5611,,,,,,,,,,,,,,,,,,,,,,,,,,,5721,22462,21369,17517,20330,11939,17760,12987,11013,5588,556,5596,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5436,21757,20835,17213,17355,2171,20021,11508,17454,12818,10734,2963,4872,6897,6191,5480,556,79,5505,,,,,,,,,,,,,,,,,,,,,,,,,,,5436,21757,20835,17213,20021,11508,17454,12818,10734,5480,556,5491,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814,17097,16613,13264,13507,2026,14517,5629,13889,10215,7563,2004,3401,4857,4683,3786,546,201,3836,,,,,,,,,,,,,,,,,,,,,,,,,,,2814,17097,16613,13264,14517,5629,13889,10215,7563,3786,546,3836,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4853,18531,18007,10897,10918,853,17059,10090,12634,9159,7316,2163,3964,4939,3469,3207,87,79,3226,,,,,,,,,,,,,,,,,,,,,,,,,,,4853,18531,18007,10897,17059,10090,12634,9159,7316,3207,87,3208,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2575,5152,5235,2403,2403,201,5238,3705,4261,2845,3101,392,802,1706,2498,713,201,201,713,,,,,,,,,,,,,,,,,,,,,,,,,,,2575,5152,5235,2403,5238,3705,4261,2845,3101,713,201,713,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7597,7261,3260,1936,1936,201,2824,1310,2792,1922,1687,375,123,1300,1009,323,201,201,323,,,,,,,,,,,,,,,,,,,,,,,,,,,7597,7261,3260,1936,2824,1310,2792,1922,1687,323,201,323,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8137,7547,4464,1579,1579,201,4308,3487,3099,1928,2442,115,795,1021,2081,632,201,201,632,,,,,,,,,,,,,,,,,,,,,,,,,,,8137,7547,4464,1579,4308,3487,3099,1928,2442,632,201,632,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000011,,,,,,,,,,,,4380,6812,5942,2899,2118,2010,2155,1290,1782,5163,918,,,,,,,,,4380,6812,5942,3994,3994,201,4976,3156,3926,3030,2726,888,1126,1359,2516,918,201,201,918,,,,,,,,,,,,,,,,,,4380,6812,5942,2899,2118,2010,2155,5163,918,4380,6812,5942,3994,4976,3156,3926,3030,2726,918,201,918,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000012,,,,,,,,,,,,4380,6812,5942,2899,2118,2010,2155,1290,1782,5163,918,,,,,,,,,3707,8927,7952,4791,4791,201,7574,4942,5821,4140,4235,966,1459,2335,3715,1179,201,201,1179,,,,,,,,,,,,,,,,,,4380,6812,5942,2899,2118,2010,2155,5163,918,3707,8927,7952,4791,7574,4942,5821,4140,4235,1179,201,1179,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,9078,8623,3771,3352,1918,7633,4424,5570,5330,2220,719,849,612,1660,1858,201,201,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,9078,8623,3771,7633,4424,5570,5330,2220,1858,201,1858,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,9554,9217,6825,6868,895,7895,3532,7425,6395,4131,707,1724,2358,2608,2287,201,201,2287,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,9554,9217,6825,7895,3532,7425,6395,4131,2287,201,2287,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,6532,6413,4458,4458,201,5003,2992,3673,2598,2062,910,799,883,1625,1102,201,201,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,888,6532,6413,4458,5003,2992,3673,2598,2062,1102,201,1102,,,,,,,,,
ACSSF,2011m1,co,000,0028,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615,9773,8958,4941,4941,201,7642,201,7642,7167,3022,1224,1643,1932,1559,2377,533,201,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,1615,9773,8958,4941,7642,201,7642,7167,3022,2377,533,2378,,,,,,,,,
