ACSSF,2011e1,co,000,0096,0000011,214129,117142,7415,6895,5216,3306,6463,3197,3952,4052,5454,2511,5543,8946,7522,6938,4814,7201,6197,4557,7626,9337,96987,10360,6543,5746,5108,7920,3828,4726,3413,5376,3900,6687,7735,5609,4647,2100,3453,4332,1670,2072,1762,25530,31737,20395,7618684500,5121618600,4094166700,1027451900,2497065900,1790429600,706636300,30457,20056,25313,30087,35398,44028,36758,22734,35241,37133,41861,62002,22564,13862,18480,21805,30001,36963,326245,170893,70533,41,70492,494,170,866,729,1580,1162,1554,1954,3477,1549,4039,6606,5981,5618,3646,6543,5497,4343,6770,7914,100360,53710,46650,6921,6725,4350,2577,4883,2035,2398,2098,1977,962,1504,2340,1541,1320,1168,658,700,214,856,1423,155352,47458,23,47435,419,193,675,856,2702,1280,1974,1859,2663,2672,4542,6023,4370,3964,1816,2932,3987,1366,1663,1479,107894,58342,49552,9941,6350,5071,4252,5218,2548,2752,1554,2713,1228,2145,1712,1239,683,284,521,345,304,409,283
ACSSF,2011e1,co,000,0096,0000012,366949,203678,13083,10088,9880,7180,9553,4816,6700,6781,9539,4177,13390,14388,13345,12732,8904,13114,11427,7973,11094,15514,163271,15810,10654,10140,8471,11788,5544,9015,5795,8752,6289,11621,12651,9167,7662,4399,5687,7936,3612,4867,3411,26449,31601,21262,13248237500,8686136800,7034464000,1651672800,4562100700,3385614000,1176486700,30908,21365,25780,30375,37144,45489,36669,24639,32272,38351,42903,52309,24233,15642,18268,22969,31501,40842,551655,291963,125170,41,125129,1128,170,1945,1575,2103,1886,2707,3726,6627,2530,8947,10836,10511,10159,7518,11938,10065,7118,9995,13645,166793,88244,78549,11955,9918,7935,5605,7450,2930,3993,3055,2912,1647,4443,3552,2834,2573,1386,1176,1362,855,1099,1869,259692,82872,23,82849,642,285,1455,1537,3922,1618,4328,3149,4900,4237,7969,9498,6975,6285,3902,4997,6710,3282,4212,2946,176820,96398,80422,15168,10369,8685,6934,7866,3926,4687,2646,3852,2052,3652,3153,2192,1377,497,690,1226,330,655,465
ACSSF,2011e1,co,000,0096,0000013,236298,129627,7101,3749,4215,3753,6367,3476,4675,3541,5884,4279,8075,10790,5598,9393,5520,11114,8296,7715,8022,8064,106671,7672,4286,5052,4960,7354,3409,3270,2777,5772,4963,8709,11295,6871,6084,4555,4846,4976,3036,4070,2714,30824,34315,26483,8652461900,5330482600,4447362000,883120600,3321979300,2574992200,746987100,34331,23842,31668,35244,50413,54861,40455,26679,35223,41893,62133,61057,30761,14755,28221,31190,37082,52771,334729,167683,84607,0,84607,118,461,474,674,1197,1217,1930,2298,3643,2411,4809,8101,4931,8403,4067,9787,7883,6976,7481,7746,83076,38056,45020,6983,3288,3741,3079,5170,2259,2745,1243,2241,1868,3266,2689,667,990,1453,1327,413,739,541,318,167046,59509,0,59509,32,199,664,548,1535,894,1608,1732,1950,2627,5457,8409,6419,5535,4033,4559,4217,3005,3973,2113,107537,60375,47162,7640,4087,4388,4412,5819,2515,1662,1045,3822,2336,3252,2886,452,549,522,287,759,31,97,601
ACSSF,2011e1,co,000,0096,0000014,333088,174694,9549,6831,5699,4313,8056,3643,6636,3149,6233,5113,10514,13752,8812,9024,7377,9329,9645,9021,14072,23926,158394,10312,7849,7758,6356,8334,4817,7726,5379,7917,7122,10765,9743,7613,9729,8214,7803,8372,7295,8250,7040,32049,36388,27175,15636267300,9949012000,8587622000,1361390000,5687255300,4469038900,1218216400,36990,17974,28672,34409,48099,66871,41762,21420,31271,41523,56684,89685,31518,15013,24762,28007,41524,51802,451961,218617,115850,0,115850,103,390,800,678,1571,1198,1836,1381,3963,2811,7805,11474,6911,7179,6275,8535,8955,8586,13290,22109,102767,43923,58844,9446,6441,4899,3635,6485,2445,4800,1768,2270,2302,2709,2278,1901,1845,1102,794,690,435,782,1817,233344,89345,0,89345,403,0,733,983,1860,894,2742,2939,4933,4776,6637,7674,6017,7134,7431,6637,6821,6803,7636,6292,143999,74950,69049,9909,7849,7025,5373,6474,3923,4984,2440,2984,2346,4128,2069,1596,2595,783,1166,1551,492,614,748
ACSSF,2011e1,co,000,0096,0000015,182335,96227,5990,4403,5811,2862,4719,2060,2958,1838,3655,3218,3491,3708,3812,4333,2417,4039,5469,4430,8730,18284,86108,9054,6682,5139,3102,5485,2277,3231,2715,4386,1776,6302,3706,3292,3849,2945,2714,4339,2998,4913,7203,30006,39404,23884,8929550400,5713447200,4883755600,829691700,3216103200,2325597500,890505700,41200,21957,23746,36155,43096,63102,50922,26300,27306,42041,57196,81111,31826,18581,19222,26776,35938,52486,244939,122398,58978,0,58978,126,61,585,25,1722,806,961,525,2078,1986,2356,2556,2753,3182,2184,3644,4668,3722,8006,17032,63420,26171,37249,5864,4342,5226,2837,2997,1254,1997,1313,1577,1232,1135,1152,1059,1151,233,395,801,708,724,1252,122541,39087,0,39087,127,606,117,151,687,828,928,922,1892,1079,3618,2304,2401,2437,2609,1828,3887,2832,4284,5550,83454,36433,47021,8927,6076,5022,2951,4798,1449,2303,1793,2494,697,2684,1402,891,1412,336,886,452,166,629,1653
ACSSF,2011e1,co,000,0096,0000016,359165,191177,9634,7840,8572,5531,8707,4334,7163,4734,8167,6253,11683,14092,8127,10797,8486,8830,12689,9800,13680,22058,167988,9670,8548,8410,7059,9690,4843,7631,5591,6459,4546,11777,11002,10435,10261,7953,8237,9832,6227,10576,9241,31789,34308,29903,16453017800,10091196300,7992714100,2098482200,6361821400,5036654500,1325167000,36718,20697,24649,32238,45219,60437,40039,22701,27993,36566,51500,70026,35062,16355,19214,29672,41045,52316,497690,248929,119671,0,119671,312,196,1296,780,1550,1831,2897,1990,3700,4600,8103,10866,5695,9319,8104,7839,10910,7725,12509,19449,129258,57752,71506,9322,7644,7276,4751,7157,2503,4266,2744,4467,1653,3580,3226,2432,1478,382,991,1779,2075,1171,2609,248761,97869,0,97869,129,135,505,1165,1992,1583,3837,2685,4034,2707,8209,8180,8150,9052,6978,7416,8615,5001,9579,7917,150892,80773,70119,9541,8413,7905,5894,7698,3260,3794,2906,2425,1839,3568,2822,2285,1209,975,821,1217,1226,997,1324
ACSSF,2011e1,co,000,0096,0000017,170141,88629,2356,2745,1845,2070,1754,962,1004,1342,2173,2019,2437,4317,3861,3482,2182,4327,6026,6353,13167,24207,81512,4690,4655,4584,2345,5621,2636,1619,2206,2566,3043,3881,5517,3073,3359,3390,2659,6524,4667,6799,7678,47449,63664,31996,10739922500,7151440800,6299941400,851499400,3588481700,2848069100,740412700,52646,25231,30012,43147,68638,74532,70635,39085,41416,54338,85902,94877,37302,18320,22134,34327,47575,66237,213746,104125,65630,0,65630,48,282,75,135,325,313,131,517,1260,1326,1616,3281,2949,2555,1701,3364,5115,6139,11619,22879,38495,15496,22999,2308,2463,1770,1935,1429,649,873,825,913,693,821,1036,912,927,481,963,911,214,1548,1328,109621,44803,0,44803,0,268,64,57,921,252,696,1047,1182,1791,2836,3367,2747,2472,2781,1795,6091,3717,6255,6464,64818,28109,36709,4690,4387,4520,2288,4700,2384,923,1159,1384,1252,1045,2150,326,887,609,864,433,950,544,1214
ACSSF,2011e1,co,000,0096,0000018,343441,188458,9674,8525,5059,4403,12217,4987,6315,5026,6836,5166,10435,12748,11071,10748,8061,7923,13068,8049,16968,21179,154983,14070,9618,9182,5687,11140,5098,6974,6759,9519,5189,9647,12649,8962,8003,6258,4640,6609,4549,6219,4211,30030,35993,22354,14120436400,9527059900,8345684300,1181375600,4593376400,3636045000,957331400,34921,21317,26478,31886,41950,61561,42284,22062,31920,38994,57760,90878,26795,20093,20537,25373,33065,42088,490466,244511,129303,0,129303,280,253,1022,284,5966,1793,2172,3172,4362,4066,8482,10885,8923,9445,6972,6852,11142,7735,16039,19458,115208,56053,59155,9394,8272,4037,4119,6251,3194,4143,1854,2474,1100,1953,1863,2148,1303,1089,1071,1926,314,929,1721,245955,84894,0,84894,53,408,1239,327,4400,1847,2487,3340,6292,3438,6860,10343,7050,7500,5644,3962,5869,3921,5928,3986,161061,90972,70089,14017,9210,7943,5360,6740,3251,4487,3419,3227,1751,2787,2306,1912,503,614,678,740,628,291,225
ACSSF,2011e1,co,000,0096,0000019,314969,165414,9060,5355,4660,4177,7194,2540,3785,3296,7027,3829,6881,8862,9068,9142,6588,10338,11806,10380,17074,24352,149555,10993,7161,7845,5722,8113,4331,5585,3753,6707,3987,9421,8986,9823,11754,5446,6241,10056,7291,8985,7355,36699,42915,30491,14899940200,9255373000,8247833100,1007539900,5644567200,4472328000,1172239200,41670,21813,35304,37114,55137,64706,50680,25896,38867,43937,69159,80583,35676,17719,30402,31247,42762,52996,437380,215466,117109,0,117109,515,110,359,864,1627,715,1874,1915,4432,2922,4929,6882,7465,8047,5693,9010,10572,9529,16392,23257,98357,50052,48305,8545,5245,4301,3313,5567,1825,1911,1381,2595,907,1952,1980,1603,1095,895,1328,1234,851,682,1095,221914,84319,0,84319,164,312,584,929,1504,1483,1963,1627,3306,2146,6393,6271,8021,9881,4586,5309,8293,6596,8210,6741,137595,72359,65236,10829,6849,7261,4793,6609,2848,3622,2126,3401,1841,3028,2715,1802,1873,860,932,1763,695,775,614
ACSSF,2011e1,co,000,0096,0000020,181503,95923,6186,6178,5646,2369,5356,1562,2848,1965,5269,1410,4534,4478,4517,5486,4850,4723,6288,4277,8421,9560,85580,10105,6098,6183,2559,6197,4263,4450,1878,3590,3187,4342,4449,4342,4323,3950,3545,3644,2644,3398,2433,26477,35130,20736,6808564000,4322719100,3610827200,711891900,2485845000,1789400100,696444800,36632,19335,24264,32058,42152,59784,44559,23295,32043,40757,51094,72302,27079,10500,15405,25570,32393,50723,250153,122807,57446,0,57446,444,46,297,45,1376,373,1486,1275,3464,998,2954,2757,3421,4006,4078,4094,5939,4095,7854,8444,65361,26884,38477,5742,6132,5349,2324,3980,1189,1362,690,1805,412,1580,1721,1096,1480,772,629,349,182,567,1116,127346,38534,0,38534,0,68,462,419,1009,1041,2169,716,2029,1517,2368,3205,3453,3844,2937,3224,2975,1981,3227,1890,88812,41766,47046,10105,6030,5721,2140,5188,3222,2281,1162,1561,1670,1974,1244,889,479,1013,321,669,663,171,543
