ACSSF,2011e1,co,000,0009,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490199,25473,429,1507,2869,3543,7131,48361,6882,15362,1950,87362,1597,820,54040,20185,299,9324,7625,354,4052,5984,13120,242,426,10447,2349,574,3663,330,153899
ACSSF,2011e1,co,000,0009,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817649,38439,670,2255,3597,5104,12510,81914,9705,23987,3785,150983,2259,1068,92865,33676,807,14773,14952,902,6245,9925,20177,724,1250,17082,3831,1026,5897,330,256911
ACSSF,2011e1,co,000,0009,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520977,30209,892,1318,1890,2603,6165,29208,6794,9562,1192,70898,1298,1470,37676,18708,390,5673,8848,263,2424,2832,6960,143,3768,7921,1721,1146,2162,342,256501
ACSSF,2011e1,co,000,0009,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729616,24795,4822,3247,2814,5235,10580,63048,9186,15107,2515,114582,2540,2074,68153,25192,1821,13223,13318,670,9245,6999,15268,777,12474,11079,2732,2042,4551,3576,277951
ACSSF,2011e1,co,000,0009,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397708,12997,1174,2229,4083,2882,7484,40693,9312,13657,2570,68090,1912,2105,46219,17895,1883,8206,13700,412,5109,4567,10980,608,715,7909,1640,968,3917,79,103713
ACSSF,2011e1,co,000,0009,0000016,735937,0,44,0,20563,3632,428,23,119,464,203,23,146,1154,1072,62,65,142,1675,64,980,602,3319,204,251,952,0,0,1065,0,3545,675,2252,9872,808,47797,62,13054,1079,13667,2879,91273,0,3763,89,2452,67,818,64549,746,27022,71,970,0,51,0,35,1609,11008,0,16282,1344,1399,7319,1810,5891,11105,565,335,285,695,0,10303,0,2739,313,0,0,431,0,67,1253,459,0,0,0,4549,492,10930,2232,248,2222,5508,313,0,130,0,0,63,31,48,41,0,0,0,0,854,322464,735937,20563,3632,3319,3545,2252,9872,47797,13054,13667,2879,91273,3763,2452,64549,27022,970,11008,16282,1344,7319,5891,11105,285,10303,10930,2232,2222,5508,313,340586
ACSSF,2011e1,co,000,0009,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390126,17697,3567,1380,2938,3595,5665,40883,5688,12472,2935,81500,1778,1253,46931,22567,586,7695,12063,405,3364,4639,7993,916,1161,10892,1263,301,2829,172,84998
ACSSF,2011e1,co,000,0009,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796375,44957,4799,3240,5013,3057,12942,63786,11820,22259,3067,142821,2819,3352,82587,36074,1086,12830,15198,1817,5889,8664,17724,1074,1774,12804,2752,1273,7278,1307,262312
ACSSF,2011e1,co,000,0009,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684697,28455,2147,4079,7260,6675,9512,67821,11726,17829,3403,138024,2159,2275,79399,33828,919,12291,16982,395,5781,8381,16328,1173,2236,17215,2653,1788,5275,601,178087
ACSSF,2011e1,co,000,0009,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386636,14867,1025,1433,3621,3292,8385,44306,10451,13536,2264,86914,1314,1327,38543,19231,597,10374,8127,1294,3825,5307,9946,802,500,11745,2217,756,3223,52,77362
ACSSF,2011e1,co,000,0009,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180877,13396,192,777,864,1904,4459,20252,2303,4787,848,30100,125,53,18698,6350,0,2620,1499,492,1631,4732,5179,109,167,3565,796,28,1974,40,52937
