ACSSF,2011e1,co,000,0097,0000011,301484,156761,67324,41,67283,494,170,866,625,1283,1094,1540,1619,3129,1480,3823,6285,5662,5249,3481,6446,5439,4256,6607,7735,89437,45589,43848,6266,5896,4165,2421,4601,1832,2348,2098,1965,962,1380,2265,1357,1320,1168,658,654,213,856,1423,144723,45223,23,45200,419,193,580,856,2499,1097,1903,1803,2354,2418,4288,5790,4176,3911,1749,2805,3987,1313,1663,1396,99500,54159,45341,9202,5918,4922,3636,4941,2262,2257,1126,2449,1049,2104,1640,1117,662,284,521,330,304,334,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0097,0000012,500296,261664,115948,41,115907,1128,170,1587,877,1806,1675,2564,2160,5648,2352,8062,10246,9909,9290,7190,11841,9332,6966,9759,13345,145716,73540,72176,10449,8645,7294,5142,7001,2387,3708,3055,2786,1595,4319,3477,2469,2379,1349,1176,1147,848,1099,1851,238632,77402,23,77379,642,285,636,1386,3719,1251,4077,3071,4472,3962,7508,8915,6509,6039,3732,4545,6472,3171,4162,2825,161230,88501,72729,13470,9648,8222,5584,7420,3372,4141,1826,3564,1728,3549,3038,2070,1345,497,690,1190,330,580,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0097,0000013,277189,138696,71973,0,71973,118,394,309,300,704,1061,1631,1951,2774,1844,3768,6925,4223,7047,3595,8299,7200,6539,6124,7167,66723,30900,35823,5256,2551,2623,2683,4015,1815,2421,1002,1761,1310,2106,2489,404,755,1361,1327,385,739,541,279,138493,50752,0,50752,32,199,608,473,1248,637,1423,1544,1488,2345,4685,6842,4922,4188,3686,4223,3856,2873,3741,1739,87741,49674,38067,6239,3132,3923,3675,4466,1748,1351,932,3439,1753,2417,1968,281,497,522,287,708,31,97,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0097,0000014,351515,171539,93239,0,93239,103,390,612,193,1224,568,1625,1026,2716,1823,6379,7427,5529,6126,5437,7516,7535,6629,10727,19654,78300,33302,44998,7272,5218,3151,2511,5351,1745,3769,1433,1831,1781,2022,1858,1433,1342,551,608,640,364,781,1337,179976,68173,0,68173,295,0,493,262,1238,815,1785,2271,3170,3562,5114,5291,3734,5433,6063,5238,5772,5496,6891,5250,111803,57778,54025,8158,5954,4752,4349,4764,2706,3435,1841,2428,2122,3375,1660,1402,2279,724,1166,1380,492,430,608,43210,20905,9104,0,9104,0,0,155,330,54,0,108,235,361,347,769,1790,639,245,373,319,1082,789,849,659,11801,5235,6566,1118,752,551,909,627,379,472,58,164,99,372,249,36,202,0,49,50,71,0,408,22305,8648,0,8648,0,0,7,355,38,48,386,428,344,390,826,1149,1068,287,873,577,463,681,341,387,13657,7107,6550,703,548,1154,275,1149,511,876,405,91,0,137,237,138,267,59,0,0,0,0,0
ACSSF,2011e1,co,000,0097,0000015,220946,110344,53424,0,53424,89,61,458,25,1722,611,879,330,1871,1582,1976,2343,2336,2802,1902,3625,4272,3072,7406,16062,56920,23904,33016,5562,3829,4814,2411,2034,1254,1819,1135,1360,991,1053,1126,1016,707,233,332,703,708,677,1252,110602,35487,0,35487,127,606,96,104,657,534,814,536,1833,921,3289,1874,2401,2101,2609,1715,3788,2459,3823,5200,75115,32495,42620,7710,5343,4454,2779,4487,1409,2066,1701,2285,697,2377,1319,891,1412,336,886,417,166,583,1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0097,0000016,370120,185887,94976,0,94976,169,117,367,617,1023,838,2029,1217,2457,2732,6138,7980,4745,6838,6569,6759,8997,6452,10767,18165,90911,37610,53301,5758,6126,5643,3201,5912,1710,2860,2335,3725,860,2508,2610,1793,1351,222,947,1719,1075,486,2460,184233,78170,0,78170,129,89,294,765,1245,1233,2139,1939,2693,1838,5807,6498,6387,8175,5981,5970,7037,4510,8299,7142,106063,53233,52830,6719,6679,5720,4194,5117,1894,2869,2049,2091,1278,3185,2285,1792,1071,746,758,1217,933,997,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0097,0000017,197021,96651,60428,0,60428,48,263,75,135,325,313,131,517,1260,1236,1484,2857,2808,2449,1636,3142,4482,5567,10080,21620,36223,14707,21516,2006,2412,1770,1935,1429,649,705,825,783,693,746,1036,912,899,481,800,760,214,1133,1328,100370,40798,0,40798,0,268,0,57,870,252,696,1047,1182,1189,2615,3184,2398,2472,2719,1699,5236,3617,5371,5926,59572,24828,34744,4479,3977,4184,2252,4455,2384,923,1159,1384,1252,1045,1785,326,838,609,864,433,672,544,1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0097,0000018,411773,204889,110310,0,110310,280,0,696,284,5022,1150,1788,2890,3445,3305,6759,8877,6665,8612,6173,6134,9538,6037,13987,18668,94579,47542,47037,6574,6190,3013,3345,5229,2676,2872,1680,1847,926,1886,1612,1971,1266,748,996,1583,278,751,1594,206884,69791,0,69791,42,408,505,327,3811,1693,1924,2969,4626,2322,5326,8520,5605,6617,4071,3645,5339,3127,5167,3747,137093,76581,60512,11584,8149,7092,4768,5762,2560,3615,2913,2815,1667,2617,2154,1725,415,501,466,702,491,291,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0097,0000019,405513,198970,108570,0,108570,316,0,214,820,1356,604,1568,1639,4100,2645,4664,6491,6531,7726,5467,8025,9946,9057,15042,22359,90400,45755,44645,7316,4768,3938,2931,5526,1615,1799,1284,2498,853,1659,1929,1603,1095,895,1210,1183,805,643,1095,206543,79238,0,79238,164,276,542,883,1475,1448,1393,1585,2804,2013,5957,5825,7423,9432,4315,5115,7752,6466,7886,6484,127305,67220,60085,9678,6347,6537,4596,6412,2551,3457,1972,3149,1803,2791,2498,1563,1651,827,752,1703,589,595,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2011e1,co,000,0097,0000020,229167,112427,53024,0,53024,425,0,297,45,1188,346,1262,1171,2368,553,2703,2564,3196,3695,3981,3588,5939,4033,7678,7992,59403,24416,34987,5160,5840,4517,1947,3629,1053,1056,606,1784,371,1307,1661,1006,1435,772,629,349,182,567,1116,116740,35710,0,35710,0,68,314,247,900,564,2114,601,1962,1395,2213,2925,3398,3650,2651,3116,2775,1852,3101,1864,81030,38301,42729,9262,5355,5598,1835,4494,2937,1840,1095,1317,1526,1745,1039,889,479,1013,321,607,663,171,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
