ACSSF,2011m1,co,000,0023,0000011,4380,1239,2212,1351,1958,1403,1368,2079,2083,1625,1310,2271,2032,1545,1391,944,6812,1355,2690,1192,1777,1655,1568,1898,2041,1903,1493,2213,1992,1509,1424,1026,4713,1069,1690,793,1098,898,1071,705,805,1239,842,631,593,406,214,337,3030,580,800,876,877,780,752,711,842,290,457,344,307,283,340,283,2726,541,1038,362,845,1027,471,1014,803,506,294,329,273,505,251,215,918,73,189,137,247,275,98,203,201,14,100,201,201,201,201,99,4380,1239,2212,1844,1986,2204,1962,1627,1356,944,6812,1355,2690,2196,2139,2518,2423,1775,1528,1026,4713,1069,1690,1510,1518,1153,1717,891,442,337,3030,580,800,1122,1082,1180,585,477,443,283,2726,541,1038,1074,1263,1356,547,474,604,215,918,73,189,345,292,203,103,201,201,99
ACSSF,2011m1,co,000,0023,0000012,3707,1704,2189,1662,2732,1693,2170,3403,2871,1949,1624,3106,2907,1811,1578,981,8927,1905,3419,1477,2515,2411,2505,3008,2740,2352,1823,3042,2824,1636,1634,1071,7044,1216,2471,994,1594,1287,1682,1599,1452,1426,1216,816,666,521,238,423,4140,655,1199,961,1101,1347,963,994,1062,517,489,620,448,334,346,288,4235,600,1355,666,1136,1502,931,1336,851,931,986,368,297,579,251,533,1179,73,199,195,247,275,409,359,354,157,265,138,201,201,201,99,3707,1704,2189,2316,2835,2547,2464,1668,1357,981,8927,1905,3419,2651,3447,3440,3289,1896,1518,1071,7044,1216,2471,2030,2237,2180,2159,1142,546,423,4140,655,1199,1396,1683,1612,737,824,485,288,4235,600,1355,1457,1979,1669,1467,506,664,533,1179,73,199,386,497,493,313,138,201,99
ACSSF,2011m1,co,000,0023,0000013,1454,1541,281,384,812,837,1067,2240,2128,581,612,1988,1904,1250,1183,307,9078,2086,3340,909,1855,2175,1979,2329,2433,1036,1053,2018,1786,1155,1174,1034,5641,1181,1731,748,1419,1491,1099,1328,741,487,625,751,107,238,297,700,5572,1112,3080,485,1184,1075,1495,816,562,557,618,501,261,298,126,360,2220,244,686,209,452,948,457,315,400,424,197,410,487,243,159,215,1858,201,688,179,251,123,92,272,87,327,201,713,381,201,201,681,1454,1541,281,865,1684,1097,546,569,475,307,9078,2086,3340,2291,3120,2257,1276,1237,639,1034,5641,1181,1731,1889,1816,1609,808,760,389,700,5572,1112,3080,1364,1934,1055,878,534,313,360,2220,244,686,511,1025,502,467,670,294,215,1858,201,688,397,141,283,327,857,201,681
ACSSF,2011m1,co,000,0023,0000014,1420,1387,308,794,913,453,251,2511,2528,483,461,2055,2059,1469,1353,448,9554,1971,3458,1227,1883,2700,2187,2576,2518,1219,1940,2203,1964,1537,1294,754,7561,1135,3504,1086,1213,1983,1449,1028,1430,985,964,719,597,376,287,482,6439,984,2345,389,1478,1359,1382,957,1332,1097,1331,592,583,144,263,515,4131,655,676,375,1234,1379,996,468,444,395,1192,233,1107,899,249,306,2287,703,539,342,426,531,503,192,303,337,341,77,25,265,176,90,1420,1387,308,473,463,529,333,297,456,448,9554,1971,3458,2239,3495,2294,2418,1580,1164,754,7561,1135,3504,1736,2629,1628,1350,1009,497,482,6439,984,2345,1550,1856,1575,1825,832,298,515,4131,655,676,1259,2118,716,1275,1132,942,306,2287,703,539,539,697,335,628,81,403,90
ACSSF,2011m1,co,000,0023,0000015,888,911,433,774,850,546,269,1691,1643,702,402,1477,1484,907,946,362,6532,1063,1769,1430,2238,1714,1372,1723,1818,1024,846,1443,1499,877,1007,686,4583,760,1531,1331,2199,1445,1107,762,820,783,607,357,159,308,424,349,2598,154,498,790,1469,948,471,533,463,236,305,481,236,143,201,267,2062,418,578,568,922,610,565,636,496,452,346,330,270,88,67,227,1102,54,394,238,468,552,241,181,91,235,120,194,125,47,201,201,888,911,433,719,634,844,791,436,362,362,6532,1063,1769,2757,2267,1848,1374,961,714,686,4583,760,1531,2634,1748,1297,1034,402,546,349,2598,154,498,1693,1087,720,423,526,143,267,2062,418,578,1091,740,897,574,461,112,227,1102,54,394,498,622,249,242,230,47,201
ACSSF,2011m1,co,000,0023,0000016,1615,1572,382,1107,1176,372,536,3084,3086,283,305,2166,2201,1894,1918,495,9773,1746,3105,1392,2359,3297,2391,3199,2763,1357,1084,2049,2243,1889,1894,1678,4941,931,1754,682,1703,2164,1850,1284,1003,874,888,701,962,471,361,283,7167,1003,2608,824,1779,2713,1914,1003,1086,889,815,802,439,211,428,274,3022,435,696,858,1374,1494,1169,917,605,503,472,625,246,283,105,246,2377,480,190,209,669,992,331,406,300,133,99,250,258,103,261,1527,1615,1572,382,432,471,558,370,330,527,495,9773,1746,3105,2697,4373,2585,1821,1583,939,1678,4941,931,1754,1826,2957,1489,1275,1155,505,283,7167,1003,2608,2096,3589,1461,1135,967,469,274,3022,435,696,1552,2085,1169,739,702,301,246,2377,480,190,693,1090,509,167,395,319,1527
ACSSF,2011m1,co,000,0023,0000017,1629,1661,653,455,652,723,1143,2533,2407,1000,814,1672,1530,1154,1237,425,6711,1680,2681,921,891,1522,1697,2363,2477,1540,1049,1957,1380,1190,1265,740,4536,734,2250,728,683,892,1219,1090,981,559,795,913,276,163,124,236,3577,773,767,553,769,1023,1692,711,208,1032,631,214,301,187,101,583,2900,489,1168,201,499,564,424,910,962,627,339,608,364,286,191,61,1430,289,318,201,437,133,503,300,829,149,201,127,201,201,201,201,1629,1661,653,792,1325,1252,1144,791,494,425,6711,1680,2681,1233,2545,2662,1762,1487,627,740,4536,734,2250,968,1636,1275,1005,974,160,236,3577,773,767,1049,1911,723,1413,366,243,583,2900,489,1168,499,690,1248,716,676,345,61,1430,289,318,437,511,875,149,127,201,201
ACSSF,2011m1,co,000,0023,0000018,1300,1294,283,727,1056,869,842,3241,2997,628,408,2747,2706,1426,1411,380,10043,2013,3562,1616,2170,2515,3010,2639,2867,1481,1418,2785,2756,1347,1456,710,8518,1642,3409,975,2347,2017,1850,1432,1508,1219,759,742,841,616,201,467,2165,87,815,750,836,659,484,80,400,347,614,239,162,137,179,139,6349,1495,2036,1302,1791,2280,3061,847,1251,871,679,465,402,449,208,354,1831,162,825,156,688,870,449,478,132,105,381,137,79,201,201,201,1300,1294,283,929,1206,1090,800,379,408,380,10043,2013,3562,3063,4143,2473,2213,1422,969,710,8518,1642,3409,2580,2855,1915,1513,1219,672,467,2165,87,815,1094,920,408,713,313,227,139,6349,1495,2036,2379,3836,1576,1184,516,487,354,1831,162,825,727,975,526,399,119,201,201
ACSSF,2011m1,co,000,0023,0000019,1122,1171,686,316,603,809,438,2326,2252,690,607,2255,2306,1375,1361,360,7017,1478,2286,674,1719,1841,1879,2450,2461,1266,953,2537,2103,1398,1414,718,5907,732,2072,461,1417,1600,1144,968,886,702,778,1085,630,262,213,351,4285,839,988,393,1043,1466,987,888,644,849,370,872,429,223,109,181,2978,627,1219,227,573,817,772,905,366,514,292,266,361,602,201,566,581,201,230,286,259,162,240,194,201,58,87,127,97,132,201,117,1122,1171,686,649,973,815,709,318,381,360,7017,1478,2286,1838,2629,2439,1611,1528,896,718,5907,732,2072,1436,1981,1287,1155,1212,338,351,4285,839,988,1056,1829,1338,928,996,266,181,2978,627,1219,604,1201,936,573,410,694,566,581,201,230,283,296,194,104,213,132,117
ACSSF,2011m1,co,000,0023,0000020,858,1063,617,842,1016,558,654,1961,1977,517,487,1882,1932,997,1061,282,6399,1344,1870,1362,2520,1573,1226,2047,1997,857,1425,1926,1802,984,1102,831,4088,478,1282,675,1745,1402,625,546,822,918,1228,618,714,384,241,687,3385,741,694,985,1134,646,703,497,701,348,499,171,283,201,52,221,2619,387,848,645,892,578,632,405,559,286,314,171,389,235,91,157,608,67,162,82,213,233,161,88,322,201,201,232,201,59,201,201,858,1063,617,791,903,1155,795,645,455,282,6399,1344,1870,2649,2128,2069,1715,1189,702,831,4088,478,1282,1886,1507,1175,1496,977,462,687,3385,741,694,1650,1142,878,601,340,52,221,2619,387,848,1171,948,821,359,429,255,157,608,67,162,224,268,335,201,232,59,201
