ACSSF,2011e1,co,000,0095,0000011,330341,173112,70533,0,70533,385,152,553,724,1321,1179,1453,1933,3016,1590,4200,6497,5970,5440,3717,6280,5541,4635,7180,8767,102579,15681,86898,12701,6365,4760,5961,7266,6561,5051,3887,3831,2646,3516,4853,3168,2100,2958,2806,2173,1438,2086,2771,157229,47458,0,47458,124,201,636,807,2366,1072,1592,1596,2464,2850,4633,6001,4205,4292,1661,3090,3900,1573,2466,1929,109771,21197,88574,9962,8286,9154,10629,9478,6364,4887,4310,4707,2392,3997,3509,2967,1569,1147,1343,753,697,1393,1030,22763,29674,45920,14937,18540,34193,11650
ACSSF,2011e1,co,000,0095,0000012,559411,296541,125170,0,125170,929,152,1552,1537,1856,1755,2309,3651,5782,2359,9317,9996,10410,10128,7836,11925,10125,7710,10525,15316,171371,26904,144467,23081,9283,7947,10336,11905,9564,7439,6256,6027,4418,8680,7451,5238,4467,4454,3511,4135,2380,3603,4292,262870,82872,0,82872,341,293,1372,1419,3636,1429,3877,2847,4634,4273,7979,9584,6901,6561,3548,5086,6850,3466,5170,3606,179998,36405,143593,16951,13393,14941,16773,14660,8865,7678,7656,6884,4475,6292,6059,4807,2837,1726,2216,2212,1284,2095,1789,23956,29468,45445,15039,19310,34804,11661
ACSSF,2011e1,co,000,0095,0000013,341634,170790,84607,0,84607,88,461,440,674,1099,1125,1937,2265,3347,2345,4533,7223,5344,8298,4129,9783,8122,7137,8120,8137,86183,16630,69553,8261,3566,4339,5795,6608,4258,3758,3635,4434,2856,4795,4454,2845,1296,1996,1985,1145,1345,1462,720,170844,59509,0,59509,0,231,448,240,1582,1108,1304,1567,2338,2327,4905,8368,6290,5440,4599,4368,4852,2727,4472,2343,111335,31750,79585,9983,4466,8102,9722,9094,5414,4331,2444,5157,4708,5518,4678,812,1011,974,488,1194,240,299,950,27216,32049,48676,16297,23216,38947,12067
ACSSF,2011e1,co,000,0095,0000014,461786,223850,115850,0,115850,0,426,686,608,1453,1092,1801,1203,3624,2752,7387,10814,6994,7175,6413,8640,8961,8601,13402,23818,108000,20425,87575,10451,6182,6129,5308,7428,3792,5774,3595,3976,3592,4893,4640,4426,3112,2608,1144,2878,1448,2600,3599,237936,89345,0,89345,147,42,726,820,1691,894,2378,3009,4738,4271,6249,7909,5747,7436,7806,6754,7541,6320,7916,6951,148591,36471,112120,9957,7680,11547,11056,9210,8814,6902,4938,5311,4182,7662,4246,4241,3456,2659,2296,2712,1514,1653,2084,31184,36225,52172,16947,25761,43117,14375
ACSSF,2011e1,co,000,0095,0000015,247863,123833,58978,0,58978,126,0,499,25,1309,700,1007,484,2094,1924,2475,2169,2526,3208,2362,3359,4522,3871,7912,18406,64855,10150,54705,6651,4330,5599,3457,4394,1809,2656,2307,2262,2591,2231,2124,2369,1681,1023,862,1986,1739,1873,2761,124030,39087,0,39087,127,372,21,151,794,794,936,833,1830,1122,3567,2137,2528,1945,2487,1986,3700,2590,5302,5865,84943,14968,69975,8722,6639,5978,5513,6585,3084,4189,2827,3547,2277,3813,2660,2122,2096,1580,1566,1444,858,1425,3050,29367,38372,66466,16047,23669,49691,13757
ACSSF,2011e1,co,000,0095,0000016,503224,251215,119671,0,119671,293,196,1045,743,1530,1947,2621,1952,3587,4349,7675,10841,6223,7772,8022,7692,11594,7754,13097,20738,131544,20584,110960,9886,7135,8568,11736,10770,5930,6980,5560,5412,3275,6596,6052,3028,3026,1982,2071,2968,3178,2396,4411,252009,97869,0,97869,73,135,463,1039,1735,1481,3964,2627,3503,2337,8335,8318,8074,9149,7196,7140,8687,5532,9241,8840,154140,34220,119920,9926,9178,11888,15478,13579,7473,6316,6383,6114,3892,5819,4688,3990,2603,1820,1830,2517,2108,2022,2296,28954,31661,50499,15521,25455,42449,12484
ACSSF,2011e1,co,000,0095,0000017,219389,107107,65630,0,65630,0,282,123,135,140,313,60,517,1253,1333,1647,3131,2947,2520,1285,3044,5373,6101,12116,23310,41477,8347,33130,2793,2086,1708,2639,1433,492,1441,1778,1500,834,1429,1768,1242,2077,873,1527,1754,561,2287,2908,112282,44803,0,44803,0,268,64,57,921,252,376,1133,1121,2025,2753,2976,2586,2430,2667,1516,5738,4725,5943,7252,67479,15736,51743,5683,3789,4706,4110,6193,3362,2139,2121,1926,1378,2665,2409,771,1415,1274,1518,1212,1560,1188,2324,45322,61855,77406,24583,30877,56547,13534
ACSSF,2011e1,co,000,0095,0000018,500582,248646,129303,0,129303,242,291,983,150,5687,1608,2043,2591,4240,3830,8175,10122,8769,8381,7394,6990,10356,7779,16945,22727,119343,22629,96714,9429,8797,5795,7354,5827,4920,6474,3367,4548,2808,4705,4270,4112,3999,2421,2467,4810,2204,4569,3838,251936,84894,0,84894,53,27,1231,143,4214,1634,2302,2816,6915,3381,6273,9234,7149,6938,5319,4970,6269,4804,5973,5249,167042,44703,122339,15388,10367,11395,11353,13599,8490,6437,8450,6175,3419,5488,5539,3763,2519,1513,2311,2240,1335,1259,1299,28458,36556,50077,17408,21092,37023,12329
ACSSF,2011e1,co,000,0095,0000019,443210,218572,117109,0,117109,445,110,429,626,1289,704,1792,1821,4205,2969,4703,6798,7685,7316,5970,8767,10514,9593,16283,25090,101463,17906,83557,9537,5343,4562,4800,6155,4062,4351,4228,4038,2385,5487,3850,3082,3141,2676,3391,3742,2442,3121,3164,224638,84319,0,84319,110,312,414,906,1270,1290,1995,1572,2799,2647,6171,5851,7810,9286,4930,5544,8841,6651,8596,7324,140319,27332,112987,11783,7571,10576,10300,10397,7867,7143,5703,5122,4085,7073,5048,3931,3395,1561,2160,3307,2458,1999,1508,33761,41802,57738,19255,26603,44794,14364
ACSSF,2011e1,co,000,0095,0000020,252851,124459,57446,0,57446,444,46,297,45,1030,415,1555,1001,3381,1045,2909,2724,3004,3690,4066,4194,6174,3931,7875,9620,67013,8700,58313,6491,5844,5147,3571,4332,2409,2295,2031,2519,1830,3325,3238,2649,2263,1762,1358,1634,1422,1693,2500,128392,38534,0,38534,0,68,317,172,713,970,2117,980,2076,1170,2693,3080,3220,3593,3324,3477,3194,1637,3690,2043,89858,17248,72610,9374,6563,8502,5538,8075,5564,3719,2588,3319,1941,4072,2406,1905,1649,1630,1267,1569,884,1123,922,26306,34952,52969,16484,20145,41610,11959
ACSSF,2011e1,co,000,0095,0000021,118626,58464,26560,0,26560,0,0,118,389,773,68,494,263,639,1207,1648,2316,2274,1855,1711,2032,2598,2293,3156,2726,31904,4192,27712,2027,1891,2115,1635,2295,999,1876,1103,1007,833,2166,1809,998,1304,909,1242,1280,381,915,927,60162,19038,0,19038,52,0,555,32,266,835,1234,554,1089,1506,1463,2323,1914,1053,1299,1056,1562,900,648,697,41124,8069,33055,4505,2451,3263,3415,3963,2317,1701,2470,1859,1423,1024,1173,899,674,535,593,242,255,140,153,24980,34241,48830,19807,18705,34014,11825
ACSSF,2011e1,co,000,0095,0000022,128838,62723,25244,0,25244,0,74,121,327,671,205,644,887,1228,339,1706,2977,2016,1714,1430,2042,2231,1455,2867,2310,37479,5849,31630,3023,2194,2132,3582,2420,1938,2135,1389,1403,1537,2932,927,945,1011,828,569,866,542,647,610,66115,20688,0,20688,141,68,0,95,965,821,614,943,1407,1436,2587,2975,1115,2059,1297,1396,614,605,999,551,45427,8296,37131,4559,2301,4410,5070,4097,3254,1858,2106,2627,1477,1268,1579,500,407,411,320,163,409,200,115,21614,26919,44086,15616,18038,31418,11358
ACSSF,2011e1,co,000,0095,0000023,198962,99068,47406,0,47406,603,0,113,641,984,157,483,573,1339,1712,3724,4332,2997,3355,2834,3438,3731,3721,6650,6019,51662,10397,41265,5222,3955,2683,2575,2785,1852,2605,2077,2345,1663,1518,2400,2975,700,1171,1375,1031,862,407,1064,99894,36939,0,36939,0,94,429,288,343,537,1840,1240,2348,1469,4040,4069,3934,2955,1756,2419,3138,1510,2791,1739,62955,17231,45724,5403,4786,5622,5423,4357,2304,3395,1704,1700,1867,2354,1815,593,716,701,824,747,910,433,70,26889,33049,49717,16498,22203,36437,10934
ACSSF,2011e1,co,000,0095,0000024,86388,41438,21855,0,21855,0,0,105,343,231,137,538,287,793,678,1265,1194,1020,1971,680,1792,1763,2027,2623,4408,19583,2672,16911,1961,1086,1022,912,1149,777,565,1364,1001,540,913,735,598,523,561,925,660,556,469,594,44950,17161,0,17161,69,159,67,49,253,26,317,599,386,914,1127,1208,1627,2116,884,1160,1494,1198,1750,1758,27789,5079,22710,1699,1942,1669,3020,2362,1589,1637,1689,608,536,1289,770,504,665,265,576,678,727,229,256,31708,40210,54576,19303,25655,44232,13543
ACSSF,2011e1,co,000,0095,0000025,255122,123867,57411,0,57411,88,381,579,402,1506,635,967,1057,1977,2643,5341,5981,4682,4106,3252,4059,4975,3949,4747,6084,66456,12374,54082,6706,4051,4023,3316,5893,3111,4159,1781,2725,2554,2917,2529,1969,2118,1658,451,1511,626,1265,719,131255,48860,0,48860,39,32,183,593,900,283,1650,2713,3292,3235,4085,5183,3450,4684,3955,4120,3712,2604,2300,1847,82395,22223,60172,6372,4792,5795,6416,5954,4661,3298,2612,2934,2646,4231,2295,2467,1572,747,1052,741,572,287,728,25861,29176,42120,14953,23349,38111,12906
ACSSF,2011e1,co,000,0095,0000026,88016,43482,16031,0,16031,0,0,0,25,659,241,605,69,519,586,450,717,372,747,756,496,1000,755,1949,6085,27451,3774,23677,3536,2464,3391,2423,1853,732,860,697,970,543,490,765,750,657,659,321,544,501,489,1032,44534,12346,0,12346,39,0,0,118,0,662,493,133,698,234,1070,942,667,389,430,504,1733,471,1596,2167,32188,4866,27322,3984,3688,2481,1269,2831,1139,1948,963,602,495,1429,740,1001,503,438,665,560,502,745,1339,22138,24294,75180,10033,20165,52680,11977
ACSSF,2011e1,co,000,0095,0000027,83534,40182,22803,0,22803,0,45,0,69,118,144,174,129,414,325,1137,2238,767,1661,688,1907,1421,1773,3432,6361,17379,4310,13069,1708,812,711,1055,575,420,508,750,330,358,662,443,898,659,608,232,397,657,526,760,43352,16839,0,16839,108,0,127,76,172,0,475,234,453,489,1194,1438,1077,927,1315,802,1387,1798,2545,2222,26513,6472,20041,1373,1056,2198,1580,1809,1506,1134,1242,1199,349,1358,1075,638,370,608,360,740,624,425,397,38764,48184,65894,19985,30495,51267,16099
ACSSF,2011e1,co,000,0095,0000028,335810,166056,84522,0,84522,242,63,752,100,1432,1339,1499,1590,3199,2391,5759,7389,6111,5415,5011,4598,7705,4892,10458,14577,81534,14316,67218,6853,6197,4108,5779,4291,4141,4770,1854,2616,1598,3274,2587,2883,2819,1813,1279,3017,1506,3457,2376,169754,54308,0,54308,42,15,567,143,2051,1276,1560,2044,4793,2291,3658,5824,4929,4404,2913,3646,4337,3812,2360,3643,115446,28232,87214,10964,7014,7903,7909,9293,6218,4822,6341,4545,1893,4117,4305,3165,1624,1044,1542,1615,1059,1085,756,27667,36006,49972,16174,20696,37075,12711
ACSSF,2011e1,co,000,0095,0000029,503224,251215,119671,0,119671,293,196,1045,743,1530,1947,2621,1952,3587,4349,7675,10841,6223,7772,8022,7692,11594,7754,13097,20738,131544,20584,110960,9886,7135,8568,11736,10770,5930,6980,5560,5412,3275,6596,6052,3028,3026,1982,2071,2968,3178,2396,4411,252009,97869,0,97869,73,135,463,1039,1735,1481,3964,2627,3503,2337,8335,8318,8074,9149,7196,7140,8687,5532,9241,8840,154140,34220,119920,9926,9178,11888,15478,13579,7473,6316,6383,6114,3892,5819,4688,3990,2603,1820,1830,2517,2108,2022,2296,28954,31661,50499,15521,25455,42449,12484
ACSSF,2011e1,co,000,0095,0000030,122958,59907,28101,0,28101,353,46,257,0,684,262,745,255,1948,333,1235,1009,1863,2141,2341,1896,2768,1839,3491,4635,31806,4444,27362,4205,3742,3649,1528,1957,1266,1091,1105,1039,992,682,584,1190,887,598,707,452,165,407,1116,63051,19614,0,19614,0,67,108,172,591,329,1283,710,1070,828,1087,1311,1700,2026,1761,2032,1562,690,1585,702,43437,7533,35904,5947,4525,4305,2413,3515,2539,2259,1350,999,840,1355,1160,1106,541,1017,476,722,70,475,290,22093,30791,51211,10712,17292,40861,10542
ACSSF,2011e1,co,000,0095,0000031,75598,37179,15583,0,15583,43,0,0,641,595,45,288,254,521,1050,1141,1673,1593,996,698,961,953,1189,1858,1084,21596,3071,18525,1789,2136,1662,2083,1393,891,933,995,981,555,440,484,1429,292,486,944,239,157,220,416,38419,12061,0,12061,0,54,162,235,60,30,549,893,477,682,1253,1352,1285,951,855,739,893,343,536,712,26358,6984,19374,2212,2250,3115,2286,1438,1091,887,697,971,595,624,447,332,290,371,686,550,314,218,0,22599,25609,39708,13060,19620,35637,9808
ACSSF,2011e1,co,000,0095,0000032,77498,36981,23687,0,23687,0,282,48,0,81,88,0,0,761,251,236,919,1033,431,429,946,2122,2728,4597,8735,13294,3319,9975,762,406,485,370,426,176,343,789,632,25,355,644,294,958,130,657,762,154,620,987,40517,17011,0,17011,0,139,64,0,460,34,0,536,654,417,1035,550,974,790,917,459,2416,1157,2241,4168,23506,6719,16787,1389,1725,1110,1425,1969,708,550,787,794,426,1359,1072,333,329,338,501,473,392,569,538,51698,69462,82429,31097,33864,60908,15307
ACSSF,2011e1,co,000,0095,0000033,121165,60572,29977,0,29977,355,46,88,171,425,145,541,658,1509,606,1146,1674,2962,2244,1806,2412,2852,2305,3367,4665,30595,4793,25802,2176,1828,1572,2020,2229,1137,1702,1110,860,567,2015,1026,855,1121,777,1311,1107,597,1146,646,60593,20989,0,20989,0,0,0,412,99,240,892,320,695,619,2322,1150,2182,3020,1568,1202,1994,1820,1630,824,39604,6462,33142,2430,1732,3437,3432,2805,1919,2851,1700,1608,1487,2222,1676,1600,960,546,442,967,375,679,274,30543,37504,50732,18034,25377,41695,15716
ACSSF,2011e1,co,000,0095,0000034,69668,34428,17418,0,17418,37,0,204,0,117,319,181,75,574,949,1135,1043,808,1217,905,1108,1609,1544,2571,3022,17010,3204,13806,1202,505,1039,450,1585,467,723,904,763,751,1062,620,762,455,143,154,588,409,656,568,35240,9552,0,9552,88,218,21,0,104,132,244,537,599,291,1141,570,768,300,1163,667,642,514,722,831,25688,5070,20618,2229,1138,1931,2392,1960,1020,1171,1070,1292,1007,1142,659,640,760,248,242,35,183,331,1168,27301,37470,55143,20092,21097,40997,14115
ACSSF,2011e1,co,000,0095,0000035,54513,26227,12509,0,12509,0,0,40,0,240,42,522,196,823,190,1171,1089,608,723,842,701,973,1302,1780,1267,13718,2191,11527,679,811,792,1067,843,675,561,590,452,280,630,704,603,808,506,200,167,207,376,576,28286,7933,0,7933,0,0,61,0,39,529,474,0,709,147,1053,1139,412,501,769,466,677,503,244,210,20353,4430,15923,1761,422,1539,1661,2252,1171,950,691,1203,875,1106,586,220,565,282,107,258,167,62,45,25786,33773,47295,18922,20494,34245,13197
ACSSF,2011e1,co,000,0095,0000036,87042,42292,15263,0,15263,0,43,121,102,629,205,636,842,762,182,1206,2025,1506,764,809,1023,628,548,1562,1670,27029,4345,22684,2477,1702,1726,2341,1892,1627,1517,1087,1239,1194,1695,677,533,791,245,412,571,311,400,247,44750,13812,0,13812,100,68,0,36,781,617,470,851,1017,805,1721,1776,898,1034,800,915,466,466,592,399,30938,5484,25454,3770,1472,3072,3914,2621,1784,1137,1384,1878,987,903,916,358,298,373,168,118,181,91,29,19749,22546,36980,14350,17175,30808,10476
ACSSF,2011e1,co,000,0095,0000037,88609,44126,24812,0,24812,0,0,57,205,131,152,238,598,600,705,1044,2002,1430,3055,845,3081,3174,2314,2463,2718,19314,4796,14518,1553,761,896,1209,1311,867,743,1228,530,748,431,1015,799,430,545,711,160,129,187,265,44483,17203,0,17203,0,0,45,0,517,82,428,401,394,417,861,1432,2086,1664,1813,1227,2130,1629,1117,960,27280,7183,20097,2278,673,2314,2119,2314,1094,1088,669,1757,1269,1835,1184,121,171,303,222,362,0,50,274,32401,40437,51329,17227,25849,45513,13301
ACSSF,2011e1,co,000,0095,0000038,87864,43216,23472,0,23472,0,0,0,169,330,609,575,498,1234,661,1167,1248,853,1658,1174,2186,1733,2156,3420,3801,19744,2974,16770,2088,850,945,859,989,902,1471,719,1871,899,705,505,585,273,526,441,579,439,719,405,44648,18269,0,18269,0,74,58,0,391,220,291,400,661,687,2242,2182,1934,1678,1013,1518,1487,843,1398,1192,26379,5687,20692,3169,1169,1457,1543,2503,1857,1247,960,822,1111,1430,950,392,309,282,193,459,300,238,301,29769,37635,52190,18477,26173,39983,13180
ACSSF,2011e1,co,000,0095,0000039,88016,43482,16031,0,16031,0,0,0,25,659,241,605,69,519,586,450,717,372,747,756,496,1000,755,1949,6085,27451,3774,23677,3536,2464,3391,2423,1853,732,860,697,970,543,490,765,750,657,659,321,544,501,489,1032,44534,12346,0,12346,39,0,0,118,0,662,493,133,698,234,1070,942,667,389,430,504,1733,471,1596,2167,32188,4866,27322,3984,3688,2481,1269,2831,1139,1948,963,602,495,1429,740,1001,503,438,665,560,502,745,1339,22138,24294,75180,10033,20165,52680,11977
