ACSSF,2011m1,co,000,0170,0000011,3799,4123,3152,3031,755,3098,744,693,229,2429,2388,561,2360,543,500,234,4670,3074,2968,1165,2905,862,841,92,2898,2879,1246,2742,747,713,103,3790,2264,2082,1256,1649,1173,1180,85,2568,2357,1254,1977,1125,1262,678,5393,6790,5283,2926,3791,2815,6672,6039,4989,2999,3813,6272,5474,5017,2460,2374,5189,4809,4767,1445,1410,6057,5342,5218,1806,1705,3799,4123,4052,1007,4225,915,854,308,4670,4696,1878,4439,1255,1214,142,3790,3395,1786,2583,1589,1745,687
ACSSF,2011m1,co,000,0170,0000012,4003,5335,3842,3803,890,4051,947,918,256,3711,3781,802,3532,716,690,254,5747,4412,4239,1393,4110,1250,1239,145,3577,3506,1500,3501,1017,986,140,5014,3277,2694,1435,2526,1461,1455,118,3437,3248,1338,2762,1381,1431,724,5248,8503,6379,3969,4846,4658,10107,7871,7131,3806,5683,8421,7640,7139,3120,3643,6196,5879,5796,2076,1789,10893,10207,9685,3045,1958,4003,5335,5494,1335,5537,1208,1163,354,5747,5784,2148,5730,1684,1638,200,5014,4505,1834,3797,1972,2078,733
ACSSF,2011m1,co,000,0170,0000013,1541,4605,3105,3145,1099,3094,558,531,127,3056,3039,941,2955,644,451,397,4445,3022,2896,1486,2494,511,520,86,2764,2712,1559,2392,528,518,84,3747,2556,2452,1854,2108,792,915,449,2931,2933,2295,2534,818,962,540,1555,9399,7578,3318,6431,4752,9977,8038,6041,6424,5318,10572,8730,7772,4239,4673,7182,6272,5929,2291,2523,10711,10010,9512,2431,2384,1541,4605,4712,1301,4736,843,691,399,4445,4281,2216,3904,816,815,121,3747,3611,3304,3003,1294,1410,697
ACSSF,2011m1,co,000,0170,0000014,1472,6202,3947,3718,1070,3857,883,814,384,4567,4387,943,4492,573,548,196,5587,3508,3374,1148,3246,793,770,271,4127,3853,1512,3551,1062,1083,404,4232,2495,2041,1284,1898,1222,1210,402,3252,3184,1682,2892,1188,1227,407,1464,7722,5711,4284,4967,3687,10242,7910,6533,5021,5466,8936,7828,7356,3820,4510,8701,7483,6654,2793,3168,10256,10093,9867,3616,2152,1472,6202,5776,1387,6003,1139,1056,438,5587,5119,2024,4684,1372,1348,576,4232,3699,2194,3522,1773,1790,619
ACSSF,2011m1,co,000,0170,0000015,1040,3565,2609,2449,534,2407,645,532,346,2360,2339,570,2315,457,454,138,3534,2324,2308,755,2361,466,465,42,2720,2646,345,2659,652,629,150,3355,1987,1874,1138,1608,709,678,216,2501,2322,1008,2080,851,877,168,1388,4790,3982,2992,3154,2549,6219,4814,4254,2134,3047,4649,4158,4295,1472,1842,5251,4844,4734,1054,1199,7231,6953,6842,1861,1410,1040,3565,3426,774,3361,767,672,361,3534,3392,873,3492,799,765,158,3355,3253,1584,2927,1114,1149,268
ACSSF,2011m1,co,000,0170,0000016,1216,5997,4036,3969,1535,3687,1055,908,472,4385,4374,1554,4120,942,905,193,5645,3936,3762,1631,4116,1086,1029,450,4053,3999,2159,3692,722,710,190,4828,2848,2511,2511,1872,1512,1510,56,3290,3097,2051,2749,1133,1251,564,2020,8266,6891,3343,6230,4507,11353,8553,7413,7432,5868,8535,7463,6510,3424,2486,10198,9451,7564,4710,2419,9139,8438,8263,2305,2247,1216,5997,5830,2436,5337,1647,1531,537,5645,5483,2726,5315,1187,1209,486,4828,4480,3511,3685,2165,2256,567
ACSSF,2011m1,co,000,0170,0000017,760,3564,2503,2471,535,2444,548,486,274,2873,2884,230,2870,242,220,100,3634,2563,2431,499,2484,673,668,136,2745,2619,713,2680,779,781,65,2951,1531,1137,359,1065,872,866,143,2277,2031,610,1964,801,799,99,768,3663,3554,2996,1520,1388,5797,4662,4148,1649,2726,6539,5787,5894,1741,2337,6616,6544,6439,1152,668,8051,7599,7389,2474,2030,760,3564,3497,611,3499,594,521,284,3634,3373,952,3578,1174,1173,154,2951,2328,681,2274,1375,1371,207
ACSSF,2011m1,co,000,0170,0000018,2238,5265,3605,3319,1500,3517,885,694,569,4136,4062,864,3931,647,644,137,5008,3208,3247,1327,3171,875,745,524,3775,3600,1439,3738,889,893,116,4289,2680,2608,1913,1983,1135,1130,300,3374,3214,1922,3035,1060,1031,234,2578,8981,7757,5185,6089,4237,9829,7631,6011,4859,4649,10478,8483,8408,3745,4744,8751,8510,8656,1953,2182,10218,9736,9777,3309,1857,2238,5265,5065,1754,5099,1156,1054,592,5008,4728,2129,4690,1345,1310,537,4289,4238,2833,3575,1643,1609,411
ACSSF,2011m1,co,000,0170,0000019,1649,4426,3225,3119,850,3179,727,681,374,3319,3248,757,3136,565,539,232,3793,2834,2651,944,2434,788,792,59,2858,2630,1156,2682,726,722,299,3676,2149,2097,1171,1891,967,985,196,2899,2663,1380,2350,989,1045,285,1690,6739,5353,2924,4736,2904,6778,5539,4621,3598,3631,8596,7578,7030,3261,3016,7018,6995,6640,1841,2199,8150,8087,8059,1578,1973,1649,4426,4270,1166,4359,965,865,427,3793,3558,1641,3515,1072,1077,308,3676,3510,1942,2908,1402,1474,374
ACSSF,2011m1,co,000,0170,0000020,1302,3632,2514,2409,711,2470,687,662,329,2726,2762,598,2726,585,447,436,3902,2630,2476,1003,2565,627,627,201,3114,3079,1187,3028,788,754,131,3489,2137,1931,976,1819,917,929,60,2671,2431,1414,2099,923,921,338,1808,6701,6167,3657,4533,2201,6292,5981,5432,3240,2078,7922,7275,6954,2215,2893,6141,5835,5653,1651,1162,6697,6682,6904,1474,1572,1302,3632,3685,1041,3641,971,720,522,3902,3661,1740,3783,1057,1034,131,3489,3115,1627,2756,1332,1415,361
