ACSSF,2010e1,co,000,0043,0000017,131567,2831,3063,5869,12939,15706,26209,18109,16149,7147,8143,2792,1548,6228,4834,131567,2328,10772,14770,18316,20273,9346,20894,5646,6171,14049,6697,2305,131567,2831,3063,5869,12939,15706,26209,18109,16149,7147,23545,131567,13100,14770,18316,20273,9346,20894,11817,14049,9002
ACSSF,2010e1,co,000,0043,0000018,277877,11925,11148,17371,22590,31090,46814,37073,25537,14954,16332,8363,2921,15181,16578,277877,11615,31075,45587,52265,51396,17848,35284,5074,5525,11258,6536,4414,277877,11925,11148,17371,22590,31090,46814,37073,25537,14954,59375,277877,42690,45587,52265,51396,17848,35284,10599,11258,10950
ACSSF,2010e1,co,000,0043,0000019,248587,7748,6660,11785,25872,31128,40004,28290,29583,14557,15017,6569,3727,13276,14371,248587,5411,19456,29248,36552,39365,18542,44257,10928,11148,19364,9298,5018,248587,7748,6660,11785,25872,31128,40004,28290,29583,14557,52960,248587,24867,29248,36552,39365,18542,44257,22076,19364,14316
ACSSF,2010e1,co,000,0043,0000020,140540,4746,3646,5590,9317,11779,20346,22169,15923,11098,11172,3449,1682,11089,8534,140540,4457,17558,27670,29569,19472,8116,11675,3295,4272,6372,5640,2444,140540,4746,3646,5590,9317,11779,20346,22169,15923,11098,35926,140540,22015,27670,29569,19472,8116,11675,7567,6372,8084
ACSSF,2010e1,co,000,0043,0000021,59875,3718,1279,2678,3875,9161,7689,11170,5257,2317,3772,1489,712,4075,2683,59875,3249,8633,11634,15428,8488,2976,3120,1141,755,1570,1560,1321,59875,3718,1279,2678,3875,9161,7689,11170,5257,2317,12731,59875,11882,11634,15428,8488,2976,3120,1896,1570,2881
ACSSF,2010e1,co,000,0043,0000022,61701,1890,2579,3728,5825,6297,7671,9832,4793,2699,3014,2195,960,5525,4693,61701,2642,9683,12466,14613,9408,2248,3218,739,903,2993,1436,1352,61701,1890,2579,3728,5825,6297,7671,9832,4793,2699,16387,61701,12325,12466,14613,9408,2248,3218,1642,2993,2788
ACSSF,2010e1,co,000,0043,0000023,110839,5952,5327,8226,12740,11819,14355,11762,10241,4032,5942,2376,1121,8322,8624,110839,3097,11425,15664,19088,14504,5313,14617,2916,4727,9404,7849,2235,110839,5952,5327,8226,12740,11819,14355,11762,10241,4032,26385,110839,14522,15664,19088,14504,5313,14617,7643,9404,10084
ACSSF,2010e1,co,000,0043,0000024,50469,1665,1914,2613,4429,5402,7120,4615,6692,3633,2983,1570,940,2986,3907,50469,1462,4818,4727,9547,7350,3647,10146,2027,1115,3341,1460,829,50469,1665,1914,2613,4429,5402,7120,4615,6692,3633,12386,50469,6280,4727,9547,7350,3647,10146,3142,3341,2289
ACSSF,2010e1,co,000,0043,0000025,149371,6446,7663,9885,16152,13721,22682,13687,11582,7888,13486,4789,1899,10823,8668,149371,1937,7785,17349,18972,22432,13747,30170,4230,8455,14850,6389,3055,149371,6446,7663,9885,16152,13721,22682,13687,11582,7888,39665,149371,9722,17349,18972,22432,13747,30170,12685,14850,9444
ACSSF,2010e1,co,000,0043,0000026,43663,173,542,639,1482,2220,4742,5214,7602,5284,5092,2239,841,4110,3483,43663,1198,6089,13002,7371,5898,2045,2317,462,1337,2652,964,328,43663,173,542,639,1482,2220,4742,5214,7602,5284,15765,43663,7287,13002,7371,5898,2045,2317,1799,2652,1292
ACSSF,2010e1,co,000,0043,0000027,47197,1491,1249,2069,3463,5596,6751,8631,6603,2342,3772,869,162,2321,1878,47197,874,3301,7613,6946,7069,3287,8366,1547,1815,4585,1226,568,47197,1491,1249,2069,3463,5596,6751,8631,6603,2342,9002,47197,4175,7613,6946,7069,3287,8366,3362,4585,1794
ACSSF,2010e1,co,000,0043,0000028,191006,7686,6847,9626,13797,21170,28056,27271,19197,11494,12655,6304,2326,12095,12482,191006,7171,19798,35234,41334,36650,11733,20584,3129,3296,6050,3206,2821,191006,7686,6847,9626,13797,21170,28056,27271,19197,11494,45862,191006,26969,35234,41334,36650,11733,20584,6425,6050,6027
ACSSF,2010e1,co,000,0043,0000029,277824,8106,7352,12118,20557,26818,39109,38359,32733,20077,25828,8763,3900,15909,18195,277824,4731,20425,36317,54075,50452,19831,43964,7349,8457,18289,9592,4342,277824,8106,7352,12118,20557,26818,39109,38359,32733,20077,72595,277824,25156,36317,54075,50452,19831,43964,15806,18289,13934
ACSSF,2010e1,co,000,0043,0000030,69744,1860,1549,2787,3617,5248,9069,10545,7863,6181,6788,1618,878,6085,5656,69744,1663,10739,18152,16689,9061,2522,3465,693,1286,1974,2385,1115,69744,1860,1549,2787,3617,5248,9069,10545,7863,6181,21025,69744,12402,18152,16689,9061,2522,3465,1979,1974,3500
ACSSF,2010e1,co,000,0043,0000031,40401,2599,1347,3653,4218,3886,4599,4429,2672,1537,2510,1137,643,4061,3110,40401,1280,6120,8968,9861,4159,1884,2914,246,415,1848,2180,526,40401,2599,1347,3653,4218,3886,4599,4429,2672,1537,11461,40401,7400,8968,9861,4159,1884,2914,661,1848,2706
ACSSF,2010e1,co,000,0043,0000032,44928,800,931,1460,3893,5470,9494,6767,6250,2600,3619,547,418,1200,1479,44928,633,3141,5551,6948,7420,2774,7842,1737,1492,4703,1936,751,44928,800,931,1460,3893,5470,9494,6767,6250,2600,7263,44928,3774,5551,6948,7420,2774,7842,3229,4703,2687
ACSSF,2010e1,co,000,0043,0000033,64327,2430,1348,3080,7147,8444,9077,7444,7649,4125,3220,1913,835,3633,3982,64327,1566,4367,9752,8612,10250,5469,10696,2198,3055,3833,3591,938,64327,2430,1348,3080,7147,8444,9077,7444,7649,4125,13583,64327,5933,9752,8612,10250,5469,10696,5253,3833,4529
ACSSF,2010e1,co,000,0043,0000034,39224,1099,1468,2556,2745,3635,4189,6228,4404,2407,3351,1427,157,2407,3151,39224,1281,5451,7676,4776,4639,3672,4896,748,1653,2082,1572,778,39224,1099,1468,2556,2745,3635,4189,6228,4404,2407,10493,39224,6732,7676,4776,4639,3672,4896,2401,2082,2350
ACSSF,2010e1,co,000,0043,0000035,30971,1423,425,1258,1862,3576,3859,4354,3779,2862,2123,449,652,3080,1269,30971,1108,2942,4923,6108,4049,2272,3589,756,1478,1592,1779,375,30971,1423,425,1258,1862,3576,3859,4354,3779,2862,7573,30971,4050,4923,6108,4049,2272,3589,2234,1592,2154
ACSSF,2010e1,co,000,0043,0000036,41295,1449,1363,2646,4030,4139,4421,5700,3338,2143,2534,1332,927,4080,3193,41295,1790,8063,9526,10543,4833,801,1410,287,353,1637,1113,939,41295,1449,1363,2646,4030,4139,4421,5700,3338,2143,12066,41295,9853,9526,10543,4833,801,1410,640,1637,2052
ACSSF,2010e1,co,000,0043,0000037,55609,2585,2215,1921,8708,5745,9374,5373,5367,2109,3481,1070,1128,2623,3910,55609,336,3317,5394,6833,8795,5297,11703,1846,3606,5037,2532,913,55609,2585,2215,1921,8708,5745,9374,5373,5367,2109,12212,55609,3653,5394,6833,8795,5297,11703,5452,5037,3445
ACSSF,2010e1,co,000,0043,0000038,50670,2286,1496,2104,4863,5453,9491,5845,5551,1617,2702,1212,711,3062,4277,50670,532,2895,5683,7941,8908,2682,9469,2196,2117,5014,2339,894,50670,2286,1496,2104,4863,5453,9491,5845,5551,1617,11964,50670,3427,5683,7941,8908,2682,9469,4313,5014,3233
ACSSF,2010e1,co,000,0043,0000039,43663,173,542,639,1482,2220,4742,5214,7602,5284,5092,2239,841,4110,3483,43663,1198,6089,13002,7371,5898,2045,2317,462,1337,2652,964,328,43663,173,542,639,1482,2220,4742,5214,7602,5284,15765,43663,7287,13002,7371,5898,2045,2317,1799,2652,1292
ACSSF,2010e1,co,000,0043,0000040,191006,7686,6847,9626,13797,21170,28056,27271,19197,11494,12655,6304,2326,12095,12482,191006,7171,19798,35234,41334,36650,11733,20584,3129,3296,6050,3206,2821,191006,7686,6847,9626,13797,21170,28056,27271,19197,11494,45862,191006,26969,35234,41334,36650,11733,20584,6425,6050,6027
ACSSF,2010e1,co,000,0043,0000041,149371,6446,7663,9885,16152,13721,22682,13687,11582,7888,13486,4789,1899,10823,8668,149371,1937,7785,17349,18972,22432,13747,30170,4230,8455,14850,6389,3055,149371,6446,7663,9885,16152,13721,22682,13687,11582,7888,39665,149371,9722,17349,18972,22432,13747,30170,12685,14850,9444
ACSSF,2010e1,co,000,0043,0000042,277824,8106,7352,12118,20557,26818,39109,38359,32733,20077,25828,8763,3900,15909,18195,277824,4731,20425,36317,54075,50452,19831,43964,7349,8457,18289,9592,4342,277824,8106,7352,12118,20557,26818,39109,38359,32733,20077,72595,277824,25156,36317,54075,50452,19831,43964,15806,18289,13934
ACSSF,2010e1,co,000,0043,0000043,69744,1860,1549,2787,3617,5248,9069,10545,7863,6181,6788,1618,878,6085,5656,69744,1663,10739,18152,16689,9061,2522,3465,693,1286,1974,2385,1115,69744,1860,1549,2787,3617,5248,9069,10545,7863,6181,21025,69744,12402,18152,16689,9061,2522,3465,1979,1974,3500
ACSSF,2010e1,co,000,0043,0000044,30971,1423,425,1258,1862,3576,3859,4354,3779,2862,2123,449,652,3080,1269,30971,1108,2942,4923,6108,4049,2272,3589,756,1478,1592,1779,375,30971,1423,425,1258,1862,3576,3859,4354,3779,2862,7573,30971,4050,4923,6108,4049,2272,3589,2234,1592,2154
ACSSF,2010e1,co,000,0043,0000045,40401,2599,1347,3653,4218,3886,4599,4429,2672,1537,2510,1137,643,4061,3110,40401,1280,6120,8968,9861,4159,1884,2914,246,415,1848,2180,526,40401,2599,1347,3653,4218,3886,4599,4429,2672,1537,11461,40401,7400,8968,9861,4159,1884,2914,661,1848,2706
ACSSF,2010e1,co,000,0043,0000046,41295,1449,1363,2646,4030,4139,4421,5700,3338,2143,2534,1332,927,4080,3193,41295,1790,8063,9526,10543,4833,801,1410,287,353,1637,1113,939,41295,1449,1363,2646,4030,4139,4421,5700,3338,2143,12066,41295,9853,9526,10543,4833,801,1410,640,1637,2052
ACSSF,2010e1,co,000,0043,0000047,308388,9109,8238,13797,23303,29861,42585,41496,36026,22057,30243,9279,4013,18161,20220,308388,5498,22747,39546,57490,56174,23611,48339,7818,9813,21790,10713,4849,308388,9109,8238,13797,23303,29861,42585,41496,36026,22057,81916,308388,28245,39546,57490,56174,23611,48339,17631,21790,15562
ACSSF,2010e1,co,000,0043,0000048,343320,9884,9348,12179,29599,29837,52549,46421,44131,21452,25754,11642,5147,20857,24520,343320,12056,32406,48763,47515,53145,23634,50851,11863,16632,27574,13824,5057,343320,9884,9348,12179,29599,29837,52549,46421,44131,21452,87920,343320,44462,48763,47515,53145,23634,50851,28495,27574,18881
ACSSF,2010e1,co,000,0043,0000049,297190,11487,9090,14971,21115,30621,40824,54241,29120,13629,18690,10227,5065,20233,17877,297190,21783,57454,51886,53531,36698,10424,22214,5225,4828,14133,11130,7884,297190,11487,9090,14971,21115,30621,40824,54241,29120,13629,72092,297190,79237,51886,53531,36698,10424,22214,10053,14133,19014
ACSSF,2010e1,co,000,0043,0000050,325974,13444,11252,18583,27746,30899,44701,45017,33390,18561,21684,8232,3453,25640,23372,325974,17003,46366,59720,57557,39803,17827,31015,6570,9139,18279,16008,6687,325974,13444,11252,18583,27746,30899,44701,45017,33390,18561,82381,325974,63369,59720,57557,39803,17827,31015,15709,18279,22695
ACSSF,2010e1,co,000,0043,0000051,314102,13446,12557,19722,25841,34443,52995,42339,28580,17056,17359,10147,3812,17147,18658,314102,14511,37324,51512,56185,53587,19296,38551,5679,6989,15875,8910,5683,314102,13446,12557,19722,25841,34443,52995,42339,28580,17056,67123,314102,51835,51512,56185,53587,19296,38551,12668,15875,14593
ACSSF,2010e1,co,000,0043,0000052,380959,11402,10041,18228,41216,43475,66764,50563,43722,21267,27190,9031,3783,18655,15622,380959,6860,26900,40657,48920,57184,28918,67609,16195,20314,41918,19123,6361,380959,11402,10041,18228,41216,43475,66764,50563,43722,21267,74281,380959,33760,40657,48920,57184,28918,67609,36509,41918,25484
