ACSSF,2010e1,co,000,0092,0000001,192481,101590,50599,0,50599,0,117,98,286,4373,1374,2920,2938,3091,2921,6082,4289,3919,5539,1666,2997,2604,1571,1767,2047,50991,19014,31977,3664,2626,5152,2935,4020,2009,2111,896,2227,1284,1344,209,1143,532,367,283,434,79,125,537,90891,26732,0,26732,0,0,46,372,2277,1378,2099,1367,2097,649,4382,2263,2921,2364,1215,626,874,669,958,175,64159,35777,28382,4774,3942,3174,3464,4919,1395,1951,807,1142,701,335,948,294,288,0,0,0,84,164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192481,101590,50599,0,50599,501,11605,12094,15413,7172,3814,50991,19014,31977,14377,9036,4855,2251,796,662,90891,26732,0,26732,418,7121,7128,8763,2169,1133,64159,35777,28382,15354,9072,2178,1530,84,164
ACSSF,2010e1,co,000,0092,0000002,173426,91022,44944,0,44944,0,117,98,286,4201,1374,2843,2620,3083,2852,5750,3892,3493,5065,1085,2063,2264,937,1175,1746,46078,16573,29505,3391,2502,4945,2763,3524,1940,1799,852,2095,1254,1231,153,1143,398,338,283,415,0,125,354,82404,23571,0,23571,0,0,46,372,2221,1378,1792,1313,1718,461,4084,2023,2184,2281,1152,454,599,394,938,161,58833,33219,25614,4575,3556,2755,3181,4433,1350,1783,743,846,673,335,710,138,288,0,0,0,84,164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173426,91022,44944,0,44944,501,11038,11685,13535,5264,2921,46078,16573,29505,13601,8115,4580,2032,698,479,82404,23571,0,23571,418,6704,6263,7640,1447,1099,58833,33219,25614,14067,8309,1854,1136,84,164
ACSSF,2010e1,co,000,0092,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19055,10568,5655,0,5655,0,567,409,1878,1908,893,4913,2441,2472,776,921,275,219,98,183,8487,3161,0,3161,0,417,865,1123,722,34,5326,2558,2768,1287,763,324,394,0,0
ACSSF,2010e1,co,000,0092,0000004,183374,96649,48437,0,48437,0,117,98,286,4202,1299,2852,2938,2914,2879,5989,3846,3743,5539,1245,2692,2558,1571,1655,2014,48212,17831,30381,3432,2391,4756,2764,3976,1843,2008,896,2227,1254,1344,209,1143,398,338,227,434,79,125,537,86725,25604,0,25604,0,0,46,372,2221,1198,2095,1367,2020,598,4171,2187,2921,2205,1078,551,790,651,958,175,61121,34253,26868,4625,3755,3056,3156,4643,1341,1742,807,999,701,335,948,224,288,0,0,0,84,164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183374,96649,48437,0,48437,501,11291,11782,14373,6821,3669,48212,17831,30381,13343,8723,4825,2088,740,662,86725,25604,0,25604,418,6881,6789,8391,1992,1133,61121,34253,26868,14592,8533,2035,1460,84,164
ACSSF,2010e1,co,000,0092,0000005,176022,92014,45344,0,45344,0,117,98,286,3852,1299,2794,2815,2317,2879,5641,3624,3423,5019,1185,2632,2374,1571,1457,1961,46670,16882,29788,3373,2391,4655,2619,3950,1843,2008,852,2227,1254,1126,209,1143,398,338,227,434,79,125,537,84008,24913,0,24913,0,0,46,372,2221,1198,2095,1313,1926,598,4145,2187,2616,2205,968,551,708,651,938,175,59095,33265,25830,4625,3755,3024,3075,4342,1153,1672,807,815,701,335,766,224,288,0,0,0,84,164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176022,92014,45344,0,45344,501,10760,10837,13251,6577,3418,46670,16882,29788,13038,8653,4607,2088,740,662,84008,24913,0,24913,418,6827,6669,7976,1910,1113,59095,33265,25830,14479,7974,1851,1278,84,164
ACSSF,2010e1,co,000,0092,0000006,103609,53407,26804,0,26804,0,64,48,286,2593,986,2024,1856,1565,1937,3271,1860,2184,3455,324,844,1287,677,337,1206,26603,8659,17944,1659,1683,2841,1970,2088,1144,1343,466,1662,725,871,104,294,160,209,227,190,0,125,183,50202,14203,0,14203,0,0,0,200,1212,832,1204,1313,1132,316,2382,1053,1289,1614,384,161,350,204,443,114,35999,19316,16683,3589,2322,2132,2103,3293,676,740,273,550,450,173,249,0,85,0,0,0,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103609,53407,26804,0,26804,398,7459,6773,7823,2808,1543,26603,8659,17944,8153,5041,3258,767,417,308,50202,14203,0,14203,200,4561,3830,4340,715,557,35999,19316,16683,10146,4982,1173,334,48,0
ACSSF,2010e1,co,000,0092,0000007,72413,38607,18540,0,18540,0,53,50,0,1259,313,770,959,752,942,2370,1764,1239,1564,861,1788,1087,894,1120,755,20067,8223,11844,1714,708,1814,649,1862,699,665,386,565,529,255,105,849,238,129,0,244,79,0,354,33806,10710,0,10710,0,0,46,172,1009,366,891,0,794,282,1763,1134,1327,591,584,390,358,447,495,61,23096,13949,9147,1036,1433,892,972,1049,477,932,534,265,251,162,517,224,203,0,0,0,36,164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72413,38607,18540,0,18540,103,3301,4064,5428,3769,1875,20067,8223,11844,4885,3612,1349,1321,323,354,33806,10710,0,10710,218,2266,2839,3636,1195,556,23096,13949,9147,4333,2992,678,944,36,164
ACSSF,2010e1,co,000,0092,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,co,000,0092,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,co,000,0092,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,co,000,0092,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,co,000,0092,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16459,9576,5255,0,5255,0,845,1257,2162,595,396,4321,2132,2189,1339,383,248,163,56,0,6883,1819,0,1819,0,294,459,787,259,20,5064,2512,2552,875,1098,327,252,0,0
