ACSSF,2010m1,co,000,0113,0000012,1173,1649,5122,3626,7414,12936,7016,15954,7694,29491,3980,6676,58417,6022,15961,28368,35955,43953,2590,21871,1572,15710,7023,4941,4516,11080,5215,5144,9231,3370,4323,2232,3585,2826,2277,4434,1678,1346,1227,3409,3837,8800,19774,25229,37868,19802,3263,11547,28321,3940,2863,5856,5540,6722,1479,3037,8252,12594,12976,2312,1605,3679,1385,3106,2720,5020,31939,7337,3484,5058,1187,9588,10838
ACSSF,2010m1,co,000,0113,0000013,1430,1811,4494,4697,5134,13689,7958,19722,2671,58795,14097,10551,16000,26270,34699,24372,46985,9536,3591,9094,5086,27148,6936,3324,4210,25685,2674,6969,1642,5068,18422,3675,5699,4361,6536,5846,5784,2008,3052,3204,5598,5500,9668,28628,15812,20595,7015,8665,10646,10774,19696,6082,9868,8765,1793,5320,29371,24075,59562,3701,4088,2685,2499,6362,2195,11612,.,44177,14526,3244,5190,7220,18709
ACSSF,2010m1,co,000,0113,0000014,918,937,5035,4076,7394,6638,6663,14043,8241,33291,6474,21601,25787,9987,18388,18962,32859,12049,1913,18262,13361,23807,15410,3685,2190,8873,4063,5779,4547,2949,6609,4882,4681,1894,5466,10037,8852,776,2479,1440,2104,3641,5421,7597,1084,7074,5541,13511,5265,5102,6924,3817,8055,7754,1480,7343,8530,17798,9269,2663,3484,4384,1541,2995,1492,17724,.,21401,55149,4025,4544,7459,9099
ACSSF,2010m1,co,000,0113,0000015,2092,1681,5042,9814,15664,10875,9342,14166,13488,16459,6894,18053,45961,6155,13939,28082,25379,32408,3127,3744,55974,60581,49336,2898,8403,22686,5787,9794,5617,4443,8442,6744,13839,4925,6706,3129,6144,2261,3351,12002,3072,15976,14761,17026,32602,19784,4535,10496,17552,3693,13208,11290,17250,6855,3931,7890,20523,2862,.,3664,2007,5389,3084,5597,4572,95561,.,.,.,9366,17122,11670,6389
ACSSF,2010m1,co,000,0113,0000016,1808,2136,1293,4722,4854,3227,4352,4459,19512,36297,5701,38104,32814,6507,9541,15204,55762,47027,1647,20961,15736,5061,25372,2031,2008,3814,3841,7532,3598,2579,35716,2900,6752,5196,8232,9780,5909,935,2855,3604,3486,5352,5005,7425,6429,14684,3817,2357,13671,3756,6885,4719,3808,10177,1870,2096,25201,24773,59649,2042,1682,2320,1755,4556,2607,4378,.,7540,33116,2788,3684,7300,12719
ACSSF,2010m1,co,000,0113,0000017,1023,2988,6007,9133,9891,11670,6577,7711,10655,17839,17203,20991,45152,15318,43367,25710,45770,51806,15556,.,15571,44020,17544,3832,22523,23031,8388,10270,5429,6432,2174,7103,12016,23168,25389,16606,17164,2237,3350,4073,8608,7428,15181,22280,19591,17286,6770,15224,3612,7277,11847,8525,11329,13054,5962,14222,62616,76226,55495,2792,5163,4837,3850,4824,6209,41895,.,51393,.,12219,13520,41668,50181
ACSSF,2010m1,co,000,0113,0000018,699,1133,5022,8573,5278,11787,7189,11646,10665,38130,8999,13948,41074,12934,9046,14349,12185,20815,1846,1976,15864,35413,18598,2434,2839,8148,4095,6142,4102,3447,1638,8116,2679,4980,6587,6679,3086,856,3504,5374,9372,4292,6984,12755,38921,9098,4703,4757,18170,7487,9750,5144,5579,7878,2462,2218,32760,15728,60222,1494,7381,2488,1546,3823,1963,17330,23234,14980,17379,4880,6376,10117,1763
ACSSF,2010m1,co,000,0113,0000019,1824,1882,2921,6118,4800,8157,2602,10857,3154,21710,6030,9956,48888,15731,11983,30375,39601,14773,4017,20141,8760,22545,7677,6512,4359,7231,2155,5406,9756,4214,75219,5702,7753,4204,2753,10777,7490,836,2236,6576,5742,11939,10386,16505,12454,12465,4268,8528,12635,6086,11782,6059,6863,11967,2164,3408,14603,18953,17421,1556,6213,1438,2309,3761,2116,23683,.,38276,80592,3092,6777,13381,5809
ACSSF,2010m1,co,000,0113,0000020,789,3899,3812,4391,4540,4009,11482,17636,13862,23491,3985,5093,32879,14079,48308,10624,27526,31982,4604,5661,9054,24642,22935,6235,8583,15503,3693,7400,9169,4234,72295,4300,11442,3478,3758,3790,9165,1392,3142,8110,18396,5126,16867,21374,23567,24636,5605,12157,15051,6514,43849,3578,8683,2277,2589,2514,32986,144244,22471,1835,2566,4404,1673,4573,2880,13368,.,23706,20393,6812,6033,29577,.
ACSSF,2010m1,co,000,0113,0000021,2792,5515,6022,19480,13892,31926,21405,45831,37801,64214,11846,8552,111371,13460,16090,19873,22408,.,6287,.,9521,11686,39226,5799,6693,25075,7652,7621,35840,7379,12160,13371,6491,14984,11912,28266,25375,2696,11156,4732,29548,36192,26147,44531,.,11567,6480,14007,.,21089,25181,11662,9635,34187,2599,12225,.,.,.,5043,7472,4900,2953,5681,3687,56903,.,56903,.,5947,8393,.,4978
