ACSSF,2010e1,co,000,0113,0000012,29714,34734,49697,50600,47510,52424,53696,51548,55983,56150,39936,32296,85378,37409,45193,82385,101380,80043,21127,37844,41323,40315,41747,18909,15455,21350,35787,40398,25234,34980,24769,36216,41167,28726,27973,36676,21556,23199,36280,41611,41593,41653,45085,66796,60177,32247,28467,31786,47054,29319,20735,40647,45828,35000,12927,19227,35650,31015,50015,11608,11100,12594,22285,20493,23607,20484,10988,20883,20923,25112,21510,35618,21974
ACSSF,2010e1,co,000,0113,0000013,32390,37247,62326,60792,60917,60565,76502,72877,78294,51563,50189,32500,66083,65114,37396,53169,73797,42007,24091,34173,47859,17474,50880,16956,24379,25018,32227,34227,31685,33913,11403,28831,42821,35162,35277,42292,21752,28114,42893,47994,51851,42308,51090,62826,49595,50109,31965,32300,45131,32200,27991,46123,52056,31583,15114,21832,13799,9549,53662,12511,12254,15525,30063,21670,31197,31454,.,26218,32039,22112,23264,23193,12320
ACSSF,2010e1,co,000,0113,0000014,35848,41122,67403,71862,75809,60377,69513,72007,67897,67936,55134,40130,124682,54536,36513,70955,77071,31299,21586,27357,45429,17095,57460,18058,21408,22193,37422,42359,29406,31935,18960,28870,41696,31425,33653,34982,17264,31152,47333,51343,51602,50736,56263,56681,61440,33010,35575,40117,65005,31152,30901,49655,55351,39234,15482,20545,41845,37009,50441,15132,13417,11767,30119,25631,31481,30681,.,18419,69266,25525,26302,22979,23884
ACSSF,2010e1,co,000,0113,0000015,35104,41228,64689,70990,76058,62047,80819,82235,86494,67179,31994,33638,121188,30594,24342,90531,100006,37557,18130,33787,34283,29852,51607,12879,19656,20940,30454,34961,23363,31176,7250,31975,27539,27035,26490,30521,24099,27422,41461,55039,66472,42444,60096,64613,57091,36454,23647,23287,65498,21020,21144,50701,61803,31267,13848,23834,6085,5714,.,8557,16282,15785,25132,18163,27391,52426,.,.,.,18116,15472,25060,6077
ACSSF,2010e1,co,000,0113,0000016,34194,37301,61804,65237,68575,60713,66719,66543,66495,67933,46593,37820,98478,37711,43278,70246,100318,37643,18203,27091,27018,21343,72162,16129,17131,20640,33602,36504,31500,30694,17345,29043,37157,27151,34346,30422,22803,31388,49261,55744,61316,50715,58062,75451,55507,40159,35763,28066,51378,36443,35328,57190,60362,44470,13006,21572,20521,17277,38917,12575,11127,13509,26799,24140,27702,30695,.,24762,42401,21101,20639,27293,8516
ACSSF,2010e1,co,000,0113,0000017,51099,66054,86385,90004,92129,70697,95476,92286,100877,90044,52016,67702,102170,40466,42195,94958,111558,60551,41169,.,70573,62819,72272,9288,46213,38564,49328,62214,33938,45792,4909,45254,50200,41132,50412,51423,10124,37243,51668,61847,68554,60344,64569,58109,86758,46807,25691,26579,48671,17270,30995,57355,61480,42093,12454,29330,50473,19940,68781,10685,4641,12380,26487,22119,29797,32365,.,31385,.,31541,30270,46366,43041
ACSSF,2010e1,co,000,0113,0000018,30717,36727,62384,66544,71066,54519,77434,78851,77328,70022,48562,42243,83977,50955,34319,61648,85798,26556,19415,19346,60277,57044,60819,15273,19738,13782,29215,30554,28271,31758,10951,26330,38562,24543,30089,27862,12577,25909,39147,42926,44549,41711,66527,71160,65425,25282,28413,26403,45792,29448,19964,49182,52668,35763,13212,24507,13407,12149,67848,10306,12339,11879,25316,20096,27591,19548,31382,27192,9729,17739,18972,20972,15761
ACSSF,2010e1,co,000,0113,0000019,39832,45905,70738,70505,73557,60475,77031,75415,77069,90758,51016,37423,100387,45291,46852,84240,114086,53622,25121,24049,60999,41448,66343,10848,22396,26105,36234,37315,32903,37435,27849,34241,42460,36724,41314,36412,26638,32092,47675,56729,57251,53920,67472,81654,69516,43225,36053,38369,52736,35236,27106,50948,53381,36891,14375,24089,35086,16566,67232,11745,13279,11656,27819,25020,29709,18298,.,19016,4286,26510,30156,27121,15418
ACSSF,2010e1,co,000,0113,0000020,31812,40178,60721,71972,75625,60896,55433,65227,61039,30866,41553,39946,85325,38457,37931,81792,91673,43833,21484,28245,56139,31656,57169,9707,21842,14397,31949,32073,31547,32041,32937,31839,32330,31866,31993,36081,13781,25985,39970,47201,51524,45172,37408,45142,41703,30694,30177,20838,60855,29566,41038,38439,39799,37066,13137,20577,70855,80370,70510,10177,10491,16253,21407,12221,24352,11500,2499,22701,10896,23418,22194,31629,2499
ACSSF,2010e1,co,000,0113,0000021,29953,37243,56303,70146,71200,57788,41821,47825,40119,75040,36769,26221,116599,49117,29283,61957,65404,.,20014,.,38974,38638,43750,16250,11747,50698,32612,33650,19953,36301,23834,30494,41761,30176,30056,26366,50280,22491,38888,56315,65797,50082,48353,27375,.,49881,32403,29696,.,33377,32701,40629,40025,46000,10649,20538,2499,2499,.,6148,8582,11435,21544,17328,23013,26311,.,26311,.,16821,18295,.,6854
