ACSSF,2010e1,co,000,0032,0000011,388239,271189,117050,329781,255017,74764,36264,9653,26611,12895,3476,9419,8589,2811,5778,710,232,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403804,338083,64924,14386,7036,7350,3287,1281,2006,47251,797,403804,338083,64924,21440,21440,0,43484,17862,25622,15838,9784,726,1786,3671,3601,797,61,0,736,,,,,,,,,,,,,,,,,,,,,,,,,403804,338083,64924,14386,7036,7350,3287,47251,797,403804,338083,64924,21440,43484,17862,25622,15838,9784,797,61,736
ACSSF,2010e1,co,000,0032,0000012,643425,447731,195694,547974,420295,127679,55713,14594,41119,22237,7243,14994,16402,5086,11316,1099,513,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273432,232620,40423,20157,10521,9636,1056,667,389,13220,6975,6245,5990,389,403804,338083,64924,14386,7036,7350,3287,1281,2006,47251,797,677236,570703,105347,30790,30790,0,74557,28556,46001,26748,19253,1364,3842,6652,7395,1186,61,0,1125,,,,,,,,,,,,,273432,232620,40423,20157,10521,9636,1056,13220,6975,6245,5990,389,403804,338083,64924,14386,7036,7350,3287,47251,797,677236,570703,105347,30790,74557,28556,46001,26748,19253,1186,61,1125
ACSSF,2010e1,co,000,0032,0000013,431880,285474,146406,355720,260715,95005,38755,10648,28107,26738,9763,16975,8326,3516,4810,2341,832,1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436553,357427,76728,62675,21684,40991,10879,5566,5313,1314,763,551,1860,2398,,,,,,,,,,,,,,,,,,,,,,,,,,436553,357427,76728,16359,13694,2665,60369,26102,34267,25497,8770,382,2198,2791,3399,2398,0,0,2398,436553,357427,76728,62675,21684,40991,10879,5566,5313,1314,1860,2398,,,,,,,,,,,,,,,,,,,,,,436553,357427,76728,16359,60369,26102,34267,25497,8770,2398,0,2398
ACSSF,2010e1,co,000,0032,0000014,562719,372091,190628,456506,336369,120137,52215,18159,34056,34244,9597,24647,15508,6243,9265,4246,1723,2523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567193,458523,104424,82469,49567,32902,17544,10210,7334,2973,1304,1669,1438,4246,,,,,,,,,,,,,,,,,,,,,,,,,,567193,458523,104424,36121,33745,2376,68303,19052,49251,33296,15955,792,3629,4262,7272,4246,0,0,4246,567193,458523,104424,82469,49567,32902,17544,10210,7334,2973,1438,4246,,,,,,,,,,,,,,,,,,,,,,567193,458523,104424,36121,68303,19052,49251,33296,15955,4246,0,4246
ACSSF,2010e1,co,000,0032,0000015,280743,188350,92393,224392,175466,48926,33278,6843,26435,8367,1834,6533,12171,3142,9029,2535,1065,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292395,226957,62778,35756,15341,20415,24379,12161,12218,935,321,614,1708,2660,,,,,,,,,,,,,,,,,,,,,,,,,,292395,226957,62778,25607,25177,430,37171,10579,26592,11421,15171,2546,3331,3129,6165,2660,0,0,2660,292395,226957,62778,35756,15341,20415,24379,12161,12218,935,1708,2660,,,,,,,,,,,,,,,,,,,,,,292395,226957,62778,25607,37171,10579,26592,11421,15171,2660,0,2660
ACSSF,2010e1,co,000,0032,0000016,579241,311262,267979,449108,280415,168693,70636,15066,55570,34441,9531,24910,21141,4713,16428,3915,1537,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595003,455034,135794,103142,82135,21007,27125,18602,8523,2721,1210,1511,2806,4175,,,,,,,,,,,,,,,,,,,,,,,,,,595003,455034,135794,73822,73822,0,61972,0,61972,38035,23937,3362,5658,5911,9006,4175,56,0,4119,595003,455034,135794,103142,82135,21007,27125,18602,8523,2721,2806,4175,,,,,,,,,,,,,,,,,,,,,,595003,455034,135794,73822,61972,0,61972,38035,23937,4175,56,4119
ACSSF,2010e1,co,000,0032,0000017,283596,238189,45407,245004,216465,28539,18032,9481,8551,10675,5696,4979,8902,6062,2840,983,485,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283596,245004,37609,26635,3117,23518,10296,4846,5450,519,418,101,159,983,,,,,,,,,,,,,,,,,,,,,,,,,,283596,245004,37609,11998,11998,0,25611,6034,19577,10675,8902,1131,753,1926,5092,983,0,0,983,283596,245004,37609,26635,3117,23518,10296,4846,5450,519,159,983,,,,,,,,,,,,,,,,,,,,,,283596,245004,37609,11998,25611,6034,19577,10675,8902,983,0,983
ACSSF,2010e1,co,000,0032,0000018,601715,393492,208223,476473,357442,119031,67984,20663,47321,7758,2094,5664,40486,11033,29453,9014,2260,6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618134,483283,124013,70228,51410,18818,44797,17964,26833,4813,2025,2788,4175,10838,,,,,,,,,,,,,,,,,,,,,,,,,,618134,483283,124013,49277,49277,0,74736,20287,54449,9042,45407,2097,6970,19943,16397,10838,757,125,9956,618134,483283,124013,70228,51410,18818,44797,17964,26833,4813,4175,10838,,,,,,,,,,,,,,,,,,,,,,618134,483283,124013,49277,74736,20287,54449,9042,45407,10838,757,10081
ACSSF,2010e1,co,000,0032,0000019,524658,380220,144438,440955,353849,87106,37322,11148,26174,30209,10595,19614,12782,3014,9768,3390,1614,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530621,443064,84167,63561,13787,49774,16877,9301,7576,2334,1191,1143,1395,3390,,,,,,,,,,,,,,,,,,,,,,,,,,530621,443064,84167,20042,19803,239,64125,18251,45874,31623,14251,1358,3438,5086,4369,3390,0,0,3390,530621,443064,84167,63561,13787,49774,16877,9301,7576,2334,1395,3390,,,,,,,,,,,,,,,,,,,,,,530621,443064,84167,20042,64125,18251,45874,31623,14251,3390,0,3390
ACSSF,2010e1,co,000,0032,0000020,288082,198067,90015,231836,181192,50644,32068,9255,22813,8646,3078,5568,13721,3907,9814,1811,635,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297267,233813,61407,33928,29825,4103,23719,8151,15568,1899,1152,747,1861,2047,,,,,,,,,,,,,,,,,,,,,,,,,,297267,233813,61407,24967,24967,0,36440,8961,27479,12531,14948,734,4375,3681,6158,2047,0,0,2047,297267,233813,61407,33928,29825,4103,23719,8151,15568,1899,1861,2047,,,,,,,,,,,,,,,,,,,,,,297267,233813,61407,24967,36440,8961,27479,12531,14948,2047,0,2047
