ACSSF,2010e1,co,000,0168,0000011,323550,226215,20226,205989,97335,323550,226215,18218,207997,97335,193992,13960,180032,193992,14235,179757,193992,14020,179972,121304,8344,112960,121304,8844,112460,121304,8320,112984,233322,12132,221190,162993,5672,157321,162993,2575,160418,162993,979,162014,43016,551,42465,48597,2383,46214,8523,3170,5353,48597,10243,38354,114396,14524,99872,162993,2336,160657,5959,1674,4285,114396,2869,111527,114396,70426,25252,45174,43970,11144,32826,114396,36396,78000,70329,1842,68487,233322,18245,215077,233322,3461,229861,233322,37366,195956,162993,4008,158985,233322,17307,216015,233322,11188,222134,395676,38657,357019,395676,37507,358169,395676,36977,358699,395676,29222,366454,395676,30516,365160,395676,23770,371906,395676,33358,362318,395676,34331,361345,395676,33589,362087
ACSSF,2010e1,co,000,0168,0000012,547867,383092,33763,349329,164775,547867,383092,30409,352683,164775,329482,22086,307396,329482,23396,306086,329482,22710,306772,208846,12663,196183,208846,14082,194764,208846,12731,196115,381731,15601,366130,268499,9050,259449,268499,4476,264023,268499,2301,266198,73673,1484,72189,82050,4228,77822,11865,4282,7583,82050,17155,64895,186449,22712,163737,268499,3455,265044,8972,2069,6903,186449,4016,182433,186449,119667,44652,75015,66782,16474,50308,186449,61126,125323,113232,2253,110979,381731,23780,357951,381731,8928,372803,381731,57038,324693,268499,7465,261034,381731,22547,359184,381731,14116,367615,657460,65994,591466,657460,64304,593156,657460,63229,594231,657460,50746,606714,657460,50820,606640,657460,41653,615807,657460,57308,600152,657460,59274,598186,657460,58081,599379
ACSSF,2010e1,co,000,0168,0000013,329430,232535,15752,216783,96895,329430,232535,15278,217257,96895,205967,13134,192833,205967,14489,191478,205967,12106,193861,144539,8738,135801,144539,9983,134556,144539,8221,136318,163229,2530,160699,150909,5291,145618,150909,2507,148402,150909,1350,149559,51068,855,50213,52048,3202,48846,5172,557,4615,52048,10944,41104,98861,15006,83855,150909,1494,149415,3263,268,2995,98861,2984,95877,98861,77286,25457,51829,21575,6230,15345,98861,31687,67174,12320,368,11952,163229,5008,158221,163229,2533,160696,163229,20471,142758,150909,4708,146201,163229,3573,159656,163229,1911,161318,439906,32935,406971,439906,30886,409020,439906,31081,408825,439906,22269,417637,439906,24276,415630,439906,20215,419691,439906,27859,412047,439906,28453,411453,439906,28328,411578
ACSSF,2010e1,co,000,0168,0000014,445129,328018,21719,306299,117111,445129,328018,22150,305868,117111,290348,16182,274166,290348,15666,274682,290348,16346,274002,201781,10386,191395,201781,10068,191713,201781,9730,192051,238457,3787,234670,225328,10110,215218,225328,3208,222120,225328,2565,222763,78320,1270,77050,80369,4120,76249,7505,383,7122,80369,14401,65968,144959,11467,133492,225328,2631,222697,2331,383,1948,144959,2816,142143,144959,116546,39684,76862,28413,8752,19661,144959,48436,96523,13129,117,13012,238457,8719,229738,238457,4935,233522,238457,23022,215435,225328,5553,219775,238457,5099,233358,238457,2727,235730,569025,49725,519300,569025,47806,521219,569025,47400,521625,569025,35069,533956,569025,37601,531424,569025,30192,538833,569025,43466,525559,569025,42636,526389,569025,44050,524975
ACSSF,2010e1,co,000,0168,0000015,239466,181941,10870,171071,57525,239466,181941,10057,171884,57525,153738,7610,146128,153738,7818,145920,153738,7523,146215,93285,4786,88499,93285,4715,88570,93285,4602,88683,127115,1019,126096,119774,3630,116144,119774,1235,118539,119774,1143,118631,43895,408,43487,45210,3152,42058,1797,0,1797,45210,9444,35766,74564,4006,70558,119774,782,118992,1211,91,1120,74564,849,73715,74564,57140,18456,38684,17424,4453,12971,74564,22909,51655,7341,0,7341,127115,3260,123855,127115,951,126164,127115,7552,119563,119774,2778,116996,127115,1753,125362,127115,900,126215,292737,23555,269182,292737,22919,269818,292737,22435,270302,292737,15120,277617,292737,16466,276271,292737,13055,279682,292737,20752,271985,292737,21373,271364,292737,21498,271239
ACSSF,2010e1,co,000,0168,0000016,486146,345640,31347,314293,140506,486146,345640,30778,314862,140506,301802,21561,280241,301802,23787,278015,301802,19422,282380,207685,14587,193098,207685,16607,191078,207685,12954,194731,285859,4648,281211,262093,12420,249673,262093,2637,259456,262093,2115,259978,128294,2285,126009,130303,6617,123686,9604,1640,7964,130303,28032,102271,131790,11451,120339,262093,3003,259090,5959,1247,4712,131790,2929,128861,131790,99061,33758,65303,32729,9100,23629,131790,42858,88932,23766,1009,22757,285859,12972,272887,285859,7433,278426,285859,46307,239552,262093,9141,252952,285859,8138,277721,285859,4023,281836,597294,61659,535635,597294,57542,539752,597294,57803,539491,597294,45833,551461,597294,43763,553531,597294,37277,560017,597294,50603,546691,597294,51956,545338,597294,51919,545375
ACSSF,2010e1,co,000,0168,0000017,209717,162896,6902,155994,46821,209717,162896,7300,155596,46821,147755,5216,142539,147755,5498,142257,147755,4705,143050,107404,3823,103581,107404,4072,103332,107404,3661,103743,107056,807,106249,101480,2653,98827,101480,870,100610,101480,391,101089,17670,113,17557,18187,649,17538,1257,252,1005,18187,3186,15001,83293,4258,79035,101480,732,100748,3207,277,2930,83293,979,82314,83293,73864,19847,54017,9429,2446,6983,83293,22293,61000,5576,121,5455,107056,2551,104505,107056,978,106078,107056,4408,102648,101480,1973,99507,107056,1091,105965,107056,693,106363,286847,13285,273562,286847,12922,273925,286847,12910,273937,286847,7521,279326,286847,9303,277544,286847,7794,279053,286847,11493,275354,286847,11542,275305,286847,11639,275208
ACSSF,2010e1,co,000,0168,0000018,481680,338949,24068,314881,142731,481680,338949,21608,317341,142731,275722,15737,259985,275722,17831,257891,275722,14998,260724,182486,9195,173291,182486,11320,171166,182486,8603,173883,253120,3864,249256,235103,9322,225781,235103,3827,231276,235103,3349,231754,82316,1219,81097,86469,5617,80852,8802,2716,6086,86469,18175,68294,148634,9820,138814,235103,2366,232737,4489,591,3898,148634,2303,146331,148634,115494,40408,75086,33140,9372,23768,148634,49780,98854,18017,1354,16663,253120,8990,244130,253120,7534,245586,253120,33871,219249,235103,7783,227320,253120,6933,246187,253120,3159,249961,597805,60221,537584,597805,57638,540167,597805,57790,540015,597805,40177,557628,597805,46502,551303,597805,35391,562414,597805,51123,546682,597805,44646,553159,597805,51743,546062
ACSSF,2010e1,co,000,0168,0000019,431282,308020,24373,283647,123262,431282,308020,22577,285443,123262,271398,18905,252493,271398,19538,251860,271398,17013,254385,188492,11527,176965,188492,11911,176581,188492,9588,178904,230006,3695,226311,216560,7995,208565,216560,2266,214294,216560,2225,214335,60293,816,59477,62569,3467,59102,4999,985,4014,62569,14067,48502,153991,11339,142652,216560,2553,214007,2383,668,1715,153991,4171,149820,153991,117546,41679,75867,36445,10351,26094,153991,52030,101961,13446,60,13386,230006,5989,224017,230006,5380,224626,230006,29736,200270,216560,6636,209924,230006,4023,225983,230006,2827,227179,530430,46652,483778,530430,44890,485540,530430,45338,485092,530430,29553,500877,530430,31669,498761,530430,26589,503841,530430,41816,488614,530430,42023,488407,530430,41757,488673
ACSSF,2010e1,co,000,0168,0000020,243792,181087,14030,167057,62705,243792,181087,13153,167934,62705,151483,9240,142243,151483,8913,142570,151483,9661,141822,94994,5690,89304,94994,5571,89423,94994,5756,89238,132776,2628,130148,117812,3212,114600,117812,1558,116254,117812,384,117428,37825,430,37395,39218,1370,37848,3297,812,2485,39218,8221,30997,78594,5913,72681,117812,775,117037,1753,0,1753,78594,904,77690,78594,58656,22339,36317,19938,6009,13929,78594,28348,50246,14964,51,14913,132776,4497,128279,132776,883,131893,132776,6800,125976,117812,2531,115281,132776,3223,129553,132776,999,131777,298282,32884,265398,298282,32190,266092,298282,31632,266650,298282,23114,275168,298282,25435,272847,298282,21258,277024,298282,29793,268489,298282,29729,268553,298282,29572,268710
