ACSSF,2010e1,co,000,0055,0000012,18146,8087,462,425,447,289,116,449,439,689,440,466,602,390,337,803,1488,245,10059,490118,105733,7298,5223,5587,6607,4607,5960,4961,5407,4960,6252,4798,6027,5765,5584,21793,4904,384385,136942,47297,3911,2287,2887,2608,3506,2916,2563,2298,3051,2671,1978,2921,2092,3588,7895,125,89645,18146,8087,887,3335,2132,1733,10059,490118,105733,12521,44341,22174,26697,384385,136942,47297,6198,22500,10579,8020,89645
ACSSF,2010e1,co,000,0055,0000013,11066,4882,453,201,367,82,329,325,153,374,185,357,147,205,473,424,571,236,6184,226477,50312,3100,2594,1565,3208,2132,1936,2914,3336,3289,2737,3056,2878,2120,2899,10211,2337,176165,157326,54616,2718,4203,4233,4131,3262,3447,4172,3496,3614,3123,2804,2310,2506,3023,7072,502,102710,11066,4882,654,2172,1249,807,6184,226477,50312,5694,21117,10953,12548,176165,157326,54616,6921,29478,10643,7574,102710
ACSSF,2010e1,co,000,0055,0000014,22375,12912,935,917,1222,599,631,320,872,1001,792,563,767,710,612,527,1630,814,9463,351550,81958,4438,3389,4477,3669,4890,3874,3994,4400,4141,4109,3892,4881,5129,4217,16330,6128,269592,98548,34808,2259,2278,2105,2437,2474,1963,2856,1780,2084,2439,1166,1529,1695,2174,4843,726,63740,22375,12912,1852,6000,2616,2444,9463,351550,81958,7827,33554,18119,22458,269592,98548,34808,4537,18138,6564,5569,63740
ACSSF,2010e1,co,000,0055,0000015,9040,4765,355,246,214,411,36,461,307,207,236,304,0,75,188,202,1419,104,4275,229087,68525,5038,2099,2286,1678,3088,3341,2273,2474,2177,2551,1731,2616,2342,2258,26324,6249,160562,37294,14666,883,936,1224,656,1001,837,499,463,1301,425,1106,441,234,1713,2589,358,22628,9040,4765,601,2176,465,1523,4275,229087,68525,7137,19868,8947,32573,160562,37294,14666,1819,6406,3494,2947,22628
ACSSF,2010e1,co,000,0055,0000016,17334,7387,587,294,910,336,330,716,457,807,176,341,161,390,224,105,1044,509,9947,305194,61654,5170,2749,2415,1766,2117,1765,1316,1141,993,1517,2101,1112,918,1981,21952,12641,243540,180437,59330,4833,3937,3743,3011,4775,3948,3816,3190,3109,3363,2678,3576,3180,3779,7380,1012,121107,17334,7387,881,4073,880,1553,9947,305194,61654,7919,13030,6112,34593,243540,180437,59330,8770,28955,13213,8392,121107
ACSSF,2010e1,co,000,0055,0000017,7624,4270,450,276,482,500,268,483,0,254,277,206,488,0,0,256,330,0,3354,236445,72365,7083,4360,4171,4637,4510,3714,3802,4976,4749,2737,3587,3828,3213,4566,7401,5031,164080,20241,8031,605,375,763,225,371,599,280,401,852,425,562,164,640,347,1255,167,12210,7624,4270,726,2470,744,330,3354,236445,72365,11443,33296,15194,12432,164080,20241,8031,980,3916,1713,1422,12210
ACSSF,2010e1,co,000,0055,0000018,34441,17970,701,1064,1363,1428,1094,962,1242,500,1094,1759,686,559,440,910,4011,157,16471,434152,118822,5863,5284,5118,5982,6089,5261,7214,5608,4816,4509,7009,5204,5405,5793,32137,7530,315330,88445,33677,1768,1663,1820,3379,2275,2256,2266,1208,1932,1909,1217,1809,2062,1587,6072,454,54768,34441,17970,1765,9442,2595,4168,16471,434152,118822,11147,44597,23411,39667,315330,88445,33677,3431,17045,6675,6526,54768
ACSSF,2010e1,co,000,0055,0000019,10702,5778,358,426,107,365,224,176,304,277,55,296,443,264,484,333,1430,236,4924,415612,98581,6462,4366,4305,4950,4626,4312,5083,5823,4353,4317,4738,5065,6076,5825,21640,6640,317031,73260,26229,2057,1384,1371,2012,1295,2289,1800,952,919,1328,1746,1356,1330,1101,4936,353,47031,10702,5778,784,1804,1524,1666,4924,415612,98581,10828,37769,21704,28280,317031,73260,26229,3441,11966,5533,5289,47031
ACSSF,2010e1,co,000,0055,0000020,6628,3769,146,76,151,147,202,183,194,220,348,462,562,365,108,123,482,0,2859,246944,72105,4071,2340,3129,3158,3366,2805,2597,2258,2195,2238,3127,2842,3006,3158,26477,5338,174839,29201,13125,706,337,273,666,698,342,215,1037,713,854,1073,288,805,1018,3619,481,16076,6628,3769,222,1907,1158,482,2859,246944,72105,6411,21746,12133,31815,174839,29201,13125,1043,4798,3184,4100,16076
ACSSF,2010e1,co,000,0055,0000021,,,,,,,,,,,,,,,,,,,,117422,29998,2542,1408,1533,2316,1303,1053,1067,2158,814,969,1411,810,1747,1316,8671,880,87424,19049,6228,776,469,177,413,337,830,427,473,0,242,529,0,244,402,857,52,12821,4191,2971,474,1488,334,675,1220,117422,29998,3950,11213,5284,9551,87424,19049,6228,1245,2899,1175,909,12821
ACSSF,2010e1,co,000,0055,0000022,,,,,,,,,,,,,,,,,,,,84296,18655,861,851,924,1185,789,1835,1232,627,510,850,610,922,1146,788,4422,1103,65641,62914,21115,1752,1248,1688,1356,850,805,1669,1403,340,1296,1085,1440,737,1249,3474,723,41799,6229,2801,86,1282,850,583,3428,84296,18655,1712,7952,3466,5525,65641,62914,21115,3000,9407,4511,4197,41799
ACSSF,2010e1,co,000,0055,0000023,,,,,,,,,,,,,,,,,,,,165438,45676,3178,2832,1414,2570,2026,1802,2911,2338,1354,2627,1589,2918,1551,1560,12627,2379,119762,67290,24599,2072,1470,1140,1277,1377,1813,2336,1447,1691,1198,1304,1476,979,2100,2845,74,42691,6722,3899,681,1693,752,773,2823,165438,45676,6010,17042,7618,15006,119762,67290,24599,3542,12279,5859,2919,42691
ACSSF,2010e1,co,000,0055,0000024,,,,,,,,,,,,,,,,,,,,86153,21736,1305,578,1114,1301,1023,1411,1480,1406,1295,1004,1039,1105,901,1674,4472,628,64417,13983,5091,515,141,231,181,412,519,312,73,197,117,234,301,388,193,1277,0,8892,1890,995,360,264,116,255,895,86153,21736,1883,10034,4719,5100,64417,13983,5091,656,2042,1116,1277,8892
ACSSF,2010e1,co,000,0055,0000025,15520,8681,624,804,763,283,436,238,687,732,246,367,447,498,477,198,1067,814,6839,141289,29091,1644,1557,2489,911,1781,1761,1647,1295,1131,1830,772,1711,1012,1343,5830,2377,112198,91538,32296,1670,1697,3138,2680,2245,2272,2147,1785,2368,1979,1463,1271,1299,2102,3776,404,59242,15520,8681,1428,3752,1620,1881,6839,141289,29091,3201,12845,4838,8207,112198,91538,32296,3367,18614,6135,4180,59242
ACSSF,2010e1,co,000,0055,0000026,,,,,,,,,,,,,,,,,,,,77651,30748,1282,390,311,391,656,1102,437,750,570,318,365,205,327,481,18879,4284,46903,,,,,,,,,,,,,,,,,,,,3544,2109,178,730,116,1085,1435,77651,30748,1672,4535,1378,23163,46903,9306,3755,172,1015,950,1618,5551
ACSSF,2010e1,co,000,0055,0000027,,,,,,,,,,,,,,,,,,,,83635,23110,962,301,1072,1266,1250,1378,1042,1390,1413,788,1570,1689,2320,1156,3962,1551,60525,,,,,,,,,,,,,,,,,,,,2316,1017,239,320,353,105,1299,83635,23110,1263,9599,6735,5513,60525,7316,2907,803,1380,196,528,4409
ACSSF,2010e1,co,000,0055,0000028,22415,12441,537,791,710,563,1038,521,1067,252,974,1263,419,178,354,492,3125,157,9974,284402,73437,3727,2923,3116,4041,3365,2681,5289,3527,2539,3364,4644,2979,3694,3592,19250,4706,210965,64632,23250,1402,1347,1126,2654,1602,1577,1231,670,1428,1576,854,1330,1358,998,3752,345,41382,22415,12441,1328,6388,1443,3282,9974,284402,73437,6650,27922,14909,23956,210965,64632,23250,2749,11864,4540,4097,41382
ACSSF,2010e1,co,000,0055,0000029,17334,7387,587,294,910,336,330,716,457,807,176,341,161,390,224,105,1044,509,9947,305194,61654,5170,2749,2415,1766,2117,1765,1316,1141,993,1517,2101,1112,918,1981,21952,12641,243540,180437,59330,4833,3937,3743,3011,4775,3948,3816,3190,3109,3363,2678,3576,3180,3779,7380,1012,121107,17334,7387,881,4073,880,1553,9947,305194,61654,7919,13030,6112,34593,243540,180437,59330,8770,28955,13213,8392,121107
ACSSF,2010e1,co,000,0055,0000030,,,,,,,,,,,,,,,,,,,,117100,42906,2447,872,1035,1625,1557,982,1042,866,1069,1075,1136,1059,1786,1609,21022,3724,74194,,,,,,,,,,,,,,,,,,,,4333,2912,176,1720,625,391,1421,117100,42906,3319,9251,5590,24746,74194,12292,5669,213,1670,1325,2461,6623
