ACSSF,2010m1,co,000,0116,0000011,2852,2656,5663,6849,2322,6277,22610,17553,19409,2877,10115,46678,1048,11169,6696,6826,5305,3405,5602,4100,3569,11831,4761,5563,3131,2861,4477,3426,4580,4264,2751,6557,7457,8744,12444,13495,2852,3702,2772,7066,9389,10844,8237,17684,19957,20505,2357,10608,24918,3484,12974,36127,70868,39253,8491,35620,4873,5680,14119,9012,8455,14263,5462,6541,7303,4190,4647,1937,6741,10559,19999,12215,13540,2079,2505,5598,6765,4584,17351,60300,38511,29022,2599,16013,135731,1692,9913,3009,8736,2893,2250,4764,23084,45207,18466,7164,9083,6838,2252,2146,2446,6116,28851,12776,21723,2510,6204,32551,14365,4664,3574,2456,1839,1809,474,1061,638,522,469,1068,606,302,619,602,598,450,341,1362,283,709,421,615,743,640,690,1828,1549,955,2293,898,1912,880,1493,1136,876,482,2678,1733,1340,1277,725,270,187,164,67,1387,698,375,871,395,941,804,476,1364,606,347,278,215,953,597,641,1837,1234,1541,488,280,393,135,555,370,186,383
ACSSF,2010m1,co,000,0116,0000012,1686,3225,916,2185,1117,7431,18520,15198,13754,2980,4662,33857,1507,17052,6609,3889,7137,2592,5322,9401,24088,11388,3415,2541,4237,1771,4036,2652,1493,985,5932,5533,4185,2686,8635,4450,1686,1231,5251,7992,6963,12816,10472,24726,16698,10114,4316,7549,60408,2476,23629,25333,37567,22639,1669,12330,12364,25879,11461,5699,3935,8208,5719,3595,6896,1475,1189,6211,5869,2788,4217,9515,9714,2142,3406,4535,5759,4508,7914,18245,10367,32903,1332,6672,40562,1065,9293,7650,7067,5224,1557,3589,14143,23931,12976,3473,3408,4034,1978,6298,2035,4260,24129,4891,14220,2947,5803,24943,4600,6677,4941,2981,2613,2370,920,1257,811,683,626,1528,737,412,809,857,659,568,340,2030,451,1010,515,919,1237,910,892,2496,1953,1282,2920,1234,2397,1448,2144,1766,1042,602,3864,2339,1874,1802,1014,593,330,226,450,1675,856,566,1004,553,1185,926,640,1905,742,405,295,276,1481,760,1306,2623,1706,2070,498,280,391,139,817,579,415,416
ACSSF,2010m1,co,000,0116,0000013,624,3794,4415,3289,1869,9836,11401,3357,9140,4102,5258,7793,10717,14453,14074,7666,16900,1540,3349,6528,14777,5515,3018,3320,3550,2971,4156,2865,1753,37115,2915,6466,3695,3455,5968,5346,624,2566,3652,5742,8047,10528,5381,21368,2571,57451,14147,10849,23150,18910,42360,23151,44945,11720,3102,12868,6701,21964,6875,5876,4839,25860,4768,9398,4608,2036,37115,2321,5970,3988,6120,3891,5695,2123,1773,2320,7162,6819,11862,24963,22164,20595,5411,4494,2483,6544,16200,21531,8734,14500,2275,2525,32418,9114,4764,3838,2920,2601,3477,4367,4101,11106,.,5970,17826,3815,3130,25609,18602,4691,3494,2166,1478,1192,977,1153,992,788,151,964,392,219,415,702,505,367,259,1689,201,650,297,641,856,1234,457,1843,1559,1388,2480,204,1921,1408,2125,1223,1457,1097,2879,2143,1722,1106,1275,721,617,236,430,1222,509,584,827,712,961,595,917,1630,724,341,276,191,779,766,978,2105,1250,1929,526,279,134,510,1237,1006,528,374
ACSSF,2010m1,co,000,0116,0000014,1249,1741,4814,6068,3718,6925,12193,6205,30747,3617,4475,20569,4515,8163,6897,6184,2647,1994,1393,11418,16123,10392,1728,3553,5901,1603,4580,1684,1929,6609,2603,3592,4351,5747,5749,2457,1249,1097,4201,4456,14343,7963,10466,11650,10248,35243,4824,22624,23374,4835,7568,8824,34392,5131,2662,16996,12937,30930,14834,2834,4082,5624,5747,5470,4655,2062,6609,3258,3155,4345,5936,5154,3257,1246,3850,5968,6856,6787,7135,9409,3185,12905,3530,4251,5518,5222,23915,7397,8478,3901,2770,1685,12187,32503,5051,4871,3067,8414,1547,3799,1692,74435,.,3778,62174,5596,6211,19767,6905,4916,3265,2676,1955,1535,1348,1546,1340,912,458,1075,354,427,606,673,893,690,539,2073,338,944,510,805,1549,878,546,2279,1990,1513,2064,358,1491,1207,1867,1365,1316,707,3853,3053,2264,1696,1625,1164,739,651,288,1838,713,525,1171,768,1218,1122,670,2172,900,463,465,226,1368,727,853,2363,1436,2078,485,279,245,421,879,742,351,332
ACSSF,2010m1,co,000,0116,0000015,2723,4367,5587,6534,11589,6489,6676,4548,14797,5947,13510,43101,9128,9031,15841,21648,20270,3552,21132,36867,63099,31220,8114,5690,10009,2777,5401,2310,6040,296,6507,24520,2083,11019,11418,2740,2723,2305,6637,16750,17421,22151,5410,10811,5220,21929,4963,22661,101915,4430,18504,28996,12999,32408,3573,2796,41320,19169,49336,9150,9184,7015,6845,13783,8825,5809,648,6507,19500,2564,13893,8700,2875,2024,9026,8129,5533,11218,11467,22151,14474,21446,6556,10309,14013,6744,22000,15266,13729,26802,5799,50126,301,.,.,5805,7091,15204,3009,9874,2612,92845,.,.,.,23249,32879,14130,.,2912,2447,2291,2109,1908,843,1340,999,964,638,1230,442,434,870,585,748,670,244,1180,219,248,171,200,736,460,690,1320,998,1018,863,43,813,352,1157,737,479,486,2140,1777,1387,1081,814,866,602,349,573,1185,381,514,829,782,539,491,210,1103,443,249,159,92,551,494,673,1385,957,1149,111,27,279,109,535,486,181,49
ACSSF,2010m1,co,000,0116,0000016,2581,1127,3993,4389,5618,3837,4350,16247,29771,3357,11722,24981,2315,6842,5836,6167,7312,1422,5580,7062,7392,25472,1231,3234,5637,2856,6097,1767,2700,5395,5649,4123,3436,5125,6516,6462,2581,2557,2997,4807,7247,4527,5363,5657,11007,11420,7728,38936,32428,7647,10415,48273,46210,34513,2050,37829,17791,13706,25372,2378,6675,5466,2012,10228,5711,2356,.,5290,3583,4383,3356,6796,6432,1012,2395,3290,6135,3406,11384,5160,7304,23156,1969,5986,14782,1391,10934,3629,5012,5194,3376,6135,8659,9359,92751,982,4977,5391,1401,3498,3058,12475,.,6380,33116,7751,10467,16070,24694,6077,4417,3307,2244,1919,1388,1810,1137,1340,732,1670,632,766,1065,859,800,725,393,2383,402,839,665,512,1576,1235,675,2617,2102,1771,1799,154,1469,1220,2347,1421,1016,866,3747,2940,2145,1581,1614,1259,619,666,663,1903,853,930,1445,961,1591,1530,730,2095,697,402,374,136,1288,913,1079,2598,1780,2196,671,343,306,283,935,829,360,314
ACSSF,2010m1,co,000,0116,0000017,3539,2824,4801,8295,6302,4356,6712,10731,19035,4456,24483,35552,8217,25325,9668,3563,24506,7498,14859,12302,28210,16825,13324,15509,5820,4719,8669,3065,1666,.,3286,5870,4751,24513,25557,20889,3539,4026,2544,5798,12285,9863,5867,7125,12159,18674,5075,18630,153965,30142,8729,28972,41973,38110,10323,.,13614,33836,17544,21084,7398,38791,10534,18555,9855,2045,.,4524,8728,3146,21139,24271,32775,2444,2527,5982,9623,3606,18903,24600,13698,128431,6972,12097,8193,11831,36715,14134,13074,17938,4914,13863,32257,52709,55495,15647,27782,11120,3412,2319,2507,35405,.,.,.,18276,19232,80903,.,3373,2187,2199,2397,2225,993,1492,1054,878,340,942,631,266,579,367,679,638,198,998,109,843,663,582,234,497,224,1768,1623,926,1081,279,766,856,1184,850,633,484,2288,2211,1968,1537,1424,652,620,250,123,1064,282,531,822,515,910,859,359,1065,323,579,548,185,660,127,512,1547,1119,1263,166,279,134,97,489,414,237,185
ACSSF,2010m1,co,000,0116,0000018,938,3634,1579,4364,5141,7502,12546,10732,21044,4590,5710,41080,3870,11120,6275,7508,9306,2748,4384,14148,26104,16975,8223,1723,6542,2733,2298,1700,3178,36551,2122,3340,3028,2801,4599,5160,938,2661,1938,3162,4686,13872,9415,13818,12390,14952,5631,11530,31674,3413,18534,19853,13416,46265,4895,2814,14501,18563,17266,7776,2339,13294,2179,3742,4043,3503,91052,2181,3381,3157,3411,5331,5717,678,2055,3150,11265,2935,7414,8178,37357,26285,4435,6110,27603,2094,8444,11190,7257,7187,3307,2575,14344,14122,60222,7347,2029,7396,811,3640,895,9652,.,26091,6993,4063,2875,8519,6989,5675,3904,3242,2198,1582,1489,1808,1573,910,377,1530,479,411,871,782,618,531,336,1540,594,1039,718,691,787,821,433,2175,1523,1601,2075,231,1693,1166,2441,1347,1645,810,3927,2778,1908,1784,1098,842,627,590,167,1596,895,666,1249,518,1600,1358,631,2166,1212,390,365,127,1073,736,972,2568,1215,2327,314,126,191,218,1089,970,389,444
ACSSF,2010m1,co,000,0116,0000019,1303,2347,4071,2567,6254,3771,7984,4057,12668,3136,6338,24778,3915,9502,7827,4491,16636,2698,3398,9254,26699,7684,4483,6070,3349,3796,3463,1424,4635,74680,1895,5599,3709,2655,2578,8723,1303,2610,2306,4455,5069,8225,2788,7585,4214,19994,6623,13092,63206,6916,16762,46781,13156,20644,7515,12283,8059,23556,7543,6122,7193,15589,5736,7405,6346,4635,120987,1855,5594,1605,6022,3267,3538,2306,3930,4905,4284,7837,7848,9903,12617,22522,1852,6089,15801,3691,8091,3106,4991,16550,4061,5927,12774,8629,17421,4954,16060,8726,1369,4575,2561,67094,.,125818,.,5005,7149,24160,11447,5333,3851,2942,2110,1850,929,1537,912,1164,687,1128,347,750,701,643,739,607,328,1847,296,1067,844,787,963,1014,440,2199,2094,1296,2040,107,1636,1122,2030,1473,1181,834,3489,3013,1796,1302,1448,1035,723,426,521,1489,678,574,1159,585,1328,965,778,1535,854,622,459,393,713,434,620,2213,1443,1876,204,83,163,94,975,712,301,473
ACSSF,2010m1,co,000,0116,0000020,2321,1717,6256,5039,10528,8697,14524,8795,25390,3716,1698,35569,4152,16066,6618,6788,6958,3134,2730,17917,21160,20834,4794,1854,7362,1767,5332,2780,4109,107457,4348,12060,3469,4790,11688,7813,2321,1781,3215,3731,6043,7365,5346,14984,7640,34908,7052,3013,36633,7863,2206,28152,52514,21456,5152,5661,11617,20108,22935,7134,1072,16089,6674,6682,15003,4066,190172,4208,11378,7137,7536,13039,10255,2853,2268,14641,15346,3533,8947,16689,38778,11520,3556,4058,15638,6574,4716,5148,3789,6945,4245,6642,18508,.,12943,6519,83185,11128,1850,8045,1484,52047,.,55603,.,8926,11487,79495,9832,3569,2405,2561,1978,1706,854,1522,976,943,508,1154,536,481,800,432,611,527,246,1262,390,776,299,730,655,613,336,1579,1296,898,1482,200,1012,925,1282,1098,583,295,2718,2065,1498,1243,859,584,514,267,332,1325,404,360,1048,412,832,718,335,1619,425,202,119,166,884,391,1014,1672,967,1384,270,83,234,96,702,628,193,117
