ACSSF,2010m1,co,000,0115,0000011,2678,1733,1340,1277,363,219,238,399,105,219,999,725,104,340,627,519,370,270,187,187,100,279,279,158,279,164,86,97,99,67,39,60,279,1387,698,678,82,375,286,121,231,871,68,785,312,743,260,179,194,429,395,278,188,281,941,804,118,349,648,96,160,476,1364,606,522,123,209,347,279,114,253,279,215,69,953,183,309,843,308,279,597,111,279,569,193,641,221,408,446,176,335,1837,1234,825,279,520,347,339,135,288,1541,401,279,350,508,592,566,778,798,432,488,280,279,280,279,393,44,279,34,279,262,279,132,212,279,135,279,279,135,555,370,118,119,209,279,33,109,279,279,269,186,41,86,279,279,136,279,96,383,383,279
ACSSF,2010m1,co,000,0115,0000012,3864,2339,1874,1802,601,258,468,428,454,366,1413,1014,244,500,786,700,408,593,330,330,245,157,71,169,279,226,86,172,101,450,343,122,267,1675,856,837,82,566,306,121,510,1004,179,902,515,804,276,261,255,476,553,534,188,291,1185,926,173,414,850,96,475,640,1905,742,558,123,402,405,92,114,265,279,264,100,1481,401,838,1043,475,279,760,136,279,748,193,1306,261,926,574,362,428,2623,1706,974,387,693,490,404,244,630,2070,757,67,394,703,706,742,887,1080,656,498,280,279,280,279,391,55,279,34,279,287,279,180,239,279,139,279,279,139,817,579,118,119,273,279,33,148,279,279,520,415,133,326,279,279,203,279,96,416,416,279
ACSSF,2010m1,co,000,0115,0000013,2879,2143,1722,1106,334,156,475,179,274,279,862,1275,383,748,808,593,598,721,617,610,153,356,118,486,100,236,279,189,140,430,354,162,145,1222,509,492,123,584,279,279,584,827,112,764,264,625,185,175,168,297,712,498,376,347,961,595,60,207,533,80,246,917,1630,724,475,279,553,341,116,279,279,279,149,276,779,380,497,217,348,218,766,183,279,765,279,978,121,581,279,338,547,2105,1250,529,378,445,581,582,358,532,1929,583,96,701,435,603,992,778,864,987,526,279,279,279,279,134,121,279,279,279,279,279,279,64,279,510,84,279,506,1237,1006,187,334,379,144,275,583,279,70,555,528,279,188,279,245,423,279,279,374,374,279
ACSSF,2010m1,co,000,0115,0000014,3853,3053,2264,1696,423,416,556,513,662,279,1154,1625,673,788,1217,1017,742,1164,739,725,298,264,405,424,140,651,78,650,83,288,236,126,140,1838,713,695,137,525,385,161,350,1171,236,976,315,915,134,181,118,540,768,202,244,611,1218,1122,234,384,929,279,390,670,2172,900,721,279,499,463,279,279,133,279,226,446,1368,695,1026,803,217,271,727,279,279,727,279,853,186,372,289,376,567,2363,1436,752,320,535,768,386,419,495,2078,835,279,750,671,698,964,660,1280,690,485,279,279,279,279,245,279,234,279,279,279,279,279,69,279,421,344,219,81,879,742,347,304,203,279,163,267,279,279,504,351,68,255,279,279,128,279,164,332,332,279
ACSSF,2010m1,co,000,0115,0000015,2140,1777,1387,1081,445,420,251,92,330,279,808,814,225,666,372,346,133,866,602,593,228,480,194,287,103,349,181,238,202,573,412,72,368,1185,381,349,158,514,399,279,242,829,472,659,176,534,276,279,200,339,782,463,587,316,539,491,198,169,361,154,171,210,1103,443,405,279,173,249,279,279,279,279,92,159,551,204,174,148,400,311,494,279,279,479,161,673,168,477,279,160,394,1385,957,490,93,224,249,332,247,566,1149,256,279,310,500,445,531,383,647,301,111,27,27,279,279,279,279,279,279,279,279,279,279,279,279,109,279,279,109,535,486,167,331,279,279,279,251,279,279,71,181,279,150,279,279,102,279,279,49,49,279
ACSSF,2010m1,co,000,0115,0000016,3747,2940,2145,1581,429,792,537,341,342,279,992,1614,593,913,1172,1078,484,1259,619,612,474,338,106,323,76,666,279,478,331,663,441,365,113,1903,853,817,146,930,443,129,778,1445,678,995,200,890,299,154,225,463,961,396,257,824,1591,1530,406,327,1454,270,353,730,2095,697,629,81,414,402,93,279,279,279,99,374,1288,281,700,952,187,514,913,287,279,854,279,1079,110,488,279,749,541,2598,1780,348,438,702,770,583,530,690,2196,579,109,673,395,877,853,634,925,818,671,343,279,343,279,306,279,121,143,279,122,83,279,279,202,283,109,108,283,935,829,279,176,434,279,136,589,279,279,378,360,279,226,279,176,218,279,89,314,306,73
ACSSF,2010m1,co,000,0115,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,co,000,0115,0000018,3927,2778,1908,1784,347,222,644,264,473,279,1273,1098,299,813,675,601,334,842,627,622,335,286,179,401,116,590,279,533,244,167,138,98,279,1596,895,726,423,666,325,279,504,1249,356,1085,354,919,418,65,145,604,518,405,164,387,1600,1358,256,510,1131,249,259,631,2166,1212,944,309,560,390,279,279,279,279,127,365,1073,386,614,624,404,279,736,287,279,670,279,972,143,558,102,644,449,2568,1215,790,171,459,445,729,181,247,2327,497,279,629,652,858,1013,629,860,948,314,126,279,279,126,191,279,279,279,279,279,279,279,191,279,218,279,279,218,1089,970,228,306,343,206,279,204,325,95,620,389,150,107,279,229,255,279,119,444,444,279
ACSSF,2010m1,co,000,0115,0000019,3489,3013,1796,1302,371,253,654,292,497,279,1006,1448,435,812,1212,857,756,1035,723,722,232,469,168,375,179,426,147,340,188,521,325,253,325,1489,678,523,392,574,364,77,421,1159,302,1039,256,889,476,187,109,422,585,154,407,372,1328,965,265,313,828,82,265,778,1535,854,581,279,723,622,114,279,279,100,375,447,713,334,409,250,379,112,434,79,279,425,128,620,155,240,115,460,231,2213,1443,659,355,458,685,578,570,539,1876,601,104,617,746,788,548,711,904,687,204,83,279,83,279,163,107,279,279,279,279,279,126,279,279,94,279,279,94,975,712,172,132,231,279,107,307,279,68,632,301,279,141,279,258,133,279,78,473,351,314
ACSSF,2010m1,co,000,0115,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
