ACSSF,2010m1,co,000,0022,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3907,5577,7374,6595,5179,1361,5279,3907,2900,422,528,604,1703,1704,3914,2001,2216,1082,6242,396,789,4793,2686,186,2201,1659,406,981,1301,1844,190,168,1885,1444,200,1065,279,6011,5179,3907,5577,7374,6595,5179
ACSSF,2010m1,co,000,0022,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2953,7917,8587,8924,7989,1576,8144,2953,3507,537,848,1357,1995,2477,5520,2114,2878,1539,7522,604,926,5104,3570,287,2918,2502,464,1603,2218,1973,605,577,2991,1579,229,1386,531,6855,7989,2953,7917,8587,8924,7989
ACSSF,2010m1,co,000,0022,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5619,7878,6092,5619,1266,5316,0,5329,379,634,1135,607,1335,3281,1532,1929,973,5942,531,603,3989,3193,190,1538,2435,361,909,1336,2016,521,1684,1727,858,384,862,446,5842,5619,0,5619,7878,6092,5619
ACSSF,2010m1,co,000,0022,0000014,0,785,279,279,4122,1412,140,279,114,521,785,279,289,279,752,397,279,408,710,141,376,189,1100,103,279,1197,279,251,300,238,1098,185,1588,1741,581,4206,279,2770,667,2138,1230,5742,170,1169,101,1127,279,789,4423,156,3613,110,428,279,279,279,279,458,2633,81,2303,467,403,1789,684,1499,2463,191,559,601,278,279,3190,279,2030,337,279,601,341,137,279,1389,87,597,279,279,1299,1349,2936,816,633,1028,818,1132,279,279,279,53,279,279,397,1066,68,279,84,279,349,6970,4995,0,4995,6801,6803,4995,925,5069,0,4122,1412,1100,1098,1588,1741,4206,2770,2138,1230,5742,1169,1127,4423,3613,428,2633,2303,467,1789,1499,2463,601,3190,2936,816,1028,818,1132,6779,4995,0,4995,6801,6803,4995
ACSSF,2010m1,co,000,0022,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3735,5699,5695,3735,750,3693,0,1973,464,1264,880,658,1222,3504,2436,1894,518,4674,652,897,4596,2759,502,1474,1778,372,1430,977,2530,618,654,2036,709,401,794,427,3517,3735,0,3735,5699,5695,3735
ACSSF,2010m1,co,000,0022,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5222,6519,5116,5222,2141,4851,0,2666,1373,1523,1168,833,1155,4246,3449,2729,770,5526,974,688,4524,2828,626,1667,2008,845,1891,856,1583,249,2923,1677,867,784,1085,373,6038,5222,0,5222,6519,5116,5222
ACSSF,2010m1,co,000,0022,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3953,6150,6473,3953,1039,3698,0,2805,740,1253,1375,1663,1741,4568,2239,3073,1040,5985,1241,857,5059,3959,387,1838,1987,639,1860,1460,1950,642,512,2159,1097,582,1508,122,5706,3953,0,3953,6150,6473,3953
ACSSF,2010m1,co,000,0022,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6897,9424,8745,6897,2247,6205,0,4608,1607,1221,1976,1962,2597,5446,2134,3873,1477,7237,921,1338,6409,3534,674,3308,3506,847,1949,1512,4056,984,1105,3206,875,587,2853,1196,7261,6897,0,6897,9424,8745,6897
ACSSF,2010m1,co,000,0022,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5102,8087,7989,5102,2245,4697,0,2973,1276,1244,1208,1644,1922,4922,2458,2855,813,6075,1316,778,5529,4130,728,2627,3285,355,2126,1914,1968,595,525,2056,769,688,1417,120,6192,5102,0,5102,8087,7989,5102
ACSSF,2010m1,co,000,0022,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292,6390,6339,5292,1336,5207,0,1976,1193,958,1079,1799,1816,4443,2704,1809,1457,5439,766,830,4708,2833,766,2683,1593,868,880,780,1711,266,583,2969,1295,797,1008,435,4147,5292,0,5292,6390,6339,5292
ACSSF,2010m1,co,000,0022,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4743,4557,4546,4743,620,4844,0,2014,742,369,418,1262,1116,2467,993,1643,764,4262,179,300,2778,2000,279,996,988,241,636,1994,1388,75,259,1308,322,346,1124,279,3117,4743,0,4743,4557,4546,4743
ACSSF,2010m1,co,000,0022,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2804,4521,3896,2804,383,2815,0,2140,279,248,257,862,651,2955,645,976,498,3263,318,198,2347,2664,359,814,1221,103,526,874,842,417,279,1077,141,127,515,1048,3512,2804,0,2804,4521,3896,2804
ACSSF,2010m1,co,000,0022,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4776,5653,4863,4776,849,4722,0,2195,148,670,825,717,1452,2308,2090,2429,809,4096,808,743,3683,1805,513,1929,1383,151,1139,811,1665,135,634,1631,763,186,1146,89,4551,4776,0,4776,5653,4863,4776
ACSSF,2010m1,co,000,0022,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2957,3697,3955,3243,1853,553,1783,2957,1253,398,368,464,472,751,2491,1841,1174,427,2958,1189,404,2527,2497,91,898,1400,279,1383,718,766,237,335,1030,255,534,727,279,4303,1853,2957,3697,3955,3243,1853
