ACSSF,2010m1,co,000,0021,0000001,25484,279,256,279,279,2344,279,922,279,1100,400,96,540,379,1076,593,279,882,3021,588,1035,413,2628,935,548,1784,279,513,1908,286,3678,1289,4397,4562,641,12789,750,2739,2046,7080,2816,15580,133,2040,101,2574,529,858,14862,191,8300,697,1460,351,195,128,128,635,6099,501,7682,1723,897,3985,2272,4014,5790,410,969,1463,1115,279,2388,279,443,390,279,279,146,279,279,126,214,227,279,279,1911,630,6750,2735,432,1453,4339,1091,279,117,411,53,204,65,434,760,279,279,270,279,797,20333,25484,279,2344,2628,3678,4397,4562,12789,2739,7080,2816,15580,2040,2574,14862,8300,1460,6099,7682,1723,3985,4014,5790,1463,2388,6750,2735,1453,4339,1091,20398
ACSSF,2010m1,co,000,0021,0000002,23995,279,256,279,279,2250,279,922,279,924,400,96,528,379,1076,566,279,721,2902,544,899,413,2284,879,526,1509,279,428,1838,238,2954,1111,3800,3950,622,12258,498,2543,1896,6508,2203,15136,133,1483,101,1708,370,759,13586,191,6611,432,1298,351,161,128,128,577,5281,327,6456,1106,829,3394,1993,3559,4875,351,879,1323,1016,279,2241,279,443,365,279,279,146,279,279,126,166,227,279,279,1804,585,5698,2427,430,1252,3276,755,279,117,99,53,279,279,434,531,279,279,150,279,762,18802,23995,279,2250,2284,2954,3800,3950,12258,2543,6508,2203,15136,1483,1708,13586,6611,1298,5281,6456,1106,3394,3559,4875,1323,2241,5698,2427,1252,3276,755,18879
ACSSF,2010m1,co,000,0021,0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14450,279,477,1002,1867,2172,2424,6495,840,3873,1484,9310,1344,1856,6660,4163,620,3010,3152,1183,1957,1913,3395,711,748,3397,1277,632,2768,889,10954
ACSSF,2010m1,co,000,0021,0000004,24419,279,256,279,279,2292,279,922,279,964,400,96,532,379,1076,593,279,823,2920,331,1004,388,2541,907,548,1770,279,513,1906,286,3578,1276,4232,4280,613,12378,750,2728,1961,6927,2599,14393,133,1978,101,2438,529,858,14493,191,7852,686,1460,351,161,107,128,623,5955,452,7473,1687,877,3898,2244,3756,5415,410,925,1458,1090,279,2394,279,443,390,279,279,146,279,279,126,166,227,279,279,1911,630,6657,2221,432,1409,4259,1091,279,117,411,53,204,65,434,760,279,279,270,279,681,19051,24419,279,2292,2541,3578,4232,4280,12378,2728,6927,2599,14393,1978,2438,14493,7852,1460,5955,7473,1687,3898,3756,5415,1458,2394,6657,2221,1409,4259,1091,19343
ACSSF,2010m1,co,000,0021,0000005,24881,279,256,279,279,2310,279,922,279,924,400,279,528,379,1076,582,279,654,2934,331,1015,388,2482,907,548,1809,279,507,1915,238,3419,1263,4043,4296,538,11996,750,2720,1943,6544,2603,14619,133,1965,101,2352,422,822,14563,191,7551,663,1472,351,161,107,128,618,5929,407,7145,1650,851,3790,2224,3389,5460,394,874,1345,1102,279,2394,279,443,390,279,279,146,279,279,126,166,227,279,279,1911,630,6378,2100,432,1418,4236,935,279,117,411,53,204,279,434,564,279,279,270,279,670,18393,24881,279,2310,2482,3419,4043,4296,11996,2720,6544,2603,14619,1965,2352,14563,7551,1472,5929,7145,1650,3790,3389,5460,1345,2394,6378,2100,1418,4236,935,18859
ACSSF,2010m1,co,000,0021,0000006,14163,279,126,279,279,2126,279,922,279,773,232,279,361,269,1000,311,279,457,2361,247,721,283,1102,523,526,1355,279,354,950,279,2442,624,2161,3002,246,7230,649,1795,1041,4631,1661,9549,133,1249,101,1473,379,612,8168,191,4849,525,1025,351,66,107,279,458,4032,161,4443,1101,708,2819,1356,1840,3122,230,570,1082,830,279,1480,279,428,144,279,279,127,279,279,279,279,227,279,279,1002,585,4388,1480,177,1197,2214,755,279,117,411,53,204,279,353,452,279,279,119,279,373,13265,14163,279,2126,1102,2442,2161,3002,7230,1795,4631,1661,9549,1249,1473,8168,4849,1025,4032,4443,1101,2819,1840,3122,1082,1480,4388,1480,1197,2214,755,13824
ACSSF,2010m1,co,000,0021,0000007,20252,279,223,279,279,909,279,279,279,473,283,279,410,361,418,501,279,541,2014,218,807,247,1995,608,163,1339,279,346,1666,238,2584,971,3167,3229,455,9635,371,1908,1536,5337,2088,12724,279,1503,279,1881,198,550,11197,279,6577,384,1018,279,147,279,128,473,4492,368,5057,1085,488,2801,1526,3237,4251,367,596,876,868,279,1943,279,115,365,279,279,63,279,279,126,166,279,279,279,1793,250,5165,1599,413,751,3419,599,279,279,279,279,279,279,192,414,279,279,240,279,518,14105,20252,279,909,1995,2584,3167,3229,9635,1908,5337,2088,12724,1503,1881,11197,6577,1018,4492,5057,1085,2801,3237,4251,876,1943,5165,1599,751,3419,599,14200
ACSSF,2010m1,co,000,0021,0000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5393,279,350,598,1065,740,1284,3155,402,1662,771,4035,163,452,2771,1653,100,1161,1504,199,1025,1558,838,518,279,1675,419,153,497,531,4236
ACSSF,2010m1,co,000,0021,0000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3345,279,96,99,667,425,876,1636,314,885,663,2290,279,59,1761,1087,279,684,487,94,174,216,532,499,279,791,202,279,270,279,2407
ACSSF,2010m1,co,000,0021,0000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4793,279,339,596,932,642,967,2480,215,1436,403,3576,163,449,2469,1385,100,974,1421,171,997,1541,695,144,279,1408,399,153,418,531,3498
