ACSSF,2010e1,co,000,0107,0000011,193992,105250,31977,19228,16775,3162,139,295,137,503,4945,7594,2453,114,920,1419,375,1044,4169,1189,1189,77,771,105,236,0,1762,141,1289,332,1218,365,365,488,6792,1409,808,601,848,551,0,297,2378,131,1578,0,892,588,98,93,576,2157,242,1182,733,1788,1285,218,308,135,0,624,503,16273,488,262,0,226,2793,240,12,0,128,1678,735,5936,1470,2128,1001,775,562,4485,63,156,2037,2229,2571,448,34,450,0,1639,14526,9503,2831,882,1577,2034,590,518,1071,5023,641,0,146,179,616,525,2294,136,486,28590,4406,372,3747,287,17938,3517,2428,2452,921,820,1139,3917,1622,1122,6246,335,2815,3096,13884,5453,515,281,361,1644,27,132,176,581,1736,5974,342,53,133,64,5144,31,207,2457,1728,729
ACSSF,2010e1,co,000,0107,0000012,329482,179127,52168,30988,25851,4458,364,874,288,948,6265,12654,5137,686,1538,2913,896,2017,7122,2363,2219,225,1037,207,750,144,3023,222,1650,1151,1736,834,365,537,11157,2332,1347,985,1311,955,0,356,4055,273,2604,0,1452,1054,98,93,1085,3459,296,1829,1334,2901,2248,583,436,146,0,1083,653,31521,892,415,0,477,5218,482,27,25,128,3303,1253,13115,2172,4478,2840,2370,1255,8083,123,357,4473,3130,4213,814,34,735,98,2532,25299,16090,4122,1664,1949,3598,1329,1384,2044,9209,1083,0,397,259,1203,756,4111,168,1232,46783,6374,372,5501,501,28848,5323,3966,3942,1694,1432,1921,6408,1958,2204,11561,736,5683,5142,23356,10335,808,281,2637,2097,172,294,176,1027,2843,9174,449,474,444,359,6811,285,352,3847,2987,860
ACSSF,2010e1,co,000,0107,0000013,205967,111792,26208,13091,8582,1560,437,318,53,1733,253,4228,4509,801,1621,2087,932,1155,7594,4442,4374,653,1788,683,1250,68,2807,68,2162,577,345,248,0,97,4448,982,755,227,439,181,0,258,1141,241,734,0,418,316,0,0,166,1886,530,347,1009,1075,597,260,66,200,0,71,478,14808,320,320,0,0,2642,120,68,0,193,1511,750,4939,957,1773,255,920,1034,5690,189,426,3132,1943,1217,185,400,174,0,458,21937,12785,2071,1267,1396,3031,1269,2230,1521,9152,1484,0,149,153,799,1574,4098,468,427,27455,317,0,258,59,18530,1852,2703,4549,821,1293,2009,4436,325,542,8608,790,3248,4570,21384,6858,717,683,415,1329,285,698,308,194,2229,8389,209,499,289,638,5959,257,538,6137,4841,1296
ACSSF,2010e1,co,000,0107,0000014,290348,153384,53723,24477,15887,3352,979,1204,277,1593,129,8353,8590,311,3979,4300,2753,1547,15675,9273,9042,1282,3341,1447,2972,231,4721,378,3157,1186,1681,1233,193,255,9051,1243,537,706,1778,1657,58,63,3015,841,1177,0,804,373,0,0,997,3015,547,1285,1183,4520,3000,951,573,671,0,805,1520,20219,705,593,0,112,4245,203,43,297,272,1766,1664,8422,808,4599,1258,1180,577,5155,0,236,3222,1697,1692,156,575,0,0,961,32626,19562,4065,1903,1789,4033,3665,1570,2537,13064,885,235,710,204,590,3479,5326,297,1338,24741,346,0,346,0,15242,1803,2823,2582,631,1256,1068,3838,1082,159,9153,972,3724,4457,22075,8659,958,976,1303,899,608,407,147,313,3048,10346,165,883,120,1136,6676,880,486,3070,2731,339
ACSSF,2010e1,co,000,0107,0000015,153738,82477,46276,17203,13131,3087,936,502,297,1801,50,6458,4072,149,2098,1825,1291,534,15066,7313,6779,635,4548,561,1035,534,5287,366,4368,553,2466,1975,241,250,11371,861,260,601,1378,1167,0,211,5502,3000,1261,58,881,322,0,178,1063,3630,978,1410,1242,2636,2330,536,219,210,0,1365,306,9854,322,209,0,113,665,0,0,40,327,204,94,4648,561,2352,546,548,641,2213,96,79,896,1142,2006,320,330,145,0,1211,13200,8652,1170,1302,906,2214,801,1593,666,4548,619,41,433,40,515,854,896,57,1093,6614,117,14,12,91,5068,436,972,1143,858,234,166,1145,114,0,1429,171,566,692,6533,3146,264,338,472,351,106,118,138,395,964,1919,58,103,47,332,1267,112,0,1468,1116,352
ACSSF,2010e1,co,000,0107,0000016,301802,161274,63160,27425,18725,2689,1963,1565,287,1482,43,10696,8700,479,3532,4689,2444,2245,15365,7416,7362,958,3997,584,1823,54,6146,1190,4429,527,1803,1116,293,394,15778,1541,1006,535,3498,2853,123,522,5710,1916,2418,165,1304,949,0,500,876,5029,1764,1551,1714,4592,3613,1986,494,279,0,854,979,24976,979,233,0,746,4018,141,141,48,450,681,2557,10962,1206,4790,2213,1964,789,6615,338,582,3288,2407,2402,259,469,231,58,1385,33256,20570,2220,1501,2427,4201,4077,3239,2905,12686,1151,141,944,354,1743,2173,4809,400,971,21018,197,0,197,0,14665,1036,1573,3935,1293,1096,1100,3605,690,337,6156,582,2994,2580,18864,7837,431,936,592,1141,872,353,325,262,2925,6194,66,424,136,953,3836,722,57,4833,3777,1056
ACSSF,2010e1,co,000,0107,0000017,147755,79000,44110,26033,20133,3775,1183,1355,178,3020,0,10622,5900,106,1917,3877,2168,1709,11170,5818,5602,606,3081,758,1157,216,4714,392,3908,414,638,458,125,55,5001,1337,451,886,475,475,0,0,1941,177,1426,57,989,380,0,0,338,1248,454,120,674,1906,1567,850,60,143,0,514,339,6364,66,0,0,66,2739,57,0,54,519,1424,685,1811,218,926,514,43,110,1299,0,554,366,379,449,0,0,0,0,449,16919,12104,2333,1873,1310,2036,1734,1767,1051,4815,426,0,53,316,449,1300,1713,0,558,5998,185,89,96,0,3418,637,632,492,468,257,245,242,445,0,2395,339,793,1263,5609,2263,617,185,99,285,71,130,0,298,578,1933,141,755,0,101,828,0,108,1413,1087,326
ACSSF,2010e1,co,000,0107,0000018,275722,143755,54957,25403,17824,2836,834,1193,276,3316,271,9098,7579,193,4744,2642,904,1738,16187,10237,10027,1378,3978,1288,3383,210,4957,300,3399,1258,993,745,64,184,10447,1807,836,971,1077,979,48,50,4329,1241,2009,0,1090,788,131,137,942,3234,712,1519,1003,2920,2085,511,409,352,78,735,835,19681,1203,396,0,807,3977,271,95,0,983,1321,1307,7336,895,2992,1406,881,1162,4978,107,415,3389,1067,2187,471,177,52,352,1135,25248,14340,3257,1579,1032,3360,1522,1461,2129,10908,1294,118,571,173,978,1555,4224,435,1560,21885,375,0,239,136,13399,1385,2034,3496,1105,948,980,2775,457,219,8111,710,2918,4483,21984,8442,577,633,395,1702,598,1118,512,223,2684,9400,150,863,236,791,6217,627,516,4142,3888,254
ACSSF,2010e1,co,000,0107,0000019,271398,142721,58268,28177,20256,3857,930,1167,638,2328,175,11161,7921,275,3794,3852,2074,1778,17397,6897,6451,749,2689,1120,1893,446,8087,348,6248,1491,2413,1923,107,383,9429,801,391,410,2137,1707,124,306,3548,1013,1465,0,1034,431,0,100,970,2943,1049,1149,745,3265,2691,779,287,417,0,1208,574,17158,730,552,0,178,5782,268,217,51,1182,1976,2088,4971,425,1879,1425,956,286,4327,202,371,2294,1460,1348,94,77,95,93,989,28759,19522,3780,1578,2489,4588,2739,2434,1914,9237,1127,149,419,226,223,1678,3769,325,1321,20968,322,49,198,75,13417,2209,2054,2754,1520,893,692,2416,736,143,7229,152,2584,4493,17568,7521,1025,247,860,1630,418,187,710,385,2059,6926,606,532,254,363,3978,631,562,3121,2823,298
ACSSF,2010e1,co,000,0107,0000020,151483,79339,35999,15012,11152,1417,600,604,269,1579,692,5991,3860,404,2218,1238,854,384,10832,3832,3786,444,2052,517,773,46,4355,343,3013,999,2645,1055,161,1429,7989,1399,487,912,1357,1214,0,143,3746,1944,1165,81,754,330,0,44,593,1487,309,711,467,2166,1678,259,72,120,140,1087,488,9722,388,138,62,188,2038,137,79,0,202,1114,506,3914,786,1724,667,462,275,2520,0,121,1254,1145,862,102,123,171,0,466,14211,8954,1710,711,730,2395,779,1319,1310,5257,625,0,0,254,754,977,2274,123,250,10723,354,125,170,59,6274,1032,1067,442,471,335,1584,933,0,410,4095,126,1045,2924,8684,4720,175,1007,138,907,192,0,128,108,2065,2765,0,292,142,144,2073,36,78,1199,1154,45
