ACSSF,2010e1,co,000,0116,0000001,45063,61234,63316,67173,59434,75467,76436,77654,63692,45672,40093,74593,43066,45819,61894,70074,40833,26802,28626,52439,44585,55462,20954,24500,24578,37139,41578,35556,41279,27071,40575,45824,35616,34770,41268,28683,45063,50472,71337,71503,73369,64105,79221,80251,80162,70915,55833,40900,102169,52174,56337,79215,100240,48048,31163,32226,55260,48150,56277,21748,26923,31034,44462,50047,38023,41400,26891,40698,45891,37258,37644,41705,30061,39821,51483,56260,59859,52432,64693,69928,65756,47161,41398,38852,54091,41168,36887,59371,63008,40066,23325,28288,46652,40589,51649,19323,20392,21568,34639,34135,34840,32066,30224,29658,42164,28212,27429,35840,26272,1643249,945947,399363,202587,153008,49579,109000,54510,42345,12145,64833,12060,12453,23914,16406,22943,17822,5121,102482,4468,30385,13154,17231,30275,26847,10507,171679,110663,61016,148387,6788,86986,54613,124036,55817,47020,21199,697302,338614,147219,88232,58987,31931,17520,7175,7236,98002,16992,12838,53649,14523,61462,43655,17807,98686,22021,7202,3774,3428,27746,13764,27953,223899,69080,154819,5415,809,2319,2287,30688,20386,5383,4919
ACSSF,2010e1,co,000,0116,0000002,43039,60901,62336,67073,56879,73995,75264,76736,61471,45703,39983,78542,43187,45273,61761,70424,40404,25686,28343,51299,42623,54809,20529,23846,23646,36526,40932,35053,40882,30128,38426,44974,34015,32916,39654,29444,43039,48283,70547,71052,72866,61709,77325,77330,80072,69997,55779,41193,101947,51761,51454,75419,100458,44423,29483,29235,53573,47160,55011,21308,26116,31496,41843,47268,36343,40910,28694,38639,44796,36111,36303,40595,30307,39082,51550,55908,60022,51960,62623,68209,64079,49080,41478,37607,57722,41334,37646,60149,64845,39484,22402,28222,46256,40545,53871,18702,19304,19971,34210,34299,34173,40226,31050,29385,50924,27264,27074,32048,26518,1258278,716120,297175,143724,107331,36393,84996,41758,33457,9781,50820,8667,10462,19027,12664,17635,13195,4440,80696,3583,20461,9635,10826,26328,22179,8145,135626,85246,50380,105755,1872,62529,41354,96868,44637,35351,16880,542158,259921,111097,65623,45474,25988,14152,6188,5648,75507,13258,9805,41276,11168,47329,33407,13922,79217,18330,5255,2818,2437,23744,11198,20690,175539,54293,121246,3875,424,1636,1815,23606,16186,3537,3883
ACSSF,2010e1,co,000,0116,0000003,49571,62175,66100,67430,62537,80879,84558,81101,66058,45594,40323,61639,42440,50879,62300,66747,42509,31500,30118,55210,50604,56265,24608,28816,26535,40785,45788,37933,42139,26568,42445,49557,42115,41141,46894,26429,49571,55513,74716,72911,74649,71083,84772,87087,80658,81446,56679,40369,104521,53329,69320,91685,98288,80570,39248,38477,56319,55021,57280,28881,30885,30058,51593,52255,48193,42434,26587,45080,50158,45087,47091,46349,26754,40939,51299,57042,59116,56147,67423,75393,83897,41754,41142,40280,47238,40678,29161,56481,60988,40934,25840,28617,49538,41923,49606,22574,23227,25372,35556,33538,36065,30071,26210,30223,31005,31678,30719,48250,25731,384971,229827,102188,58863,45677,13186,24004,12752,8888,2364,14013,3393,1991,4887,3742,5308,4627,681,21786,885,9924,3519,6405,3947,4668,2362,36053,25417,10636,42632,4916,24457,13259,27168,11180,11669,4319,155144,78693,36122,22609,13513,5943,3368,987,1588,22495,3734,3033,12373,3355,14133,10248,3885,19469,3691,1947,956,991,4002,2566,7263,48360,14787,33573,1540,385,683,472,7082,4200,1846,1036
ACSSF,2010e1,co,000,0116,0000004,45584,61826,65498,70367,60088,75734,76711,78111,62319,46325,40222,71952,44460,46081,62209,70349,41122,26677,28992,53395,45496,56068,20657,24420,24627,37386,41986,35691,41259,26884,40148,46045,35509,34819,41116,28710,45584,50892,72184,72633,75699,65082,80080,80676,80374,71077,57284,41433,101716,53132,60015,78562,100232,44928,30980,31788,55849,48949,56810,21499,26885,30572,45000,50768,37951,41346,26600,40251,46070,37100,37454,41551,29888,40312,51976,57664,60964,52942,64471,69800,65754,46972,41870,38888,53450,41794,37270,60264,63461,40697,23218,28678,46733,40742,52012,18523,20253,21557,35080,35038,35098,36833,30877,30208,42484,28754,27768,35854,26357,1521945,873941,374504,186608,138782,47826,105877,53462,41094,11321,60435,10714,11876,22428,15417,21584,16902,4682,94782,4062,28092,12507,15585,28458,24980,9190,161402,103569,57833,128486,4193,74807,49486,114767,51601,43147,20019,648004,316824,137950,81385,56565,31487,17331,6986,7170,89964,15172,12168,48956,13668,57423,41039,16384,90485,20371,6612,3471,3141,25080,12477,25945,207218,63874,143344,4482,511,1845,2126,28995,19413,5151,4431
ACSSF,2010e1,co,000,0116,0000005,45972,62141,66040,71225,60157,76133,76925,78279,62746,46621,40488,75185,45067,45956,62265,70802,40817,26720,29161,54030,45024,56990,20548,24523,24855,37372,41978,35788,41340,29886,40123,45981,35758,35487,41057,29217,45972,51181,72669,73425,76640,65063,80367,80879,80508,72214,58315,42027,102162,53516,55954,77164,100088,43774,30917,29654,56309,48011,58767,21397,27184,30929,44349,50444,37497,41411,27806,40209,45993,37582,39296,41542,30195,40544,52270,58745,61609,53416,64154,69881,65534,46937,42096,39081,54236,42060,38373,60424,64022,40399,23501,29093,46907,41006,52012,18274,19768,21667,35219,35102,35265,38497,30936,31164,43750,28688,28303,35086,26457,1434403,822278,358648,176791,130934,45857,103690,52474,40336,10880,57278,10038,11485,21313,14442,20889,16303,4586,86891,3814,25908,12188,13720,25576,23300,8293,153389,98313,55076,115420,2675,67655,45090,107930,47900,41014,19016,612125,299643,129594,74831,54763,30315,16911,6841,6563,85609,14577,11594,46344,13094,54125,38780,15345,84448,19454,6336,3387,2949,22996,11786,23876,196157,60185,135972,4194,496,1602,2096,27683,18749,4635,4299
ACSSF,2010e1,co,000,0116,0000006,41618,58843,61599,65693,55726,68998,72424,68865,55273,45189,37303,70998,42079,45436,61122,66216,41294,23181,27380,48514,40420,54491,18780,21709,23588,36007,40232,34881,38061,30829,35551,43184,33896,34119,38193,27630,41618,46168,66148,67532,71087,61248,72161,75148,73647,67176,52400,40960,100346,48246,51160,75521,92396,39288,24911,24295,52252,40018,60449,20369,23994,29216,41171,45425,36440,38170,25744,35745,43467,35844,36997,38840,29211,37411,50881,54187,59651,51610,60568,67553,60134,45189,40983,36324,56886,41067,37249,57148,61488,41589,21604,27706,44988,40765,47325,16551,19012,19881,33257,32624,33491,32205,31549,29307,41788,28655,27376,36160,27083,632498,355428,152456,69826,49617,20209,42404,22035,15724,4645,30028,4736,5928,11705,7659,10198,7937,2261,41155,2254,9003,4746,4257,15269,10201,4428,64769,38659,26110,48547,866,29840,17841,48501,22766,17127,8608,277070,130922,53577,30889,22688,13307,6798,3048,3461,39512,7244,5074,21462,5732,24526,18310,6216,44801,9808,2695,1321,1374,13616,6851,11831,86636,25811,60825,2532,254,1084,1194,12179,8461,1459,2259
ACSSF,2010e1,co,000,0116,0000007,49884,66243,70233,74910,61450,81306,81783,81905,69520,47768,41459,76771,47883,46443,65074,73950,40287,30958,30973,56692,50982,59630,22362,29009,25446,40033,45150,36607,44043,28698,42156,48260,37100,36494,43087,30015,49884,54868,77324,77444,82463,67534,84299,85283,82667,89161,62406,44125,120107,60910,61648,82206,100551,47964,36623,33806,57357,56645,58380,25667,31029,35616,47641,52038,40218,44186,28837,42173,48165,40463,40598,45079,30439,42015,55159,60887,62869,56613,67953,70903,71932,49239,44278,40682,51931,44446,39596,61149,66948,37359,25658,30319,51289,42061,66542,21463,21022,22939,35993,35889,36038,39935,27201,40800,50209,28716,28785,31663,25877,801905,466850,206192,106965,81317,25648,61286,30439,24612,6235,27250,5302,5557,9608,6783,10691,8366,2325,45736,1560,16905,7442,9463,10307,13099,3865,88620,59654,28966,66873,1809,37815,27249,59429,25134,23887,10408,335055,168721,76017,43942,32075,17008,10113,3793,3102,46097,7333,6520,24882,7362,29599,20470,9129,39647,9646,3641,2066,1575,9380,4935,12045,109521,34374,75147,1662,242,518,902,15504,10288,3176,2040
ACSSF,2010e1,co,000,0116,0000008,39609,51021,51731,51650,51897,65137,67425,59306,44971,41231,36457,50367,40474,56110,60214,62675,46682,25824,22177,50647,61628,45949,22460,23615,21068,37815,42100,31944,40656,26270,40368,47735,30464,27698,41910,21895,39609,41783,59089,60768,60497,75070,58812,70193,57488,42098,50348,32120,51875,43589,62091,108661,128307,90357,31391,38969,51020,70009,45791,27045,24325,24331,54754,60077,40874,40852,26291,40637,47833,30392,28332,41659,21833,35058,45906,50538,50563,50466,65521,66866,83162,50190,36310,36942,46702,36199,17487,56216,59014,45201,21677,20124,42688,32143,51250,21228,22222,20710,31605,33792,30402,25833,.,27723,.,30797,22072,47852,22463,87542,51663,15856,9817,7848,1969,2187,988,758,441,3157,676,391,1115,975,695,599,96,7891,248,2184,319,1865,2882,1680,897,8013,5256,2757,13066,1518,7152,4396,6837,3701,2133,1003,35879,17181,8356,6554,1802,1172,420,145,607,4355,595,574,2612,574,3298,2259,1039,6037,917,276,84,192,2084,691,2069,11061,3689,7372,288,15,243,30,1312,664,516,132
ACSSF,2010e1,co,000,0116,0000009,36886,47401,46532,46294,46740,67273,73981,100547,.,45606,38589,52054,41491,125625,59470,57083,63640,21315,19649,41110,70222,38288,19859,22146,19513,35061,40443,27614,50279,.,50030,53690,27328,26890,41207,26474,36886,40812,60418,61846,61085,100553,49788,85898,100905,.,51399,38750,51290,47298,126022,82130,81730,.,30278,.,41556,70546,38288,21486,33974,28827,42231,50389,26792,50476,.,50237,53690,27309,26954,42370,32579,31164,40927,39391,39621,27027,67477,73538,.,.,36921,36836,65692,36801,.,46167,41364,63348,19413,19649,.,.,.,15040,21203,19336,29298,36102,27726,23846,.,23846,.,27464,.,35920,.,27124,15166,4664,2087,1815,272,727,311,245,171,1575,282,332,663,298,275,235,40,2128,0,728,211,517,1202,146,52,1798,1392,406,3673,0,2504,1169,2903,2197,345,361,11958,5518,2502,2249,253,385,330,55,0,1433,263,201,889,80,1198,830,368,2216,667,35,35,0,634,137,743,3854,1347,2507,98,0,98,0,272,99,134,39
ACSSF,2010e1,co,000,0116,0000010,40653,51286,51850,51780,51994,59429,66707,57024,65061,38663,35754,46607,40029,33977,61031,64725,41961,30038,37986,51751,55811,51587,24028,23756,28266,39940,45468,35776,40155,26270,39502,46377,34742,30233,47580,21566,40653,42141,57896,60205,60293,52416,58951,70035,56627,65734,45933,31076,.,42571,60779,141698,250001,.,31650,38969,51968,56886,51587,30792,23942,22820,59592,60873,42489,40253,26291,39612,47013,35110,31674,40840,21539,36159,47104,51233,51165,51433,65138,65915,123125,50190,35635,36958,46297,34709,16985,57686,63359,41319,23963,25962,43781,.,51250,23336,23189,30101,32303,31577,33046,28630,.,29401,.,31166,21704,48724,21735,60418,36497,11192,7730,6033,1697,1460,677,513,270,1582,394,59,452,677,420,364,56,5763,248,1456,108,1348,1680,1534,845,6215,3864,2351,9393,1518,4648,3227,3934,1504,1788,642,23921,11663,5854,4305,1549,787,90,90,607,2922,332,373,1723,494,2100,1429,671,3821,250,241,49,192,1450,554,1326,7207,2342,4865,190,15,145,30,1040,565,382,93
