ACSSF,2010e1,co,000,0036,0000011,190519,175078,15441,3902,11539,129025,120966,8059,2326,5733,27256,23415,3841,823,3018,3805,2994,811,0,811,11766,9959,1807,181,1626,5005,4927,78,0,78,13662,12817,845,572,273,190519,161591,24162,15653,8509,4766,4138,628,129025,110715,15514,10682,4832,2796,2347,449,27256,21554,4614,2372,2242,1088,968,120,3805,3206,547,152,395,52,52,0,11766,9458,2024,1085,939,284,236,48,5005,4510,140,118,22,355,355,0,13662,12148,1323,1244,79,191,180,11,190519,175078,15441,3902,11539,129025,120966,8059,2326,5733,27256,23415,3841,823,3018,3805,2994,811,0,811,16771,14886,1885,181,1704,13662,12817,845,572,273,190519,161591,28928,19791,9137,129025,110715,18310,13029,5281,27256,21554,5702,3340,2362,3805,3206,599,204,395,16771,13968,2803,1794,1009,13662,12148,1514,1424,90
ACSSF,2010e1,co,000,0036,0000012,323315,291476,31839,9108,22731,223217,207245,15972,4695,11277,41547,33700,7847,2346,5501,8515,6408,2107,105,2002,18366,14825,3541,467,3074,7422,6987,435,131,304,24248,22311,1937,1364,573,323315,273991,41609,24118,17491,7715,5471,2244,223217,194108,24550,15991,8559,4559,3282,1277,41547,30951,8900,4762,4138,1696,1028,668,8515,6456,1896,522,1374,163,52,111,18366,14432,3538,1288,2250,396,292,104,7422,6424,497,118,379,501,501,0,24248,21620,2228,1437,791,400,316,84,323315,291476,31839,9108,22731,223217,207245,15972,4695,11277,41547,33700,7847,2346,5501,8515,6408,2107,105,2002,25788,21812,3976,598,3378,24248,22311,1937,1364,573,323315,273991,49324,29589,19735,223217,194108,29109,19273,9836,41547,30951,10596,5790,4806,8515,6456,2059,574,1485,25788,20856,4932,2199,2733,24248,21620,2628,1753,875
ACSSF,2010e1,co,000,0036,0000013,203101,162990,40111,13566,26545,154898,128616,26282,9997,16285,26451,18070,8381,1808,6573,9074,6982,2092,463,1629,3633,2864,769,172,597,2705,2008,697,229,468,6340,4450,1890,897,993,203101,145172,45385,20772,24613,12544,6888,5656,154898,114455,31210,15177,16033,9233,5298,3935,26451,15913,9257,3406,5851,1281,982,299,9074,6094,2708,1245,1463,272,118,154,3633,2669,895,369,526,69,0,69,2705,1814,610,236,374,281,52,229,6340,4227,705,339,366,1408,438,970,203101,162990,40111,13566,26545,154898,128616,26282,9997,16285,26451,18070,8381,1808,6573,9074,6982,2092,463,1629,6338,4872,1466,401,1065,6340,4450,1890,897,993,203101,145172,57929,27660,30269,154898,114455,40443,20475,19968,26451,15913,10538,4388,6150,9074,6094,2980,1363,1617,6338,4483,1855,657,1198,6340,4227,2113,777,1336
ACSSF,2010e1,co,000,0036,0000014,286234,233027,53207,21140,32067,226705,187287,39418,17601,21817,26604,17853,8751,1685,7066,11787,9167,2620,558,2062,3749,3100,649,268,381,3105,2622,483,176,307,14284,12998,1286,852,434,286234,224221,33694,14379,19315,28319,16453,11866,226705,179724,24835,11909,12926,22146,13273,8873,26604,16985,6132,1814,4318,3487,1476,2011,11787,8968,1884,307,1577,935,479,456,3749,3144,50,0,50,555,402,153,3105,2637,239,147,92,229,102,127,14284,12763,554,202,352,967,721,246,286234,233027,53207,21140,32067,226705,187287,39418,17601,21817,26604,17853,8751,1685,7066,11787,9167,2620,558,2062,6854,5722,1132,444,688,14284,12998,1286,852,434,286234,224221,62013,30832,31181,226705,179724,46981,25182,21799,26604,16985,9619,3290,6329,11787,8968,2819,786,2033,6854,5781,1073,651,422,14284,12763,1521,923,598
ACSSF,2010e1,co,000,0036,0000015,151166,133684,17482,7146,10336,99057,87969,11088,4827,6261,14221,12109,2112,745,1367,6705,5419,1286,392,894,7247,6213,1034,161,873,7454,6700,754,278,476,16482,15274,1208,743,465,151166,128374,14434,7466,6968,8358,5906,2452,99057,84675,9805,4680,5125,4577,3184,1393,14221,11059,2333,1428,905,829,420,409,6705,4831,1345,495,850,529,529,0,7247,6300,136,91,45,811,442,369,7454,6548,279,236,43,627,414,213,16482,14961,536,536,0,985,917,68,151166,133684,17482,7146,10336,99057,87969,11088,4827,6261,14221,12109,2112,745,1367,6705,5419,1286,392,894,14701,12913,1788,439,1349,16482,15274,1208,743,465,151166,128374,22792,13372,9420,99057,84675,14382,7864,6518,14221,11059,3162,1848,1314,6705,4831,1874,1024,850,14701,12848,1853,1183,670,16482,14961,1521,1453,68
ACSSF,2010e1,co,000,0036,0000016,296453,243522,52931,17114,35817,208487,172237,36250,13406,22844,29818,20985,8833,2022,6811,18479,14247,4232,928,3304,11532,10206,1326,183,1143,9508,8955,553,180,373,18629,16892,1737,395,1342,296453,222832,53342,25516,27826,20279,12785,7494,208487,159304,34568,17068,17500,14615,9078,5537,29818,18278,9754,3532,6222,1786,1266,520,18479,12390,4179,1628,2551,1910,867,1043,11532,9396,1566,1177,389,570,299,271,9508,7615,1397,1023,374,496,433,63,18629,15849,1878,1088,790,902,842,60,296453,243522,52931,17114,35817,208487,172237,36250,13406,22844,29818,20985,8833,2022,6811,18479,14247,4232,928,3304,21040,19161,1879,363,1516,18629,16892,1737,395,1342,296453,222832,73621,38301,35320,208487,159304,49183,26146,23037,29818,18278,11540,4798,6742,18479,12390,6089,2495,3594,21040,17011,4029,2932,1097,18629,15849,2780,1930,850
ACSSF,2010e1,co,000,0036,0000017,144784,132682,12102,6513,5589,115352,105775,9577,5151,4426,10456,9947,509,385,124,3273,2924,349,195,154,569,569,0,0,0,1917,1701,216,0,216,13217,11766,1451,782,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144784,132682,12102,6513,5589,115352,105775,9577,5151,4426,10456,9947,509,385,124,3273,2924,349,195,154,2486,2270,216,0,216,13217,11766,1451,782,669,144784,131615,13169,9139,4030,115352,105315,10037,6681,3356,10456,9915,541,442,99,3273,2955,318,81,237,2486,2098,388,110,278,13217,11332,1885,1825,60
ACSSF,2010e1,co,000,0036,0000018,295029,270817,24212,10242,13970,228978,211063,17915,8714,9201,26898,22901,3997,949,3048,2638,1822,816,0,816,14444,13848,596,143,453,4919,4878,41,41,0,17152,16305,847,395,452,295029,263134,18296,9773,8523,13599,8948,4651,228978,204968,13603,7839,5764,10407,7234,3173,26898,21652,4020,1568,2452,1226,658,568,2638,1776,0,0,0,862,46,816,14444,13613,302,136,166,529,481,48,4919,4767,105,105,0,47,47,0,17152,16358,266,125,141,528,482,46,295029,270817,24212,10242,13970,228978,211063,17915,8714,9201,26898,22901,3997,949,3048,2638,1822,816,0,816,19363,18726,637,184,453,17152,16305,847,395,452,295029,263134,31895,18721,13174,228978,204968,24010,15073,8937,26898,21652,5246,2226,3020,2638,1776,862,46,816,19363,18380,983,769,214,17152,16358,794,607,187
ACSSF,2010e1,co,000,0036,0000019,266697,247959,18738,8729,10009,209681,196663,13018,6664,6354,22832,19035,3797,1279,2518,7046,6203,843,107,736,3255,3212,43,0,43,5773,5256,517,368,149,18110,17590,520,311,209,266697,239527,15653,10018,5635,11517,8264,3253,209681,190305,11529,8021,3508,7847,5604,2243,22832,17485,3340,1411,1929,2007,1253,754,7046,6229,198,0,198,619,476,143,3255,2877,226,226,0,152,152,0,5773,5294,57,57,0,422,349,73,18110,17337,303,303,0,470,430,40,266697,247959,18738,8729,10009,209681,196663,13018,6664,6354,22832,19035,3797,1279,2518,7046,6203,843,107,736,9028,8468,560,368,192,18110,17590,520,311,209,266697,239527,27170,18282,8888,209681,190305,19376,13625,5751,22832,17485,5347,2664,2683,7046,6229,817,476,341,9028,8171,857,784,73,18110,17337,773,733,40
ACSSF,2010e1,co,000,0036,0000020,148049,139690,8359,2862,5497,117830,112544,5286,2166,3120,13108,11954,1154,124,1030,1063,1010,53,0,53,3371,3007,364,69,295,5168,4199,969,196,773,7509,6976,533,307,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148049,139690,8359,2862,5497,117830,112544,5286,2166,3120,13108,11954,1154,124,1030,1063,1010,53,0,53,8539,7206,1333,265,1068,7509,6976,533,307,226,148049,136849,11200,8669,2531,117830,109884,7946,6491,1455,13108,11970,1138,618,520,1063,867,196,157,39,8539,7017,1522,1148,374,7509,7111,398,255,143
ACSSF,2010e1,co,000,0036,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,co,000,0036,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63729,56272,7457,4438,3019,51624,45497,6127,3786,2341,7212,6575,637,432,205,556,496,60,60,0,2309,1862,447,160,287,2028,1842,186,0,186
ACSSF,2010e1,co,000,0036,0000023,116737,103607,13130,5123,8007,93865,85342,8523,2923,5600,12666,9147,3519,1524,1995,463,130,333,333,0,2435,2251,184,115,69,1410,1178,232,0,232,5898,5559,339,228,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116737,103607,13130,5123,8007,93865,85342,8523,2923,5600,12666,9147,3519,1524,1995,463,130,333,333,0,3845,3429,416,115,301,5898,5559,339,228,111,116737,98737,18000,9199,8801,93865,81049,12816,7232,5584,12666,8900,3766,1253,2513,463,130,333,0,333,3845,3162,683,596,87,5898,5496,402,118,284
ACSSF,2010e1,co,000,0036,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52913,48696,4217,2750,1467,42918,39521,3397,2168,1229,4381,3701,680,482,198,1399,1399,0,0,0,1771,1771,0,0,0,2444,2304,140,100,40
ACSSF,2010e1,co,000,0036,0000025,154135,110481,43654,13942,29712,117981,87323,30658,11455,19203,19332,11061,8271,1474,6797,8392,5863,2529,379,2150,2407,1514,893,162,731,1259,829,430,176,254,4764,3891,873,296,577,154135,104426,33300,10809,22491,16409,8902,7507,117981,82347,22540,8502,14038,13094,7463,5631,19332,10349,7100,1537,5563,1883,557,1326,8392,5516,2260,401,1859,616,291,325,2407,1602,474,243,231,331,284,47,1259,790,303,80,223,166,39,127,4764,3822,623,46,577,319,268,51,154135,110481,43654,13942,29712,117981,87323,30658,11455,19203,19332,11061,8271,1474,6797,8392,5863,2529,379,2150,3666,2343,1323,338,985,4764,3891,873,296,577,154135,104426,49709,19711,29998,117981,82347,35634,15965,19669,19332,10349,8983,2094,6889,8392,5516,2876,692,2184,3666,2392,1274,646,628,4764,3822,942,314,628
ACSSF,2010e1,co,000,0036,0000026,50091,44087,6004,1703,4301,25804,22984,2820,964,1856,3631,3110,521,16,505,3849,3139,710,69,641,4752,3951,801,60,741,5627,4993,634,278,356,6428,5910,518,316,202,50091,41381,5198,3032,2166,3512,2549,963,25804,21586,3164,1876,1288,1054,877,177,3631,2676,580,288,292,375,106,269,3849,2631,843,345,498,375,375,0,4752,3990,76,31,45,686,317,369,5627,4847,279,236,43,501,353,148,6428,5651,256,256,0,521,521,0,50091,44087,6004,1703,4301,25804,22984,2820,964,1856,3631,3110,521,16,505,3849,3139,710,69,641,10379,8944,1435,338,1097,6428,5910,518,316,202,50091,41381,8710,5581,3129,25804,21586,4218,2753,1465,3631,2676,955,394,561,3849,2631,1218,720,498,10379,8837,1542,937,605,6428,5651,777,777,0
ACSSF,2010e1,co,000,0036,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51342,46695,4647,2398,2249,42378,38613,3765,1894,1871,2925,2541,384,252,132,1180,1058,122,0,122,714,640,74,0,74,4145,3843,302,252,50,51342,45396,5946,3982,1964,42378,37535,4843,3260,1583,2925,2327,598,346,252,1180,1058,122,72,50,714,714,0,0,0,4145,3762,383,304,79
ACSSF,2010e1,co,000,0036,0000028,201216,182013,19203,7444,11759,160000,146217,13783,6208,7575,19576,16054,3522,886,2636,1649,893,756,0,756,6220,5784,436,40,396,3561,3561,0,0,0,10210,9504,706,310,396,201216,176260,14291,7172,7119,10665,6582,4083,160000,141549,10226,5431,4795,8225,5514,2711,19576,14893,3670,1512,2158,1013,445,568,1649,847,0,0,0,802,46,756,6220,5697,206,40,166,317,269,48,3561,3450,64,64,0,47,47,0,10210,9824,125,125,0,261,261,0,201216,182013,19203,7444,11759,160000,146217,13783,6208,7575,19576,16054,3522,886,2636,1649,893,756,0,756,9781,9345,436,40,396,10210,9504,706,310,396,201216,176260,24956,13754,11202,160000,141549,18451,10945,7506,19576,14893,4683,1957,2726,1649,847,802,46,756,9781,9147,634,420,214,10210,9824,386,386,0
