ACSSF,2010m1,co,000,0055,0000001,8008,6087,1117,1026,1307,900,843,961,1134,1044,842,1315,1083,892,1322,963,2283,890,4845,4301,9596,3714,2673,3119,3193,2843,2892,2951,2808,2662,3149,3089,2619,2699,2833,7683,4404,8665,2874,5487,2448,2469,2560,2168,2630,2471,2593,2180,2315,2066,1788,1875,2244,2200,3778,1154,5319,8008,6087,1622,3378,2648,2482,4845,4301,9596,4593,3551,3623,8698,8665,2874,5487,3517,3102,2947,3943,5319
ACSSF,2010m1,co,000,0055,0000002,7526,5395,996,805,1212,787,791,868,1103,892,859,995,938,796,1141,708,1909,895,4360,15827,10050,3230,2127,2787,2568,2695,2413,2517,2452,2464,2439,2484,2398,2519,2559,6424,3899,14484,9228,6444,2599,2418,2461,1906,2541,1938,2496,2125,2251,1988,1809,1795,2095,2301,3698,1013,7505,7526,5395,1323,3213,2209,2166,4360,15827,10050,3979,5782,3871,7464,14484,9228,6444,3500,4039,3222,3816,7505
ACSSF,2010m1,co,000,0055,0000003,4448,3338,533,704,493,599,492,553,586,622,367,699,801,419,608,531,1095,233,2572,16457,8577,2131,1577,1961,1722,1463,1653,1837,1692,1581,1691,1715,1750,1706,1379,3561,1723,11817,9249,4814,1034,869,969,978,816,943,860,837,989,873,1011,757,891,777,1313,490,5889,4448,3338,948,2051,1353,1125,2572,16457,8577,2708,4998,3135,3901,11817,9249,4814,1234,2644,1855,1413,5889
ACSSF,2010m1,co,000,0055,0000004,7956,6028,1128,1019,1268,883,844,935,1124,951,829,1263,1079,895,1301,877,2273,891,4664,4933,9381,3627,2549,3000,2926,2765,2690,2978,2802,2616,3029,3033,2337,2468,2654,7452,4192,9011,3479,5353,2327,2409,2536,2075,2485,2395,2498,1970,2181,1951,1702,1771,2135,2085,3745,1145,5345,7956,6028,1629,3387,2607,2468,4664,4933,9381,4522,3575,3423,8420,9011,3479,5353,3224,2755,2687,3947,5345
ACSSF,2010m1,co,000,0055,0000005,7784,6128,1104,1035,1238,883,829,935,1110,917,829,1258,1029,889,1284,863,2200,893,4302,3727,8812,3562,2434,2921,2875,2705,2710,2910,2757,2442,2729,2987,2098,2400,2585,7144,4145,8350,2933,4755,2380,2352,2431,1988,2407,2317,2538,1976,2148,1976,1649,1640,2108,2095,3474,1143,4556,7784,6128,1616,3387,2618,2378,4302,3727,8812,4425,3319,3213,8128,8350,2933,4755,3187,2608,2674,3660,4556
ACSSF,2010m1,co,000,0055,0000006,6018,4296,807,780,923,557,716,770,867,594,654,942,781,633,906,535,1589,809,3486,8506,8633,2344,1515,1578,1540,1514,1507,1850,1377,1360,1397,1623,1457,1494,1842,5121,3220,8706,7109,4708,2001,1485,1860,1582,1915,2042,1661,1616,1917,1495,1256,1377,1668,1955,2701,861,6201,6018,4296,1208,2450,1791,1746,3486,8506,8633,2943,3545,2722,6262,8706,7109,4708,2235,3426,2416,2685,6201
ACSSF,2010m1,co,000,0055,0000007,5531,3859,784,644,859,771,530,676,606,701,510,745,679,552,919,791,1527,413,3453,9126,7111,2674,1923,2498,2404,2419,2160,2311,2576,2229,2251,2406,2004,1900,1947,4873,2873,8442,7647,5204,1424,1897,1634,1854,1472,1514,1775,1359,1436,1369,1431,1200,1265,1321,2659,794,5813,5531,3859,1138,2277,1857,1622,3453,9126,7111,3238,4214,3192,5202,8442,7647,5204,2464,3170,2157,2866,5813
ACSSF,2010m1,co,000,0055,0000008,,,,,,,,,,,,,,,,,,,,3414,2551,858,607,633,690,540,644,552,674,762,774,560,876,703,659,1940,641,2760,1575,1470,508,550,522,436,531,451,420,273,535,723,442,559,435,587,948,86,1634,1345,809,331,449,468,549,1125,3414,2551,1065,1062,1096,1928,2760,1575,1470,749,952,815,958,1634
ACSSF,2010m1,co,000,0055,0000009,,,,,,,,,,,,,,,,,,,,4604,2440,529,262,380,448,324,334,330,439,443,196,290,700,166,377,1606,385,3508,3474,1865,441,336,347,147,356,289,263,249,480,375,397,319,171,267,845,279,2268,,,,,,,,4604,2440,620,1181,925,1612,3508,3474,1865,592,969,626,845,2268
ACSSF,2010m1,co,000,0055,0000010,,,,,,,,,,,,,,,,,,,,4983,2748,685,530,547,576,461,531,456,640,546,747,500,591,678,701,1367,562,3463,3403,1695,258,483,396,448,367,413,327,253,272,599,208,516,428,534,549,86,2514,1289,656,279,391,198,438,1029,4983,2748,848,1479,1107,1399,3463,3403,1695,548,1105,834,567,2514
